,XRP,Lag
RDD,0.2363237904193665,6
CLUB,0.2527028028912147,2
ZENI,0.2607851437723635,4
KURT,0.2868266526123637,11
CLOAK,0.287159431540224,1
IXC,0.3039873910418981,1
SLS,0.3242279694100164,1
XST,0.3631915463855451,11
CLAM,0.3879818804033519,1
LOG,0.4027682585436563,10
NEVA,0.4054074700292357,1
BTB,0.4083654603219814,1
MAY,0.4246126037940336,8
ALIAS,0.4271948619574044,7
DGC,0.4361646002328451,1
TECH,0.4375398630925242,1
EDRC,0.4442834996370305,7
LUNC,0.4493959099302916,1
MAID,0.4706922066761941,19
CNT,0.4781327206613796,1
BRIT,0.4802001619423238,3
ZER,0.4879594859012893,7
BSTY,0.4974489928889343,6
HMQ,0.5067620046324754,1
EQB,0.5355092705594247,1
MNTC,0.5461285464036167,3
POT,0.5544716326001382,3
CANN,0.5557352770090656,3
PIE,0.5565435068675171,1
SIB,0.5589383958393901,4
OZO,0.5839124059439407,1
PTOY,0.5865774471784351,2
GCC,0.5885562769363983,4
SILK,0.5992548647274738,6
SWIFT,0.6112395562790847,16
TES,0.6195278737573471,1
SONG,0.6352848792701573,1
XDN,0.6353816251461097,24
BIS,0.6973636542020625,3
OK,0.7175606539990711,1
FRC,0.721542452903565,1
XBC,0.7300775841629068,27
BTA,0.7541838795798057,1
PLU,0.8267831010686975,2
MST,0.8342400094776566,3
PUT,0.8528695668800459,1
ILC,0.8587506219243186,2
LOOK,0.9003959142659305,30
PASC,0.9034933725438602,2
