TIMESTAMP,ANT_OPEN_PRICE_USDT,ANT_HIGH_PRICE_USDT,ANT_LOW_PRICE_USDT,ANT_CLOSE_PRICE_USDT,ANT_FIRST_TRADE_PRICE_USDT,ANT_HIGH_TRADE_PRICE_USDT,ANT_LOW_TRADE_PRICE_USDT,ANT_LAST_TRADE_PRICE_USDT,ANT_TOTAL_TRADE_COUNT,ANT_TOTAL_TRADES_BUY,ANT_TOTAL_TRADES_SELL,ANT_VOLUME_USDT,ANT_QUOTE_VOLUME,ANT_VOLUME_BUY,ANT_QUOTE_VOLUME_BUY,ANT_VOLUME_SELL,ANT_QUOTE_VOLUME_SELL
2020-10-03,3.5226,3.6557,3.5151,3.5269,3.5657,3.6557,3.5151,3.5269,2031,994,1037,102324.9,367017.984079,45767.56,164170.705711,56557.34,202847.278368
2020-10-04,3.5269,3.591,3.4478,3.5322,3.5157,3.591,3.4478,3.5322,1334,609,725,79079.86,276684.372822,36001.05,126140.995802,43078.81,150543.37702
2020-10-05,3.5322,3.6,3.4787,3.5544,3.527,3.6,3.4787,3.5544,1059,477,582,51623.02,182674.131954,18953.0,67075.703446,32670.02,115598.428508
2020-10-06,3.5544,3.5843,3.3,3.3478,3.5542,3.5843,3.3,3.3478,2067,910,1157,111951.84,383392.125135,49415.58,169288.725721,62536.26,214103.399414
2020-10-07,3.3478,3.3964,3.1609,3.3091,3.3478,3.3964,3.1609,3.3091,4384,1829,2555,238535.98,778190.291152,112362.77,366638.854749,126173.21,411551.436403
2020-10-08,3.3091,3.45,3.1847,3.4159,3.3155,3.45,3.1847,3.4159,1973,939,1034,121002.31,398350.968595,61278.59,200328.802364,59723.72,198022.166231
2020-10-09,3.4159,3.7195,3.3208,3.6765,3.4078,3.7195,3.3208,3.6765,1968,1027,941,113875.65,400193.707768,54649.65,192498.371668,59226.0,207695.3361
2020-10-10,3.6765,3.7956,3.6389,3.664,3.6703,3.7956,3.6389,3.664,2226,1146,1080,129750.7,482453.106466,62867.22,233885.460324,66883.48,248567.646142
2020-10-11,3.664,3.8891,3.5289,3.8502,3.6557,3.8891,3.5289,3.8502,2426,1015,1411,144678.6,533657.722372,70427.73,259324.487514,74250.87,274333.234858
2020-10-12,3.8502,3.8603,3.59,3.7107,3.847,3.8603,3.59,3.7107,2393,1126,1267,143075.5,534001.281106,67956.72,253663.72063,75118.78,280337.560476
2020-10-13,3.7107,3.7241,3.5424,3.6076,3.7079,3.7241,3.5424,3.6076,2203,1045,1158,123672.19,449631.489072,52792.43,191650.226955,70879.76,257981.262117
2020-10-14,3.6076,3.6093,3.4,3.4348,3.6093,3.6093,3.4,3.4348,1588,629,959,83178.32,291879.140992,29496.06,103959.412779,53682.26,187919.728213
2020-10-15,3.4348,3.4369,3.2,3.2946,3.4369,3.4369,3.2,3.2946,2043,1028,1015,114491.86,377389.009717,60195.64,198208.823045,54296.22,179180.186672
2020-10-16,3.2946,3.4166,3.1512,3.1788,3.2998,3.4166,3.1512,3.1788,2780,1487,1293,139740.05,455253.915287,69058.7,225078.719122,70681.35,230175.196165
2020-10-17,3.1788,3.2813,3.154,3.2298,3.1889,3.2813,3.154,3.2298,925,484,441,45148.56,145660.019526,20921.39,67592.920725,24227.17,78067.098801
2020-10-18,3.2298,3.3914,3.2298,3.3078,3.2381,3.3914,3.2365,3.3078,942,500,442,54077.85,178976.781849,26405.22,87448.16365,27672.63,91528.618199
2020-10-19,3.3078,3.3205,3.2104,3.2163,3.3205,3.3205,3.2104,3.2163,1048,594,454,49593.18,161471.361575,23472.9,76511.957671,26120.28,84959.403904
2020-10-20,3.2163,3.2191,2.8855,2.8855,3.2191,3.2191,2.8855,2.8855,1840,947,893,93875.86,285973.380186,44893.88,136854.908817,48981.98,149118.471369
2020-10-21,2.8855,3.1197,2.8304,2.9933,2.8902,3.1197,2.8304,2.9933,3022,1614,1408,186901.2,554922.314707,101942.14,302512.913397,84959.06,252409.40131
2020-10-22,2.9933,3.1695,2.9447,3.134,2.9995,3.1695,2.9447,3.134,2210,1232,978,125945.53,384347.425623,66179.28,202028.678916,59766.25,182318.746707
2020-10-23,3.134,3.4202,3.0942,3.349,3.141,3.4202,3.0942,3.349,3076,1600,1476,168335.52,550208.546141,79216.59,258439.488524,89118.93,291769.057617
2020-10-24,3.349,3.3591,3.2545,3.313,3.3591,3.3591,3.2545,3.313,1407,951,456,61951.92,204748.088957,39496.26,130604.900896,22455.66,74143.188061
2020-10-25,3.313,3.3241,3.1449,3.1454,3.313,3.3241,3.1449,3.1454,1392,655,737,67147.91,215380.923367,33141.17,106247.190393,34006.74,109133.732974
2020-10-26,3.1454,3.2067,2.9781,3.0166,3.1532,3.2067,2.9781,3.0166,1797,647,1150,79293.4,245586.848593,29643.7,91975.70468,49649.7,153611.143913
2020-10-27,3.0166,3.6198,3.0136,3.3158,3.0166,3.6198,3.0136,3.3158,7469,4012,3457,384179.18,1266266.169996,198797.83,655908.292984,185381.35,610357.877012
2020-10-28,3.3158,3.796,3.0448,3.1027,3.316,3.796,3.0448,3.1027,6458,3259,3199,325799.89,1102211.87132,150895.17,512225.920353,174904.72,589985.950967
2020-10-29,3.1027,3.3056,2.9943,3.0282,3.0855,3.3056,2.9943,3.0282,3369,1558,1811,180231.24,562634.130757,78470.61,246087.262937,101760.63,316546.86782
2020-10-30,3.0282,3.0997,2.9,3.0862,3.0265,3.0997,2.9,3.0862,3071,1396,1675,194750.83,580163.701479,85962.1,256519.135951,108788.73,323644.565528
2020-10-31,3.0862,3.174,2.9948,3.0901,3.0714,3.174,2.9948,3.0901,3634,1956,1678,238077.53,734936.01155,124521.9,384709.141351,113555.63,350226.870199
2020-11-01,3.0901,3.165,3.0365,3.0613,3.0913,3.165,3.0365,3.0613,1046,390,656,54804.28,168516.403545,18324.21,56521.017855,36480.07,111995.38569
2020-11-02,3.0613,3.1309,2.8922,2.9996,3.0674,3.1309,2.8922,2.9996,1715,824,891,77745.04,233669.64243,34067.09,102344.834327,43677.95,131324.808103
2020-11-03,2.9996,3.0195,2.7781,2.855,3.0086,3.0195,2.7781,2.855,3049,1573,1476,148153.29,422022.994691,70472.53,201009.99573,77680.76,221012.998961
2020-11-04,2.855,2.8782,2.6639,2.7775,2.8685,2.8782,2.6639,2.7775,3184,1321,1863,155606.48,433580.231985,59381.24,165294.985341,96225.24,268285.246644
2020-11-05,2.7775,2.9067,2.7004,2.8679,2.7775,2.9067,2.7004,2.8679,2784,1377,1407,163776.15,461737.563009,78236.09,220859.867052,85540.06,240877.695957
2020-11-06,2.8679,3.169,2.8679,3.05,2.8826,3.169,2.8688,3.05,5099,2470,2629,338450.15,1023280.246448,163164.37,494100.361891,175285.78,529179.884557
2020-11-07,3.05,3.33,2.81,2.9007,3.047,3.33,2.81,2.9007,6559,3110,3449,425244.14,1303131.029157,198885.16,610497.254109,226358.98,692633.775048
2020-11-08,2.9007,3.1318,2.8563,3.1086,2.8936,3.1318,2.8563,3.1086,2158,1109,1049,117106.01,351543.006934,61855.71,185649.677515,55250.3,165893.329419
2020-11-09,3.1086,3.1361,2.9927,3.0974,3.1087,3.1361,2.9927,3.0974,2058,951,1107,108578.68,331747.451909,45084.42,137889.68265,63494.26,193857.769259
2020-11-10,3.0974,3.49,3.071,3.2406,3.0933,3.49,3.071,3.2406,5749,3103,2646,322918.67,1054444.872399,172823.36,564210.263068,150095.31,490234.609331
2020-11-11,3.2406,3.62,3.2406,3.5594,3.2464,3.62,3.2406,3.5594,4162,2088,2074,232995.22,791077.462831,121936.35,413795.420287,111058.87,377282.042544
2020-11-12,3.5594,3.563,3.1999,3.2,3.5566,3.563,3.1999,3.2,5124,2313,2811,350242.41,1188193.096089,158657.75,539325.133198,191584.66,648867.962891
2020-11-13,3.2,3.6169,3.197,3.5,3.2127,3.6169,3.197,3.5,4586,2301,2285,248874.49,837281.303625,123786.25,416394.734754,125088.24,420886.568871
2020-11-14,3.5,3.5,3.2159,3.3061,3.4939,3.4939,3.2159,3.3061,2163,977,1186,105829.04,351416.296473,48144.22,159329.064081,57684.82,192087.232392
2020-11-15,3.3061,3.3784,3.1655,3.2341,3.3061,3.3784,3.1655,3.2341,2906,1372,1534,128881.83,421583.691689,67142.92,219621.367127,61738.91,201962.324562
2020-11-16,3.2341,3.32,3.188,3.2763,3.2241,3.32,3.188,3.2763,1896,911,985,144434.36,473981.333335,84859.93,279048.282813,59574.43,194933.050522
2020-11-17,3.2763,3.4002,3.1501,3.3315,3.2763,3.4002,3.1501,3.3315,4845,2130,2715,341418.8,1128936.281186,139523.62,461911.287915,201895.18,667024.993271
2020-11-18,3.3315,3.6,2.9913,3.1859,3.33,3.6,2.9913,3.1859,9348,4359,4989,650004.97,2124190.472019,284915.4,932139.260117,365089.57,1192051.211902
2020-11-19,3.1859,3.1879,3.002,3.0689,3.18,3.1879,3.002,3.0689,2963,1270,1693,184343.26,572020.689992,76508.95,237636.427871,107834.31,334384.262121
2020-11-20,3.0689,3.25,3.0689,3.1301,3.0704,3.25,3.0704,3.1301,3069,1363,1706,171206.23,540092.671915,84933.04,268251.303419,86273.19,271841.368496
2020-11-21,3.1301,3.5038,3.1301,3.4866,3.1345,3.5038,3.1334,3.4866,5917,3101,2816,372613.68,1233030.384035,196074.23,649826.121471,176539.45,583204.262564
2020-11-22,3.4866,4.2856,3.4866,3.909,3.4879,4.2856,3.4866,3.909,21641,11185,10456,1326010.28,5248829.105685,660023.28,2615999.265275,665987.0,2632829.84041
2020-11-23,3.909,4.58,3.8699,4.1584,3.909,4.58,3.8699,4.1584,12638,5914,6724,590777.59,2445702.34378,275954.19,1144125.158055,314823.4,1301577.185725
2020-11-24,4.1584,4.3128,3.9324,4.0347,4.1666,4.3128,3.9324,4.0347,14037,6681,7356,489281.97,2011076.14974,235677.56,969852.88066,253604.41,1041223.26908
2020-11-25,4.0347,4.1088,3.5805,3.7001,4.0459,4.1088,3.5805,3.7001,10457,4741,5716,375383.25,1460163.138057,149850.54,583843.048358,225532.71,876320.089699
2020-11-26,3.7001,3.7529,2.9736,3.2639,3.7,3.7529,2.9736,3.2639,11266,5537,5729,692677.42,2222128.152434,340886.56,1094081.082011,351790.86,1128047.070423
2020-11-27,3.2639,3.3663,3.03,3.1438,3.2639,3.3663,3.03,3.1438,5157,2421,2736,317582.13,998767.337336,153173.57,481657.453817,164408.56,517109.883519
2020-11-28,3.1438,3.3733,3.117,3.2615,3.1438,3.3733,3.117,3.2615,6665,3412,3253,545366.17,1772722.899855,272758.91,885627.180433,272607.26,887095.719422
2020-11-29,3.2615,3.3223,3.1546,3.284,3.2614,3.3223,3.1546,3.284,2570,1194,1376,100288.34,325616.106889,45086.24,146473.044398,55202.1,179143.062491
2020-11-30,3.284,3.4599,3.2232,3.4332,3.2882,3.4599,3.2232,3.4332,4511,2141,2370,249794.02,834021.418971,117806.5,393342.934731,131987.52,440678.48424
2020-12-01,3.4332,3.6588,3.0962,3.3131,3.4271,3.6588,3.0962,3.3131,10470,5091,5379,667887.62,2293225.13596,305390.85,1049262.326326,362496.77,1243962.809634
2020-12-02,3.3131,3.4995,3.26,3.4271,3.3112,3.4995,3.26,3.4271,7682,3882,3800,349868.42,1181048.96396,177515.81,599801.419497,172352.61,581247.544463
2020-12-03,3.4271,3.4814,3.3257,3.37,3.4297,3.4814,3.3257,3.37,4363,2117,2246,137296.58,466742.12673,66548.92,226604.542356,70747.66,240137.584374
2020-12-04,3.37,3.4462,3.1519,3.19,3.3769,3.4462,3.1519,3.19,4951,2434,2517,166113.21,549765.886361,77169.44,255741.152336,88943.77,294024.734025
2020-12-05,3.19,3.2851,3.1536,3.2851,3.1891,3.2851,3.1536,3.2851,2489,1224,1265,82502.64,265331.475773,40578.69,130645.265411,41923.95,134686.210362
2020-12-06,3.2851,3.65,3.2119,3.4583,3.28,3.65,3.2119,3.4583,9581,5052,4529,386245.1,1315810.297328,199421.08,680683.489252,186824.02,635126.808076
2020-12-07,3.4583,3.4977,3.3004,3.3899,3.4611,3.4977,3.3004,3.3899,7505,3450,4055,268446.28,908822.290293,121032.74,409871.255958,147413.54,498951.034335
2020-12-08,3.3899,3.4367,3.0673,3.0833,3.3899,3.4367,3.0673,3.0833,5899,2506,3393,205231.83,660296.887509,84860.91,272766.496208,120370.92,387530.391301
2020-12-09,3.0833,3.179,3.02,3.0626,3.0821,3.179,3.02,3.0626,8315,3533,4782,358590.22,1105453.790089,160688.99,496167.881306,197901.23,609285.908783
2020-12-10,3.0626,3.096,2.9502,3.0278,3.0621,3.096,2.9502,3.0278,5051,2071,2980,170232.24,516686.569253,78133.13,237601.814945,92099.11,279084.754308
2020-12-11,3.0278,3.0388,2.82,2.9039,3.0313,3.0388,2.82,2.9039,4035,1867,2168,160022.73,463965.357335,76166.7,220950.746263,83856.03,243014.611072
2020-12-12,2.9039,3.0112,2.9039,2.9623,2.9064,3.0112,2.9062,2.9623,2585,1285,1300,83623.89,248499.900602,41630.42,123784.127068,41993.47,124715.773534
2020-12-13,2.9623,3.0768,2.9623,3.0039,2.9623,3.0768,2.9623,3.0039,3376,1260,2116,101383.11,306668.909233,35823.57,108316.632367,65559.54,198352.276866
2020-12-14,3.0039,3.02,2.895,2.9581,3.0038,3.02,2.895,2.9581,3018,1454,1564,111748.44,329729.567942,52963.07,156217.508527,58785.37,173512.059415
2020-12-15,2.9581,3.15,2.9405,3.068,2.9692,3.15,2.9405,3.068,7734,4196,3538,299548.64,914393.757291,156023.25,476531.284045,143525.39,437862.473246
2020-12-16,3.068,3.1542,3.0286,3.1203,3.0696,3.1542,3.0286,3.1203,8206,4420,3786,251175.18,779336.274049,123608.01,383716.222663,127567.17,395620.051386
2020-12-17,3.1203,3.255,3.0255,3.115,3.1248,3.255,3.0255,3.115,10576,5581,4995,368299.5,1154588.051811,187053.39,587166.766488,181246.11,567421.285323
2020-12-18,3.115,3.2008,3.0815,3.1378,3.1141,3.2008,3.0815,3.1378,6991,3997,2994,161998.69,510355.07228,97677.3,307964.086527,64321.39,202390.985753
2020-12-19,3.1378,3.2729,3.1198,3.2005,3.1378,3.2729,3.1198,3.2005,7975,4349,3626,265309.68,847988.014847,139335.48,445137.165898,125974.2,402850.848949
2020-12-20,3.2005,3.2047,3.0403,3.1075,3.2014,3.2047,3.0403,3.1075,6715,3456,3259,199836.03,625375.923479,102656.31,321493.572577,97179.72,303882.350902
2020-12-21,3.1075,3.1075,2.8163,2.8652,3.1009,3.1042,2.8163,2.8652,3888,1382,2506,154146.45,452490.49981,50545.54,147709.687042,103600.91,304780.812768
2020-12-22,2.8652,2.97,2.8163,2.925,2.8711,2.97,2.8163,2.925,4592,2406,2186,161453.65,470455.752668,78604.38,229344.730216,82849.27,241111.022452
2020-12-23,2.925,2.9552,2.6083,2.6634,2.92,2.9552,2.6083,2.6634,6257,3664,2593,217224.15,608306.821154,112102.52,315393.218772,105121.63,292913.602382
2020-12-24,2.6634,2.7951,2.6448,2.7951,2.6597,2.7951,2.6448,2.7951,4501,2857,1644,175456.99,475918.34634,109782.02,297878.950791,65674.97,178039.395549
2020-12-25,2.7951,2.908,2.7809,2.8655,2.7911,2.908,2.7809,2.8655,4268,2799,1469,156178.09,446461.325676,97534.37,278864.279668,58643.72,167597.046008
2020-12-26,2.8655,2.9079,2.823,2.8733,2.8663,2.9079,2.823,2.8733,4788,2860,1928,117230.21,334991.813196,73840.83,211266.650257,43389.38,123725.162939
2020-12-27,2.8733,3.0,2.7549,2.8976,2.88,3.0,2.7549,2.8976,7530,4190,3340,264874.68,764948.793773,141128.22,408326.669727,123746.46,356622.124046
2020-12-28,2.8976,3.0811,2.8841,2.9775,2.892,3.0811,2.8841,2.9775,10234,5558,4676,343533.6,1039107.080489,190073.79,575351.554337,153459.81,463755.526152
2020-12-29,2.9775,3.0132,2.9013,2.9819,2.9776,3.0132,2.9013,2.9819,6605,3882,2723,167313.97,494984.57816,98909.1,292906.777463,68404.87,202077.800697
2020-12-30,2.9819,3.1043,2.9238,3.0247,2.99,3.1043,2.9238,3.0247,7174,4131,3043,168189.55,505415.532196,101569.74,305564.862667,66619.81,199850.669529
2020-12-31,3.0247,3.065,2.9772,3.0563,3.03,3.065,2.9772,3.0563,7134,4047,3087,152702.24,460861.129909,92873.48,280470.039936,59828.76,180391.089973
2021-01-01,3.0563,3.2503,3.0468,3.2205,3.0468,3.2503,3.0468,3.2205,11055,5906,5149,343879.24,1092973.398869,172544.08,547646.703835,171335.16,545326.695034
2021-01-02,3.2205,3.2253,3.0003,3.1085,3.2199,3.2253,3.0003,3.1085,7614,4122,3492,194395.43,607870.885386,113048.09,353446.811468,81347.34,254424.073918
2021-01-03,3.1085,3.2103,2.96,3.0597,3.1104,3.2103,2.96,3.0597,9408,5215,4193,356059.18,1104047.244348,181834.16,565563.485406,174225.02,538483.758942
2021-01-04,3.0597,3.4338,3.0575,3.3395,3.0597,3.4338,3.0575,3.3395,13021,7317,5704,577711.28,1872176.383613,331099.17,1074551.355014,246612.11,797625.028599
2021-01-05,3.3395,3.4223,3.1789,3.3004,3.3388,3.4223,3.1789,3.3004,10469,5660,4809,393143.89,1296175.152854,205329.0,676636.168801,187814.89,619538.984053
2021-01-06,3.3004,3.6,3.2893,3.4719,3.3034,3.6,3.2893,3.4719,11898,6361,5537,426940.68,1465272.693911,236188.9,811672.193942,190751.78,653600.499969
2021-01-07,3.4719,3.8377,3.3,3.4707,3.4719,3.8377,3.3,3.4707,18094,9591,8503,741165.13,2658152.472197,384003.6,1375158.460837,357161.53,1282994.01136
2021-01-08,3.4707,3.5967,3.0991,3.2971,3.4711,3.5967,3.0991,3.2971,11844,6468,5376,412260.32,1384775.452844,222472.85,747099.46328,189787.47,637675.989564
2021-01-09,3.2971,3.6824,3.1999,3.4863,3.2946,3.6824,3.1999,3.4863,16888,9116,7772,770208.35,2622395.15497,401361.26,1368109.01052,368847.09,1254286.14445
