,LTC,Lag
COOL,0.0577435684306159,29
POT,0.0582409770737021,3
BLAZR,0.0608162743930346,3
CREVA,0.0625075987902171,10
KURT,0.0669230386654936,30
AE,0.0691858137746246,30
AXIOM,0.0695428291602987,30
CLAM,0.0699034727464356,2
CKC,0.0703703007767127,30
BTCS,0.0714044943875649,25
CF,0.0719612104658633,2
LDOGE,0.0785647333238599,22
NXT,0.0787897578394253,1
NEWB,0.0818531721038679,28
CLUB,0.086814615812059,26
QTZ,0.0879389108476949,1
ZENI,0.0904327287574488,5
GLC,0.0907658438802111,1
EQB,0.0975809396681295,19
NVC,0.1015583591555849,2
BAT,0.1029249985059694,1
ILC,0.1033239332963829,21
AV,0.1099590535868353,28
FTC,0.1165252306093208,1
BS,0.117939763316457,1
EFL,0.1179641998231386,26
BSTY,0.1238658799543084,11
BERN,0.1254356170368315,9
INF,0.1287601273472517,1
XPX,0.1287657562299308,5
VERI,0.1292865945484503,4
XCP,0.1329773223826208,3
SNRG,0.1338928747840689,19
42,0.1410819101826276,1
NAV,0.143048459083134,6
LOG,0.1432736482740766,3
ANT,0.1498185255649477,9
SANDG,0.1508801106709962,1
CYT,0.1528684137985863,3
WINGS,0.1533487383153694,1
GBYTE,0.1572259241889128,6
LUNC,0.1646700001759961,5
ADZ,0.1685123551699655,20
HVCO,0.1774537452999125,2
PUT,0.1823445605917897,8
XDN,0.185845525031479,3
DGB,0.1898673027844724,28
ZER,0.193620499789951,1
KIN,0.2047080623625885,12
LBC,0.2076835264456186,14
SXC,0.2088707489085514,12
AGRS,0.2183490467973022,11
TES,0.2464532774920899,1
XST,0.2698511860186942,30
RBIES,0.2703851717957395,4
SWT,0.2930921358897877,4
PIE,0.3010012688644903,1
SIGNA,0.344490494799276,17
XQN,0.3488308515239992,5
HMQ,0.3532372994240471,1
XPM,0.3537344321860294,25
EDRC,0.368520305111974,12
ICOB,0.373593382109166,6
SLS,0.3768617741346187,30
RDD,0.3854833075027949,1
NEVA,0.4013888045091426,2
CLOAK,0.4170428413327203,1
CRW,0.4334485826510509,3
SIB,0.451306683915086,6
PAK,0.4519016183719395,28
RBY,0.4534925251131165,1
PTOY,0.4616067059129058,1
OK,0.4688499281854859,2
XPTX,0.4765240329925611,4
BRIT,0.4871694601167622,3
CANN,0.4922986183362388,8
XBY,0.5015035973744151,21
LOOK,0.5396940696381035,30
BTA,0.5798755149832855,2
BOLI,0.5874911392334465,1
LUN,0.5906417851663421,4
DGC,0.5979931154786376,1
SONG,0.6181346702727466,2
HUSH,0.6310545159555063,3
PASC,0.6488743427535104,20
LANA,0.6542895542349318,5
AMS,0.7203314605040998,29
HBN,0.7281538216260582,1
BIS,0.7330749894989179,1
XBC,0.749118204928837,4
IXC,0.8077726921156729,1
GCC,0.8176020928761176,3
HNC,0.8304625702957749,2
