TIMESTAMP,ALF32066_OPEN_PRICE_USD,ALF32066_HIGH_PRICE_USD,ALF32066_LOW_PRICE_USD,ALF32066_CLOSE_PRICE_USD,ALF32066_VOLUME_USD,ALF32066_DIVIDENDS_USD,ALF32066_STOCK_SPLITS_USD
2024-10-10 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,4938,0.0,0.0
2024-10-11 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,8885,0.0,0.0
2024-10-12 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,5436,0.0,0.0
2024-10-13 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,4779,0.0,0.0
2024-10-14 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,21024,0.0,0.0
2024-10-15 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,19840,0.0,0.0
2024-10-16 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,18266,0.0,0.0
2024-10-17 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,8190,0.0,0.0
2024-10-18 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,13263,0.0,0.0
2024-10-19 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,4636,0.0,0.0
2024-10-20 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,6252,0.0,0.0
2024-10-21 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,10592,0.0,0.0
2024-10-22 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,8655,0.0,0.0
2024-10-23 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,14743,0.0,0.0
2024-10-24 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,4087,0.0,0.0
2024-10-25 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4958,0.0,0.0
2024-10-26 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,9045,0.0,0.0
2024-10-27 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,27484,0.0,0.0
2024-10-28 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,31437,0.0,0.0
2024-10-29 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,80804,0.0,0.0
2024-10-30 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,8592,0.0,0.0
2024-10-31 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06,24831,0.0,0.0
2024-11-01 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,7376,0.0,0.0
2024-11-02 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,5962,0.0,0.0
2024-11-03 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,6209,0.0,0.0
2024-11-04 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,13094,0.0,0.0
2024-11-05 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,11581,0.0,0.0
2024-11-06 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,5231,0.0,0.0
2024-11-07 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,18609,0.0,0.0
2024-11-08 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,9319,0.0,0.0
2024-11-09 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,26898,0.0,0.0
2024-11-10 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,40518,0.0,0.0
2024-11-11 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,17551,0.0,0.0
2024-11-12 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,17684,0.0,0.0
2024-11-13 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,10698,0.0,0.0
2024-11-14 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,29261,0.0,0.0
2024-11-15 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,4.999999873689376e-06,52424,0.0,0.0
2024-11-16 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,62160,0.0,0.0
2024-11-17 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,11806,0.0,0.0
