TIMESTAMP,PONGO35162_OPEN_PRICE_USD,PONGO35162_HIGH_PRICE_USD,PONGO35162_LOW_PRICE_USD,PONGO35162_CLOSE_PRICE_USD,PONGO35162_VOLUME_USD,PONGO35162_DIVIDENDS_USD,PONGO35162_STOCK_SPLITS_USD
2025-05-06 00:00:00+00:00,,,,0.0,101259,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,97457,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,109729,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,145694,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,114199,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,115571,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,106138,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,121918,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,102959,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,96296,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,97684,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,95092,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,92592,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,96491,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,94628,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,110588,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,87538,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,96539,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,97751,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,103555,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,97066,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,114493,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,94305,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,97399,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,97535,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,106258,0.0,0.0
2025-06-01 00:00:00+00:00,1.1503180630256793e-08,1.1604943672693935e-08,7.901643783725376e-09,9.401022182942143e-09,97806,0.0,0.0
