,LTC,Lag
VTC,0.0105661463122557,29
ZYD,0.0113942018196562,1
WDC,0.0116286589910984,30
LOOK,0.0117639796660792,21
EVIL,0.0129716580885536,30
GBYTE,0.0131032049859469,21
ARGUS,0.0151286596502883,12
SYS,0.0156652306355943,7
MAY,0.0165250399299036,20
CSC,0.016854649568476,30
XBC,0.0178184974616368,17
2GIVE,0.0179602193191963,4
LUNC,0.0185173894851532,1
DGB,0.0192164848691364,30
JLP,0.0192580535933342,1
PIVX,0.020005956645823,17
LDOGE,0.0220216545732854,10
BCN,0.0230629725942128,8
XMR,0.0248394396763952,29
XPY,0.0252629359456253,30
EFL,0.0262229472506992,9
CYT,0.0277956490385536,11
ZEN,0.0282405682610304,19
XPX,0.0285241476741822,6
BAT,0.0300028776926547,30
MST,0.0303420153004711,1
NEWB,0.0345521113193607,26
AMBER,0.0351568589996265,30
TAB,0.0360957753373347,14
NAV,0.0377564743775085,2
BOLI,0.0430209290216947,7
VIDZ,0.0431770371074235,1
NXS,0.0443230795021199,19
AV,0.0481003156749784,6
AMS,0.0499539289541916,1
MAID,0.0504255406250736,15
ZOOM,0.050785981724334,28
COOL,0.0511858396756681,1
XHI,0.0515986466831739,12
ILC,0.0544573764950249,18
IXC,0.0603270549981259,16
SILK,0.0614960612855493,2
AE,0.0624042483951744,22
AXIOM,0.0663395500513977,1
ZEC,0.0725749935540241,11
EQB,0.0736435827837777,4
CANN,0.0743803786298646,6
ACOIN,0.0750402637251431,2
ADZ,0.0805569292364095,24
ZCL,0.0834399407693369,1
LMC,0.0836464728071059,29
XPM,0.0839507762536079,14
BTCS,0.0851920199868298,25
ZENI,0.091763010535858,8
CLUB,0.0971547062267,25
IFC,0.0986126141449763,20
VAL,0.1035396196412019,13
WINGS,0.1036525829098364,3
TES,0.1045694713499274,1
ARK,0.1063898420590874,4
MCN,0.1079152510660158,9
SXC,0.1087024608509932,15
XDN,0.1106346264240876,1
ETH,0.1184002422696617,29
LAMB,0.1275792175657716,11
SHND,0.1289058189188359,30
NVC,0.1413130833669744,2
PLU,0.1539366602827635,1
SANDG,0.155156064216628,27
PZM,0.161575728119811,7
SNRG,0.1642372705370945,3
KURT,0.1894518784447852,24
XRP,0.1902703022921664,30
BTA,0.1998630422438538,1
XST,0.2040045925821964,30
LSK,0.2061057584584493,7
CLAM,0.2247074682150004,13
BTS,0.2567675429683478,29
RBIES,0.2590236093202667,5
FTC,0.2708430670064761,1
HMQ,0.2744286530798376,22
CF,0.2849903473940486,1
PIE,0.2867313676873824,12
XPTX,0.2893032043551569,9
QTZ,0.2941508761105637,17
CRW,0.297032725323221,18
LANA,0.3207726608748652,1
FIRO,0.3291141896344243,2
AGRS,0.3300694676474253,1
SLS,0.331992815561182,28
BLAZR,0.3461514983763154,1
BS,0.3468012854921309,1
DGC,0.3585384107502831,1
NETKO,0.3637186095504587,30
NEVA,0.3747310026614839,8
RBY,0.3908962683812473,30
POT,0.3926913885541657,3
FOREX,0.3947671234965558,19
XCP,0.3969475906865015,2
LOG,0.4022810244821697,3
PAK,0.4069158543541923,12
HBN,0.4143155091595724,2
PASC,0.4231775380059864,1
SONG,0.4247502566849345,1
LUN,0.4343182612874264,30
XWC,0.4438071441696198,1
BLK,0.462501687257388,4
CKC,0.4812224202973196,1
BRIT,0.4849022131142182,4
XBY,0.4900322761403394,22
HUSH,0.4959494371476669,1
XQN,0.5135613063021164,1
MNTC,0.5194684640329625,2
SIB,0.5234746868888245,1
ZER,0.5288927530194183,30
GCC,0.5400594183760463,1
RDD,0.5574314284034323,2
OK,0.5580475281524659,23
PPC,0.6422788000894979,14
NYC,0.6922237735420056,9
HNC,0.7149899280372394,1
CLOAK,0.7479839935092065,1
VERI,0.815507193830369,12
INF,0.8156987769611557,1
BSTY,0.8248678578791753,2
CETI,0.844607338293351,7
42,0.8599981460308976,1
BIS,0.9832131408170424,4
