,XRP,Lag
PXC,0.0140345564859942,25
ANT,0.0148181152511338,20
XHI,0.0153735645953135,21
AV,0.015569502650451,28
QBC,0.0226413688781797,5
EVIL,0.0239743273010449,6
JLP,0.0274841020129708,25
NMC,0.0321759334354103,30
XDN,0.034555280666224,14
SNRG,0.0398266158517281,3
PKB,0.0399619476439882,30
CYT,0.0435573282955683,2
RLC,0.0471398179743967,12
BOLI,0.0496517814259409,25
DCT,0.0519173272412046,3
SILK,0.0692207598348197,3
VERI,0.0706364993833953,15
XQN,0.0770602794992317,10
CKC,0.0799275807289436,30
BLAZR,0.0828608233935028,4
XPX,0.0956373911011565,4
KURT,0.0967441353387184,1
EDRC,0.0970911089074275,28
AMS,0.0984886385112392,10
SANDG,0.1001422356791632,10
PUT,0.1002103456648772,22
FIRO,0.1027342164524897,30
2GIVE,0.1120662765197333,25
AXIOM,0.1162511308609676,1
ZOOM,0.1225602512834667,28
RBY,0.123594670654496,1
BCN,0.1243017753592342,1
IOTA,0.1265072128408275,15
CLUB,0.1367969510614078,27
PLU,0.137647886212846,9
CARBON,0.1410375816973436,1
KIN,0.1419913615327101,1
ICOB,0.1450303739355261,3
ALIAS,0.1479575384684397,27
ZYD,0.1568794852005529,16
MST,0.1626874330132264,1
SKR,0.1755625367360092,26
NEVA,0.1760124980738466,2
LMC,0.1835765949582404,1
PTOY,0.1844377173870935,2
QTZ,0.1960979685127621,1
LAMB,0.2090349527568564,10
ILC,0.2131301337486446,1
ACOIN,0.2193670433177417,9
NXT,0.2200611165514564,1
XWC,0.2211543337730808,1
BTCS,0.230437073130399,30
GLC,0.2379794901022767,1
TAB,0.2444652896111045,24
SLS,0.2546260114767641,2
XPTX,0.2633709738072187,1
IXC,0.2733868490626818,1
PIE,0.2836012423487396,1
NEWB,0.2912711013168361,29
FOREX,0.2938967713914103,30
WINGS,0.3016206036544814,9
POT,0.3056318449057369,1
LOG,0.3099160991767193,3
CRW,0.3116924711431718,25
NXS,0.3129620395429187,5
CF,0.3269046163283625,4
SIGNA,0.328814198776353,26
HVCO,0.3297563353568231,24
PAK,0.3581392538749255,1
MCN,0.3682666487082126,29
ADC,0.3798787002038904,2
CANN,0.3852190571045651,15
ZENI,0.4095425545783788,5
XCP,0.4425059314109612,21
MAY,0.4509429144421275,1
BS,0.4628574946730611,1
AMBER,0.4886278493502842,7
ARGUS,0.4940566195413134,2
CLOAK,0.5134403483069017,2
BSTY,0.5169604495111371,11
HBN,0.5234978246541784,1
DCY,0.5279315691198845,23
XPM,0.5439510195459873,1
BIS,0.5534078682878745,28
CLAM,0.5778237088680325,1
ZER,0.5853632959777284,1
XST,0.5934621813414498,30
GCC,0.6350754001199592,1
42,0.6525303167273019,29
HMQ,0.6569910422982809,2
CNT,0.6638913965252138,1
TES,0.6825778512699219,1
HNC,0.6962549615553013,1
RBIES,0.697287297157947,4
OK,0.6982062728039702,1
XBY,0.699698970107311,29
LUN,0.7005495870001115,4
SONG,0.7308047062658416,1
BRIT,0.7308633886975298,1
RDD,0.736122490923059,1
FRC,0.7614054566864069,15
SIB,0.7869498571911424,2
XBC,0.787787227796783,14
SWIFT,0.8083240441299219,16
LUNC,0.8572806812756889,3
INF,0.8780491904666379,1
DGC,0.902787395579195,16
PASC,0.9561972835766184,2
BTA,0.9593074989319686,1
LOOK,0.9799044523773746,2
