TIMESTAMP,TIFI_OPEN_PRICE_USD,TIFI_HIGH_PRICE_USD,TIFI_LOW_PRICE_USD,TIFI_CLOSE_PRICE_USD,TIFI_VOLUME_USD,TIFI_DIVIDENDS_USD,TIFI_STOCK_SPLITS_USD
2023-08-25 00:00:00+00:00,,,,0.0,18210,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,18056,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,14424,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,17805,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,17419,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,14104,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,14305,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,14636,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,15753,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,13690,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,20270,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,23014,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,21274,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,22600,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,22891,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,21160,0.0,0.0
2023-09-10 00:00:00+00:00,,,,0.0,15981,0.0,0.0
2023-09-11 00:00:00+00:00,,,,0.0,26005,0.0,0.0
2023-09-12 00:00:00+00:00,,,,0.0,23964,0.0,0.0
2023-09-13 00:00:00+00:00,,,,0.0,23745,0.0,0.0
2023-09-14 00:00:00+00:00,,,,0.0,21885,0.0,0.0
2023-09-15 00:00:00+00:00,,,,0.0,22222,0.0,0.0
2023-09-16 00:00:00+00:00,,,,0.0,40995,0.0,0.0
2023-09-17 00:00:00+00:00,,,,0.0,28100,0.0,0.0
2023-09-18 00:00:00+00:00,,,,0.0,245768,0.0,0.0
2023-09-19 00:00:00+00:00,,,,0.0,50189,0.0,0.0
2023-09-20 00:00:00+00:00,,,,0.0,80494,0.0,0.0
2023-09-21 00:00:00+00:00,,,,0.0,41884,0.0,0.0
2023-09-22 00:00:00+00:00,,,,0.0,24673,0.0,0.0
2023-09-23 00:00:00+00:00,,,,0.0,48580,0.0,0.0
2023-09-24 00:00:00+00:00,,,,0.0,129602,0.0,0.0
2023-09-25 00:00:00+00:00,,,,0.0,52564,0.0,0.0
2023-09-26 00:00:00+00:00,,,,0.0,44745,0.0,0.0
2023-09-27 00:00:00+00:00,,,,0.0,108452,0.0,0.0
2023-09-28 00:00:00+00:00,,,,0.0,187076,0.0,0.0
2023-09-29 00:00:00+00:00,,,,0.0,137476,0.0,0.0
2023-09-30 00:00:00+00:00,,,,0.0,163083,0.0,0.0
2023-10-01 00:00:00+00:00,,,,0.0,72408,0.0,0.0
2023-10-02 00:00:00+00:00,,,,0.0,63910,0.0,0.0
2023-10-03 00:00:00+00:00,,,,0.0,79626,0.0,0.0
2023-10-04 00:00:00+00:00,,,,0.0,86147,0.0,0.0
2023-10-05 00:00:00+00:00,,,,0.0,38481,0.0,0.0
2023-10-06 00:00:00+00:00,,,,0.0,151806,0.0,0.0
2023-10-07 00:00:00+00:00,,,,0.0,88613,0.0,0.0
2023-10-08 00:00:00+00:00,,,,0.0,93125,0.0,0.0
