,close,labels
128,55773.1,53785.22
129,54140.336,53951.43
130,54285.633,54949.72
131,55302.684,54659.0
132,54964.668,57471.35
133,57881.395,55996.93
134,56292.45,57367.0
135,57700.605,57347.94
136,57645.027,61672.42
137,62136.92,60875.57
138,61266.535,61528.33
139,61917.25,62009.84
140,62384.723,64280.59
141,64729.945,66001.41
142,66498.19,62193.15
143,62428.707,60688.22
144,60810.207,61286.75
145,61416.816,60852.22
146,60940.516,63078.78
147,63261.67,60328.81
148,60340.242,58413.44
149,58310.723,60575.89
150,60583.395,62253.71
151,62342.13,61859.19
152,61916.234,61299.8
153,61336.926,60911.11
154,60915.348,63219.99
155,63386.625,62896.48
156,63014.918,61395.01
157,61384.273,60937.12
158,60893.336,61470.61
159,61474.875,63273.59
160,63406.043,67525.83
161,67900.125,66947.66
162,67255.09,64882.43
163,64992.688,64774.26
164,64865.824,64122.23
165,64155.57,64380.0
166,64430.984,65519.1
167,65643.63,63606.74
168,63574.45,60058.87
169,59760.63,60344.87
170,60121.27,56891.62
171,56435.625,58052.24
172,57755.594,59707.51
173,59575.6,58622.02
174,58428.16,56247.18
175,55902.22,57541.27
176,57339.664,57138.29
177,56932.39,58960.36
178,58913.71,53726.53
179,53269.81,54721.03
180,54412.535,57274.88
181,57188.125,57776.25
182,57743.492,56950.56
183,56859.906,57184.07
184,57128.715,56480.34
185,56337.15,53601.05
186,53144.28,49152.47
187,48295.465,49396.33
188,48835.695,50441.92
189,50154.562,50588.95
190,50363.492,50471.19
191,50254.008,47545.59
192,47005.69,47140.54
193,46691.082,49389.99
194,49311.883,50053.9
195,50032.05,46702.75
196,46247.062,48343.28
197,48201.715,48864.98
198,48796.2,47632.38
199,47407.285,46131.2
200,45772.977,46834.48
201,46654.387,46681.23
202,46509.87,46914.16
203,46795.37,48889.88
204,49017.26,48588.16
205,48611.34,50838.81
206,51103.047,50820.0
207,50979.785,50399.66
208,50449.543,50775.49
209,50856.656,50701.44
210,50747.234,47543.74
211,47198.805,46464.66
212,46108.297,47120.87
213,46956.758,46216.93
214,46007.527,47722.65
215,47659.45,47286.18
216,47188.02,46446.1
217,46291.08,45832.01
218,45648.844,43451.13
219,43104.63,43082.31
220,42763.96,41566.48
221,41175.86,41679.74
222,41359.574,41864.62
223,41602.887,41822.49
224,41589.117,42729.29
225,42593.99,43902.66
226,43868.242,42560.11
227,42413.652,43059.96
228,42970.895,43084.29
229,43004.844,43071.66
230,42998.387,42201.62
231,42066.457,42352.12
232,42247.87,41660.01
233,41513.23,40680.91
234,40476.97,36445.31
235,35931.06,35071.42
236,34538.977,36244.55
237,35893.56,36660.35
238,36388.496,36958.32
239,36741.402,36809.34
240,36604.29,37160.1
241,37007.035,37716.56
242,37622.387,38166.84
243,38113.35,37881.76
244,37806.664,38466.9
245,38473.414,38694.59
246,38720.75,36896.36
247,36828.355,37311.61
248,37271.812,41574.25
249,41749.832,41382.59
250,41551.43,42380.87
251,42594.332,43839.99
252,44114.37,44042.99
253,44310.91,44372.72
254,44636.36,43495.44
255,43689.1,42373.73
256,42484.363,42217.87
257,42303.516,42053.66
258,42117.754,42535.94
259,42616.26,44544.86
260,44718.93,43873.56
261,44003.816,40515.7
262,40436.61,39974.44
263,39867.246,40079.17
264,39984.97,38386.89
265,38210.35,37008.16
266,36769.535,38230.33
267,38075.95,37250.01
268,37063.277,38327.21
269,38218.418,39219.17
270,39176.543,39116.72
271,39083.426,37699.07
272,37598.742,43160.0
273,43180.457,44421.2
274,44598.523,43892.98
275,44104.56,42454.0
276,42602.95,39148.66
277,39137.062,39397.96
278,39319.9,38420.81
279,38312.82,37988.0
280,37868.05,38730.63
281,38634.395,41941.71
282,41938.316,39422.0
283,39417.895,38729.57
284,38696.1,38807.36
285,38773.586,37777.34
286,37722.344,39671.37
287,39647.953,39280.33
288,39293.836,41114.0
289,41177.934,40917.9
290,41016.926,41757.51
291,41883.082,42201.13
292,42352.824,41262.11
293,41381.508,41002.25
294,41084.01,42364.13
295,42454.266,42882.76
296,43004.016,43991.46
297,44142.473,44313.16
298,44483.96,44511.27
299,44678.37,46827.76
300,47024.227,47122.21
301,47353.14,47434.8
302,47666.65,47067.99
303,47261.12,45510.34
304,45624.996,46283.49
305,46429.332,45811.0
306,45920.184,46407.35
307,46542.21,46580.51
308,46715.54,45497.55
309,45562.855,43170.47
310,43100.055,43444.19
311,43410.55,42252.01
312,42169.992,42753.97
313,42724.78,42158.85
314,42116.97,39530.45
315,39357.832,40074.94
316,39974.125,41147.79
317,41135.938,39942.38
318,39888.582,40551.9
319,40553.86,40378.71
320,40389.07,39678.12
321,39662.875,40801.13
322,40859.06,41493.18
323,41595.93,41358.19
324,41454.09,40480.01
325,40522.637,39709.18
326,39709.88,39441.6
327,39432.723,39450.13
328,39449.902,40426.08
329,40484.023,38112.65
330,38040.613,39235.72
331,39241.355,39742.07
332,39786.586,38596.11
333,38584.723,37630.8
334,37527.492,38468.35
335,38357.695,38525.16
336,38452.47,37728.95
337,37654.887,39690.0
338,39638.242,36552.97
339,36434.0,36013.77
340,35857.336,35472.39
341,35301.066,34038.4
342,33838.996,30076.31
343,29701.314,31017.1
344,30622.566,29103.94
345,28731.924,29029.75
346,28659.541,29287.05
347,28963.504,30086.74
348,29833.53,31328.89
349,31162.436,29874.01
350,29739.107,30444.93
351,30303.568,28715.32
352,28554.703,30319.23
353,30162.775,29201.01
354,29085.572,29445.06
355,29323.0,30293.94
356,30208.68,29109.15
357,29038.354,29654.58
358,29570.648,29542.15
359,29477.914,29201.35
360,29139.314,28629.8
361,28551.389,29031.33
362,28950.596,29468.1
363,29418.123,31734.22
364,31749.66,31801.04
