TIMESTAMP,SAFEMOONCASH_OPEN_PRICE_USD,SAFEMOONCASH_HIGH_PRICE_USD,SAFEMOONCASH_LOW_PRICE_USD,SAFEMOONCASH_CLOSE_PRICE_USD,SAFEMOONCASH_VOLUME_USD,SAFEMOONCASH_DIVIDENDS_USD,SAFEMOONCASH_STOCK_SPLITS_USD
2022-01-11 00:00:00+00:00,,,,0.0,3954,0.0,0.0
2022-01-12 00:00:00+00:00,,,,0.0,1959,0.0,0.0
2022-01-14 00:00:00+00:00,,,,0.0,747,0.0,0.0
2022-01-15 00:00:00+00:00,,,,0.0,935,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,4493,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,6062,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,3518,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,2383,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,1750,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,2233,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,1755,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,2096,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,1993,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,3084,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,3785,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,3440,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,2687,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,1384,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,1675,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,3618,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,3476,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,916,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,573,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,1489,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,1817,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,1090,0.0,0.0
