,LTC,Lag
BTCS,0.1805831729605904,1
RDD,0.19531888005245,5
BTB,0.1996885584874127,28
XST,0.2062496416921556,6
CLOAK,0.2130356381740697,1
PKB,0.2162174672179589,2
FOREX,0.2168400806796548,2
CANN,0.2241510938257148,6
PTOY,0.2448582562572243,4
HNC,0.2454279038258304,30
KURT,0.2481234556587905,28
POST,0.2492250663920543,29
ANT,0.2602430810082352,3
DGC,0.2621944268604349,2
SWIFT,0.2766115452989944,16
CLAM,0.2813976418484876,1
BSTY,0.2836937552335793,1
NEVA,0.2887039663594999,1
BIS,0.3050784042441405,1
VERI,0.3083996617762671,4
ZER,0.3089369907669922,6
BRIT,0.3089686792118445,3
XDN,0.3113037017664986,28
XBC,0.3173573805469199,1
SIB,0.3266004287788522,4
EDRC,0.340757800172537,17
DCT,0.3419895634911918,17
OZO,0.4014170920970449,1
CRW,0.4054122443085715,1
HBN,0.4181319707476036,1
FIRO,0.4201794927255384,1
LUNC,0.4260996805499998,30
SILK,0.4607457869606655,1
GCC,0.4629224830969557,4
PZM,0.4694912091082746,1
NVC,0.4870097411976914,7
PIE,0.4995502593663145,1
EQB,0.5097606848010503,1
IXC,0.5178958423080111,3
SWT,0.5227029338269853,2
MNTC,0.5382584134119763,3
HMQ,0.5416584089429111,1
MAID,0.5512278007896125,1
SLS,0.5657740763761965,1
NXS,0.5664234932725944,27
SONG,0.5795524188435208,1
POT,0.5888757833460728,2
XBY,0.6062738254123756,4
TECH,0.6350455708259303,8
CNT,0.6450014150616261,17
BTA,0.6808153385935116,1
TES,0.6902735725076095,16
PUT,0.6975409416079864,1
AMBER,0.7345380349034114,4
ILC,0.8232496662386308,24
OK,0.8323271177807532,6
PASC,0.8724098791200794,1
