TIMESTAMP,LTC_CLOSE_PRICE_USD,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD
2018-08-22,55.13,56.43,59.22,53.92
2018-08-23,57.29,55.15,57.77,54.87
2018-08-24,57.8,57.27,58.25,55.53
2018-08-25,57.89,57.81,58.31,56.99
2018-08-26,57.0,57.82,58.06,55.79
2018-08-27,60.61,57.0,61.03,56.56
2018-08-28,63.13,60.61,63.74,59.65
2018-08-29,61.41,63.08,63.34,60.24
2018-08-30,60.14,61.41,61.65,58.58
2018-08-31,62.11,60.24,62.69,59.56
2018-09-01,66.49,62.0,67.88,62.0
2018-09-02,66.24,66.39,67.3,64.17
2018-09-03,65.44,66.21,66.5,64.29
2018-09-04,67.64,65.37,69.43,65.37
2018-09-05,57.71,67.57,68.27,57.66
2018-09-06,57.61,57.68,57.89,54.13
2018-09-07,55.53,57.71,58.53,55.08
2018-09-08,53.07,55.61,57.21,52.01
2018-09-09,54.7,53.07,56.68,52.22
2018-09-10,54.37,54.79,56.36,53.06
2018-09-11,52.04,54.42,54.67,50.05
2018-09-12,51.66,52.04,52.07,47.28
2018-09-13,54.46,51.7,55.31,51.7
2018-09-14,56.27,54.5,58.9,52.88
2018-09-15,56.54,56.21,58.7,55.68
2018-09-16,56.74,56.22,57.49,54.59
2018-09-17,52.1,56.75,57.81,51.45
2018-09-18,53.94,52.13,55.47,50.51
2018-09-19,54.31,53.98,54.98,51.78
2018-09-20,56.54,54.34,57.31,53.37
2018-09-21,60.89,56.58,62.62,56.36
2018-09-22,60.61,60.96,61.88,58.01
2018-09-23,61.38,60.58,63.74,59.88
2018-09-24,58.04,61.39,61.48,57.05
2018-09-25,57.56,58.07,58.07,54.36
2018-09-26,57.21,57.66,59.84,56.46
2018-09-27,63.29,57.23,65.6,56.58
2018-09-28,61.92,63.26,65.0,60.34
2018-09-29,61.62,61.85,62.34,59.08
2018-09-30,61.22,61.61,62.91,59.98
2018-10-01,60.45,61.26,62.02,59.51
2018-10-02,59.47,60.45,61.75,59.28
2018-10-03,57.51,59.44,59.61,56.72
2018-10-04,58.46,57.6,59.39,57.43
2018-10-05,58.92,58.44,59.73,57.67
2018-10-06,57.96,58.95,59.15,57.03
2018-10-07,58.34,58.04,58.63,57.01
2018-10-08,59.66,58.39,60.22,57.69
2018-10-09,59.02,59.67,59.83,58.51
2018-10-10,58.42,59.03,59.18,57.37
2018-10-11,51.26,58.48,58.51,50.67
2018-10-12,53.72,51.39,54.17,50.87
2018-10-13,54.05,53.68,54.88,53.36
2018-10-14,52.61,54.05,54.4,52.25
2018-10-15,56.15,52.52,61.65,52.2
2018-10-16,55.54,56.1,57.16,54.73
2018-10-17,55.27,55.57,55.68,54.45
2018-10-18,53.53,55.29,55.76,53.01
2018-10-19,53.68,53.54,54.7,53.33
2018-10-20,54.33,53.69,54.5,53.3
2018-10-21,53.67,54.28,54.86,53.47
2018-10-22,53.12,53.64,54.16,52.78
2018-10-23,53.33,53.09,53.97,52.55
2018-10-24,53.11,53.33,53.87,53.0
2018-10-25,52.84,53.14,53.24,52.68
2018-10-26,52.68,52.8,53.5,52.23
2018-10-27,52.28,52.6,52.9,51.86
2018-10-28,52.07,52.27,52.5,51.7
2018-10-29,49.21,52.07,52.26,48.25
2018-10-30,49.34,49.21,49.9,49.06
2018-10-31,49.95,49.34,50.62,48.04
2018-11-01,50.6,49.93,50.79,49.79
2018-11-02,51.77,50.63,52.2,50.6
2018-11-03,51.04,51.76,51.8,50.64
2018-11-04,54.59,51.09,56.29,50.77
2018-11-05,53.91,54.65,55.15,53.12
2018-11-06,56.39,53.94,56.53,53.9
2018-11-07,54.47,56.47,56.81,53.52
2018-11-08,52.72,54.5,55.12,52.49
2018-11-09,52.25,52.72,53.13,51.71
2018-11-10,52.48,52.28,53.0,51.97
2018-11-11,51.48,52.45,52.57,49.9
2018-11-12,51.26,51.51,51.98,50.59
2018-11-13,50.43,51.26,51.66,49.67
2018-11-14,45.03,50.38,51.02,42.4
2018-11-15,44.78,45.18,45.55,41.14
2018-11-16,42.87,44.69,44.95,42.38
2018-11-17,42.43,42.89,42.93,41.93
2018-11-18,42.59,42.44,43.72,42.26
2018-11-19,37.14,42.61,42.61,36.01
2018-11-20,33.99,37.15,38.77,31.62
2018-11-21,35.14,33.75,35.28,32.24
2018-11-22,32.01,35.17,35.68,31.9
2018-11-23,32.76,32.04,33.7,31.1
2018-11-24,29.79,32.74,34.04,29.13
2018-11-25,31.53,29.72,32.79,27.76
2018-11-26,30.18,31.51,32.77,28.8
2018-11-27,31.6,30.14,32.09,29.19
2018-11-28,34.72,31.66,36.39,31.45
2018-11-29,33.88,34.74,35.75,33.21
2018-11-30,32.27,33.99,34.45,31.29
2018-12-01,34.22,32.14,35.09,31.39
2018-12-02,33.81,34.17,35.11,33.27
2018-12-03,30.93,33.84,33.88,30.13
2018-12-04,31.13,30.92,32.25,30.03
2018-12-05,29.21,31.15,31.4,29.17
2018-12-06,26.66,29.23,30.49,26.33
2018-12-07,24.94,26.71,26.82,22.35
2018-12-08,24.27,24.89,26.63,22.92
2018-12-09,25.37,24.29,26.64,24.24
2018-12-10,24.14,25.36,25.8,23.77
2018-12-11,23.4,24.15,24.58,23.0
2018-12-12,24.14,23.63,24.97,23.44
2018-12-13,23.08,24.13,24.27,22.94
2018-12-14,23.35,23.08,23.73,22.51
2018-12-15,23.6,23.31,24.06,23.12
2018-12-16,25.51,23.58,26.89,23.58
2018-12-17,28.96,25.54,30.3,25.46
2018-12-18,29.93,28.97,30.06,27.74
2018-12-19,28.82,29.92,31.46,28.61
2018-12-20,32.22,28.82,32.67,28.57
2018-12-21,30.29,32.11,32.84,29.61
2018-12-22,31.35,30.29,31.35,29.72
2018-12-23,32.97,31.33,33.7,31.1
2018-12-24,32.72,32.98,36.05,32.31
2018-12-25,30.49,32.71,32.73,29.43
2018-12-26,30.29,30.5,31.63,28.88
2018-12-27,27.52,30.3,30.8,27.19
2018-12-28,31.82,27.55,33.04,27.48
2018-12-29,30.09,31.78,32.76,30.09
2018-12-30,31.36,30.18,31.66,29.76
2018-12-31,29.88,31.4,31.43,29.45
2019-01-01,31.49,29.95,31.72,29.57
2019-01-02,32.68,31.47,33.28,31.18
2019-01-03,31.4,32.68,32.79,30.7
2019-01-04,31.78,31.41,32.51,30.78
2019-01-05,34.33,31.81,35.87,31.79
2019-01-06,38.37,34.33,39.5,33.98
2019-01-07,37.33,38.33,38.98,36.88
2019-01-08,38.68,37.36,40.61,37.23
2019-01-09,38.12,38.7,39.68,38.02
2019-01-10,32.8,38.16,38.75,31.57
2019-01-11,31.47,32.8,33.2,30.77
2019-01-12,31.66,31.39,32.09,31.15
2019-01-13,29.58,31.68,32.56,29.27
2019-01-14,31.69,29.55,32.37,29.44
2019-01-15,30.79,31.71,32.11,30.09
2019-01-16,31.22,30.71,31.85,30.49
2019-01-17,31.43,31.39,31.47,29.91
2019-01-18,30.76,31.41,31.47,30.34
2019-01-19,32.0,30.86,32.86,30.84
2019-01-20,30.59,31.92,33.03,30.26
2019-01-21,30.82,30.71,31.18,30.39
2019-01-22,31.41,30.82,31.91,29.58
2019-01-23,31.7,31.37,32.14,31.24
2019-01-24,32.48,31.7,33.04,31.04
2019-01-25,32.69,32.51,32.95,31.9
2019-01-26,32.8,32.68,33.85,32.59
2019-01-27,32.24,32.78,33.14,31.46
2019-01-28,30.92,32.17,32.52,30.03
2019-01-29,30.84,30.98,31.24,30.0
2019-01-30,31.68,30.78,31.96,30.51
2019-01-31,31.36,31.68,32.32,31.09
2019-02-01,32.62,31.44,33.6,30.75
2019-02-02,34.53,32.59,34.93,32.51
2019-02-03,33.43,34.59,34.87,32.87
2019-02-04,34.08,33.39,34.49,33.38
2019-02-05,34.31,34.06,34.53,33.64
2019-02-06,32.81,34.4,34.49,32.33
2019-02-07,33.23,32.78,33.61,32.75
2019-02-08,43.18,33.23,44.77,32.82
2019-02-09,44.68,43.03,46.51,42.1
2019-02-10,46.71,44.72,47.29,42.28
2019-02-11,42.9,46.84,46.84,41.99
2019-02-12,43.89,42.9,44.55,41.91
2019-02-13,41.6,43.94,44.61,40.7
2019-02-14,41.27,41.61,42.4,40.63
2019-02-15,42.58,41.25,44.39,41.21
2019-02-16,43.34,42.59,44.24,42.29
2019-02-17,43.93,43.32,44.98,42.63
2019-02-18,47.84,43.91,48.95,43.71
2019-02-19,47.17,47.82,48.97,46.63
2019-02-20,51.55,47.17,52.13,46.32
2019-02-21,48.89,51.48,51.59,47.88
2019-02-22,49.19,48.91,49.77,48.13
2019-02-23,51.4,49.27,51.85,48.03
2019-02-24,43.67,51.39,53.5,42.49
2019-02-25,45.4,43.74,46.78,43.63
2019-02-26,44.75,45.4,45.87,44.2
2019-02-27,45.12,44.73,45.5,42.63
2019-02-28,45.61,45.19,46.45,44.65
2019-03-01,47.05,45.66,48.89,45.6
2019-03-02,48.45,46.99,49.35,46.65
2019-03-03,47.87,48.53,49.02,47.28
2019-03-04,45.82,47.89,48.15,44.8
2019-03-05,52.54,45.8,54.0,45.39
2019-03-06,55.34,52.52,56.5,51.37
2019-03-07,56.73,55.45,58.82,54.1
2019-03-08,55.62,56.82,57.45,54.41
2019-03-09,57.87,55.55,59.33,55.44
2019-03-10,56.59,57.78,57.98,55.98
2019-03-11,54.82,56.61,57.35,54.09
2019-03-12,56.6,54.82,56.94,53.8
2019-03-13,55.28,56.62,56.83,54.38
2019-03-14,55.88,55.27,58.05,54.06
2019-03-15,58.52,55.95,59.06,55.94
2019-03-16,61.19,58.47,61.9,58.43
2019-03-17,60.5,61.2,61.3,59.7
2019-03-18,59.17,60.47,62.36,58.23
2019-03-19,59.53,59.16,59.86,58.39
2019-03-20,60.27,59.52,60.5,57.16
2019-03-21,58.54,60.35,60.59,57.1
2019-03-22,59.29,58.55,59.57,58.08
2019-03-23,60.86,59.24,61.56,58.94
2019-03-24,59.84,60.89,60.89,58.97
2019-03-25,59.0,59.81,60.58,58.26
2019-03-26,58.78,59.13,59.32,57.37
2019-03-27,61.52,58.76,61.75,58.58
2019-03-28,60.5,61.44,61.44,60.19
2019-03-29,61.39,60.47,61.66,60.17
2019-03-30,60.45,61.44,61.51,59.9
2019-03-31,60.49,60.52,60.72,59.86
2019-04-01,60.45,60.44,60.89,60.14
2019-04-02,76.68,60.45,78.21,60.16
2019-04-03,84.99,76.81,98.06,76.42
2019-04-04,84.7,85.0,89.37,80.41
2019-04-05,88.22,84.77,89.6,84.28
2019-04-06,92.2,88.19,97.43,85.19
2019-04-07,91.56,92.16,95.34,89.05
2019-04-08,88.57,91.47,93.62,85.38
2019-04-09,86.1,88.53,88.68,82.8
2019-04-10,88.1,86.07,90.91,85.98
2019-04-11,78.88,88.09,88.4,74.66
2019-04-12,78.47,78.92,80.42,75.0
2019-04-13,77.62,78.39,80.99,75.63
2019-04-14,83.25,77.56,83.4,76.1
2019-04-15,78.22,83.36,84.25,75.11
2019-04-16,80.33,78.03,81.36,77.2
2019-04-17,78.77,80.26,81.35,78.1
2019-04-18,81.65,78.77,83.21,78.74
2019-04-19,82.06,81.68,83.11,79.74
2019-04-20,81.14,82.11,82.62,79.6
2019-04-21,76.57,81.16,81.52,73.14
2019-04-22,76.42,76.66,77.47,74.94
2019-04-23,73.5,76.45,79.04,73.5
2019-04-24,72.88,73.59,74.68,70.2
2019-04-25,71.79,72.84,74.36,70.61
2019-04-26,73.82,71.78,76.28,70.46
2019-04-27,72.19,73.77,74.0,71.9
2019-04-28,69.91,72.32,72.65,69.12
2019-04-29,67.83,69.75,70.33,66.68
2019-04-30,74.19,68.01,74.64,67.97
2019-05-01,73.36,74.24,75.28,71.91
2019-05-02,73.72,73.37,74.38,72.76
2019-05-03,79.25,73.68,80.16,73.38
2019-05-04,77.77,79.26,82.57,74.84
2019-05-05,75.64,77.83,78.0,75.47
2019-05-06,74.88,75.7,76.82,71.75
2019-05-07,74.66,74.98,78.41,73.73
2019-05-08,74.4,74.62,75.28,72.48
2019-05-09,74.18,74.46,75.87,72.82
2019-05-10,77.11,74.19,79.42,72.68
2019-05-11,86.69,77.18,94.92,77.18
2019-05-12,84.66,86.08,93.79,83.16
2019-05-13,87.44,84.71,92.2,84.29
2019-05-14,91.15,87.41,93.44,86.83
2019-05-15,102.08,91.15,103.97,89.8
2019-05-16,95.39,101.87,107.02,91.01
2019-05-17,89.6,95.32,97.33,84.43
2019-05-18,86.55,89.81,90.43,85.23
2019-05-19,94.61,86.46,96.77,86.14
2019-05-20,91.08,94.47,94.47,87.4
2019-05-21,90.79,91.11,92.84,88.98
2019-05-22,87.73,90.74,91.91,86.0
2019-05-23,88.6,87.72,89.46,84.7
2019-05-24,100.5,88.72,103.46,88.01
2019-05-25,102.69,100.53,104.86,98.91
2019-05-26,111.14,102.6,113.96,98.8
2019-05-27,116.65,111.04,121.53,110.29
2019-05-28,114.74,116.49,118.0,111.34
2019-05-29,114.69,114.81,118.09,109.15
2019-05-30,107.77,115.05,120.13,102.55
2019-05-31,114.57,107.74,114.83,104.58
2019-06-01,112.43,114.58,116.16,111.03
2019-06-02,114.39,112.37,116.3,111.33
2019-06-03,106.05,114.43,116.08,105.15
2019-06-04,102.26,105.67,106.71,98.41
2019-06-05,103.66,102.31,105.11,100.12
2019-06-06,111.17,103.31,112.04,101.06
2019-06-07,116.82,111.58,120.76,109.59
2019-06-08,118.04,116.68,119.56,113.68
2019-06-09,114.69,118.13,118.9,111.58
2019-06-10,129.19,114.43,130.05,112.62
2019-06-11,135.68,129.19,138.53,125.31
2019-06-12,135.31,135.85,142.57,130.2
2019-06-13,130.62,135.32,136.3,128.14
2019-06-14,132.02,130.54,132.56,125.51
2019-06-15,137.53,132.1,139.3,132.1
2019-06-16,136.49,137.54,137.97,133.29
2019-06-17,133.76,136.52,136.74,131.82
2019-06-18,135.14,133.78,136.62,128.23
2019-06-19,136.28,135.22,139.42,133.65
2019-06-20,135.44,136.38,136.67,133.31
2019-06-21,138.31,135.49,140.98,135.49
2019-06-22,142.33,138.18,145.7,136.25
2019-06-23,137.51,142.2,143.28,136.42
2019-06-24,135.68,137.46,137.46,132.91
2019-06-25,136.29,135.85,138.59,130.23
2019-06-26,132.19,136.28,138.34,127.98
2019-06-27,115.99,132.07,133.24,112.1
2019-06-28,120.01,116.02,121.86,114.79
2019-06-29,133.89,119.85,136.61,116.5
2019-06-30,123.02,133.9,137.04,120.92
2019-07-01,123.16,123.42,126.92,113.85
2019-07-02,118.71,123.19,123.9,112.71
2019-07-03,121.6,118.75,123.11,117.2
2019-07-04,119.7,121.47,126.65,118.57
2019-07-05,118.35,119.54,120.88,116.35
2019-07-06,118.33,118.31,121.65,117.23
2019-07-07,119.48,118.28,120.27,117.02
2019-07-08,123.11,119.6,125.05,117.86
2019-07-09,119.2,122.96,124.05,117.71
2019-07-10,108.29,119.24,120.08,102.7
2019-07-11,103.02,108.24,108.24,95.5
2019-07-12,104.74,103.0,106.24,100.75
2019-07-13,101.14,104.94,104.99,97.84
2019-07-14,89.77,101.17,101.86,87.96
2019-07-15,90.39,89.72,92.61,84.66
2019-07-16,79.4,90.5,91.84,76.7
2019-07-17,89.92,79.68,94.21,77.06
2019-07-18,101.16,90.02,103.78,86.96
2019-07-19,98.23,100.82,101.12,95.13
2019-07-20,100.24,98.43,105.57,97.5
2019-07-21,99.6,100.23,101.38,96.56
2019-07-22,95.31,99.77,100.81,91.41
2019-07-23,90.26,95.31,95.31,88.77
2019-07-24,94.37,90.04,97.0,87.27
2019-07-25,93.18,94.28,96.55,91.87
2019-07-26,93.98,93.19,94.42,90.24
2019-07-27,88.86,93.92,95.8,87.28
2019-07-28,89.77,88.8,90.75,84.15
2019-07-29,90.45,90.03,91.84,87.86
2019-07-30,90.17,90.4,92.34,88.71
2019-07-31,98.76,90.11,99.88,89.89
2019-08-01,98.61,98.91,100.39,95.76
2019-08-02,94.75,98.65,98.74,92.56
2019-08-03,94.17,94.84,96.61,93.6
2019-08-04,92.61,94.06,94.72,90.63
2019-08-05,96.53,92.68,106.47,92.68
2019-08-06,93.01,96.36,99.16,91.14
2019-08-07,90.51,93.0,94.07,87.56
2019-08-08,90.19,90.64,91.7,88.11
2019-08-09,84.26,90.23,90.36,82.67
2019-08-10,85.46,84.48,87.48,82.65
2019-08-11,90.25,85.46,91.53,85.41
2019-08-12,85.79,89.89,89.89,85.5
2019-08-13,84.91,85.75,86.53,83.39
2019-08-14,75.79,84.77,86.26,75.02
2019-08-15,76.29,75.9,77.55,74.51
2019-08-16,74.67,76.22,76.35,72.47
2019-08-17,72.68,74.76,75.3,71.5
2019-08-18,76.31,72.65,77.95,71.41
2019-08-19,77.09,76.27,78.92,75.57
2019-08-20,75.04,77.18,77.26,73.53
