TIMESTAMP,XEM_OPEN_PRICE_USDT,XEM_HIGH_PRICE_USDT,XEM_LOW_PRICE_USDT,XEM_CLOSE_PRICE_USDT,XEM_FIRST_TRADE_PRICE_USDT,XEM_HIGH_TRADE_PRICE_USDT,XEM_LOW_TRADE_PRICE_USDT,XEM_LAST_TRADE_PRICE_USDT,XEM_TOTAL_TRADE_COUNT,XEM_TOTAL_TRADES_BUY,XEM_TOTAL_TRADES_SELL,XEM_VOLUME_USDT,XEM_QUOTE_VOLUME,XEM_VOLUME_BUY,XEM_QUOTE_VOLUME_BUY,XEM_VOLUME_SELL,XEM_QUOTE_VOLUME_SELL
2020-12-05,0.2418,0.28,0.2334,0.2609,0.2415,0.28,0.2334,0.2609,46587,23860,22727,50169224.05,13233223.029258,23902222.76,6310473.202731,26267001.29,6922749.826527
2020-12-06,0.2609,0.2625,0.2315,0.249,0.2612,0.2625,0.2315,0.249,24826,12270,12556,24353633.18,5974367.987074,10247152.8,2515261.019785,14106480.38,3459106.967289
2020-12-07,0.249,0.2575,0.2242,0.236,0.2484,0.2575,0.2242,0.236,20872,10642,10230,16903007.18,4009258.098988,8092663.42,1911894.260212,8810343.76,2097363.838776
2020-12-08,0.236,0.237,0.2052,0.2221,0.2364,0.237,0.2052,0.2221,30405,14939,15466,31222855.44,6834950.629644,15424011.9,3387531.071815,15798843.54,3447419.557829
2020-12-09,0.2221,0.231,0.186,0.217,0.2213,0.231,0.186,0.217,28700,14811,13889,32398983.55,6605469.892415,17068018.92,3477680.064434,15330964.63,3127789.827981
2020-12-10,0.217,0.2343,0.2093,0.2173,0.217,0.2343,0.2093,0.2173,21973,10634,11339,21142984.87,4686181.098561,8848014.25,1964525.788521,12294970.62,2721655.31004
2020-12-11,0.2173,0.2179,0.195,0.2042,0.2173,0.2179,0.195,0.2042,14878,7738,7140,19305547.82,3944549.999067,9091934.78,1861821.243698,10213613.04,2082728.755369
2020-12-12,0.2042,0.2655,0.2038,0.2641,0.2038,0.2655,0.2038,0.2641,62285,32509,29776,76495806.55,18701846.392214,39154465.02,9605894.726811,37341341.53,9095951.665403
2020-12-13,0.2641,0.2754,0.2489,0.255,0.264,0.2754,0.2489,0.255,38215,19330,18885,43712387.37,11395953.122456,20368327.35,5329198.000961,23344060.02,6066755.121495
2020-12-14,0.255,0.2616,0.2338,0.2486,0.255,0.2616,0.2338,0.2486,24037,11932,12105,25421960.41,6243743.762942,12319326.24,3029238.661933,13102634.17,3214505.101009
2020-12-15,0.2486,0.2549,0.2372,0.2465,0.2487,0.2549,0.2372,0.2465,15455,7788,7667,15231751.44,3743068.326307,6744531.97,1659864.301262,8487219.47,2083204.025045
2020-12-16,0.2465,0.2612,0.2344,0.257,0.2471,0.2612,0.2344,0.257,24386,12417,11969,26756605.96,6632368.633391,12383164.58,3082429.256146,14373441.38,3549939.377245
2020-12-17,0.257,0.2964,0.2472,0.2807,0.257,0.2964,0.2472,0.2807,46118,23277,22841,52578942.85,14247629.227955,26131712.26,7087049.940034,26447230.59,7160579.287921
2020-12-18,0.2807,0.3157,0.2659,0.3043,0.2799,0.3157,0.2659,0.3043,53259,27355,25904,61827005.05,18096138.68608,31106319.64,9152979.657959,30720685.41,8943159.028121
2020-12-19,0.3043,0.32,0.294,0.2977,0.3038,0.32,0.294,0.2977,41760,21016,20744,39502925.93,12068692.6124,17870188.63,5468618.005904,21632737.3,6600074.606496
2020-12-20,0.2977,0.3044,0.2745,0.29,0.2977,0.3044,0.2745,0.29,24178,11863,12315,21482918.75,6323672.637251,9685114.24,2853228.826161,11797804.51,3470443.81109
2020-12-21,0.29,0.3118,0.2598,0.2744,0.29,0.3118,0.2598,0.2744,33611,16608,17003,31980454.95,9000572.662454,14322736.27,4027542.302547,17657718.68,4973030.359907
2020-12-22,0.2744,0.2825,0.2562,0.2777,0.2745,0.2825,0.2562,0.2777,29835,15027,14808,27133649.59,7372502.401376,13410009.59,3648031.568963,13723640.0,3724470.832413
2020-12-23,0.2777,0.2996,0.196,0.2328,0.278,0.2996,0.196,0.2328,51797,25405,26392,56418545.63,14519933.001893,24919856.91,6470432.604583,31498688.72,8049500.39731
2020-12-24,0.2328,0.2646,0.191,0.2567,0.2328,0.2646,0.191,0.2567,73746,38318,35428,103502085.72,23073963.054893,52010570.42,11667716.33408,51491515.3,11406246.720813
2020-12-25,0.2567,0.2724,0.2352,0.2441,0.257,0.2724,0.2352,0.2441,35576,17409,18167,41885165.89,10576322.687319,19997072.72,5058617.930607,21888093.17,5517704.756712
2020-12-26,0.2441,0.2579,0.2317,0.2364,0.2449,0.2579,0.2317,0.2364,23766,11094,12672,24831698.03,6058458.086477,10330596.17,2522288.392815,14501101.86,3536169.693662
2020-12-27,0.2364,0.244,0.212,0.2356,0.2365,0.244,0.212,0.2356,33027,15759,17268,41781282.53,9649997.622971,18157297.48,4195226.692173,23623985.05,5454770.930798
2020-12-28,0.2356,0.2427,0.2282,0.23,0.2363,0.2427,0.2282,0.23,22440,10940,11500,23423988.51,5504087.199852,11042130.64,2594229.01763,12381857.87,2909858.182222
2020-12-29,0.23,0.2364,0.2081,0.2228,0.23,0.2364,0.2081,0.2228,26920,13408,13512,28842477.08,6397025.935106,14763813.21,3273887.572597,14078663.87,3123138.362509
2020-12-30,0.2228,0.2276,0.19,0.1954,0.223,0.2276,0.19,0.1954,27800,13710,14090,35792944.86,7417350.605366,16131350.49,3354009.732453,19661594.37,4063340.872913
2020-12-31,0.1954,0.2075,0.1747,0.2057,0.1957,0.2075,0.1747,0.2057,45394,22776,22618,60724653.09,11494136.638301,29115947.99,5518535.73921,31608705.1,5975600.899091
2021-01-01,0.2057,0.2461,0.2054,0.2217,0.2056,0.2461,0.2054,0.2217,54490,26920,27570,61958039.3,13978057.479296,29521094.53,6653882.300259,32436944.77,7324175.179037
2021-01-02,0.2217,0.2225,0.199,0.2031,0.222,0.2225,0.199,0.2031,24441,11609,12832,31598903.12,6582780.835534,14396670.84,3003151.604525,17202232.28,3579629.231009
2021-01-03,0.2031,0.2198,0.1875,0.211,0.2032,0.2198,0.1875,0.211,45949,23596,22353,57749019.12,11564093.969903,30362107.29,6084081.596305,27386911.83,5480012.373598
2021-01-04,0.211,0.223,0.18,0.2045,0.211,0.223,0.18,0.2045,46784,23302,23482,60160618.29,12162977.859482,29907964.62,6066924.288996,30252653.67,6096053.570486
2021-01-05,0.2045,0.2154,0.1927,0.2048,0.205,0.2154,0.1927,0.2048,33026,16862,16164,35599786.43,7236090.87111,17889782.15,3639324.446876,17710004.28,3596766.424234
2021-01-06,0.2048,0.294,0.198,0.2559,0.2048,0.294,0.198,0.2559,113135,59923,53212,190437366.01,47179794.411437,101042781.17,25020633.127112,89394584.84,22159161.284325
2021-01-07,0.2559,0.28,0.2358,0.2449,0.2557,0.28,0.2358,0.2449,62307,32847,29460,83147158.17,21388240.680515,43237853.24,11149451.349148,39909304.93,10238789.331367
2021-01-08,0.2449,0.269,0.216,0.231,0.2449,0.269,0.216,0.231,61073,30337,30736,76707924.75,18258294.744977,38545470.17,9188284.925203,38162454.58,9070009.819774
2021-01-09,0.231,0.2479,0.2216,0.2389,0.231,0.2479,0.2216,0.2389,35017,17984,17033,41841046.84,9762359.473344,21362651.27,4991646.216313,20478395.57,4770713.257031
2021-01-10,0.2389,0.2555,0.211,0.2333,0.2389,0.2555,0.211,0.2333,41944,20157,21787,52288383.99,12414731.937232,26915745.59,6389957.022986,25372638.4,6024774.914246
2021-01-11,0.2333,0.2333,0.1881,0.2123,0.2332,0.2333,0.1881,0.2123,42370,20474,21896,56478880.89,11739248.568226,26924368.75,5601935.721125,29554512.14,6137312.847101
2021-01-12,0.2123,0.2289,0.2022,0.2131,0.212,0.2289,0.2022,0.2131,36450,18464,17986,41015566.45,8827316.475863,20926466.8,4511318.499284,20089099.65,4315997.976579
2021-01-13,0.2131,0.2314,0.2032,0.229,0.2132,0.2314,0.2032,0.229,121939,62236,59703,99767861.38,21630975.537251,51622580.23,11192150.436529,48145281.15,10438825.100722
2021-01-14,0.229,0.2333,0.2191,0.2275,0.2291,0.2333,0.2191,0.2275,144890,72674,72216,85248615.49,19273986.740355,44374308.51,10035052.299287,40874306.98,9238934.441068
2021-01-15,0.2275,0.2301,0.2042,0.2136,0.2275,0.2301,0.2042,0.2136,108818,55272,53546,80272367.01,17400884.744716,40052908.26,8688137.050848,40219458.75,8712747.693868
2021-01-16,0.2136,0.23,0.2098,0.2171,0.2137,0.23,0.2098,0.2171,70465,35709,34756,72612628.0,15964567.373315,38218638.04,8406799.113611,34393989.96,7557768.259704
2021-01-17,0.2171,0.2339,0.2125,0.2233,0.2171,0.2339,0.2125,0.2233,72750,37269,35481,68094431.85,15079080.26776,35182295.16,7797125.257682,32912136.69,7281955.010078
2021-01-18,0.2233,0.242,0.2181,0.2359,0.2233,0.242,0.2181,0.2359,75080,38487,36593,69841121.68,15883834.600213,35694890.07,8123920.488884,34146231.61,7759914.111329
2021-01-19,0.2359,0.259,0.2344,0.2471,0.2359,0.259,0.2344,0.2471,154367,77865,76502,109367500.23,26825466.288174,55207647.48,13536015.310575,54159852.75,13289450.977599
2021-01-20,0.2471,0.2493,0.2181,0.2391,0.2466,0.2493,0.2181,0.2391,50131,28042,22089,80123847.63,18593968.025766,43619215.17,10119185.957559,36504632.46,8474782.068207
2021-01-21,0.2391,0.2394,0.2075,0.2113,0.239,0.2394,0.2075,0.2113,30832,14240,16592,36252989.63,8002988.620766,15821933.16,3496875.581354,20431056.47,4506113.039412
2021-01-22,0.2113,0.2247,0.1944,0.2162,0.2118,0.2247,0.1944,0.2162,28803,14116,14687,35542859.69,7482410.105131,17626605.14,3715621.366122,17916254.55,3766788.739009
2021-01-23,0.2162,0.23,0.2082,0.2155,0.216,0.23,0.2082,0.2155,21103,10806,10297,25650646.4,5544874.587168,12515632.83,2711631.542029,13135013.57,2833243.045139
2021-01-24,0.2155,0.2237,0.2099,0.2134,0.2155,0.2237,0.2099,0.2134,20784,11833,8951,29359124.97,6362412.540141,16040686.39,3478769.569972,13318438.58,2883642.970169
2021-01-25,0.2134,0.2287,0.2131,0.2212,0.2135,0.2287,0.2131,0.2212,27122,14389,12733,34938060.1,7728500.495483,18170930.19,4016304.716028,16767129.91,3712195.779455
2021-01-26,0.2212,0.2463,0.2193,0.246,0.2212,0.2463,0.2193,0.246,56699,28456,28243,85195387.65,19845223.324276,42521725.84,9926501.517517,42673661.81,9918721.806759
2021-01-27,0.246,0.2577,0.2207,0.2322,0.2461,0.2577,0.2207,0.2322,56439,28785,27654,82814162.62,19707267.317444,39234227.66,9360619.999541,43579934.96,10346647.317903
2021-01-28,0.2322,0.2403,0.226,0.2334,0.2321,0.2403,0.226,0.2334,31987,16300,15687,46523457.9,10783681.499,23180933.61,5379878.355563,23342524.29,5403803.143437
2021-01-29,0.2334,0.2498,0.2275,0.235,0.2335,0.2498,0.2275,0.235,53764,26822,26942,84220190.58,19979438.398315,41199464.44,9776312.339642,43020726.14,10203126.058673
2021-01-30,0.235,0.2379,0.2205,0.232,0.235,0.2379,0.2205,0.232,31765,16979,14786,49106684.03,11316528.85482,25764951.21,5944147.921098,23341732.82,5372380.933722
2021-01-31,0.232,0.2416,0.2263,0.2358,0.2322,0.2416,0.2263,0.2358,28824,14509,14315,45345949.59,10531929.713049,22567992.79,5246348.565451,22777956.8,5285581.147598
2021-02-01,0.2358,0.2788,0.2302,0.267,0.2361,0.2788,0.2302,0.267,82676,41570,41106,128768167.58,32707109.877675,61755328.59,15683079.861369,67012838.99,17024030.016306
2021-02-02,0.267,0.2939,0.2544,0.2773,0.2669,0.2939,0.2544,0.2773,64956,32495,32461,110971297.07,30492804.360208,53425385.77,14697814.210206,57545911.3,15794990.150002
2021-02-03,0.2773,0.2886,0.27,0.2868,0.2777,0.2886,0.27,0.2868,32094,16762,15332,52846282.26,14753453.074224,27285075.68,7617814.720256,25561206.58,7135638.353968
2021-02-04,0.2868,0.2899,0.2599,0.2657,0.2868,0.2899,0.2599,0.2657,37450,19378,18072,62495180.09,17082149.28174,31316172.47,8557705.496989,31179007.62,8524443.784751
2021-02-05,0.2657,0.289,0.2647,0.2889,0.2657,0.289,0.2647,0.2889,31238,16996,14242,47999645.17,13311985.339525,25130016.47,6975060.039467,22869628.7,6336925.300058
2021-02-06,0.2889,0.2938,0.2688,0.2755,0.2889,0.2938,0.2688,0.2755,33580,17193,16387,50038649.01,13928180.04723,25452252.98,7089628.55522,24586396.03,6838551.49201
2021-02-07,0.2755,0.3217,0.271,0.3105,0.2755,0.3217,0.271,0.3105,55135,28880,26255,89560254.6,25897372.212278,47947155.25,13885743.406033,41613099.35,12011628.806245
2021-02-08,0.3105,0.361,0.3069,0.3283,0.3103,0.361,0.3069,0.3283,100564,54120,46444,151702498.21,50078219.911368,80472389.72,26589232.706113,71230108.49,23488987.205255
2021-02-09,0.3283,0.3424,0.3201,0.3368,0.3287,0.3424,0.3201,0.3368,50146,24727,25419,64906833.19,21462546.266974,32039374.17,10597311.21197,32867459.02,10865235.055004
2021-02-10,0.3368,0.3821,0.32,0.3714,0.3367,0.3821,0.32,0.3714,88288,43154,45134,105202424.82,36949314.471964,52419897.66,18428594.732646,52782527.16,18520719.739318
2021-02-11,0.3714,0.412,0.3637,0.4006,0.3713,0.412,0.3637,0.4006,67581,34898,32683,80070580.72,31368668.482495,42506191.79,16648651.509221,37564388.93,14720016.973274
2021-02-12,0.4006,0.4195,0.3756,0.401,0.4005,0.4195,0.3756,0.401,63908,32504,31404,82882109.54,33131829.632102,44722968.44,17857857.708591,38159141.1,15273971.923511
2021-02-13,0.401,0.43,0.37,0.4028,0.4015,0.43,0.37,0.4028,70473,36419,34054,95162605.03,37643814.825509,49899228.79,19742287.310135,45263376.24,17901527.515374
2021-02-14,0.4028,0.4057,0.357,0.3691,0.4029,0.4057,0.357,0.3691,54795,27638,27157,68010963.79,25990953.382188,34645741.44,13246652.486972,33365222.35,12744300.895216
2021-02-15,0.3691,0.41,0.32,0.3826,0.369,0.41,0.32,0.3826,72407,35768,36639,76072129.12,27982652.354385,37218751.94,13674778.824172,38853377.18,14307873.530213
2021-02-16,0.3826,0.398,0.365,0.3801,0.383,0.398,0.365,0.3801,40959,20651,20308,42669726.97,16285044.807498,21120274.87,8063360.156538,21549452.1,8221684.65096
2021-02-17,0.3801,0.4049,0.364,0.3964,0.3802,0.4049,0.364,0.3964,39254,20296,18958,47491415.85,18368882.998311,23801601.23,9191558.219651,23689814.62,9177324.77866
2021-02-18,0.3964,0.4384,0.3945,0.4351,0.3967,0.4384,0.3945,0.4351,64496,32485,32011,67144097.89,28111066.801464,35376763.03,14823672.364585,31767334.86,13287394.436879
2021-02-19,0.4351,0.528,0.4104,0.5256,0.4345,0.528,0.4104,0.5256,95399,49056,46343,95283161.33,44522870.821644,50828860.7,23784332.859812,44454300.63,20738537.961832
2021-02-20,0.5256,0.5641,0.4602,0.5061,0.5259,0.5641,0.4602,0.5061,98557,47769,50788,90504147.52,47547563.902328,45903652.97,24116375.864591,44600494.55,23431188.037737
2021-02-21,0.5061,0.5787,0.4964,0.563,0.5061,0.5787,0.4964,0.563,72184,37448,34736,61031444.29,32806680.344533,32665158.34,17559674.97602,28366285.95,15247005.368513
2021-02-22,0.563,0.768,0.43,0.7006,0.5635,0.768,0.43,0.7006,257599,131824,125775,269187929.34,164777870.466136,136658750.26,84137308.666058,132529179.08,80640561.800078
2021-02-23,0.7006,0.7409,0.4363,0.5339,0.6997,0.7409,0.4363,0.5339,457320,232083,225237,554870337.87,321323188.959178,272320423.44,157593284.51683,282549914.43,163729904.442348
2021-02-24,0.5339,0.5592,0.4899,0.5283,0.534,0.5592,0.4899,0.5283,128020,66800,61220,150159290.49,79477226.323167,78711083.41,41662097.522221,71448207.08,37815128.800946
2021-02-25,0.5283,0.5462,0.4883,0.4927,0.5289,0.5462,0.4883,0.4927,64471,31385,33086,64044837.22,33146728.542137,30814065.42,15958698.063844,33230771.8,17188030.478293
2021-02-26,0.4927,0.5734,0.425,0.5153,0.4937,0.5734,0.425,0.5153,156456,78623,77833,202993523.0,102394626.692779,100518880.08,50772494.093684,102474642.92,51622132.599095
2021-02-27,0.5153,0.62,0.504,0.5754,0.5154,0.62,0.504,0.5754,152247,74708,77539,149622740.93,82771288.169357,72983345.47,40333688.345986,76639395.46,42437599.823371
2021-02-28,0.5754,0.6211,0.5156,0.6095,0.5761,0.6211,0.5156,0.6095,187416,93452,93964,192505116.22,108918181.1897,97118857.69,54962009.206615,95386258.53,53956171.983085
2021-03-01,0.6095,0.68,0.5815,0.6497,0.6095,0.68,0.5815,0.6497,157783,81674,76109,151241426.44,96039406.805301,77909806.1,49526348.685163,73331620.34,46513058.120138
2021-03-02,0.6497,0.777,0.6328,0.7674,0.6499,0.777,0.6328,0.7674,239905,124754,115151,235298337.64,168865418.452813,120142410.53,86224422.544023,115155927.11,82640995.90879
2021-03-03,0.7674,0.8645,0.7564,0.7881,0.768,0.8645,0.7564,0.7881,311177,157774,153403,244635880.3,198529344.815427,120036043.25,97438719.505079,124599837.05,101090625.310348
2021-03-04,0.7881,0.8,0.6691,0.7049,0.7881,0.8,0.6691,0.7049,237451,117978,119473,190049093.18,139676898.881328,91990376.55,67675369.384119,98058716.63,72001529.497209
2021-03-05,0.7049,0.7509,0.6458,0.7199,0.7047,0.7509,0.6458,0.7199,194446,96678,97768,152742225.73,105280561.870277,74865385.18,51687022.203187,77876840.55,53593539.66709
2021-03-06,0.7199,0.8,0.7006,0.7337,0.7192,0.8,0.7006,0.7337,216931,106895,110036,171006116.19,128020949.212953,80369159.95,60245095.85417,90636956.24,67775853.358783
2021-03-07,0.7337,0.7631,0.7084,0.7162,0.735,0.7631,0.7084,0.7162,139065,70929,68136,101728648.74,74423921.633722,49551947.58,36256294.794377,52176701.16,38167626.839345
2021-03-08,0.7162,0.732,0.68,0.7186,0.7157,0.732,0.68,0.7186,180908,89457,91451,156594640.31,110314534.023977,73805045.67,52029593.873242,82789594.64,58284940.150735
2021-03-09,0.7186,0.73,0.696,0.703,0.7187,0.73,0.696,0.703,153384,79339,74045,135606325.14,95715354.918958,65790990.14,46474853.764992,69815335.0,49240501.153966
2021-03-10,0.703,0.7033,0.5528,0.6164,0.702,0.7033,0.5528,0.6164,432802,202550,230252,446689109.13,275553471.330265,209499685.57,129189382.182328,237189423.56,146364089.147937
2021-03-11,0.6164,0.64,0.5625,0.5913,0.6159,0.64,0.5625,0.5913,257966,131029,126937,245561531.6,146115110.136866,121619746.58,72480418.317308,123941785.02,73634691.819558
2021-03-12,0.5913,0.61,0.3225,0.3875,0.591,0.61,0.3225,0.3875,1107747,528816,578931,1569891012.29,639070674.515619,730847932.53,297373494.385938,839043079.76,341697180.129681
2021-03-13,0.3875,0.3953,0.35,0.3625,0.3875,0.3953,0.35,0.3625,446975,222475,224500,546193730.52,205064165.341482,266268765.46,100114229.910384,279924965.06,104949935.431098
2021-03-14,0.3625,0.3666,0.3303,0.3303,0.3625,0.3666,0.3303,0.3303,261597,128866,132731,314110825.93,110671949.818722,143957372.37,50834716.746561,170153453.56,59837233.072161
2021-03-15,0.3303,0.38,0.3235,0.3724,0.3303,0.38,0.3235,0.3724,452751,232813,219938,571617061.77,202817942.615911,300976646.47,107078339.702683,270640415.3,95739602.913228
2021-03-16,0.3724,0.4184,0.35,0.3943,0.3729,0.4184,0.35,0.3943,446517,237755,208762,555371665.95,214754176.493229,286764063.85,110979614.818223,268607602.1,103774561.675006
2021-03-17,0.3943,0.408,0.3635,0.3917,0.3943,0.408,0.3635,0.3917,229144,119433,109711,257413330.4,98779983.136528,136321272.62,52359553.060532,121092057.78,46420430.075996
2021-03-18,0.3917,0.3937,0.3702,0.3736,0.3917,0.3937,0.3702,0.3736,140753,74357,66396,156273581.21,59200812.37388,82213971.89,31147629.933012,74059609.32,28053182.440868
2021-03-19,0.3736,0.3933,0.3601,0.378,0.3737,0.3933,0.3601,0.378,152319,75532,76787,156385759.98,59360681.789439,83937677.02,31879793.355796,72448082.96,27480888.433643
2021-03-20,0.378,0.3843,0.362,0.3629,0.3777,0.3843,0.362,0.3629,103834,50041,53793,110697907.7,41777210.739851,54738379.98,20672041.572279,55959527.72,21105169.167572
2021-03-21,0.3629,0.3724,0.3422,0.3669,0.3628,0.3724,0.3422,0.3669,109833,51008,58825,107815458.07,38620481.435431,54422441.03,19504626.634084,53393017.04,19115854.801347
2021-03-22,0.3669,0.3877,0.349,0.3554,0.367,0.3877,0.349,0.3554,155507,76867,78640,160016887.72,59068651.817767,82683922.33,30529810.66383,77332965.39,28538841.153937
2021-03-23,0.3554,0.3672,0.3453,0.356,0.3557,0.3672,0.3453,0.356,86385,44492,41893,95812861.63,34192232.704534,50444781.83,18011762.395581,45368079.8,16180470.308953
2021-03-24,0.356,0.3685,0.3113,0.3301,0.3557,0.3685,0.3113,0.3301,132660,62199,70461,137887614.08,48157162.807876,69903089.47,24510901.570087,67984524.61,23646261.237789
2021-03-25,0.3301,0.337,0.3107,0.3194,0.3305,0.337,0.3107,0.3194,87443,45729,41714,114291631.15,36990340.042357,60298539.77,19520853.210464,53993091.38,17469486.831893
2021-03-26,0.3194,0.3479,0.3187,0.3427,0.319,0.3479,0.3187,0.3427,78430,41865,36565,100935607.02,33903854.24211,52807933.25,17741066.407849,48127673.77,16162787.834261
2021-03-27,0.3427,0.351,0.3315,0.3454,0.3427,0.351,0.3315,0.3454,68143,38131,30012,83657743.06,28521960.964929,44339024.93,15123772.994824,39318718.13,13398187.970105
2021-03-28,0.3454,0.366,0.3396,0.3582,0.3454,0.366,0.3396,0.3582,89582,46129,43453,111506776.7,39663828.565926,58536465.31,20830493.811121,52970311.39,18833334.754805
2021-03-29,0.3582,0.3789,0.3502,0.374,0.3584,0.3789,0.3502,0.374,95534,50846,44688,112501502.52,41183450.759905,62777863.36,22981467.393711,49723639.16,18201983.366194
2021-03-30,0.374,0.3955,0.3733,0.3825,0.374,0.3955,0.3733,0.3825,112190,58235,53955,135778399.8,52377883.029265,74064760.03,28572904.68304,61713639.77,23804978.346225
2021-03-31,0.3825,0.384,0.3434,0.3688,0.382,0.384,0.3434,0.3688,100757,47534,53223,105103871.75,38448948.106214,50627667.19,18528842.436801,54476204.56,19920105.669413
2021-04-01,0.3688,0.375,0.354,0.3609,0.368,0.375,0.354,0.3609,88236,49021,39215,92240805.44,33416354.554088,45974490.25,16662230.236399,46266315.19,16754124.317689
2021-04-02,0.3609,0.371,0.3535,0.3599,0.3609,0.371,0.3535,0.3599,84963,46265,38698,97636374.13,35255315.550575,48692431.5,17594021.40796,48943942.63,17661294.142615
2021-04-03,0.3599,0.407,0.357,0.3621,0.3599,0.407,0.357,0.3621,213520,105915,107605,252602322.07,96849585.843197,133951544.26,51435780.788609,118650777.81,45413805.054588
2021-04-04,0.3621,0.3919,0.3571,0.3875,0.3621,0.3919,0.3571,0.3875,92396,47844,44552,111992439.07,42383904.966337,59677521.11,22602494.46415,52314917.96,19781410.502187
2021-04-05,0.3875,0.43,0.3651,0.4219,0.3878,0.43,0.3651,0.4219,218641,112171,106470,249149518.16,98513225.125632,125741669.82,49840150.41928,123407848.34,48673074.706352
2021-04-06,0.4219,0.4864,0.3924,0.4843,0.4218,0.4864,0.3924,0.4843,428917,218135,210782,474837772.22,204727006.255083,233200779.28,100830697.714235,241636992.94,103896308.540848
2021-04-07,0.4843,0.486,0.3452,0.3812,0.4825,0.486,0.3452,0.3812,450622,224058,226564,451773829.74,186481344.554198,219112384.05,90272516.383671,232661445.69,96208828.170527
2021-04-08,0.3812,0.4198,0.3768,0.4143,0.3815,0.4198,0.3768,0.4143,147027,73172,73855,175626901.68,70713009.595541,91957081.35,37048763.540773,83669820.33,33664246.054768
2021-04-09,0.4143,0.427,0.3962,0.4054,0.4142,0.427,0.3962,0.4054,101950,50459,51491,110806330.99,45042074.161117,56525885.55,22984595.630392,54280445.44,22057478.530725
2021-04-10,0.4054,0.4275,0.3995,0.4156,0.4053,0.4275,0.3995,0.4156,135229,68107,67122,151963820.6,62625304.252274,77046653.76,31763534.421401,74917166.84,30861769.830873
2021-04-11,0.4156,0.4561,0.4156,0.4417,0.4158,0.4561,0.4156,0.4417,198014,102119,95895,221901149.84,97632324.308269,111823051.38,49195109.847413,110078098.46,48437214.460856
2021-04-12,0.4417,0.4432,0.4109,0.4213,0.4421,0.4432,0.4109,0.4213,109973,51703,58270,117480576.0,49645358.864608,56576481.59,23903631.839678,60904094.41,25741727.02493
2021-04-13,0.4213,0.4278,0.4041,0.4243,0.4211,0.4278,0.4041,0.4243,109693,54242,55451,118293263.99,49366701.716885,56165137.55,23454399.375023,62128126.44,25912302.341862
2021-04-14,0.4243,0.4385,0.39,0.4176,0.4244,0.4385,0.39,0.4176,184480,90014,94466,189597448.67,78935700.521149,89659850.52,37348973.481014,99937598.15,41586727.040135
2021-04-15,0.4176,0.4459,0.41,0.4375,0.4177,0.4459,0.41,0.4375,125491,64911,60580,131763848.73,56201410.009313,67077172.18,28629237.060952,64686676.55,27572172.948361
