TIMESTAMP,BIGJIM_OPEN_PRICE_USD,BIGJIM_HIGH_PRICE_USD,BIGJIM_LOW_PRICE_USD,BIGJIM_CLOSE_PRICE_USD,BIGJIM_VOLUME_USD,BIGJIM_DIVIDENDS_USD,BIGJIM_STOCK_SPLITS_USD
2025-03-08 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,147630,0.0,0.0
2025-03-09 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,140879,0.0,0.0
2025-03-10 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,132317,0.0,0.0
2025-03-11 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,126305,0.0,0.0
2025-03-12 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,145629,0.0,0.0
2025-03-13 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,137072,0.0,0.0
2025-03-14 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,135769,0.0,0.0
2025-03-15 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,135607,0.0,0.0
2025-03-16 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,141643,0.0,0.0
2025-03-17 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,141882,0.0,0.0
2025-03-18 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,133491,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,423707,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,165922,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,14458,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,3561,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,2321,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,4216,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,2200,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,1183,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,797,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,263,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,389,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,949,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,1396,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,494,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,1022,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,910,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,4510,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,539,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,736,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,1030,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,1914,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,878,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,141,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,558,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,82,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,98,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,895,0.0,0.0
2025-06-01 00:00:00+00:00,5.8553624171509e-09,5.8553624171509e-09,5.8553624171509e-09,5.8553624171509e-09,7,0.0,0.0
