TIMESTAMP,MARI_OPEN_PRICE_USD,MARI_HIGH_PRICE_USD,MARI_LOW_PRICE_USD,MARI_CLOSE_PRICE_USD,MARI_VOLUME_USD,MARI_DIVIDENDS_USD,MARI_STOCK_SPLITS_USD
2024-09-16 00:00:00+00:00,,,,0.0,2077,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,1856,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,3970,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,836,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,449,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,851,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,281,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,8784,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,1330,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,97,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,117,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,259,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,123,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,147,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,18,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,145,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,269,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,126,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,328,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,34,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,447,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,52,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,181,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,374,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,380,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,394,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,51,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,232,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,951,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,242,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,253,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,223,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,116,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,1914,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,1936,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,205,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,96,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,3015,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,7905,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,1183,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,187,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,1390,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,282,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,238,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,45963,0.0,0.0
2025-06-01 00:00:00+00:00,2.492235395834541e-08,2.492235395834541e-08,2.492235395834541e-08,2.492235395834541e-08,11,0.0,0.0
