,ETH,Lag
BCDN,0.1167246000477434,6
LMC,0.1186585756007264,21
DASH,0.1192895010269687,21
BS,0.1266751570011053,17
XTO,0.1293658810422351,8
ZYD,0.1317703102230235,17
PLU,0.1318263713806218,11
CYT,0.1380293226977449,1
EQB,0.1406812547995523,2
QBC,0.1458101264228783,2
ARGUS,0.1465355813859831,9
BTB,0.1477595906217423,26
XDN,0.1496161666329295,2
ZOOM,0.1507043953920383,2
CETI,0.1633653026480014,30
RBIES,0.1659435743797575,6
VTC,0.1781626353290959,26
PZM,0.1834272563406024,3
DCY,0.1847266940613225,2
JLP,0.18481114420925,6
AMS,0.1848175777297055,29
AE,0.1861561183670703,5
PPC,0.1873520625785127,4
BCN,0.18801182069741,10
FOREX,0.1897901208854333,15
ARK,0.2000425297714204,9
SKR,0.2015259360098517,11
OZO,0.2023855378633219,11
VAL,0.2044250829085865,23
RRT,0.2046433326930353,3
WGR,0.2090758414658538,12
NXT,0.2119455621235071,2
SNRG,0.2128070330872871,1
NXS,0.2175219147629014,3
SILK,0.2286432600166368,3
HVCO,0.2301496142951696,25
KIN,0.2346096869057897,9
ICOB,0.2358565091274461,4
BTCS,0.2416284829504023,1
CKC,0.2423784917732464,30
LUN,0.2493964746282985,3
BOLI,0.2517070799937968,20
ZER,0.2588526378958968,26
BLU,0.259611382242658,14
AGRS,0.2613527496093838,21
XPTX,0.2718641485302699,11
ZENI,0.2738898047921888,5
LDOGE,0.2756706436271141,11
GLC,0.2867257765539636,24
ADC,0.2896634320046979,27
EFL,0.2957078752109252,6
EDRC,0.3007173553458273,18
XPX,0.3026252874202668,4
INF,0.302950171589766,1
MAY,0.3035005069878561,24
CLUB,0.3106997777672517,5
NAV,0.3110652222760487,1
BAT,0.312075410970301,30
SWT,0.3128529719904743,21
CF,0.3194992323503992,14
ZEC,0.328160327043945,1
XBY,0.3382390699326605,1
DEM,0.3469143062661246,4
PUT,0.3514797188919805,2
XCP,0.3538428140324651,1
MCN,0.3592961702062868,12
MAID,0.3633008309545948,18
OK,0.3638534291477697,25
LOOK,0.3645289266238513,30
BRIT,0.3653077316179908,4
ANT,0.3745258958627764,1
FRC,0.3757487847267484,16
XST,0.3815905995109667,30
42,0.3820020063878669,1
HUSH,0.3822818541198237,3
XBC,0.3831747831874441,1
LBC,0.3847434368416645,24
TECH,0.3871858863306244,29
PHR,0.3910530543303924,1
SHND,0.4030629922098865,6
SANDG,0.4058196175566901,1
WC,0.4072922477099503,7
RBY,0.4101613208816885,29
ALIAS,0.4181031801995669,6
PIE,0.4334071481545939,1
NVC,0.4334660529666037,2
WINGS,0.4371342625950232,9
CLAM,0.4381103105036815,5
FTC,0.4459229362248611,1
ILC,0.4459642911465769,1
MNTC,0.4481789799357748,1
DCT,0.4520796230817647,16
PKB,0.4649307213405949,9
POT,0.4683289560008904,1
HBN,0.4851568993438715,2
CRW,0.4863251168442293,1
AXIOM,0.4930660973355569,4
LOG,0.5004456570210284,1
PAK,0.5048909747404899,28
SIB,0.5051009248292521,5
HMQ,0.5113058772124712,1
CLOAK,0.5140752806370872,1
LANA,0.5204633977214682,2
XQN,0.5260926158888715,6
BITS,0.542803911416823,1
BTA,0.5489027046990057,2
VERI,0.5724257424695867,7
BSTY,0.5784088405985348,7
SLS,0.5820132083411773,30
DGC,0.5836859850004177,29
NEVA,0.5886202349369671,2
SIGNA,0.5918074204049502,4
RDD,0.61569278047617,13
PTOY,0.6199082975146992,8
SWIFT,0.6505908638548739,1
CANN,0.6608113941545843,4
HNC,0.674489640530193,4
BIS,0.6757171259253774,3
TES,0.6889057395750653,1
SONG,0.6981188508177245,1
IXC,0.7058205048378935,15
PASC,0.7462204600232057,1
CNT,0.757784641991141,1
GCC,0.892545675729495,2
