TIMESTAMP,BABYPEPE_OPEN_PRICE_USD,BABYPEPE_HIGH_PRICE_USD,BABYPEPE_LOW_PRICE_USD,BABYPEPE_CLOSE_PRICE_USD,BABYPEPE_VOLUME_USD,BABYPEPE_DIVIDENDS_USD,BABYPEPE_STOCK_SPLITS_USD
2023-09-27 00:00:00+00:00,,,,0.0,98,0.0,0.0
2023-09-28 00:00:00+00:00,,,,0.0,2370,0.0,0.0
2023-09-29 00:00:00+00:00,,,,0.0,1162,0.0,0.0
2023-09-30 00:00:00+00:00,,,,0.0,11927,0.0,0.0
2023-10-01 00:00:00+00:00,,,,0.0,2656,0.0,0.0
2023-10-02 00:00:00+00:00,,,,0.0,6073,0.0,0.0
2023-10-03 00:00:00+00:00,,,,0.0,2406,0.0,0.0
2023-10-04 00:00:00+00:00,,,,0.0,7964,0.0,0.0
2023-10-05 00:00:00+00:00,,,,0.0,3159,0.0,0.0
2023-10-06 00:00:00+00:00,,,,0.0,204,0.0,0.0
2023-10-07 00:00:00+00:00,,,,0.0,5360,0.0,0.0
2023-10-08 00:00:00+00:00,,,,0.0,2965,0.0,0.0
2023-10-09 00:00:00+00:00,,,,0.0,1128,0.0,0.0
2023-10-10 00:00:00+00:00,,,,0.0,2383,0.0,0.0
2023-10-11 00:00:00+00:00,,,,0.0,23712,0.0,0.0
2023-10-12 00:00:00+00:00,,,,0.0,40263,0.0,0.0
2023-10-13 00:00:00+00:00,,,,0.0,1401,0.0,0.0
2023-10-14 00:00:00+00:00,,,,0.0,198,0.0,0.0
2023-10-15 00:00:00+00:00,,,,0.0,2454,0.0,0.0
2023-10-16 00:00:00+00:00,,,,0.0,5697,0.0,0.0
2023-10-17 00:00:00+00:00,,,,0.0,4775,0.0,0.0
2023-10-18 00:00:00+00:00,,,,0.0,9739,0.0,0.0
2023-10-19 00:00:00+00:00,,,,0.0,3497,0.0,0.0
2023-10-20 00:00:00+00:00,,,,0.0,3378,0.0,0.0
2023-10-21 00:00:00+00:00,,,,0.0,4832,0.0,0.0
