TIMESTAMP,DEEPSEEKAI_OPEN_PRICE_USD,DEEPSEEKAI_HIGH_PRICE_USD,DEEPSEEKAI_LOW_PRICE_USD,DEEPSEEKAI_CLOSE_PRICE_USD,DEEPSEEKAI_VOLUME_USD,DEEPSEEKAI_DIVIDENDS_USD,DEEPSEEKAI_STOCK_SPLITS_USD
2025-04-26 00:00:00+00:00,,,,0.0,8049,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,5927,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,7744,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,11977,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,7780,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,17500,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,8279,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,7500,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,7583,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,11148,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,8733,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,14241,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,6777,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,8605,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,8435,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,9665,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,17111,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,10027,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,7893,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,11933,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,5290,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,4454,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,7028,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,3753,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,10081,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,10137,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,5483,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,2609,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,3395,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,2298,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,3652,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,3160,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,2879,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,5260,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,4427,0.0,0.0
2025-06-01 00:00:00+00:00,7.867788018312005e-12,7.955184254393455e-12,7.49162364088729e-12,7.896684174613089e-12,1712,0.0,0.0
