TIMESTAMP,ETH_MARKET_CAP_USD,ETH_PRICE_USD,ETH_SUPPLY
2016-06-21,1032724160.8034376,12.71,81252884.40625
2016-06-22,1073782181.9628124,13.21,81285555.03125
2016-06-23,1104290334.861875,13.58,81317403.15625
2016-06-24,1159231444.1953125,14.25,81349575.03125
2016-06-25,1162124406.63375,14.28,81381260.96875
2016-06-26,1125135615.569375,13.82,81413575.65625
2016-06-27,1143497213.8200002,14.04,81445670.5
2016-06-28,989955657.6609377,12.15,81477831.90625
2016-06-29,1040063796.32375,12.76,81509701.90625
2016-06-30,1011116931.1999999,12.4,81541688.0
2016-07-01,997653765.8196876,12.23,81574306.28125
2016-07-02,982538923.03875,12.04,81606222.84375
2016-07-03,967413410.9953123,11.85,81638262.53125
2016-07-04,926142375.335625,11.34,81670403.46875
2016-07-05,853785704.3890625,10.45,81701981.28125
2016-07-06,859027872.67375,10.51,81734336.125
2016-07-07,823385956.869375,10.07,81766232.0625
2016-07-08,924319452.009375,11.3,81798181.59375
2016-07-09,893594298.52875,10.92,81830979.71875
2016-07-10,898036508.706875,10.97,81862945.1875
2016-07-11,866448364.6899999,10.58,81894930.5
2016-07-12,863507329.3981249,10.54,81926691.59375
2016-07-13,855650395.9575,10.44,81958850.1875
2016-07-14,946992134.1890625,11.55,81990660.96875
2016-07-15,974427842.39625,11.88,82022545.65625
2016-07-16,951014159.88875,11.59,82054716.125
2016-07-17,918547861.9153124,11.19,82086493.46875
2016-07-18,905772477.2790624,11.03,82118991.59375
2016-07-19,955413402.765,11.63,82150765.5
2016-07-20,1030570811.5106249,12.54,82182680.34375
2016-07-21,1040847775.4268749,12.66,82215464.09375
2016-07-22,1218902832.931875,14.82,82247154.71875
2016-07-23,1184825515.95,14.4,82279549.71875
2016-07-24,1039588257.9853123,12.63,82311025.96875
2016-07-25,1139627362.6325002,13.84,82343017.53125
2016-07-26,995075443.9775,12.08,82373795.03125
2016-07-27,1075407863.6109376,13.05,82406732.84375
2016-07-28,1060991050.494375,12.87,82439087.0625
2016-07-29,1061402110.2506249,12.87,82471026.4375
2016-07-30,1037058538.7240623,12.57,82502668.15625
2016-07-31,978863767.97375,11.86,82534887.6875
2016-08-01,911533961.9699999,11.04,82566482.0625
2016-08-02,685562048.9156251,8.3,82597837.21875
2016-08-03,860999857.5975,10.42,82629544.875
2016-08-04,926645478.076875,11.21,82662397.6875
2016-08-05,913775658.3921876,11.05,82694629.71875
2016-08-06,905852104.209375,10.95,82726219.5625
2016-08-07,908688447.005625,10.98,82758510.65625
2016-08-08,934706851.6434376,11.29,82790686.59375
2016-08-09,1012101373.6600001,12.22,82823353.0
2016-08-10,1012494405.138125,12.22,82855515.96875
2016-08-11,968128579.09,11.68,82887720.8125
2016-08-12,976795527.8243749,11.78,82919824.09375
2016-08-13,958923073.88,11.56,82951823.0
2016-08-14,930248307.2690624,11.21,82983791.90625
2016-08-15,930610714.308125,11.21,83016120.8125
2016-08-16,927647924.86,11.17,83048158.0
2016-08-17,894773242.7615626,10.77,83080152.53125
2016-08-18,895126380.9646876,10.77,83112941.59375
2016-08-19,890480625.93,10.71,83144783.0
2016-08-20,938236770.09,11.28,83177018.625
2016-08-21,926956180.191875,11.14,83209710.96875
2016-08-22,921488981.8584375,11.07,83242003.78125
