,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
300,12,2000,0.2,1,4.228613049118946e-07,0.01
301,9,750,0.25,1,4.2598719024370196e-07,0.01
302,7,250,0.1,1,4.811213738251117e-07,0.01
303,13,2750,0.3,1,5.127421671393368e-07,0.01
304,15,3500,0.25,1,5.414807048296955e-07,0.01
305,9,750,0.15,1,5.435306774240936e-07,0.01
306,14,1750,0.05,1,5.57747298587659e-07,0.01
307,14,2500,0.15,1,5.974123291179109e-07,0.01
308,9,1000,0.3,1,6.156322931917233e-07,0.01
309,12,1750,0.1,1,6.455415954455036e-07,0.01
310,10,1250,0.15,1,7.302844430584311e-07,0.01
311,10,1500,0.25,1,8.272944030660351e-07,0.01
312,12,2250,0.3,1,8.412401070930376e-07,0.01
313,8,750,0.2,1,8.463827224007582e-07,0.01
314,14,2250,0.1,1,8.520077974658107e-07,0.01
315,14,3000,0.2,1,8.704843578572017e-07,0.01
316,10,1000,0.05,1,8.892357476703401e-07,0.01
317,11,1750,0.3,1,9.011057433236471e-07,0.01
318,12,1750,0.05,1,1.0230152598339386e-06,0.01
319,9,500,0.05,1,1.0391110874830216e-06,0.01
320,10,1250,0.1,1,1.0873223742204653e-06,0.01
321,15,2500,0.05,1,1.1069886690340798e-06,0.01
322,15,3500,0.3,1,1.2337956382099308e-06,0.01
323,8,500,0.15,1,1.2452314293876672e-06,0.01
324,15,2000,0.05,1,1.3613223322276188e-06,0.01
325,15,2500,0.1,1,1.3891198756301965e-06,0.01
326,13,2250,0.25,1,1.4930828744924093e-06,0.01
327,15,3000,0.15,1,1.5798996444184613e-06,0.01
328,15,2750,0.15,1,1.5806612784907867e-06,0.01
329,12,2250,0.2,1,1.6147286098411214e-06,0.01
330,9,1250,0.15,1,1.7090705698124e-06,0.01
331,15,3250,0.25,1,1.7193488230300527e-06,0.01
332,12,2000,0.15,1,1.749370934288131e-06,0.01
333,9,1250,0.2,1,1.8588871795583566e-06,0.01
334,9,750,0.1,1,1.94683584362597e-06,0.01
335,12,2250,0.25,1,1.9504699486724777e-06,0.01
336,14,2500,0.1,1,1.9694362805890937e-06,0.01
