TIMESTAMP,GUI_OPEN_PRICE_USD,GUI_HIGH_PRICE_USD,GUI_LOW_PRICE_USD,GUI_CLOSE_PRICE_USD,GUI_VOLUME_USD,GUI_DIVIDENDS_USD,GUI_STOCK_SPLITS_USD
2024-11-03 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,192922,0.0,0.0
2024-11-04 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.700000029813964e-05,116427,0.0,0.0
2024-11-05 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,119700,0.0,0.0
2024-11-06 00:00:00+00:00,1.8999999156221747e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.4000000848900527e-05,375883,0.0,0.0
2024-11-07 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,267614,0.0,0.0
2024-11-08 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,141191,0.0,0.0
2024-11-09 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.8000000384054147e-05,390152,0.0,0.0
2024-11-10 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.700000004551839e-05,2.9000000722589903e-05,641900,0.0,0.0
2024-11-11 00:00:00+00:00,2.9000000722589903e-05,4.400000034365803e-05,2.8000000384054147e-05,4.3000000005122274e-05,1890682,0.0,0.0
2024-11-12 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,3.600000127335079e-05,3.9999998989515007e-05,1494615,0.0,0.0
2024-11-13 00:00:00+00:00,3.9999998989515007e-05,4.8999998398358e-05,3.600000127335079e-05,4.400000034365803e-05,1726578,0.0,0.0
2024-11-14 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,3.7000001611886546e-05,3.7999998312443495e-05,1216422,0.0,0.0
2024-11-15 00:00:00+00:00,3.7999998312443495e-05,4.5000000682193786e-05,3.600000127335079e-05,4.400000034365803e-05,1517933,0.0,0.0
2024-11-16 00:00:00+00:00,4.400000034365803e-05,5.199999941396527e-05,4.3000000005122274e-05,4.8000001697801054e-05,1184063,0.0,0.0
2024-11-17 00:00:00+00:00,4.8000001697801054e-05,4.999999873689376e-05,4.099999932805076e-05,4.199999966658652e-05,1584982,0.0,0.0
2024-11-18 00:00:00+00:00,4.199999966658652e-05,4.5000000682193786e-05,3.9999998989515007e-05,4.199999966658652e-05,3200165,0.0,0.0
2024-11-19 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,3.600000127335079e-05,3.600000127335079e-05,1264771,0.0,0.0
2024-11-20 00:00:00+00:00,3.600000127335079e-05,4.400000034365803e-05,3.300000025774352e-05,3.7000001611886546e-05,1290837,0.0,0.0
2024-11-21 00:00:00+00:00,3.7000001611886546e-05,4.099999932805076e-05,3.5000000934815034e-05,3.899999865097925e-05,842149,0.0,0.0
2024-11-22 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.099999958067201e-05,3.600000127335079e-05,885037,0.0,0.0
2024-11-23 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,3.199999991920777e-05,3.5000000934815034e-05,697866,0.0,0.0
2024-11-24 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,3.099999958067201e-05,3.099999958067201e-05,496733,0.0,0.0
2024-11-25 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9000000722589903e-05,2.9999999242136255e-05,693693,0.0,0.0
2024-11-26 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.700000004551839e-05,3.199999991920777e-05,497369,0.0,0.0
2024-11-27 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.9999999242136255e-05,3.300000025774352e-05,381087,0.0,0.0
2024-11-28 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.8000000384054147e-05,2.9999999242136255e-05,392165,0.0,0.0
