,XMR,Lag
VTC,0.0032148441261821,25
XMS,0.003402756411577,27
SWING,0.003438267404743,22
FRN,0.0036214875464305,24
START,0.0036584450532161,3
WAVES,0.0039544556418952,30
BOLI,0.0045197117535168,4
LDOGE,0.0047603436267955,3
RBY,0.0048875304647447,15
ZEC,0.0055046763030042,2
AV,0.0055190247140609,9
CSC,0.0057073453529307,28
ETH,0.0063914515846999,27
KMD,0.006462401912949,30
LUNC,0.0065005196268864,16
EFL,0.0065109224446881,29
XPM,0.0071868015299877,30
MOTO,0.0078025315007462,23
XWC,0.0083988622904732,22
XPX,0.0087973584267324,30
LTC,0.0089687518851335,25
HVCO,0.0108350728738193,1
ETC,0.0112539635158891,25
LSK,0.0119383029213686,30
LOG,0.0136394476364509,19
SPR,0.0149854452565798,23
LOOK,0.0151415344250717,2
NEWB,0.0173697341002837,22
KOBO,0.0182012314739384,7
DASH,0.0204017279458151,4
XHI,0.0218196741297327,28
HNC,0.02453638898491,27
GBYTE,0.026460230440714,7
CARBON,0.030482301006267,30
COOL,0.0310795657293784,30
GAS,0.0334642272008509,12
KIN,0.0379346822661178,20
CJ,0.0397350323040505,13
TAJ,0.0411671290393022,9
XCP,0.0428476585587301,1
ZEN,0.0454136628137025,29
ZET,0.0509527353961101,15
QTZ,0.0532690064444045,1
NMC,0.0553100417144557,6
SKULL,0.0602880311494248,11
AXIOM,0.0656832852776381,30
PIVX,0.066000112999829,4
BLAZR,0.0660833291390751,1
CF,0.0712528776607229,1
BCN,0.0737334744745884,29
MCN,0.0737506862154246,1
KURT,0.0788650892092726,23
NXS,0.0807593879093538,1
BLU,0.0836410225295478,29
OPAL,0.0840096303221165,5
BTCS,0.0851222708093807,29
AE,0.086483003820887,1
SKR,0.0899528449244386,6
ARGUS,0.0925077320945712,3
ZYD,0.0926938661416832,13
PLU,0.0963001094122386,1
CLUB,0.1053047543499274,7
PZM,0.1090972435869402,5
ZENI,0.1210412002939767,16
MAY,0.1226941806080124,6
SYS,0.126171127568657,14
CETI,0.1280082965861423,26
AMS,0.1432791601517994,29
SILK,0.1471367309087728,8
JLP,0.1508535334502539,4
LAMB,0.1612149215852675,1
WINGS,0.1632921094949641,9
ZCL,0.1729008908140802,29
CANN,0.1734867040991406,4
ANT,0.1790318685673424,19
DCT,0.2069446620819056,15
PHR,0.22197239173626,30
SANDG,0.2357160338892447,27
FIRO,0.2399170256785497,2
NAV,0.2499905632343443,1
ADC,0.2522506019526535,14
PTOY,0.2635237485181668,5
ILC,0.2644284948756591,25
ALIAS,0.2680637701438247,7
ACOIN,0.2727323088734805,21
BS,0.2792567006833564,9
PIE,0.2912332377955664,1
GCC,0.2977356258894172,1
LANA,0.3021282602870275,6
LBC,0.3087964690656089,1
SNRG,0.3185447565950736,2
PASC,0.3386132979018467,1
DCR,0.3442614144239815,29
AGRS,0.3475529083169116,3
PKB,0.3478216076137371,1
SIB,0.3506461078691352,4
DCY,0.3517714731758882,29
FOREX,0.3614926097726492,1
HBN,0.3654559560765675,1
DEM,0.3676441513340575,1
FTC,0.3677235670678564,3
BTB,0.37782538059546,1
SONG,0.3820189977245655,1
SWT,0.3958165301377144,9
IOTA,0.4066536191800014,1
XBY,0.4134167684446554,1
XDN,0.4136613256783645,5
2GIVE,0.4136948202890897,3
EQB,0.4208813108962305,1
VERI,0.4270588905161152,4
BIS,0.4281313083987015,10
BSTY,0.436868386154243,1
CLAM,0.4443286081478165,2
MAID,0.4474271946478175,2
TES,0.4589010146136357,1
BLK,0.4686982788837882,20
CRW,0.4752317629697753,1
SC,0.4856590348787375,26
POT,0.4876158907867141,1
QBC,0.4882690093730794,4
INF,0.5266533583417241,26
POST,0.5344912322283553,15
SWIFT,0.5441069101358111,1
TECH,0.5441698205622256,1
HMQ,0.5479553206959702,2
MST,0.565849331560734,1
XST,0.5707466770890903,3
EDRC,0.5733331225321145,18
FRC,0.5837188188271458,4
DGC,0.5883057152854967,4
XPTX,0.5994869663342692,4
NVC,0.6089174452280317,7
OZO,0.612328892461075,9
CLOAK,0.6173687386161695,3
ZER,0.6206360306071237,6
WC,0.6350699742640089,1
RDD,0.6463338995035713,5
IXC,0.6877746690857579,1
WGR,0.6910580592723435,1
IRL,0.6946884265401472,7
SLS,0.6952901781166014,1
LMC,0.7382205616641351,2
XBC,0.7822588064457001,27
OK,0.7981968680518995,1
MNTC,0.8130623849557241,1
AMBER,0.8377260959214601,2
CNT,0.8518080039508217,1
NEVA,0.942533366837987,1
