,Time,BTC_Average_Transaction_Fee_USD,ETH_Average_Transaction_Fee_USD,XRP_Average_Transaction_Fee_USD,DOGE_Average_Transaction_Fee_USD,LTC_Average_Transaction_Fee_USD,BCH_Average_Transaction_Fee_USD,XMR_Average_Transaction_Fee_USD,DASH_Average_Transaction_Fee_USD,ZEC_Average_Transaction_Fee_USD
2082,2016-03-29,0.122,0.00815,8.45e-05,0.00033,0.0139,,0.172,0.0625,
2083,2016-03-30,0.094,0.012,8.38e-05,0.000351,0.0113,,0.128,0.054,
2084,2016-03-31,0.092,0.00912,8.2e-05,0.000435,0.0114,,0.175,0.0519,
2085,2016-04-01,0.104,0.00844,8.34e-05,0.000349,0.0113,,0.108,0.0573,
2086,2016-04-02,0.113,0.00705,8.32e-05,0.000375,0.0122,,0.364,0.0788,
2087,2016-04-03,0.102,0.00697,8.46e-05,0.000398,0.0133,,0.166,0.0658,
2088,2016-04-04,0.0904,0.00803,8.36e-05,0.000481,0.0162,,0.132,0.0629,
2089,2016-04-05,0.0934,0.00783,8.39e-05,0.000357,0.0133,,0.112,0.0648,
2090,2016-04-06,0.112,0.00716,8.25e-05,0.000324,0.0149,,0.129,0.0643,
2091,2016-04-07,0.0861,0.00697,8.17e-05,0.000359,0.012,,0.121,0.0557,
2092,2016-04-08,0.0855,0.00731,7.65e-05,0.000376,0.0137,,0.148,0.0478,
2093,2016-04-09,0.0776,0.00602,7.32e-05,0.00043,0.0118,,0.111,0.053,
2094,2016-04-10,0.0746,0.0052,6.92e-05,0.000397,0.0128,,0.087,0.0356,
2095,2016-04-11,0.0916,0.00522,6.66e-05,0.000433,0.011,,0.114,0.036,
2096,2016-04-12,0.0896,0.0052,6.68e-05,0.000461,0.015,,0.0813,0.0315,
2097,2016-04-13,0.0868,0.00712,6.36e-05,0.000411,0.0167,,0.0715,0.034,
2098,2016-04-14,0.0834,0.00764,6.31e-05,0.000317,0.0147,,0.176,0.0366,
2099,2016-04-15,0.0899,0.00556,7.1e-05,0.00044,0.0139,,0.136,0.0258,
2100,2016-04-16,0.0806,0.00468,6.94e-05,0.000335,0.0132,,0.0982,0.0267,
2101,2016-04-17,0.0763,0.00695,7.17e-05,0.000345,0.0125,,0.16,0.0288,
2102,2016-04-18,0.0918,0.00543,7.81e-05,0.000329,0.0116,,0.0936,0.0288,
2103,2016-04-19,0.0824,0.00529,7.76e-05,0.000442,0.0118,,0.109,0.0347,
2104,2016-04-20,0.0871,0.00621,7.9e-05,0.000338,0.0205,,0.0877,0.0506,
2105,2016-04-21,0.0893,0.00691,8.11e-05,0.000336,0.0176,,0.103,0.0451,
2106,2016-04-22,0.0902,0.00519,8.29e-05,0.000317,0.0137,,0.0918,0.0418,
2107,2016-04-23,0.0799,0.0049,8.86e-05,0.000331,0.0129,,0.0946,0.0378,
2108,2016-04-24,0.0823,0.0054,8.43e-05,0.000456,0.012,,0.0807,0.0758,
2109,2016-04-25,0.0911,0.00525,8.6e-05,0.000339,0.0133,,0.0837,0.0806,
2110,2016-04-26,0.624,0.00486,8.33e-05,0.000322,0.0168,,0.0837,0.0758,
2111,2016-04-27,0.0884,0.00459,8.95e-05,0.000346,0.0141,,0.0854,0.0839,
2112,2016-04-28,0.089,0.00489,7.86e-05,0.000427,0.0175,,0.0713,0.0684,
2113,2016-04-29,0.0857,0.00468,7.82e-05,0.000325,0.0132,,0.0863,0.0777,
2114,2016-04-30,0.0857,0.0058,8.41e-05,0.000326,0.0131,,0.0831,0.0959,
2115,2016-05-01,0.0812,0.00808,7.94e-05,0.000439,0.0129,,0.0813,0.0917,
2116,2016-05-02,0.0901,0.00629,7.74e-05,0.000329,0.0115,,0.0699,0.129,
2117,2016-05-03,0.0851,0.00683,7.76e-05,0.00032,0.0173,,0.0784,0.108,
2118,2016-05-04,0.0903,0.00695,7.2e-05,0.000468,0.0107,,0.0845,0.12,
2119,2016-05-05,0.0862,0.00768,6.85e-05,0.000332,0.0111,,0.0803,0.131,
2120,2016-05-06,0.0862,0.00825,7.02e-05,0.00031,0.0123,,0.0862,0.107,
2121,2016-05-07,0.0853,0.0063,7.38e-05,0.000355,0.0131,,0.0721,0.0711,
2122,2016-05-08,0.0842,0.0067,7.31e-05,0.000293,0.0112,,0.0694,0.0738,
2123,2016-05-09,0.0819,0.00644,7.31e-05,0.000324,0.0154,,0.0677,0.103,
2124,2016-05-10,0.0891,0.00635,7.47e-05,0.000308,0.0173,,0.066,0.0766,
2125,2016-05-11,0.0886,0.0075,7.1e-05,0.000521,0.0176,,0.0846,0.105,
2126,2016-05-12,0.0924,0.00884,7.07e-05,0.000407,0.0107,,0.0987,0.114,
2127,2016-05-13,0.0932,0.00956,7.25e-05,0.000478,0.0105,,0.108,0.109,
2128,2016-05-14,0.103,0.0079,6.96e-05,0.000505,0.0136,,0.0979,0.116,
2129,2016-05-15,0.104,0.00737,6.95e-05,0.000549,0.0109,,0.073,0.0856,
2130,2016-05-16,0.115,0.00774,6.93e-05,0.000557,0.0118,,0.126,0.0828,
2131,2016-05-17,0.111,0.00828,6.81e-05,0.000461,0.012,,0.0808,0.0882,
2132,2016-05-18,0.113,0.00989,6.73e-05,0.00049,0.012,,0.0831,0.114,
2133,2016-05-19,0.113,0.0104,6.73e-05,0.000639,0.0146,,0.0726,0.123,
2134,2016-05-20,0.109,0.0121,7.76e-05,0.000601,0.0126,,0.0938,0.125,
2135,2016-05-21,0.131,0.0112,8.47e-05,0.000538,0.0125,,0.0979,0.0926,
2136,2016-05-22,0.104,0.0104,7.89e-05,0.000587,0.0135,,0.0836,0.103,
2137,2016-05-23,0.109,0.00951,8.06e-05,0.000572,0.0125,,0.0833,0.123,
2138,2016-05-24,0.108,0.00866,7.74e-05,0.000499,0.013,,0.112,0.134,
2139,2016-05-25,0.108,0.00874,7.5e-05,0.000504,0.0259,,0.138,0.101,
2140,2016-05-26,0.114,0.00864,7.18e-05,0.000485,0.0107,,0.0727,0.131,
2141,2016-05-27,0.156,0.00877,7.1e-05,0.0005,0.0119,,0.121,0.123,
2142,2016-05-28,0.135,0.0131,7.14e-05,0.000537,0.0131,,0.072,0.102,
2143,2016-05-29,0.14,0.0102,6.74e-05,0.000509,0.0145,,0.146,0.124,
2144,2016-05-30,0.146,0.00923,6.67e-05,0.00048,0.0137,,0.103,0.106,
2145,2016-05-31,0.13,0.00931,6.76e-05,0.000456,0.0119,,0.0995,0.0925,
2146,2016-06-01,0.128,0.0103,6.76e-05,0.000454,0.0121,,0.112,0.0881,
2147,2016-06-02,0.135,0.00901,6.95e-05,0.000562,0.0133,,0.0799,0.0796,
2148,2016-06-03,0.129,0.00864,6.77e-05,0.000511,0.0133,,0.0733,0.0918,
2149,2016-06-04,0.135,0.00877,7.03e-05,0.000442,0.0188,,0.1,0.0824,
2150,2016-06-05,0.134,0.00863,6.87e-05,0.000464,0.0224,,0.0759,0.0842,
2151,2016-06-06,0.137,0.00919,6.8e-05,0.000388,0.0265,,0.106,0.0827,
2152,2016-06-07,0.132,0.0205,6.36e-05,0.000441,0.0264,,0.0859,0.0947,
2153,2016-06-08,0.126,0.0102,2.56e-05,0.000383,0.0233,,0.086,0.0894,
2154,2016-06-09,0.129,0.0104,2.01e-05,0.000437,0.0276,,0.107,0.0884,
2155,2016-06-10,0.133,0.0101,1.89e-05,0.000423,0.0253,,0.0972,0.106,
2156,2016-06-11,0.126,0.0102,1.04e-05,0.000409,0.0328,,0.0786,0.101,
2157,2016-06-12,0.159,0.0101,5.9e-06,0.000507,0.0325,,0.122,0.0907,
2158,2016-06-13,0.175,0.0133,9.21e-06,0.000486,0.0356,,0.121,0.0837,
2159,2016-06-14,0.192,0.0139,1.83e-05,0.000554,0.0266,,0.12,0.1,
2160,2016-06-15,0.22,0.0129,1.93e-05,0.000607,0.0243,,0.172,0.1,
2161,2016-06-16,0.226,0.0183,1.53e-05,0.000958,0.0217,,0.169,0.0674,
2162,2016-06-17,0.232,0.0597,1.69e-05,0.00081,0.0209,,0.174,0.0927,
2163,2016-06-18,0.225,0.0553,1.09e-05,0.000533,0.0271,,0.209,0.101,
2164,2016-06-19,0.218,0.0129,1.41e-05,0.000663,0.0279,,0.162,0.0819,
2165,2016-06-20,0.23,0.0129,1.29e-05,0.000589,0.0246,,0.173,0.0888,
2166,2016-06-21,0.21,0.0209,1.42e-05,0.00052,0.0232,,0.147,0.0843,
2167,2016-06-22,0.218,0.015,1.34e-05,0.000511,0.0191,,0.141,0.0854,
2168,2016-06-23,0.184,0.00992,1.9e-05,0.000426,0.0125,,0.122,0.0791,
2169,2016-06-24,0.204,0.012,1.91e-05,0.000444,0.0163,,0.146,0.0933,
2170,2016-06-25,0.197,0.0109,1.61e-05,0.000439,0.0187,,0.127,0.0847,
2171,2016-06-26,0.192,0.00919,2.15e-05,0.00065,0.0215,,0.12,0.0594,
2172,2016-06-27,0.182,0.00966,1.66e-05,0.000473,0.0185,,0.111,0.0774,
2173,2016-06-28,0.178,0.00975,2.01e-05,0.000496,0.0203,,0.135,0.0746,
2174,2016-06-29,0.175,0.0138,2.7e-05,0.000481,0.0154,,0.15,0.0752,
2175,2016-06-30,0.176,0.0171,1.84e-05,0.000476,0.0164,,0.123,0.0886,
2176,2016-07-01,0.189,0.0138,2.07e-05,0.000549,0.0208,,0.138,0.079,
2177,2016-07-02,0.182,0.00744,1.62e-05,0.000588,0.0195,,0.126,0.0923,
2178,2016-07-03,0.173,0.00916,1.57e-05,0.000667,0.0223,,0.139,0.0774,
2179,2016-07-04,0.173,0.00773,2.33e-05,0.000575,0.0286,,0.172,0.0713,
2180,2016-07-05,0.174,0.00803,1.22e-05,0.000614,0.022,,0.134,0.0619,
2181,2016-07-06,0.174,0.00828,1.66e-05,0.000531,0.0288,,0.167,0.0713,
2182,2016-07-07,0.168,0.00661,1.86e-05,0.000565,0.0289,,0.189,0.0618,
2183,2016-07-08,0.175,0.00965,1.65e-05,0.000588,0.021,,0.204,0.0591,
2184,2016-07-09,0.166,0.0133,1.54e-05,0.000541,0.0187,,0.159,0.057,
2185,2016-07-10,0.153,0.00762,1.01e-05,0.000588,0.0348,,0.173,0.058,
2186,2016-07-11,0.17,0.00781,1.86e-05,0.000503,0.0289,,0.14,0.0606,
2187,2016-07-12,0.153,0.00841,1.8e-05,0.000537,0.018,,0.167,0.0614,
2188,2016-07-13,0.162,0.00722,1.53e-05,0.000595,0.0276,,0.151,0.0567,
2189,2016-07-14,0.173,0.00837,1.68e-05,0.000562,0.0223,,0.167,0.0661,
2190,2016-07-15,0.169,0.00843,1.68e-05,0.000486,0.0286,,0.192,0.054,
2191,2016-07-16,0.184,0.00737,1.63e-05,0.00054,0.0151,,0.128,0.0489,
2192,2016-07-17,0.187,0.00653,1.2e-05,0.000597,0.0165,,0.162,0.0582,
2193,2016-07-18,0.179,0.00741,1.32e-05,0.000558,0.019,,0.196,0.0605,
2194,2016-07-19,0.186,0.00745,1.63e-05,0.000725,0.0247,,0.148,0.0797,
2195,2016-07-20,0.189,0.018,1.61e-05,0.000634,0.0228,,0.134,0.0765,
2196,2016-07-21,0.184,0.00944,1.76e-05,0.0004,0.0184,,0.147,0.0753,
2197,2016-07-22,0.194,0.0104,2.11e-05,0.000524,0.0221,,0.171,0.0956,
2198,2016-07-23,0.201,0.0106,1.78e-05,0.000466,0.0179,,0.158,0.0861,
2199,2016-07-24,0.182,0.00858,1.46e-05,0.000566,0.0148,,0.161,0.08,
2200,2016-07-25,0.191,0.00957,1.66e-05,0.000471,0.0147,,0.164,0.0829,
2201,2016-07-26,0.194,0.00942,1.22e-05,0.000532,0.0147,,0.138,0.0713,
2202,2016-07-27,0.208,0.00911,1.19e-05,0.000577,0.0167,,0.139,0.0692,
2203,2016-07-28,0.2,0.0168,1.55e-05,0.000517,0.017,,0.162,0.0796,
2204,2016-07-29,0.205,0.0123,1.4e-05,0.000457,0.0196,,0.145,0.0804,
2205,2016-07-30,0.216,0.00903,1.28e-05,0.00041,0.017,,0.161,0.0689,
2206,2016-07-31,0.24,0.00757,1.79e-05,0.000424,0.0232,,0.155,0.0661,
2207,2016-08-01,0.202,0.00766,1.62e-05,0.000364,0.0176,,0.152,0.0668,
2208,2016-08-02,0.193,0.00706,1.69e-05,0.000393,0.0159,,0.132,0.0612,
2209,2016-08-03,0.173,0.0064,1.27e-05,0.00036,0.0122,,0.131,0.0636,
2210,2016-08-04,0.172,0.00742,1.23e-05,0.000433,0.0118,,0.146,0.0606,
2211,2016-08-05,0.187,0.00744,1.19e-05,0.000396,0.0131,,0.158,0.0641,
2212,2016-08-06,0.176,0.00672,2.37e-05,0.000385,0.0134,,0.152,0.0699,
2213,2016-08-07,0.205,0.00703,2.43e-05,0.0005,0.0152,,0.25,0.0655,
2214,2016-08-08,0.217,0.0137,2.73e-05,0.00045,0.0206,,0.17,0.0635,
2215,2016-08-09,0.188,0.0078,2.55e-05,0.000403,0.0349,,0.201,0.0655,
2216,2016-08-10,0.182,0.00879,2.43e-05,0.000416,0.0226,,0.178,0.079,
2217,2016-08-11,0.186,0.00789,2.52e-05,0.000416,0.0235,,0.153,0.0811,
2218,2016-08-12,0.178,0.00803,2.36e-05,0.000442,0.0215,,0.169,0.0562,
2219,2016-08-13,0.172,0.00712,2.3e-05,0.000386,0.0257,,0.178,0.0586,
2220,2016-08-14,0.178,0.00683,2.26e-05,0.000416,0.0368,,0.129,0.0872,
2221,2016-08-15,0.192,0.00717,2.23e-05,0.000394,0.0193,,0.188,0.0734,
2222,2016-08-16,0.187,0.00709,2.53e-05,0.000414,0.0181,,0.225,0.0846,
2223,2016-08-17,0.178,0.00702,2.59e-05,0.000378,0.0168,,0.18,0.0977,
2224,2016-08-18,0.183,0.0082,2.56e-05,0.000436,0.0153,,0.211,0.0963,
2225,2016-08-19,0.189,0.00746,2.55e-05,0.000468,0.0165,,0.153,0.0958,
2226,2016-08-20,0.17,0.00714,2.67e-05,0.000359,0.0203,,0.192,0.0764,
2227,2016-08-21,0.159,0.00756,2.5e-05,0.000374,0.0212,,0.238,0.0674,
2228,2016-08-22,0.168,0.00757,1.49e-05,0.000377,0.0245,,0.242,0.0899,
2229,2016-08-23,0.165,0.0165,1.9e-05,0.000352,0.0148,,0.365,0.101,
2230,2016-08-24,0.16,0.00708,1.55e-05,0.000375,0.0211,,0.383,0.139,
2231,2016-08-25,0.159,0.00728,1.79e-05,0.000378,0.0255,,0.322,0.0924,
2232,2016-08-26,0.159,0.00755,1.91e-05,0.000399,0.0182,,0.297,0.073,
2233,2016-08-27,0.167,0.00669,1.89e-05,0.000398,0.0193,,0.315,0.0838,
2234,2016-08-28,0.161,0.00667,1.51e-05,0.000401,0.0159,,0.461,0.0845,
2235,2016-08-29,0.164,0.00708,1.54e-05,0.000391,0.0158,,0.616,0.093,
2236,2016-08-30,0.155,0.00763,1.47e-05,0.000347,0.0173,,0.513,0.121,
2237,2016-08-31,0.159,0.00742,1.71e-05,0.000361,0.0318,,0.469,0.134,
2238,2016-09-01,0.153,0.00813,1.49e-05,0.000332,0.026,,0.439,0.127,
2239,2016-09-02,0.146,0.00984,1.35e-05,0.000337,0.0257,,0.42,0.124,
2240,2016-09-03,0.164,0.00722,1.35e-05,0.00033,0.0237,,0.742,0.102,
2241,2016-09-04,0.154,0.012,1.29e-05,0.000402,0.0313,,0.602,0.0893,
2242,2016-09-05,0.168,0.00785,1.26e-05,0.000372,0.0239,,0.686,0.117,
2243,2016-09-06,0.159,0.00787,1.35e-05,0.000328,0.0198,,0.625,0.101,
2244,2016-09-07,0.155,0.00814,1.26e-05,0.000328,0.0176,,0.644,0.111,
2245,2016-09-08,0.163,0.00843,1.32e-05,0.000343,0.0204,,0.591,0.119,
2246,2016-09-09,0.179,0.00896,1.25e-05,0.000351,0.0201,,0.635,0.136,
2247,2016-09-10,0.165,0.00746,1.16e-05,0.000342,0.0311,,0.594,0.116,
2248,2016-09-11,0.163,0.00782,1.34e-05,0.00037,0.0323,,0.619,0.114,
2249,2016-09-12,0.163,0.00914,1.3e-05,0.000356,0.0194,,0.508,0.158,
2250,2016-09-13,0.173,0.00856,1.25e-05,0.000406,0.0187,,0.527,0.119,
2251,2016-09-14,0.164,0.00804,1.17e-05,0.000432,0.0156,,0.574,0.13,
2252,2016-09-15,0.156,0.00827,2.1e-05,0.000367,0.0211,,0.568,0.134,
2253,2016-09-16,0.185,0.00996,1.88e-05,0.000384,0.013,,0.521,0.117,
2254,2016-09-17,0.163,0.00949,1.33e-05,0.000502,0.0261,,0.832,0.125,
2255,2016-09-18,0.168,0.01,1.39e-05,0.000454,0.0206,,0.548,0.154,
2256,2016-09-19,0.181,0.00879,1.53e-05,0.00046,0.0136,,0.645,0.122,
2257,2016-09-20,0.17,0.00831,1.25e-05,0.00038,0.0179,,0.792,0.126,
2258,2016-09-21,0.162,0.00935,1.21e-05,0.000375,0.0145,,0.86,0.138,
2259,2016-09-22,0.162,0.0157,1.35e-05,0.000376,0.0141,,0.554,0.137,
2260,2016-09-23,0.161,0.0185,1.42e-05,0.000489,0.0177,,0.538,0.158,
2261,2016-09-24,0.171,0.0213,1.77e-05,0.000368,0.0199,,0.592,0.116,
2262,2016-09-25,0.153,0.0225,1.58e-05,0.000425,0.0178,,0.65,0.119,
2263,2016-09-26,0.159,0.0343,2.91e-05,0.000411,0.0171,,0.558,0.169,
2264,2016-09-27,0.159,0.0275,2.67e-05,0.00047,0.0329,,0.519,0.136,
2265,2016-09-28,0.167,0.0211,1.88e-05,0.000359,0.0177,,0.496,0.118,
2266,2016-09-29,0.171,0.0134,2e-05,0.000381,0.0176,,0.347,0.155,
2267,2016-09-30,0.165,0.0148,3.32e-05,0.000391,0.0155,,0.325,0.142,
2268,2016-10-01,0.168,0.0226,4.9e-05,0.000369,0.0249,,0.282,0.163,
2269,2016-10-02,0.169,0.0226,3.12e-05,0.000438,0.0195,,0.276,0.152,
2270,2016-10-03,0.178,0.0183,3.27e-05,0.00042,0.0187,,0.305,0.153,
2271,2016-10-04,0.164,0.0201,4.46e-05,0.000403,0.0183,,0.281,0.146,
2272,2016-10-05,0.167,0.0203,5.05e-05,0.000391,0.0224,,0.261,0.14,
2273,2016-10-06,0.173,0.0176,4.08e-05,0.000372,0.0134,,0.225,0.143,
2274,2016-10-07,0.166,0.0156,3.93e-05,0.000368,0.0143,,0.141,0.15,
2275,2016-10-08,0.166,0.0183,2.26e-05,0.000369,0.0137,,0.14,0.135,
2276,2016-10-09,0.171,0.0167,6.17e-05,0.000443,0.0158,,0.157,0.137,
2277,2016-10-10,0.188,0.0144,,0.00041,0.015,,0.129,0.15,
2278,2016-10-11,0.194,0.0114,5.46e-05,0.000404,0.0225,,0.156,0.138,
2279,2016-10-12,0.187,0.0174,0.000102,0.000404,0.0219,,0.137,0.135,
2280,2016-10-13,0.186,0.0417,2.99e-05,0.000372,0.0253,,0.124,0.128,
2281,2016-10-14,0.181,0.0214,4.84e-05,0.000413,0.0229,,0.127,0.128,
2282,2016-10-15,0.19,0.0243,2.8e-05,0.000403,0.0223,,0.15,0.127,
2283,2016-10-16,0.186,0.0229,9.29e-05,0.000288,0.0191,,0.123,0.13,
2284,2016-10-17,0.195,0.0223,3.24e-05,0.000282,0.0146,,0.112,0.138,
2285,2016-10-18,0.196,0.0232,0.000117,0.000314,0.0133,,0.109,0.15,
2286,2016-10-19,0.198,0.0295,4.22e-05,0.000362,0.0111,,0.107,0.117,
2287,2016-10-20,0.208,0.0153,0.000132,0.000274,0.0117,,0.105,0.117,
2288,2016-10-21,0.181,0.00876,0.000296,0.000338,0.011,,0.117,0.122,
2289,2016-10-22,0.197,0.00883,6.65e-05,0.000323,0.0151,,0.132,0.117,
2290,2016-10-23,0.23,0.00893,3.37e-05,0.000361,0.017,,0.151,0.136,
2291,2016-10-24,0.233,0.011,3.11e-05,0.000308,0.0162,,0.0975,0.145,
2292,2016-10-25,0.274,0.0104,4.31e-05,0.000338,0.0134,,0.119,0.135,
2293,2016-10-26,0.369,0.00899,4.9e-05,0.00034,0.0133,,0.0977,0.103,
2294,2016-10-27,0.232,0.00857,6.21e-05,0.000334,0.0127,,0.0904,0.132,
2295,2016-10-28,0.225,0.00972,7.35e-05,0.000338,0.0165,,0.104,0.107,
2296,2016-10-29,0.225,0.00828,7.19e-05,0.000349,0.02,,0.0903,0.101,9.57e-05
2297,2016-10-30,0.212,0.00825,4.52e-05,0.000348,0.0194,,0.163,0.0951,0.000137
2298,2016-10-31,0.221,0.00826,4.94e-05,0.000446,0.0163,,0.0832,0.103,0.000393
2299,2016-11-01,0.23,0.00897,5.14e-05,0.000368,0.0214,,0.0853,0.104,4.93e-05
2300,2016-11-02,0.215,0.0073,3.23e-05,0.000343,0.0205,,0.0756,0.0993,
2301,2016-11-03,0.21,0.00764,6.19e-05,0.000378,0.0214,,0.0746,0.112,0.000138
2302,2016-11-04,0.238,0.0073,4.03e-05,0.000445,0.021,,0.0792,0.102,1.86e-05
2303,2016-11-05,0.218,0.00721,3.11e-05,0.000427,0.0205,,0.0807,0.115,3.56e-05
2304,2016-11-06,0.222,0.00743,2.61e-05,0.000514,0.0205,,0.0814,0.114,0.000218
2305,2016-11-07,0.234,0.00753,4.1e-05,0.000607,0.0173,,0.0956,0.121,7.18e-05
2306,2016-11-08,0.213,0.00819,4.91e-05,0.00052,0.0169,,0.157,0.118,
2307,2016-11-09,0.225,0.00915,4.13e-05,0.000481,0.0207,,0.101,0.118,6.43e-05
2308,2016-11-10,0.217,0.0093,3.91e-05,0.000526,0.0332,,0.0985,0.113,4.84e-05
2309,2016-11-11,0.204,0.0112,3.48e-05,0.000382,0.0231,,0.122,0.103,8.73e-05
2310,2016-11-12,0.204,0.00759,4.95e-05,0.000461,0.0277,,0.108,0.106,3.75e-05
2311,2016-11-13,0.199,0.00782,3.12e-05,0.000547,0.0186,,0.122,0.102,
2312,2016-11-14,0.206,0.00874,2.4e-05,0.000489,0.0235,,0.125,0.112,2.93e-05
2313,2016-11-15,0.206,0.00821,6.22e-05,0.000557,0.0182,,0.113,0.117,1.18e-05
2314,2016-11-16,0.198,0.0085,0.000131,0.000417,0.0209,,0.127,0.127,3.19e-05
2315,2016-11-17,0.238,0.00744,8.21e-05,0.000405,0.0211,,0.113,0.125,9.53e-05
2316,2016-11-18,0.225,0.00767,4.46e-05,0.000381,0.0212,,0.122,0.0998,9e-06
2317,2016-11-19,0.216,0.00682,8.12e-05,0.000406,0.024,,0.106,0.095,
2318,2016-11-20,0.222,0.0074,5.92e-05,0.000379,0.0227,,0.0894,0.103,2.81e-05
2319,2016-11-21,0.244,0.00789,3.17e-05,0.000402,0.0231,,0.0978,0.104,1.14e-05
2320,2016-11-22,0.264,0.00702,5.38e-05,0.00045,0.0166,,0.116,0.13,1.56e-05
2321,2016-11-23,0.292,0.0125,8.38e-05,0.000495,0.0188,,0.13,0.099,2.46e-05
2322,2016-11-24,0.306,0.0151,6.34e-05,0.000406,0.0219,,0.141,0.1,2.02e-05
2323,2016-11-25,0.322,0.00965,5.71e-05,0.000456,0.0267,,0.116,0.0906,3.86e-06
2324,2016-11-26,0.269,0.0166,2.45e-05,0.000401,0.0244,,0.13,0.102,5.19e-05
2325,2016-11-27,0.251,0.0234,4.85e-05,0.00049,0.0202,,0.118,0.103,
2326,2016-11-28,0.269,0.0222,4.09e-05,0.000434,0.0194,,0.115,0.127,1.56e-05
2327,2016-11-29,0.256,0.0177,4.22e-05,0.000452,0.0143,,0.111,0.122,2.51e-05
2328,2016-11-30,0.251,0.00757,5.72e-05,0.000583,0.0146,,0.121,0.112,2.89e-05
2329,2016-12-01,0.321,0.00618,5.05e-05,0.000522,0.0163,,0.18,0.109,1.52e-05
2330,2016-12-02,0.294,0.00536,0.000222,0.000516,0.016,,0.136,0.14,7.25e-06
2331,2016-12-03,0.269,0.00493,3.61e-05,0.00051,0.0179,,0.122,0.119,1.85e-05
2332,2016-12-04,0.288,0.00507,6.43e-05,0.000402,0.02,,0.117,0.147,1.08e-05
2333,2016-12-05,0.288,0.00542,3.65e-05,0.000481,0.0186,,0.115,0.103,7.13e-06
2334,2016-12-06,0.282,0.00492,4.02e-05,0.000461,0.0162,,0.143,0.113,0.000204
2335,2016-12-07,0.263,0.00648,4.45e-05,0.000522,0.0156,,0.114,0.108,8.41e-06
2336,2016-12-08,0.261,0.17,3.96e-05,0.000433,0.0194,,0.128,0.121,0.000364
2337,2016-12-09,0.275,0.00633,2.48e-05,0.000523,0.0185,,0.118,0.12,
2338,2016-12-10,0.268,0.00592,1.98e-05,0.000503,0.0178,,0.126,0.113,1.57e-05
2339,2016-12-11,0.256,0.00768,1.97e-05,0.000415,0.0194,,0.118,0.129,4.51e-06
2340,2016-12-12,0.269,0.00671,2.27e-05,0.000469,0.0215,,0.116,0.139,1.28e-05
2341,2016-12-13,0.26,0.00581,3.23e-05,0.000441,0.0301,,0.13,0.124,2.29e-06
2342,2016-12-14,0.257,0.00615,2.54e-05,0.000342,0.0277,,0.156,0.142,1.88e-06
2343,2016-12-15,0.276,0.00594,1.72e-05,0.000351,0.0243,,0.14,0.125,2.2e-05
2344,2016-12-16,0.272,0.00544,3.29e-05,0.000342,0.0221,,0.134,0.143,5.67e-06
2345,2016-12-17,0.269,0.00634,2.49e-05,0.000354,0.0229,,0.127,0.131,1.53e-05
2346,2016-12-18,0.27,0.00591,2.21e-05,0.000405,0.0139,,0.11,0.136,7.21e-06
2347,2016-12-19,0.291,0.00617,1.93e-05,0.000358,0.0174,,0.11,0.169,1.91e-05
2348,2016-12-20,0.272,0.00754,2.1e-05,0.00033,0.0142,,0.112,0.161,1.01e-05
2349,2016-12-21,0.286,0.00833,3.55e-05,0.00034,0.0184,,0.115,0.147,1.02e-05
2350,2016-12-22,0.288,0.00535,6.82e-05,0.000366,0.0252,,0.111,0.137,
2351,2016-12-23,0.295,0.0049,7.35e-05,0.000434,0.0265,,0.118,0.133,9.47e-06
2352,2016-12-24,0.312,0.00495,4.93e-05,0.000417,0.0282,,0.124,0.132,2.38e-05
2353,2016-12-25,0.274,0.00476,3.82e-05,0.000421,0.0379,,0.121,0.131,2.7e-05
2354,2016-12-26,0.322,0.00482,3.73e-05,0.00039,0.0384,,0.115,0.139,4.4e-06
2355,2016-12-27,0.306,0.00615,5.22e-05,0.000419,0.0479,,0.145,0.142,1.86e-05
2356,2016-12-28,0.325,0.00523,6.95e-05,0.000421,0.0531,,0.182,0.157,1.28e-06
2357,2016-12-29,0.34,0.00708,4.3e-05,0.000443,0.062,,0.159,0.154,3.69e-05
2358,2016-12-30,0.333,0.00827,4.12e-05,0.000461,0.0504,,0.129,0.161,6.69e-06
2359,2016-12-31,0.314,0.00555,3.53e-05,0.000403,0.0667,,0.133,0.177,3.56e-06
2360,2017-01-01,0.35,0.00537,3.9e-05,0.00049,0.0925,,0.142,0.178,9.4e-06
2361,2017-01-02,0.392,0.0058,4.53e-05,0.00051,0.0434,,0.182,0.171,
2362,2017-01-03,0.396,0.00773,4.75e-05,0.000374,0.0563,,0.18,0.161,
2363,2017-01-04,0.633,0.00814,0.000111,0.000462,0.053,,0.179,0.162,4.3e-05
2364,2017-01-05,0.417,0.00736,0.000188,0.00051,0.0489,,0.197,0.195,2.2e-05
2365,2017-01-06,0.342,0.00715,0.000146,0.000485,0.0459,,0.27,0.186,6.49e-06
2366,2017-01-07,0.326,0.00676,9.36e-05,0.000468,0.0436,,0.133,0.17,1.47e-06
2367,2017-01-08,0.319,0.00772,5.52e-05,0.000491,0.0464,,0.144,0.177,2.84e-05
2368,2017-01-09,0.337,0.00811,7.7e-05,0.000512,0.0668,,0.159,0.154,4.31e-06
2369,2017-01-10,0.333,0.00835,0.000186,0.000467,0.0595,,0.325,0.181,
2370,2017-01-11,0.311,0.00769,0.00096,0.000431,0.0576,,0.322,0.211,2.14e-06
