,Time,BTC_Median_Transaction_Fee_USD,ETH_Median_Transaction_Fee_USD,XRP_Median_Transaction_Fee_USD,DOGE_Median_Transaction_Fee_USD,LTC_Median_Transaction_Fee_USD,BCH_Median_Transaction_Fee_USD,XMR_Median_Transaction_Fee_USD,DASH_Median_Transaction_Fee_USD,ZEC_Median_Transaction_Fee_USD
88,2010-10-13,,,,,,,,,
89,2010-10-14,,,,,,,,,
90,2010-10-15,,,,,,,,,
91,2010-10-16,,,,,,,,,
92,2010-10-17,,,,,,,,,
93,2010-10-18,,,,,,,,,
94,2010-10-19,,,,,,,,,
95,2010-10-20,,,,,,,,,
96,2010-10-21,,,,,,,,,
97,2010-10-22,,,,,,,,,
98,2010-10-23,,,,,,,,,
99,2010-10-24,,,,,,,,,
100,2010-10-25,,,,,,,,,
101,2010-10-26,,,,,,,,,
102,2010-10-27,,,,,,,,,
103,2010-10-28,,,,,,,,,
104,2010-10-29,,,,,,,,,
105,2010-10-30,,,,,,,,,
106,2010-10-31,,,,,,,,,
107,2010-11-01,,,,,,,,,
108,2010-11-02,,,,,,,,,
109,2010-11-03,,,,,,,,,
110,2010-11-04,,,,,,,,,
111,2010-11-05,,,,,,,,,
112,2010-11-06,,,,,,,,,
113,2010-11-07,,,,,,,,,
114,2010-11-08,,,,,,,,,
115,2010-11-09,,,,,,,,,
116,2010-11-10,,,,,,,,,
117,2010-11-11,,,,,,,,,
118,2010-11-12,,,,,,,,,
119,2010-11-13,,,,,,,,,
120,2010-11-14,,,,,,,,,
121,2010-11-15,,,,,,,,,
122,2010-11-16,,,,,,,,,
123,2010-11-17,,,,,,,,,
124,2010-11-18,,,,,,,,,
125,2010-11-19,,,,,,,,,
126,2010-11-20,,,,,,,,,
127,2010-11-21,,,,,,,,,
128,2010-11-22,,,,,,,,,
129,2010-11-23,,,,,,,,,
130,2010-11-24,,,,,,,,,
131,2010-11-25,,,,,,,,,
132,2010-11-26,,,,,,,,,
133,2010-11-27,,,,,,,,,
134,2010-11-28,,,,,,,,,
135,2010-11-29,,,,,,,,,
136,2010-11-30,,,,,,,,,
137,2010-12-01,,,,,,,,,
138,2010-12-02,,,,,,,,,
139,2010-12-03,,,,,,,,,
140,2010-12-04,,,,,,,,,
141,2010-12-05,,,,,,,,,
142,2010-12-06,,,,,,,,,
143,2010-12-07,,,,,,,,,
144,2010-12-08,,,,,,,,,
145,2010-12-09,,,,,,,,,
146,2010-12-10,,,,,,,,,
147,2010-12-11,,,,,,,,,
148,2010-12-12,,,,,,,,,
149,2010-12-13,,,,,,,,,
150,2010-12-14,,,,,,,,,
151,2010-12-15,,,,,,,,,
152,2010-12-16,,,,,,,,,
153,2010-12-17,,,,,,,,,
154,2010-12-18,,,,,,,,,
155,2010-12-19,,,,,,,,,
156,2010-12-20,,,,,,,,,
157,2010-12-21,,,,,,,,,
158,2010-12-22,,,,,,,,,
159,2010-12-23,,,,,,,,,
160,2010-12-24,,,,,,,,,
161,2010-12-25,,,,,,,,,
162,2010-12-26,,,,,,,,,
163,2010-12-27,,,,,,,,,
164,2010-12-28,,,,,,,,,
165,2010-12-29,,,,,,,,,
166,2010-12-30,,,,,,,,,
167,2010-12-31,,,,,,,,,
168,2011-01-01,,,,,,,,,
169,2011-01-02,,,,,,,,,
170,2011-01-03,,,,,,,,,
171,2011-01-04,,,,,,,,,
172,2011-01-05,,,,,,,,,
173,2011-01-06,,,,,,,,,
174,2011-01-07,,,,,,,,,
175,2011-01-08,,,,,,,,,
176,2011-01-09,,,,,,,,,
177,2011-01-10,,,,,,,,,
178,2011-01-11,,,,,,,,,
179,2011-01-12,,,,,,,,,
180,2011-01-13,,,,,,,,,
181,2011-01-14,,,,,,,,,
182,2011-01-15,,,,,,,,,
183,2011-01-16,,,,,,,,,
184,2011-01-17,,,,,,,,,
185,2011-01-18,,,,,,,,,
186,2011-01-19,,,,,,,,,
187,2011-01-20,,,,,,,,,
188,2011-01-21,,,,,,,,,
189,2011-01-22,,,,,,,,,
190,2011-01-23,,,,,,,,,
191,2011-01-24,,,,,,,,,
192,2011-01-25,,,,,,,,,
193,2011-01-26,,,,,,,,,
194,2011-01-27,,,,,,,,,
195,2011-01-28,,,,,,,,,
196,2011-01-29,,,,,,,,,
197,2011-01-30,,,,,,,,,
198,2011-01-31,,,,,,,,,
199,2011-02-01,,,,,,,,,
200,2011-02-02,,,,,,,,,
201,2011-02-03,,,,,,,,,
202,2011-02-04,,,,,,,,,
203,2011-02-05,,,,,,,,,
204,2011-02-06,,,,,,,,,
205,2011-02-07,,,,,,,,,
206,2011-02-08,,,,,,,,,
207,2011-02-09,,,,,,,,,
208,2011-02-10,,,,,,,,,
209,2011-02-11,,,,,,,,,
210,2011-02-12,,,,,,,,,
211,2011-02-13,,,,,,,,,
212,2011-02-14,,,,,,,,,
213,2011-02-15,,,,,,,,,
214,2011-02-16,,,,,,,,,
215,2011-02-17,,,,,,,,,
216,2011-02-18,,,,,,,,,
217,2011-02-19,,,,,,,,,
218,2011-02-20,,,,,,,,,
219,2011-02-21,,,,,,,,,
220,2011-02-22,,,,,,,,,
221,2011-02-23,,,,,,,,,
222,2011-02-24,,,,,,,,,
223,2011-02-25,,,,,,,,,
224,2011-02-26,,,,,,,,,
225,2011-02-27,,,,,,,,,
226,2011-02-28,,,,,,,,,
227,2011-03-01,,,,,,,,,
228,2011-03-02,,,,,,,,,
229,2011-03-03,,,,,,,,,
230,2011-03-04,,,,,,,,,
231,2011-03-05,,,,,,,,,
232,2011-03-06,,,,,,,,,
233,2011-03-07,,,,,,,,,
234,2011-03-08,,,,,,,,,
235,2011-03-09,,,,,,,,,
236,2011-03-10,,,,,,,,,
237,2011-03-11,,,,,,,,,
238,2011-03-12,,,,,,,,,
239,2011-03-13,,,,,,,,,
240,2011-03-14,,,,,,,,,
241,2011-03-15,,,,,,,,,
242,2011-03-16,,,,,,,,,
243,2011-03-17,,,,,,,,,
244,2011-03-18,,,,,,,,,
245,2011-03-19,,,,,,,,,
246,2011-03-20,,,,,,,,,
247,2011-03-21,,,,,,,,,
248,2011-03-22,,,,,,,,,
249,2011-03-23,,,,,,,,,
250,2011-03-24,,,,,,,,,
251,2011-03-25,,,,,,,,,
252,2011-03-26,,,,,,,,,
253,2011-03-27,,,,,,,,,
254,2011-03-28,,,,,,,,,
255,2011-03-29,,,,,,,,,
256,2011-03-30,,,,,,,,,
257,2011-03-31,,,,,,,,,
258,2011-04-01,,,,,,,,,
259,2011-04-02,,,,,,,,,
260,2011-04-03,,,,,,,,,
261,2011-04-04,,,,,,,,,
262,2011-04-05,,,,,,,,,
263,2011-04-06,,,,,,,,,
264,2011-04-07,,,,,,,,,
265,2011-04-08,,,,,,,,,
266,2011-04-09,,,,,,,,,
267,2011-04-10,,,,,,,,,
268,2011-04-11,,,,,,,,,
269,2011-04-12,,,,,,,,,
270,2011-04-13,,,,,,,,,
271,2011-04-14,0.0097,,,,,,,,
272,2011-04-15,,,,,,,,,
273,2011-04-16,,,,,,,,,
274,2011-04-17,,,,,,,,,
275,2011-04-18,,,,,,,,,
276,2011-04-19,,,,,,,,,
277,2011-04-20,,,,,,,,,
278,2011-04-21,,,,,,,,,
279,2011-04-22,,,,,,,,,
280,2011-04-23,,,,,,,,,
281,2011-04-24,,,,,,,,,
282,2011-04-25,,,,,,,,,
283,2011-04-26,,,,,,,,,
284,2011-04-27,,,,,,,,,
285,2011-04-28,,,,,,,,,
286,2011-04-29,,,,,,,,,
287,2011-04-30,,,,,,,,,
288,2011-05-01,,,,,,,,,
289,2011-05-02,,,,,,,,,
290,2011-05-03,,,,,,,,,
291,2011-05-04,,,,,,,,,
292,2011-05-05,,,,,,,,,
293,2011-05-06,,,,,,,,,
294,2011-05-07,,,,,,,,,
295,2011-05-08,,,,,,,,,
296,2011-05-09,,,,,,,,,
297,2011-05-10,,,,,,,,,
298,2011-05-11,,,,,,,,,
299,2011-05-12,,,,,,,,,
300,2011-05-13,,,,,,,,,
301,2011-05-14,,,,,,,,,
302,2011-05-15,,,,,,,,,
303,2011-05-16,,,,,,,,,
304,2011-05-17,,,,,,,,,
305,2011-05-18,,,,,,,,,
306,2011-05-19,,,,,,,,,
307,2011-05-20,,,,,,,,,
308,2011-05-21,,,,,,,,,
309,2011-05-22,,,,,,,,,
310,2011-05-23,,,,,,,,,
311,2011-05-24,,,,,,,,,
312,2011-05-25,,,,,,,,,
313,2011-05-26,,,,,,,,,
314,2011-05-27,,,,,,,,,
315,2011-05-28,,,,,,,,,
316,2011-05-29,,,,,,,,,
317,2011-05-30,,,,,,,,,
318,2011-05-31,,,,,,,,,
319,2011-06-01,,,,,,,,,
320,2011-06-02,,,,,,,,,
321,2011-06-03,,,,,,,,,
322,2011-06-04,,,,,,,,,
323,2011-06-05,,,,,,,,,
324,2011-06-06,,,,,,,,,
325,2011-06-07,,,,,,,,,
326,2011-06-08,,,,,,,,,
327,2011-06-09,,,,,,,,,
328,2011-06-10,,,,,,,,,
329,2011-06-11,,,,,,,,,
330,2011-06-12,,,,,,,,,
331,2011-06-13,,,,,,,,,
332,2011-06-14,,,,,,,,,
333,2011-06-15,,,,,,,,,
334,2011-06-16,,,,,,,,,
335,2011-06-17,,,,,,,,,
336,2011-06-18,,,,,,,,,
337,2011-06-19,,,,,,,,,
338,2011-06-20,,,,,,,,,
339,2011-06-21,,,,,,,,,
340,2011-06-22,,,,,,,,,
341,2011-06-23,,,,,,,,,
342,2011-06-24,,,,,,,,,
343,2011-06-25,,,,,,,,,
344,2011-06-26,,,,,,,,,
345,2011-06-27,,,,,,,,,
346,2011-06-28,,,,,,,,,
347,2011-06-29,,,,,,,,,
348,2011-06-30,,,,,,,,,
349,2011-07-01,0.00787,,,,,,,,
350,2011-07-02,,,,,,,,,
351,2011-07-03,,,,,,,,,
352,2011-07-04,,,,,,,,,
353,2011-07-05,,,,,,,,,
354,2011-07-06,,,,,,,,,
355,2011-07-07,,,,,,,,,
356,2011-07-08,,,,,,,,,
357,2011-07-09,,,,,,,,,
358,2011-07-10,,,,,,,,,
359,2011-07-11,,,,,,,,,
360,2011-07-12,,,,,,,,,
361,2011-07-13,,,,,,,,,
362,2011-07-14,,,,,,,,,
363,2011-07-15,,,,,,,,,
364,2011-07-16,,,,,,,,,
365,2011-07-17,,,,,,,,,
366,2011-07-18,,,,,,,,,
367,2011-07-19,,,,,,,,,
368,2011-07-20,,,,,,,,,
369,2011-07-21,,,,,,,,,
370,2011-07-22,0.00683,,,,,,,,
371,2011-07-23,,,,,,,,,
372,2011-07-24,,,,,,,,,
373,2011-07-25,,,,,,,,,
374,2011-07-26,,,,,,,,,
375,2011-07-27,,,,,,,,,
376,2011-07-28,,,,,,,,,
377,2011-07-29,,,,,,,,,
378,2011-07-30,,,,,,,,,
379,2011-07-31,,,,,,,,,
380,2011-08-01,,,,,,,,,
381,2011-08-02,,,,,,,,,
382,2011-08-03,,,,,,,,,
383,2011-08-04,,,,,,,,,
384,2011-08-05,,,,,,,,,
385,2011-08-06,,,,,,,,,
386,2011-08-07,,,,,,,,,
387,2011-08-08,,,,,,,,,
388,2011-08-09,,,,,,,,,
389,2011-08-10,,,,,,,,,
390,2011-08-11,,,,,,,,,
391,2011-08-12,,,,,,,,,
392,2011-08-13,,,,,,,,,
393,2011-08-14,,,,,,,,,
394,2011-08-15,0.00549,,,,,,,,
395,2011-08-16,0.00553,,,,,,,,
396,2011-08-17,,,,,,,,,
397,2011-08-18,,,,,,,,,
398,2011-08-19,,,,,,,,,
399,2011-08-20,,,,,,,,,
400,2011-08-21,,,,,,,,,
401,2011-08-22,,,,,,,,,
402,2011-08-23,,,,,,,,,
403,2011-08-24,,,,,,,,,
404,2011-08-25,,,,,,,,,
405,2011-08-26,,,,,,,,,
406,2011-08-27,,,,,,,,,
407,2011-08-28,,,,,,,,,
408,2011-08-29,,,,,,,,,
409,2011-08-30,,,,,,,,,
410,2011-08-31,,,,,,,,,
411,2011-09-01,,,,,,,,,
412,2011-09-02,,,,,,,,,
413,2011-09-03,,,,,,,,,
414,2011-09-04,,,,,,,,,
415,2011-09-05,,,,,,,,,
416,2011-09-06,,,,,,,,,
417,2011-09-07,,,,,,,,,
418,2011-09-08,,,,,,,,,
419,2011-09-09,,,,,,,,,
420,2011-09-10,,,,,,,,,
421,2011-09-11,,,,,,,,,
422,2011-09-12,,,,,,,,,
423,2011-09-13,,,,,,,,,
424,2011-09-14,,,,,,,,,
425,2011-09-15,,,,,,,,,
426,2011-09-16,,,,,,,,,
427,2011-09-17,,,,,,,,,
428,2011-09-18,,,,,,,,,
429,2011-09-19,,,,,,,,,
430,2011-09-20,,,,,,,,,
431,2011-09-21,,,,,,,,,
432,2011-09-22,,,,,,,,,
433,2011-09-23,,,,,,,,,
434,2011-09-24,,,,,,,,,
435,2011-09-25,,,,,,,,,
436,2011-09-26,,,,,,,,,
437,2011-09-27,,,,,,,,,
438,2011-09-28,,,,,,,,,
439,2011-09-29,,,,,,,,,
440,2011-09-30,,,,,,,,,
441,2011-10-01,,,,,,,,,
442,2011-10-02,,,,,,,,,
443,2011-10-03,,,,,,,,,
444,2011-10-04,,,,,,,,,
445,2011-10-05,,,,,,,,,
446,2011-10-06,,,,,,,,,
447,2011-10-07,,,,,,,,,
448,2011-10-08,,,,,,,,,
449,2011-10-09,,,,,,,,,
450,2011-10-10,,,,,,,,,
451,2011-10-11,,,,,,,,,
452,2011-10-12,,,,,,,,,
453,2011-10-13,,,,,,,,,
454,2011-10-14,,,,,,,,,
455,2011-10-15,,,,,,,,,
456,2011-10-16,,,,,,,,,
457,2011-10-17,,,,,,,,,
458,2011-10-18,,,,,,,,,
459,2011-10-19,,,,,,,,,
460,2011-10-20,,,,,,,,,
461,2011-10-21,,,,,,,,,
462,2011-10-22,,,,,,,,,
463,2011-10-23,,,,,,,,,
464,2011-10-24,,,,,,,,,
465,2011-10-25,,,,,,,,,
466,2011-10-26,,,,,,,,,
467,2011-10-27,,,,,,,,,
468,2011-10-28,,,,,,,,,
469,2011-10-29,,,,,,,,,
470,2011-10-30,,,,,,,,,
471,2011-10-31,,,,,,,,,
472,2011-11-01,,,,,,,,,
473,2011-11-02,,,,,,,,,
474,2011-11-03,,,,,,,,,
475,2011-11-04,,,,,,,,,
476,2011-11-05,,,,,,,,,
477,2011-11-06,,,,,,,,,
478,2011-11-07,,,,,,,,,
479,2011-11-08,,,,,,,,,
480,2011-11-09,,,,,,,,,
481,2011-11-10,,,,,,,,,
482,2011-11-11,,,,,,,,,
483,2011-11-12,,,,,,,,,
484,2011-11-13,,,,,,,,,
485,2011-11-14,,,,,,,,,
486,2011-11-15,,,,,,,,,
487,2011-11-16,,,,,,,,,
488,2011-11-17,,,,,,,,,
489,2011-11-18,,,,,,,,,
490,2011-11-19,,,,,,,,,
491,2011-11-20,,,,,,,,,
492,2011-11-21,,,,,,,,,
493,2011-11-22,,,,,,,,,
494,2011-11-23,,,,,,,,,
495,2011-11-24,,,,,,,,,
496,2011-11-25,,,,,,,,,
497,2011-11-26,,,,,,,,,
498,2011-11-27,,,,,,,,,
499,2011-11-28,,,,,,,,,
500,2011-11-29,,,,,,,,,
501,2011-11-30,,,,,,,,,
502,2011-12-01,,,,,,,,,
503,2011-12-02,,,,,,,,,
504,2011-12-03,,,,,,,,,
505,2011-12-04,,,,,,,,,
506,2011-12-05,,,,,,,,,
507,2011-12-06,,,,,,,,,
508,2011-12-07,,,,,,,,,
509,2011-12-08,,,,,,,,,
510,2011-12-09,,,,,,,,,
511,2011-12-10,,,,,,,,,
512,2011-12-11,,,,,,,,,
513,2011-12-12,,,,,,,,,
514,2011-12-13,,,,,,,,,
515,2011-12-14,,,,,,,,,
516,2011-12-15,,,,,,,,,
517,2011-12-16,,,,,,,,,
518,2011-12-17,,,,,,,,,
519,2011-12-18,,,,,,,,,
520,2011-12-19,,,,,,,,,
521,2011-12-20,,,,,,,,,
522,2011-12-21,,,,,,,,,
523,2011-12-22,,,,,,,,,
524,2011-12-23,,,,,,,,,
525,2011-12-24,,,,,,,,,
526,2011-12-25,,,,,,,,,
527,2011-12-26,,,,,,,,,
528,2011-12-27,,,,,,,,,
529,2011-12-28,,,,,,,,,
530,2011-12-29,,,,,,,,,
531,2011-12-30,,,,,,,,,
532,2011-12-31,,,,,,,,,
533,2012-01-01,,,,,,,,,
534,2012-01-02,,,,,,,,,
535,2012-01-03,,,,,,,,,
536,2012-01-04,,,,,,,,,
537,2012-01-05,,,,,,,,,
538,2012-01-06,,,,,,,,,
539,2012-01-07,,,,,,,,,
540,2012-01-08,,,,,,,,,
541,2012-01-09,,,,,,,,,
542,2012-01-10,,,,,,,,,
543,2012-01-11,,,,,,,,,
544,2012-01-12,,,,,,,,,
545,2012-01-13,,,,,,,,,
546,2012-01-14,,,,,,,,,
547,2012-01-15,,,,,,,,,
548,2012-01-16,,,,,,,,,
549,2012-01-17,,,,,,,,,
550,2012-01-18,,,,,,,,,
551,2012-01-19,,,,,,,,,
552,2012-01-20,,,,,,,,,
553,2012-01-21,,,,,,,,,
554,2012-01-22,,,,,,,,,
555,2012-01-23,,,,,,,,,
556,2012-01-24,,,,,,,,,
557,2012-01-25,,,,,,,,,
558,2012-01-26,,,,,,,,,
559,2012-01-27,,,,,,,,,
560,2012-01-28,,,,,,,,,
561,2012-01-29,,,,,,,,,
562,2012-01-30,,,,,,,,,
563,2012-01-31,,,,,,,,,
564,2012-02-01,,,,,,,,,
565,2012-02-02,,,,,,,,,
566,2012-02-03,,,,,,,,,
567,2012-02-04,,,,,,,,,
568,2012-02-05,,,,,,,,,
569,2012-02-06,,,,,,,,,
570,2012-02-07,,,,,,,,,
571,2012-02-08,,,,,,,,,
572,2012-02-09,,,,,,,,,
573,2012-02-10,,,,,,,,,
574,2012-02-11,,,,,,,,,
575,2012-02-12,,,,,,,,,
576,2012-02-13,,,,,,,,,
577,2012-02-14,4.86e-07,,,,,,,,
578,2012-02-15,0.0022,,,,,,,,
579,2012-02-16,0.00214,,,,,,,,
580,2012-02-17,,,,,,,,,
581,2012-02-18,,,,,,,,,
582,2012-02-19,,,,,,,,,
583,2012-02-20,,,,,,,,,
584,2012-02-21,,,,,,,,,
585,2012-02-22,,,,,,,,,
586,2012-02-23,,,,,,,,,
587,2012-02-24,,,,,,,,,
588,2012-02-25,,,,,,,,,
589,2012-02-26,,,,,,,,,
590,2012-02-27,,,,,,,,,
591,2012-02-28,,,,,,,,,
592,2012-02-29,,,,,,,,,
593,2012-03-01,,,,,,,,,
594,2012-03-02,,,,,,,,,
595,2012-03-03,,,,,,,,,
596,2012-03-04,,,,,,,,,
597,2012-03-05,,,,,,,,,
598,2012-03-06,,,,,,,,,
599,2012-03-07,,,,,,,,,
600,2012-03-08,,,,,,,,,
601,2012-03-09,,,,,,,,,
602,2012-03-10,,,,,,,,,
603,2012-03-11,,,,,,,,,
604,2012-03-12,,,,,,,,,
605,2012-03-13,,,,,,,,,
606,2012-03-14,,,,,,,,,
607,2012-03-15,,,,,,,,,
608,2012-03-16,,,,,,,,,
609,2012-03-17,,,,,,,,,
610,2012-03-18,,,,,,,,,
611,2012-03-19,,,,,,,,,
612,2012-03-20,,,,,,,,,
613,2012-03-21,,,,,,,,,
614,2012-03-22,,,,,,,,,
615,2012-03-23,,,,,,,,,
616,2012-03-24,,,,,,,,,
617,2012-03-25,,,,,,,,,
618,2012-03-26,,,,,,,,,
619,2012-03-27,,,,,,,,,
620,2012-03-28,,,,,,,,,
621,2012-03-29,,,,,,,,,
622,2012-03-30,,,,,,,,,
623,2012-03-31,,,,,,,,,
624,2012-04-01,,,,,,,,,
625,2012-04-02,,,,,,,,,
626,2012-04-03,,,,,,,,,
627,2012-04-04,,,,,,,,,
628,2012-04-05,,,,,,,,,
629,2012-04-06,,,,,,,,,
630,2012-04-07,,,,,,,,,
631,2012-04-08,,,,,,,,,
632,2012-04-09,,,,,,,,,
633,2012-04-10,,,,,,,,,
634,2012-04-11,,,,,,,,,
635,2012-04-12,,,,,,,,,
636,2012-04-13,,,,,,,,,
637,2012-04-14,,,,,,,,,
638,2012-04-15,,,,,,,,,
639,2012-04-16,,,,,,,,,
640,2012-04-17,,,,,,,,,
641,2012-04-18,,,,,,,,,
642,2012-04-19,,,,,,,,,
643,2012-04-20,,,,,,,,,
644,2012-04-21,,,,,,,,,
645,2012-04-22,,,,,,,,,
646,2012-04-23,,,,,,,,,
647,2012-04-24,,,,,,,,,
648,2012-04-25,,,,,,,,,
649,2012-04-26,0.00256,,,,,,,,
650,2012-04-27,,,,,,,,,
651,2012-04-28,,,,,,,,,
652,2012-04-29,,,,,,,,,
653,2012-04-30,0.00247,,,,,,,,
654,2012-05-01,0.00249,,,,,,,,
655,2012-05-02,0.00252,,,,,,,,
656,2012-05-03,0.00255,,,,,,,,
657,2012-05-04,0.00254,,,,,,,,
658,2012-05-05,0.00254,,,,,,,,
659,2012-05-06,0.00253,,,,,,,,
660,2012-05-07,0.00253,,,,,,,,
661,2012-05-08,0.00253,,,,,,,,
662,2012-05-09,0.00252,,,,,,,,
663,2012-05-10,0.00248,,,,,,,,
664,2012-05-11,0.00245,,,,,,,,
665,2012-05-12,0.00247,,,,,,,,
666,2012-05-13,0.00247,,,,,,,,
667,2012-05-14,0.00249,,,,,,,,
668,2012-05-15,0.00251,,,,,,,,
669,2012-05-16,0.00253,,,,,,,,
670,2012-05-17,0.00255,,,,,,,,
671,2012-05-18,0.00255,,,,,,,,
672,2012-05-19,0.00256,,,,,,,,
673,2012-05-20,0.00255,,,,,,,,
674,2012-05-21,0.00255,,,,,,,,
675,2012-05-22,0.00255,,,,,,,,
676,2012-05-23,0.00256,,,,,,,,
677,2012-05-24,0.00256,,,,,,,,
678,2012-05-25,0.00257,,,,,,,,
679,2012-05-26,0.00255,,,,,,,,
680,2012-05-27,0.00256,,,,,,,,
681,2012-05-28,0.00257,,,,,,,,
682,2012-05-29,0.00257,,,,,,,,
683,2012-05-30,0.00257,,,,,,,,
684,2012-05-31,0.00258,,,,,,,,
685,2012-06-01,0.00262,,,,,,,,
686,2012-06-02,0.00263,,,,,,,,
687,2012-06-03,0.00261,,,,,,,,
688,2012-06-04,0.00262,,,,,,,,
689,2012-06-05,0.00268,,,,,,,,
690,2012-06-06,0.00273,,,,,,,,
691,2012-06-07,0.00276,,,,,,,,
692,2012-06-08,0.00281,,,,,,,,
693,2012-06-09,0.0028,,,,,,,,
694,2012-06-10,0.00276,,,,,,,,
695,2012-06-11,0.00276,,,,,,,,
696,2012-06-12,0.00282,,,,,,,,
697,2012-06-13,0.00291,,,,,,,,
698,2012-06-14,0.00297,,,,,,,,
699,2012-06-15,0.00311,,,,,,,,
700,2012-06-16,0.00323,,,,,,,,
701,2012-06-17,0.00315,,,,,,,,
702,2012-06-18,0.00313,,,,,,,,
703,2012-06-19,0.0032,,,,,,,,
704,2012-06-20,0.00329,,,,,,,,
705,2012-06-21,0.00334,,,,,,,,
706,2012-06-22,0.00331,,,,,,,,
707,2012-06-23,0.00324,,,,,,,,
708,2012-06-24,0.00319,,,,,,,,
709,2012-06-25,0.00316,,,,,,,,
710,2012-06-26,0.00319,,,,,,,,
711,2012-06-27,0.00328,,,,,,,,
712,2012-06-28,0.00331,,,,,,,,
713,2012-06-29,0.00331,,,,,,,,
714,2012-06-30,0.00333,,,,,,,,
715,2012-07-01,0.00333,,,,,,,,
716,2012-07-02,0.00334,,,,,,,,
717,2012-07-03,0.0033,,,,,,,,
718,2012-07-04,0.00324,,,,,,,,
719,2012-07-05,0.0033,,,,,,,,
720,2012-07-06,0.00333,,,,,,,,
721,2012-07-07,0.00337,,,,,,,,
722,2012-07-08,0.00339,,,,,,,,
723,2012-07-09,0.00345,,,,,,,,
724,2012-07-10,0.00356,,,,,,,,
725,2012-07-11,0.00359,,,,,,,,
726,2012-07-12,0.00373,,,,,,,,
727,2012-07-13,0.00384,,,,,,,,
728,2012-07-14,0.00379,,,,,,,,
729,2012-07-15,0.00379,,,,,,,,
730,2012-07-16,0.00405,,,,,,,,
731,2012-07-17,0.00433,,,,,,,,
732,2012-07-18,0.00448,,,,,,,,
733,2012-07-19,0.00449,,,,,,,,
734,2012-07-20,0.00435,,,,,,,,
735,2012-07-21,0.00435,,,,,,,,
736,2012-07-22,0.00432,,,,,,,,
