,Time,BTC_Average_Fee_Percentage_in_Total_Block_Reward,ETH_Average_Fee_Percentage_in_Total_Block_Reward,XRP_Average_Fee_Percentage_in_Total_Block_Reward,DOGE_Average_Fee_Percentage_in_Total_Block_Reward,LTC_Average_Fee_Percentage_in_Total_Block_Reward,BCH_Average_Fee_Percentage_in_Total_Block_Reward,XMR_Average_Fee_Percentage_in_Total_Block_Reward,DASH_Average_Fee_Percentage_in_Total_Block_Reward,ZEC_Average_Fee_Percentage_in_Total_Block_Reward
187,2011-01-19,0.000725,,,,,,,,
188,2011-01-20,0.00158,,,,,,,,
189,2011-01-21,0.000682,,,,,,,,
190,2011-01-22,0.00643,,,,,,,,
191,2011-01-23,0.00501,,,,,,,,
192,2011-01-24,0.00285,,,,,,,,
193,2011-01-25,0.00201,,,,,,,,
194,2011-01-26,0.00149,,,,,,,,
195,2011-01-27,0.00911,,,,,,,,
196,2011-01-28,0.000889,,,,,,,,
197,2011-01-29,0.00624,,,,,,,,
198,2011-01-30,0.0385,,,,,,,,
199,2011-01-31,0.0102,,,,,,,,
200,2011-02-01,0.0115,,,,,,,,
201,2011-02-02,0.000768,,,,,,,,
202,2011-02-03,0.00264,,,,,,,,
203,2011-02-04,0.0016,,,,,,,,
204,2011-02-05,0.00225,,,,,,,,
205,2011-02-06,0.0017,,,,,,,,
206,2011-02-07,0.00402,,,,,,,,
207,2011-02-08,0.00263,,,,,,,,
208,2011-02-09,0.000809,,,,,,,,
209,2011-02-10,0.0103,,,,,,,,
210,2011-02-11,0.00583,,,,,,,,
211,2011-02-12,0.00843,,,,,,,,
212,2011-02-13,0.00272,,,,,,,,
213,2011-02-14,0.031,,,,,,,,
214,2011-02-15,0.00241,,,,,,,,
215,2011-02-16,0.00572,,,,,,,,
216,2011-02-17,0.00119,,,,,,,,
217,2011-02-18,0.00557,,,,,,,,
218,2011-02-19,0.00747,,,,,,,,
219,2011-02-20,0.00225,,,,,,,,
220,2011-02-21,0.00469,,,,,,,,
221,2011-02-22,0.00257,,,,,,,,
222,2011-02-23,0.00348,,,,,,,,
223,2011-02-24,0.0018,,,,,,,,
224,2011-02-25,0.0041,,,,,,,,
225,2011-02-26,0.00473,,,,,,,,
226,2011-02-27,0.00992,,,,,,,,
227,2011-02-28,0.00756,,,,,,,,
228,2011-03-01,0.00682,,,,,,,,
229,2011-03-02,0.0051,,,,,,,,
230,2011-03-03,0.0806,,,,,,,,
231,2011-03-04,0.00734,,,,,,,,
232,2011-03-05,0.0201,,,,,,,,
233,2011-03-06,0.0439,,,,,,,,
234,2011-03-07,0.0636,,,,,,,,
235,2011-03-08,0.0455,,,,,,,,
236,2011-03-09,0.0445,,,,,,,,
237,2011-03-10,0.0434,,,,,,,,
238,2011-03-11,0.109,,,,,,,,
239,2011-03-12,0.0232,,,,,,,,
240,2011-03-13,0.0314,,,,,,,,
241,2011-03-14,0.0331,,,,,,,,
242,2011-03-15,0.034,,,,,,,,
243,2011-03-16,0.0278,,,,,,,,
244,2011-03-17,0.0206,,,,,,,,
245,2011-03-18,0.0237,,,,,,,,
246,2011-03-19,0.022,,,,,,,,
247,2011-03-20,0.0376,,,,,,,,
248,2011-03-21,0.12,,,,,,,,
249,2011-03-22,0.187,,,,,,,,
250,2011-03-23,0.238,,,,,,,,
251,2011-03-24,0.117,,,,,,,,
252,2011-03-25,0.0655,,,,,,,,
253,2011-03-26,0.0684,,,,,,,,
254,2011-03-27,0.0938,,,,,,,,
255,2011-03-28,0.0557,,,,,,,,
256,2011-03-29,0.0446,,,,,,,,
257,2011-03-30,0.0581,,,,,,,,
258,2011-03-31,0.0431,,,,,,,,
259,2011-04-01,0.0435,,,,,,,,
260,2011-04-02,0.0339,,,,,,,,
261,2011-04-03,0.0537,,,,,,,,
262,2011-04-04,0.0691,,,,,,,,
263,2011-04-05,0.0598,,,,,,,,
264,2011-04-06,0.0717,,,,,,,,
265,2011-04-07,0.0446,,,,,,,,
266,2011-04-08,0.0548,,,,,,,,
267,2011-04-09,0.0593,,,,,,,,
268,2011-04-10,0.0674,,,,,,,,
269,2011-04-11,0.0585,,,,,,,,
270,2011-04-12,0.0625,,,,,,,,
271,2011-04-13,0.0456,,,,,,,,
272,2011-04-14,0.188,,,,,,,,
273,2011-04-15,0.0394,,,,,,,,
274,2011-04-16,0.046,,,,,,,,
275,2011-04-17,0.0261,,,,,,,,
276,2011-04-18,0.0465,,,,,,,,
277,2011-04-19,0.0766,,,,,,,,
278,2011-04-20,0.104,,,,,,,,
279,2011-04-21,0.0497,,,,,,,,
280,2011-04-22,0.0656,,,,,,,,
281,2011-04-23,0.0662,,,,,,,,
282,2011-04-24,0.0883,,,,,,,,
283,2011-04-25,0.0979,,,,,,,,
284,2011-04-26,0.0556,,,,,,,,
285,2011-04-27,0.105,,,,,,,,
286,2011-04-28,0.0854,,,,,,,,
287,2011-04-29,0.0786,,,,,,,,
288,2011-04-30,0.114,,,,,,,,
289,2011-05-01,0.132,,,,,,,,
290,2011-05-02,0.0522,,,,,,,,
291,2011-05-03,0.0526,,,,,,,,
292,2011-05-04,0.0694,,,,,,,,
293,2011-05-05,0.0924,,,,,,,,
294,2011-05-06,0.0745,,,,,,,,
295,2011-05-07,0.0658,,,,,,,,
296,2011-05-08,0.0733,,,,,,,,
297,2011-05-09,0.0977,,,,,,,,
298,2011-05-10,0.0946,,,,,,,,
299,2011-05-11,0.0891,,,,,,,,
300,2011-05-12,0.0901,,,,,,,,
301,2011-05-13,0.117,,,,,,,,
302,2011-05-14,0.127,,,,,,,,
303,2011-05-15,0.144,,,,,,,,
304,2011-05-16,0.126,,,,,,,,
305,2011-05-17,0.114,,,,,,,,
306,2011-05-18,0.144,,,,,,,,
307,2011-05-19,0.197,,,,,,,,
308,2011-05-20,0.166,,,,,,,,
309,2011-05-21,0.2,,,,,,,,
310,2011-05-22,0.157,,,,,,,,
311,2011-05-23,0.131,,,,,,,,
312,2011-05-24,0.149,,,,,,,,
313,2011-05-25,0.143,,,,,,,,
314,2011-05-26,0.149,,,,,,,,
315,2011-05-27,0.171,,,,,,,,
316,2011-05-28,0.185,,,,,,,,
317,2011-05-29,0.159,,,,,,,,
318,2011-05-30,0.249,,,,,,,,
319,2011-05-31,0.272,,,,,,,,
320,2011-06-01,0.263,,,,,,,,
321,2011-06-02,0.255,,,,,,,,
322,2011-06-03,0.266,,,,,,,,
323,2011-06-04,0.294,,,,,,,,
324,2011-06-05,0.233,,,,,,,,
325,2011-06-06,0.257,,,,,,,,
326,2011-06-07,0.347,,,,,,,,
327,2011-06-08,0.485,,,,,,,,
328,2011-06-09,0.396,,,,,,,,
329,2011-06-10,0.35,,,,,,,,
330,2011-06-11,0.286,,,,,,,,
331,2011-06-12,0.386,,,,,,,,
332,2011-06-13,0.328,,,,,,,,
333,2011-06-14,0.298,,,,,,,,
334,2011-06-15,0.293,,,,,,,,
335,2011-06-16,0.358,,,,,,,,
336,2011-06-17,0.337,,,,,,,,
337,2011-06-18,0.292,,,,,,,,
338,2011-06-19,0.236,,,,,,,,
339,2011-06-20,0.177,,,,,,,,
340,2011-06-21,0.145,,,,,,,,
341,2011-06-22,0.139,,,,,,,,
342,2011-06-23,0.124,,,,,,,,
343,2011-06-24,0.155,,,,,,,,
344,2011-06-25,0.331,,,,,,,,
345,2011-06-26,0.343,,,,,,,,
346,2011-06-27,0.317,,,,,,,,
347,2011-06-28,0.251,,,,,,,,
348,2011-06-29,0.236,,,,,,,,
349,2011-06-30,0.189,,,,,,,,
350,2011-07-01,0.219,,,,,,,,
351,2011-07-02,0.178,,,,,,,,
352,2011-07-03,0.165,,,,,,,,
353,2011-07-04,0.191,,,,,,,,
354,2011-07-05,0.274,,,,,,,,
355,2011-07-06,0.219,,,,,,,,
356,2011-07-07,0.217,,,,,,,,
357,2011-07-08,0.163,,,,,,,,
358,2011-07-09,0.177,,,,,,,,
359,2011-07-10,0.185,,,,,,,,
360,2011-07-11,0.192,,,,,,,,
361,2011-07-12,0.184,,,,,,,,
362,2011-07-13,0.16,,,,,,,,
363,2011-07-14,0.189,,,,,,,,
364,2011-07-15,0.205,,,,,,,,
365,2011-07-16,0.144,,,,,,,,
366,2011-07-17,0.145,,,,,,,,
367,2011-07-18,0.155,,,,,,,,
368,2011-07-19,0.212,,,,,,,,
369,2011-07-20,0.144,,,,,,,,
370,2011-07-21,0.121,,,,,,,,
371,2011-07-22,0.182,,,,,,,,
372,2011-07-23,0.108,,,,,,,,
373,2011-07-24,0.125,,,,,,,,
374,2011-07-25,0.149,,,,,,,,
375,2011-07-26,0.0908,,,,,,,,
376,2011-07-27,0.104,,,,,,,,
377,2011-07-28,0.0991,,,,,,,,
378,2011-07-29,0.0887,,,,,,,,
379,2011-07-30,0.077,,,,,,,,
380,2011-07-31,0.0794,,,,,,,,
381,2011-08-01,0.0951,,,,,,,,
382,2011-08-02,0.0981,,,,,,,,
383,2011-08-03,0.106,,,,,,,,
384,2011-08-04,0.122,,,,,,,,
385,2011-08-05,0.0928,,,,,,,,
386,2011-08-06,0.401,,,,,,,,
387,2011-08-07,0.106,,,,,,,,
388,2011-08-08,0.119,,,,,,,,
389,2011-08-09,0.162,,,,,,,,
390,2011-08-10,0.144,,,,,,,,
391,2011-08-11,0.106,,,,,,,,
392,2011-08-12,0.0945,,,,,,,,
393,2011-08-13,0.108,,,,,,,,
394,2011-08-14,0.159,,,,,,,,
395,2011-08-15,0.153,,,,,,,,
396,2011-08-16,0.137,,,,,,,,
397,2011-08-17,0.101,,,,,,,,
398,2011-08-18,0.0838,,,,,,,,
399,2011-08-19,0.121,,,,,,,,
400,2011-08-20,0.0728,,,,,,,,
401,2011-08-21,0.0726,,,,,,,,
402,2011-08-22,0.0913,,,,,,,,
403,2011-08-23,0.0917,,,,,,,,
404,2011-08-24,0.132,,,,,,,,
405,2011-08-25,0.0905,,,,,,,,
406,2011-08-26,0.065,,,,,,,,
407,2011-08-27,0.084,,,,,,,,
408,2011-08-28,0.0794,,,,,,,,
409,2011-08-29,0.0789,,,,,,,,
410,2011-08-30,0.137,,,,,,,,
411,2011-08-31,0.0779,,,,,,,,
412,2011-09-01,0.0885,,,,,,,,
413,2011-09-02,0.0895,,,,,,,,
414,2011-09-03,0.0541,,,,,,,,
415,2011-09-04,0.15,,,,,,,,
416,2011-09-05,0.0939,,,,,,,,
417,2011-09-06,0.088,,,,,,,,
418,2011-09-07,0.122,,,,,,,,
419,2011-09-08,0.0738,,,,,,,,
420,2011-09-09,0.102,,,,,,,,
421,2011-09-10,0.0824,,,,,,,,
422,2011-09-11,0.0831,,,,,,,,
423,2011-09-12,0.0824,,,,,,,,
424,2011-09-13,0.0598,,,,,,,,
425,2011-09-14,0.053,,,,,,,,
426,2011-09-15,0.0961,,,,,,,,
427,2011-09-16,0.0851,,,,,,,,
428,2011-09-17,0.0789,,,,,,,,
429,2011-09-18,0.0699,,,,,,,,
430,2011-09-19,0.0951,,,,,,,,
431,2011-09-20,0.0954,,,,,,,,
432,2011-09-21,0.0722,,,,,,,,
433,2011-09-22,0.0524,,,,,,,,
434,2011-09-23,0.0649,,,,,,,,
435,2011-09-24,0.106,,,,,,,,
436,2011-09-25,0.0503,,,,,,,,
437,2011-09-26,0.0449,,,,,,,,
438,2011-09-27,0.0719,,,,,,,,
439,2011-09-28,0.061,,,,,,,,
440,2011-09-29,0.0557,,,,,,,,
441,2011-09-30,0.0604,,,,,,,,
442,2011-10-01,0.0523,,,,,,,,
443,2011-10-02,0.0538,,,,,,,,
444,2011-10-03,0.127,,,,,,,,
445,2011-10-04,0.0668,,,,,,,,
446,2011-10-05,0.056,,,,,,,,
447,2011-10-06,0.129,,,,,,,,
448,2011-10-07,0.0637,,,,,,,,
449,2011-10-08,0.0569,,,,,,,,
450,2011-10-09,0.0474,,,,,,,,
451,2011-10-10,0.0555,,,,,,,,
452,2011-10-11,0.114,,,,,,,,
453,2011-10-12,0.0787,,,,,,,,
454,2011-10-13,0.0874,,,,,,,,
455,2011-10-14,0.0502,,,,,,,,
456,2011-10-15,0.0516,,,,,,,,
457,2011-10-16,0.0552,,,,,,,,
458,2011-10-17,0.0743,,,,,,,,
459,2011-10-18,0.0496,,,,,,,,
460,2011-10-19,0.0503,,,,,,,,
461,2011-10-20,0.107,,,,,,,,
462,2011-10-21,0.0453,,,,,,,,
463,2011-10-22,0.0585,,,,,,,,
464,2011-10-23,0.0589,,,,,,,,
465,2011-10-24,0.0561,,,,,,,,
466,2011-10-25,0.0435,,,,,,,,
467,2011-10-26,0.0539,,,,,,,,
468,2011-10-27,0.0548,,,,,,,,
469,2011-10-28,0.0592,,,,,,,,
470,2011-10-29,0.0627,,,,,,,,
471,2011-10-30,0.0605,,,,,,,,
472,2011-10-31,0.0489,,,,,,,,
473,2011-11-01,0.0671,,,,,,,,
474,2011-11-02,0.044,,,,,,,,
475,2011-11-03,0.0475,,,,,,,,
476,2011-11-04,0.0438,,,,,,,,
477,2011-11-05,0.0508,,,,,,,,
478,2011-11-06,0.0338,,,,,,,,
479,2011-11-07,0.054,,,,,,,,
480,2011-11-08,0.0573,,,,,,,,
481,2011-11-09,0.0418,,,,,,,,
482,2011-11-10,0.0484,,,,,,,,
483,2011-11-11,0.036,,,,,,,,
484,2011-11-12,0.0355,,,,,,,,
485,2011-11-13,0.0405,,,,,,,,
486,2011-11-14,0.0394,,,,,,,,
487,2011-11-15,0.0359,,,,,,,,
488,2011-11-16,0.0571,,,,,,,,
489,2011-11-17,0.0421,,,,,,,,
490,2011-11-18,0.0518,,,,,,,,
491,2011-11-19,0.0522,,,,,,,,
492,2011-11-20,0.0566,,,,,,,,
493,2011-11-21,0.0482,,,,,,,,
494,2011-11-22,0.0433,,,,,,,,
495,2011-11-23,0.0537,,,,,,,,
496,2011-11-24,0.0724,,,,,,,,
497,2011-11-25,0.0651,,,,,,,,
498,2011-11-26,0.0484,,,,,,,,
499,2011-11-27,0.0458,,,,,,,,
500,2011-11-28,0.049,,,,,,,,
501,2011-11-29,0.0648,,,,,,,,
502,2011-11-30,0.0462,,,,,,,,
503,2011-12-01,0.0507,,,,,,,,
504,2011-12-02,0.0644,,,,,,,,
505,2011-12-03,0.0629,,,,,,,,
506,2011-12-04,0.0429,,,,,,,,
507,2011-12-05,0.039,,,,,,,,
508,2011-12-06,0.0508,,,,,,,,
509,2011-12-07,0.0573,,,,,,,,
510,2011-12-08,0.0344,,,,,,,,
511,2011-12-09,0.042,,,,,,,,
512,2011-12-10,0.0411,,,,,,,,
513,2011-12-11,2.897,,,,,,,,
514,2011-12-12,2.787,,,,,,,,
515,2011-12-13,0.0629,,,,,,,,
516,2011-12-14,0.0519,,,,,,,,
517,2011-12-15,0.143,,,,,,,,
518,2011-12-16,0.0468,,,,,,,,
519,2011-12-17,0.0497,,,,,,,,
520,2011-12-18,0.0444,,,,,,,,
521,2011-12-19,0.0537,,,,,,,,
522,2011-12-20,0.09,,,,,,,,
523,2011-12-21,0.0587,,,,,,,,
524,2011-12-22,0.0479,,,,,,,,
525,2011-12-23,0.0383,,,,,,,,
526,2011-12-24,0.032,,,,,,,,
527,2011-12-25,0.0348,,,,,,,,
528,2011-12-26,0.038,,,,,,,,
529,2011-12-27,0.0425,,,,,,,,
530,2011-12-28,0.0419,,,,,,,,
531,2011-12-29,0.0619,,,,,,,,
532,2011-12-30,0.0484,,,,,,,,
533,2011-12-31,0.0538,,,,,,,,
534,2012-01-01,0.0479,,,,,,,,
535,2012-01-02,0.0756,,,,,,,,
536,2012-01-03,0.0692,,,,,,,,
537,2012-01-04,0.195,,,,,,,,
538,2012-01-05,0.0791,,,,,,,,
539,2012-01-06,0.0778,,,,,,,,
540,2012-01-07,0.0502,,,,,,,,
541,2012-01-08,0.0469,,,,,,,,
542,2012-01-09,0.0798,,,,,,,,
543,2012-01-10,0.0709,,,,,,,,
544,2012-01-11,0.0761,,,,,,,,
545,2012-01-12,0.541,,,,,,,,
546,2012-01-13,0.143,,,,,,,,
547,2012-01-14,0.174,,,,,,,,
548,2012-01-15,0.197,,,,,,,,
549,2012-01-16,0.455,,,,,,,,
550,2012-01-17,0.0997,,,,,,,,
551,2012-01-18,0.172,,,,,,,,
552,2012-01-19,0.374,,,,,,,,
553,2012-01-20,0.348,,,,,,,,
554,2012-01-21,0.0597,,,,,,,,
555,2012-01-22,0.0458,,,,,,,,
556,2012-01-23,0.06,,,,,,,,
557,2012-01-24,0.143,,,,,,,,
558,2012-01-25,0.106,,,,,,,,
559,2012-01-26,0.132,,,,,,,,
560,2012-01-27,0.333,,,,,,,,
561,2012-01-28,0.128,,,,,,,,
562,2012-01-29,2.64,,,,,,,,
563,2012-01-30,0.347,,,,,,,,
564,2012-01-31,0.0978,,,,,,,,
565,2012-02-01,0.0688,,,,,,,,
566,2012-02-02,0.149,,,,,,,,
567,2012-02-03,0.0893,,,,,,,,
568,2012-02-04,0.113,,,,,,,,
569,2012-02-05,0.0613,,,,,,,,
570,2012-02-06,0.0602,,,,,,,,
571,2012-02-07,0.0988,,,,,,,,
572,2012-02-08,0.072,,,,,,,,
573,2012-02-09,0.104,,,,,,,,
574,2012-02-10,0.0615,,,,,,,,
575,2012-02-11,0.0532,,,,,,,,
576,2012-02-12,0.0501,,,,,,,,
577,2012-02-13,0.078,,,,,,,,
578,2012-02-14,0.227,,,,,,,,
579,2012-02-15,0.0923,,,,,,,,
580,2012-02-16,0.148,,,,,,,,
581,2012-02-17,0.0487,,,,,,,,
582,2012-02-18,0.0402,,,,,,,,
583,2012-02-19,0.0345,,,,,,,,
584,2012-02-20,0.0601,,,,,,,,
585,2012-02-21,0.0542,,,,,,,,
586,2012-02-22,0.0439,,,,,,,,
587,2012-02-23,0.0616,,,,,,,,
588,2012-02-24,0.0605,,,,,,,,
589,2012-02-25,0.0389,,,,,,,,
590,2012-02-26,0.0469,,,,,,,,
591,2012-02-27,0.0752,,,,,,,,
592,2012-02-28,0.0492,,,,,,,,
593,2012-02-29,0.039,,,,,,,,
594,2012-03-01,0.0909,,,,,,,,
595,2012-03-02,0.0684,,,,,,,,
596,2012-03-03,0.0446,,,,,,,,
597,2012-03-04,0.0719,,,,,,,,
598,2012-03-05,0.073,,,,,,,,
599,2012-03-06,0.0722,,,,,,,,
600,2012-03-07,0.0534,,,,,,,,
601,2012-03-08,0.0535,,,,,,,,
602,2012-03-09,0.0505,,,,,,,,
603,2012-03-10,0.0548,,,,,,,,
604,2012-03-11,0.0445,,,,,,,,
605,2012-03-12,0.0466,,,,,,,,
606,2012-03-13,0.144,,,,,,,,
607,2012-03-14,0.0771,,,,,,,,
608,2012-03-15,0.0609,,,,,,,,
609,2012-03-16,0.118,,,,,,,,
610,2012-03-17,0.0429,,,,,,,,
611,2012-03-18,0.0414,,,,,,,,
612,2012-03-19,0.0603,,,,,,,,
613,2012-03-20,0.0617,,,,,,,,
614,2012-03-21,0.0437,,,,,,,,
615,2012-03-22,0.0439,,,,,,,,
616,2012-03-23,0.0685,,,,,,,,
617,2012-03-24,0.167,,,,,,,,
618,2012-03-25,0.0902,,,,,,,,
619,2012-03-26,0.0471,,,,,,,,
620,2012-03-27,0.056,,,,,,,,
621,2012-03-28,0.0672,,,,,,,,
622,2012-03-29,0.0645,,,,,,,,
623,2012-03-30,0.0584,,,,,,,,
624,2012-03-31,0.0546,,,,,,,,
625,2012-04-01,0.0552,,,,,,,,
626,2012-04-02,0.0735,,,,,,,,
627,2012-04-03,0.0776,,,,,,,,
628,2012-04-04,0.0734,,,,,,,,
629,2012-04-05,0.0847,,,,,,,,
630,2012-04-06,0.0722,,,,,,,,
631,2012-04-07,0.0587,,,,,,,,
632,2012-04-08,0.0532,,,,,,,,
633,2012-04-09,0.0539,,,,,,,,
