,Time,BTC_Median_Transaction_Value_USD,ETH_Median_Transaction_Value_USD,XRP_Median_Transaction_Value_USD,DOGE_Median_Transaction_Value_USD,LTC_Median_Transaction_Value_USD,BCH_Median_Transaction_Value_USD,XMR_Median_Transaction_Value_USD,DASH_Median_Transaction_Value_USD,ZEC_Median_Transaction_Value_USD
58,2010-09-13,0.745,,,,,,,,
59,2010-09-14,3.1,,,,,,,,
60,2010-09-15,2.144,,,,,,,,
61,2010-09-16,3.095,,,,,,,,
62,2010-09-17,2.997,,,,,,,,
63,2010-09-18,3.0,,,,,,,,
64,2010-09-19,5.014,,,,,,,,
65,2010-09-20,0.745,,,,,,,,
66,2010-09-21,0.156,,,,,,,,
67,2010-09-22,0.0361,,,,,,,,
68,2010-09-23,1.057,,,,,,,,
69,2010-09-24,1.199,,,,,,,,
70,2010-09-25,0.0528,,,,,,,,
71,2010-09-26,0.238,,,,,,,,
72,2010-09-27,0.139,,,,,,,,
73,2010-09-28,2.441,,,,,,,,
74,2010-09-29,6.445,,,,,,,,
75,2010-09-30,1.203,,,,,,,,
76,2010-10-01,0.769,,,,,,,,
77,2010-10-02,0.123,,,,,,,,
78,2010-10-03,5.207,,,,,,,,
79,2010-10-04,17.413,,,,,,,,
80,2010-10-05,14.832,,,,,,,,
81,2010-10-06,3.107,,,,,,,,
82,2010-10-07,12.715,,,,,,,,
83,2010-10-08,12.582,,,,,,,,
84,2010-10-09,12.161,,,,,,,,
85,2010-10-10,9.624,,,,,,,,
86,2010-10-11,6.284,,,,,,,,
87,2010-10-12,4.115,,,,,,,,
88,2010-10-13,4.925,,,,,,,,
89,2010-10-14,92.925,,,,,,,,
90,2010-10-15,62.283,,,,,,,,
91,2010-10-16,118.54,,,,,,,,
92,2010-10-17,25.5,,,,,,,,
93,2010-10-18,15.405,,,,,,,,
94,2010-10-19,3.94,,,,,,,,
95,2010-10-20,4.975,,,,,,,,
96,2010-10-21,5.105,,,,,,,,
97,2010-10-22,1.119,,,,,,,,
98,2010-10-23,2.167,,,,,,,,
99,2010-10-24,1.394,,,,,,,,
100,2010-10-25,84.172,,,,,,,,
101,2010-10-26,96.889,,,,,,,,
102,2010-10-27,101.61,,,,,,,,
103,2010-10-28,94.853,,,,,,,,
104,2010-10-29,9.248,,,,,,,,
105,2010-10-30,18.797,,,,,,,,
106,2010-10-31,11.89,,,,,,,,
107,2010-11-01,0.97,,,,,,,,
108,2010-11-02,52.878,,,,,,,,
109,2010-11-03,9.673,,,,,,,,
110,2010-11-04,32.168,,,,,,,,
111,2010-11-05,5.312,,,,,,,,
112,2010-11-06,16.3,,,,,,,,
113,2010-11-07,20.25,,,,,,,,
114,2010-11-08,32.063,,,,,,,,
115,2010-11-09,11.85,,,,,,,,
116,2010-11-10,22.5,,,,,,,,
117,2010-11-11,18.914,,,,,,,,
118,2010-11-12,27.775,,,,,,,,
119,2010-11-13,14.075,,,,,,,,
120,2010-11-14,7.216,,,,,,,,
121,2010-11-15,7.199,,,,,,,,
122,2010-11-16,12.283,,,,,,,,
123,2010-11-17,18.682,,,,,,,,
124,2010-11-18,0.0147,,,,,,,,
125,2010-11-19,0.00274,,,,,,,,
126,2010-11-20,0.00282,,,,,,,,
127,2010-11-21,0.00277,,,,,,,,
128,2010-11-22,14.909,,,,,,,,
129,2010-11-23,14.614,,,,,,,,
130,2010-11-24,0.00283,,,,,,,,
131,2010-11-25,0.0844,,,,,,,,
132,2010-11-26,1.408,,,,,,,,
133,2010-11-27,2.428,,,,,,,,
134,2010-11-28,4.165,,,,,,,,
135,2010-11-29,3.341,,,,,,,,
136,2010-11-30,2.191,,,,,,,,
137,2010-12-01,3.949,,,,,,,,
138,2010-12-02,3.737,,,,,,,,
139,2010-12-03,2.831,,,,,,,,
140,2010-12-04,2.013,,,,,,,,
141,2010-12-05,1.353,,,,,,,,
142,2010-12-06,0.702,,,,,,,,
143,2010-12-07,2.022,,,,,,,,
144,2010-12-08,1.137,,,,,,,,
145,2010-12-09,6.39,,,,,,,,
146,2010-12-10,5.215,,,,,,,,
147,2010-12-11,4.721,,,,,,,,
148,2010-12-12,2.518,,,,,,,,
149,2010-12-13,11.0,,,,,,,,
150,2010-12-14,36.858,,,,,,,,
151,2010-12-15,60.49,,,,,,,,
152,2010-12-16,42.688,,,,,,,,
153,2010-12-17,12.225,,,,,,,,
154,2010-12-18,24.485,,,,,,,,
155,2010-12-19,3.368,,,,,,,,
156,2010-12-20,5.281,,,,,,,,
157,2010-12-21,12.5,,,,,,,,
158,2010-12-22,10.68,,,,,,,,
159,2010-12-23,12.45,,,,,,,,
160,2010-12-24,11.703,,,,,,,,
161,2010-12-25,63.819,,,,,,,,
162,2010-12-26,39.869,,,,,,,,
163,2010-12-27,12.9,,,,,,,,
164,2010-12-28,8.501,,,,,,,,
165,2010-12-29,14.275,,,,,,,,
166,2010-12-30,14.775,,,,,,,,
167,2010-12-31,12.798,,,,,,,,
168,2011-01-01,14.016,,,,,,,,
169,2011-01-02,14.809,,,,,,,,
170,2011-01-03,0.0497,,,,,,,,
171,2011-01-04,0.198,,,,,,,,
172,2011-01-05,0.116,,,,,,,,
173,2011-01-06,1.433,,,,,,,,
174,2011-01-07,4.333,,,,,,,,
175,2011-01-08,0.948,,,,,,,,
176,2011-01-09,1.537,,,,,,,,
177,2011-01-10,0.373,,,,,,,,
178,2011-01-11,1.863,,,,,,,,
179,2011-01-12,0.342,,,,,,,,
180,2011-01-13,2.418,,,,,,,,
181,2011-01-14,0.592,,,,,,,,
182,2011-01-15,16.514,,,,,,,,
183,2011-01-16,11.239,,,,,,,,
184,2011-01-17,16.011,,,,,,,,
185,2011-01-18,4.412,,,,,,,,
186,2011-01-19,8.462,,,,,,,,
187,2011-01-20,5.967,,,,,,,,
188,2011-01-21,3.241,,,,,,,,
189,2011-01-22,1.004,,,,,,,,
190,2011-01-23,14.156,,,,,,,,
191,2011-01-24,4.329,,,,,,,,
192,2011-01-25,14.814,,,,,,,,
193,2011-01-26,15.438,,,,,,,,
194,2011-01-27,14.973,,,,,,,,
195,2011-01-28,8.818,,,,,,,,
196,2011-01-29,7.224,,,,,,,,
197,2011-01-30,108.34,,,,,,,,
198,2011-01-31,24.831,,,,,,,,
199,2011-02-01,29.147,,,,,,,,
200,2011-02-02,30.099,,,,,,,,
201,2011-02-03,28.391,,,,,,,,
202,2011-02-04,33.395,,,,,,,,
203,2011-02-05,39.753,,,,,,,,
204,2011-02-06,41.043,,,,,,,,
205,2011-02-07,40.742,,,,,,,,
206,2011-02-08,40.147,,,,,,,,
207,2011-02-09,44.08,,,,,,,,
208,2011-02-10,50.138,,,,,,,,
209,2011-02-11,81.775,,,,,,,,
210,2011-02-12,51.662,,,,,,,,
211,2011-02-13,42.989,,,,,,,,
212,2011-02-14,27.066,,,,,,,,
213,2011-02-15,21.976,,,,,,,,
214,2011-02-16,17.137,,,,,,,,
215,2011-02-17,22.466,,,,,,,,
216,2011-02-18,16.047,,,,,,,,
217,2011-02-19,40.31,,,,,,,,
218,2011-02-20,41.547,,,,,,,,
219,2011-02-21,39.584,,,,,,,,
220,2011-02-22,40.58,,,,,,,,
221,2011-02-23,39.014,,,,,,,,
222,2011-02-24,40.06,,,,,,,,
223,2011-02-25,42.325,,,,,,,,
224,2011-02-26,46.728,,,,,,,,
225,2011-02-27,20.67,,,,,,,,
226,2011-02-28,17.553,,,,,,,,
227,2011-03-01,12.373,,,,,,,,
228,2011-03-02,8.798,,,,,,,,
229,2011-03-03,13.572,,,,,,,,
230,2011-03-04,11.898,,,,,,,,
231,2011-03-05,35.651,,,,,,,,
232,2011-03-06,37.425,,,,,,,,
233,2011-03-07,23.166,,,,,,,,
234,2011-03-08,19.375,,,,,,,,
235,2011-03-09,36.727,,,,,,,,
236,2011-03-10,14.963,,,,,,,,
237,2011-03-11,14.687,,,,,,,,
238,2011-03-12,0.548,,,,,,,,
239,2011-03-13,0.713,,,,,,,,
240,2011-03-14,0.00894,,,,,,,,
241,2011-03-15,1.65,,,,,,,,
242,2011-03-16,0.00863,,,,,,,,
243,2011-03-17,0.0543,,,,,,,,
244,2011-03-18,6.232,,,,,,,,
245,2011-03-19,0.474,,,,,,,,
246,2011-03-20,7.176,,,,,,,,
247,2011-03-21,0.0076,,,,,,,,
248,2011-03-22,31.289,,,,,,,,
249,2011-03-23,18.97,,,,,,,,
250,2011-03-24,17.906,,,,,,,,
251,2011-03-25,31.118,,,,,,,,
252,2011-03-26,14.564,,,,,,,,
253,2011-03-27,8.196,,,,,,,,
254,2011-03-28,14.263,,,,,,,,
255,2011-03-29,6.525,,,,,,,,
256,2011-03-30,13.761,,,,,,,,
257,2011-03-31,16.774,,,,,,,,
258,2011-04-01,16.323,,,,,,,,
259,2011-04-02,13.386,,,,,,,,
260,2011-04-03,15.696,,,,,,,,
261,2011-04-04,26.43,,,,,,,,
262,2011-04-05,18.144,,,,,,,,
263,2011-04-06,12.393,,,,,,,,
264,2011-04-07,12.844,,,,,,,,
265,2011-04-08,15.037,,,,,,,,
266,2011-04-09,14.8,,,,,,,,
267,2011-04-10,8.921,,,,,,,,
268,2011-04-11,12.04,,,,,,,,
269,2011-04-12,17.374,,,,,,,,
270,2011-04-13,13.734,,,,,,,,
271,2011-04-14,10.131,,,,,,,,
272,2011-04-15,22.158,,,,,,,,
273,2011-04-16,28.079,,,,,,,,
274,2011-04-17,13.675,,,,,,,,
275,2011-04-18,4.142,,,,,,,,
276,2011-04-19,31.083,,,,,,,,
277,2011-04-20,26.855,,,,,,,,
278,2011-04-21,21.622,,,,,,,,
279,2011-04-22,20.193,,,,,,,,
280,2011-04-23,27.674,,,,,,,,
281,2011-04-24,17.241,,,,,,,,
282,2011-04-25,27.107,,,,,,,,
283,2011-04-26,42.163,,,,,,,,
284,2011-04-27,36.092,,,,,,,,
285,2011-04-28,24.901,,,,,,,,
286,2011-04-29,51.852,,,,,,,,
287,2011-04-30,38.606,,,,,,,,
288,2011-05-01,33.499,,,,,,,,
289,2011-05-02,49.288,,,,,,,,
290,2011-05-03,69.372,,,,,,,,
291,2011-05-04,95.372,,,,,,,,
292,2011-05-05,67.04,,,,,,,,
293,2011-05-06,63.932,,,,,,,,
294,2011-05-07,53.245,,,,,,,,
295,2011-05-08,37.685,,,,,,,,
296,2011-05-09,53.534,,,,,,,,
297,2011-05-10,85.785,,,,,,,,
298,2011-05-11,103.734,,,,,,,,
299,2011-05-12,64.609,,,,,,,,
300,2011-05-13,78.035,,,,,,,,
301,2011-05-14,86.584,,,,,,,,
302,2011-05-15,106.388,,,,,,,,
303,2011-05-16,112.678,,,,,,,,
304,2011-05-17,118.415,,,,,,,,
305,2011-05-18,81.612,,,,,,,,
306,2011-05-19,74.213,,,,,,,,
307,2011-05-20,148.994,,,,,,,,
308,2011-05-21,186.619,,,,,,,,
309,2011-05-22,128.397,,,,,,,,
310,2011-05-23,102.9,,,,,,,,
311,2011-05-24,143.425,,,,,,,,
312,2011-05-25,139.987,,,,,,,,
313,2011-05-26,148.405,,,,,,,,
314,2011-05-27,146.934,,,,,,,,
315,2011-05-28,151.651,,,,,,,,
316,2011-05-29,156.396,,,,,,,,
317,2011-05-30,162.91,,,,,,,,
318,2011-05-31,145.419,,,,,,,,
319,2011-06-01,164.891,,,,,,,,
320,2011-06-02,156.63,,,,,,,,
321,2011-06-03,222.145,,,,,,,,
322,2011-06-04,301.761,,,,,,,,
323,2011-06-05,381.234,,,,,,,,
324,2011-06-06,317.249,,,,,,,,
325,2011-06-07,421.522,,,,,,,,
326,2011-06-08,446.889,,,,,,,,
327,2011-06-09,537.829,,,,,,,,
328,2011-06-10,528.688,,,,,,,,
329,2011-06-11,589.63,,,,,,,,
330,2011-06-12,372.762,,,,,,,,
331,2011-06-13,451.909,,,,,,,,
332,2011-06-14,530.511,,,,,,,,
333,2011-06-15,436.904,,,,,,,,
334,2011-06-16,510.827,,,,,,,,
335,2011-06-17,323.498,,,,,,,,
336,2011-06-18,204.905,,,,,,,,
337,2011-06-19,343.583,,,,,,,,
338,2011-06-20,356.082,,,,,,,,
339,2011-06-21,268.048,,,,,,,,
340,2011-06-22,327.259,,,,,,,,
341,2011-06-23,272.144,,,,,,,,
342,2011-06-24,354.649,,,,,,,,
343,2011-06-25,229.915,,,,,,,,
344,2011-06-26,235.372,,,,,,,,
345,2011-06-27,172.142,,,,,,,,
346,2011-06-28,214.671,,,,,,,,
347,2011-06-29,267.566,,,,,,,,
348,2011-06-30,263.339,,,,,,,,
349,2011-07-01,144.698,,,,,,,,
350,2011-07-02,284.266,,,,,,,,
351,2011-07-03,199.853,,,,,,,,
352,2011-07-04,220.458,,,,,,,,
353,2011-07-05,211.259,,,,,,,,
354,2011-07-06,165.265,,,,,,,,
355,2011-07-07,185.381,,,,,,,,
356,2011-07-08,172.01,,,,,,,,
357,2011-07-09,200.858,,,,,,,,
358,2011-07-10,197.555,,,,,,,,
359,2011-07-11,148.446,,,,,,,,
360,2011-07-12,171.326,,,,,,,,
361,2011-07-13,185.783,,,,,,,,
362,2011-07-14,184.311,,,,,,,,
363,2011-07-15,221.635,,,,,,,,
364,2011-07-16,147.762,,,,,,,,
365,2011-07-17,160.327,,,,,,,,
366,2011-07-18,230.346,,,,,,,,
367,2011-07-19,203.225,,,,,,,,
368,2011-07-20,193.01,,,,,,,,
369,2011-07-21,189.273,,,,,,,,
370,2011-07-22,205.79,,,,,,,,
371,2011-07-23,207.67,,,,,,,,
372,2011-07-24,205.688,,,,,,,,
373,2011-07-25,204.922,,,,,,,,
374,2011-07-26,211.557,,,,,,,,
375,2011-07-27,288.676,,,,,,,,
376,2011-07-28,337.811,,,,,,,,
377,2011-07-29,211.92,,,,,,,,
378,2011-07-30,270.318,,,,,,,,
379,2011-07-31,209.483,,,,,,,,
380,2011-08-01,221.43,,,,,,,,
381,2011-08-02,172.404,,,,,,,,
382,2011-08-03,213.267,,,,,,,,
383,2011-08-04,108.051,,,,,,,,
384,2011-08-05,144.389,,,,,,,,
385,2011-08-06,117.899,,,,,,,,
386,2011-08-07,122.254,,,,,,,,
387,2011-08-08,140.019,,,,,,,,
388,2011-08-09,126.834,,,,,,,,
389,2011-08-10,138.926,,,,,,,,
390,2011-08-11,127.862,,,,,,,,
391,2011-08-12,127.791,,,,,,,,
392,2011-08-13,98.106,,,,,,,,
393,2011-08-14,123.149,,,,,,,,
394,2011-08-15,77.031,,,,,,,,
395,2011-08-16,73.61,,,,,,,,
396,2011-08-17,115.58,,,,,,,,
397,2011-08-18,139.027,,,,,,,,
398,2011-08-19,122.179,,,,,,,,
399,2011-08-20,143.323,,,,,,,,
400,2011-08-21,116.808,,,,,,,,
401,2011-08-22,163.109,,,,,,,,
402,2011-08-23,153.284,,,,,,,,
403,2011-08-24,142.054,,,,,,,,
404,2011-08-25,143.553,,,,,,,,
405,2011-08-26,147.57,,,,,,,,
406,2011-08-27,148.063,,,,,,,,
407,2011-08-28,136.721,,,,,,,,
408,2011-08-29,90.286,,,,,,,,
409,2011-08-30,115.819,,,,,,,,
410,2011-08-31,153.685,,,,,,,,
411,2011-09-01,144.762,,,,,,,,
412,2011-09-02,141.218,,,,,,,,
413,2011-09-03,159.825,,,,,,,,
414,2011-09-04,91.516,,,,,,,,
415,2011-09-05,146.275,,,,,,,,
416,2011-09-06,180.63,,,,,,,,
417,2011-09-07,105.491,,,,,,,,
418,2011-09-08,106.728,,,,,,,,
419,2011-09-09,115.037,,,,,,,,
420,2011-09-10,84.394,,,,,,,,
421,2011-09-11,79.784,,,,,,,,
422,2011-09-12,95.934,,,,,,,,
423,2011-09-13,106.644,,,,,,,,
424,2011-09-14,122.027,,,,,,,,
425,2011-09-15,104.645,,,,,,,,
426,2011-09-16,96.698,,,,,,,,
427,2011-09-17,102.486,,,,,,,,
428,2011-09-18,99.508,,,,,,,,
429,2011-09-19,68.768,,,,,,,,
430,2011-09-20,40.509,,,,,,,,
431,2011-09-21,58.747,,,,,,,,
432,2011-09-22,83.034,,,,,,,,
433,2011-09-23,120.387,,,,,,,,
434,2011-09-24,114.939,,,,,,,,
435,2011-09-25,79.286,,,,,,,,
436,2011-09-26,81.145,,,,,,,,
437,2011-09-27,97.853,,,,,,,,
438,2011-09-28,72.658,,,,,,,,
439,2011-09-29,98.102,,,,,,,,
440,2011-09-30,96.844,,,,,,,,
441,2011-10-01,95.568,,,,,,,,
442,2011-10-02,102.63,,,,,,,,
443,2011-10-03,72.867,,,,,,,,
444,2011-10-04,109.446,,,,,,,,
445,2011-10-05,110.499,,,,,,,,
446,2011-10-06,97.551,,,,,,,,
447,2011-10-07,111.56,,,,,,,,
448,2011-10-08,88.555,,,,,,,,
449,2011-10-09,85.199,,,,,,,,
450,2011-10-10,69.288,,,,,,,,
451,2011-10-11,57.969,,,,,,,,
452,2011-10-12,73.85,,,,,,,,
453,2011-10-13,64.873,,,,,,,,
454,2011-10-14,82.707,,,,,,,,
455,2011-10-15,77.59,,,,,,,,
456,2011-10-16,75.798,,,,,,,,
457,2011-10-17,60.994,,,,,,,,
458,2011-10-18,49.628,,,,,,,,
459,2011-10-19,41.335,,,,,,,,
460,2011-10-20,45.126,,,,,,,,
461,2011-10-21,51.033,,,,,,,,
462,2011-10-22,62.635,,,,,,,,
463,2011-10-23,60.654,,,,,,,,
464,2011-10-24,62.386,,,,,,,,
465,2011-10-25,52.411,,,,,,,,
466,2011-10-26,48.153,,,,,,,,
467,2011-10-27,54.566,,,,,,,,
468,2011-10-28,62.314,,,,,,,,
469,2011-10-29,67.511,,,,,,,,
470,2011-10-30,52.862,,,,,,,,
471,2011-10-31,47.093,,,,,,,,
472,2011-11-01,60.606,,,,,,,,
473,2011-11-02,64.044,,,,,,,,
474,2011-11-03,56.872,,,,,,,,
475,2011-11-04,61.215,,,,,,,,
476,2011-11-05,59.221,,,,,,,,
477,2011-11-06,59.33,,,,,,,,
478,2011-11-07,59.661,,,,,,,,
479,2011-11-08,61.482,,,,,,,,
480,2011-11-09,50.967,,,,,,,,
481,2011-11-10,45.458,,,,,,,,
482,2011-11-11,59.198,,,,,,,,
483,2011-11-12,65.528,,,,,,,,
484,2011-11-13,43.554,,,,,,,,
485,2011-11-14,52.218,,,,,,,,
486,2011-11-15,47.718,,,,,,,,
487,2011-11-16,50.431,,,,,,,,
488,2011-11-17,67.416,,,,,,,,
489,2011-11-18,43.183,,,,,,,,
490,2011-11-19,44.758,,,,,,,,
491,2011-11-20,44.139,,,,,,,,
492,2011-11-21,48.855,,,,,,,,
493,2011-11-22,46.907,,,,,,,,
494,2011-11-23,38.641,,,,,,,,
495,2011-11-24,41.836,,,,,,,,
496,2011-11-25,47.811,,,,,,,,
497,2011-11-26,54.098,,,,,,,,
498,2011-11-27,44.677,,,,,,,,
499,2011-11-28,40.545,,,,,,,,
500,2011-11-29,33.503,,,,,,,,
501,2011-11-30,45.619,,,,,,,,
502,2011-12-01,48.016,,,,,,,,
503,2011-12-02,52.309,,,,,,,,
504,2011-12-03,50.373,,,,,,,,
505,2011-12-04,40.799,,,,,,,,
506,2011-12-05,33.867,,,,,,,,
507,2011-12-06,22.378,,,,,,,,
508,2011-12-07,49.5,,,,,,,,
509,2011-12-08,53.598,,,,,,,,
510,2011-12-09,59.959,,,,,,,,
511,2011-12-10,75.141,,,,,,,,
512,2011-12-11,63.111,,,,,,,,
513,2011-12-12,63.86,,,,,,,,
514,2011-12-13,56.755,,,,,,,,
515,2011-12-14,67.51,,,,,,,,
516,2011-12-15,63.424,,,,,,,,
517,2011-12-16,65.335,,,,,,,,
518,2011-12-17,56.806,,,,,,,,
519,2011-12-18,50.223,,,,,,,,
520,2011-12-19,63.3,,,,,,,,
521,2011-12-20,74.744,,,,,,,,
522,2011-12-21,66.606,,,,,,,,
523,2011-12-22,66.151,,,,,,,,
524,2011-12-23,49.058,,,,,,,,
525,2011-12-24,52.507,,,,,,,,
526,2011-12-25,57.425,,,,,,,,
527,2011-12-26,60.722,,,,,,,,
528,2011-12-27,56.783,,,,,,,,
529,2011-12-28,74.198,,,,,,,,
530,2011-12-29,62.743,,,,,,,,
531,2011-12-30,67.354,,,,,,,,
532,2011-12-31,68.568,,,,,,,,
533,2012-01-01,77.224,,,,,,,,
534,2012-01-02,64.755,,,,,,,,
535,2012-01-03,68.728,,,,,,,,
536,2012-01-04,79.424,,,,,,,,
537,2012-01-05,89.693,,,,,,,,
538,2012-01-06,117.343,,,,,,,,
539,2012-01-07,104.026,,,,,,,,
540,2012-01-08,98.969,,,,,,,,
541,2012-01-09,94.497,,,,,,,,
542,2012-01-10,70.104,,,,,,,,
543,2012-01-11,72.964,,,,,,,,
544,2012-01-12,71.266,,,,,,,,
545,2012-01-13,72.549,,,,,,,,
546,2012-01-14,71.498,,,,,,,,
547,2012-01-15,65.158,,,,,,,,
548,2012-01-16,68.702,,,,,,,,
549,2012-01-17,77.285,,,,,,,,
550,2012-01-18,93.135,,,,,,,,
551,2012-01-19,90.897,,,,,,,,
552,2012-01-20,87.532,,,,,,,,
553,2012-01-21,95.084,,,,,,,,
554,2012-01-22,99.797,,,,,,,,
555,2012-01-23,92.663,,,,,,,,
556,2012-01-24,78.234,,,,,,,,
557,2012-01-25,71.349,,,,,,,,
558,2012-01-26,75.052,,,,,,,,
559,2012-01-27,70.637,,,,,,,,
560,2012-01-28,70.403,,,,,,,,
561,2012-01-29,61.161,,,,,,,,
562,2012-01-30,98.6,,,,,,,,
563,2012-01-31,88.387,,,,,,,,
564,2012-02-01,83.602,,,,,,,,
565,2012-02-02,71.674,,,,,,,,
566,2012-02-03,99.758,,,,,,,,
567,2012-02-04,76.974,,,,,,,,
568,2012-02-05,71.936,,,,,,,,
569,2012-02-06,72.264,,,,,,,,
570,2012-02-07,66.013,,,,,,,,
571,2012-02-08,71.691,,,,,,,,
572,2012-02-09,57.093,,,,,,,,
573,2012-02-10,40.988,,,,,,,,
574,2012-02-11,48.448,,,,,,,,
575,2012-02-12,57.614,,,,,,,,
576,2012-02-13,55.43,,,,,,,,
577,2012-02-14,42.518,,,,,,,,
578,2012-02-15,24.21,,,,,,,,
579,2012-02-16,22.256,,,,,,,,
580,2012-02-17,75.1,,,,,,,,
581,2012-02-18,67.028,,,,,,,,
582,2012-02-19,53.412,,,,,,,,
583,2012-02-20,50.067,,,,,,,,
584,2012-02-21,64.446,,,,,,,,
585,2012-02-22,69.572,,,,,,,,
586,2012-02-23,50.376,,,,,,,,
587,2012-02-24,72.366,,,,,,,,
588,2012-02-25,80.332,,,,,,,,
589,2012-02-26,74.837,,,,,,,,
590,2012-02-27,68.248,,,,,,,,
591,2012-02-28,76.369,,,,,,,,
592,2012-02-29,70.878,,,,,,,,
593,2012-03-01,76.052,,,,,,,,
594,2012-03-02,71.552,,,,,,,,
595,2012-03-03,68.971,,,,,,,,
596,2012-03-04,68.046,,,,,,,,
597,2012-03-05,62.562,,,,,,,,
598,2012-03-06,66.058,,,,,,,,
599,2012-03-07,73.224,,,,,,,,
600,2012-03-08,73.089,,,,,,,,
601,2012-03-09,75.405,,,,,,,,
602,2012-03-10,67.86,,,,,,,,
603,2012-03-11,63.409,,,,,,,,
604,2012-03-12,81.995,,,,,,,,
605,2012-03-13,70.275,,,,,,,,
606,2012-03-14,87.855,,,,,,,,
607,2012-03-15,73.698,,,,,,,,
608,2012-03-16,82.587,,,,,,,,
609,2012-03-17,54.012,,,,,,,,
610,2012-03-18,62.742,,,,,,,,
611,2012-03-19,68.805,,,,,,,,
612,2012-03-20,72.042,,,,,,,,
613,2012-03-21,78.104,,,,,,,,
614,2012-03-22,76.983,,,,,,,,
615,2012-03-23,64.087,,,,,,,,
616,2012-03-24,74.908,,,,,,,,
617,2012-03-25,60.613,,,,,,,,
618,2012-03-26,61.707,,,,,,,,
619,2012-03-27,64.055,,,,,,,,
620,2012-03-28,68.66,,,,,,,,
621,2012-03-29,75.292,,,,,,,,
622,2012-03-30,93.357,,,,,,,,
623,2012-03-31,84.079,,,,,,,,
624,2012-04-01,74.587,,,,,,,,
625,2012-04-02,62.253,,,,,,,,
626,2012-04-03,69.675,,,,,,,,
627,2012-04-04,69.831,,,,,,,,
628,2012-04-05,68.808,,,,,,,,
629,2012-04-06,77.344,,,,,,,,
630,2012-04-07,62.316,,,,,,,,
631,2012-04-08,58.257,,,,,,,,
632,2012-04-09,69.876,,,,,,,,
633,2012-04-10,39.101,,,,,,,,
634,2012-04-11,63.175,,,,,,,,
635,2012-04-12,75.717,,,,,,,,
636,2012-04-13,90.126,,,,,,,,
637,2012-04-14,59.694,,,,,,,,
638,2012-04-15,48.702,,,,,,,,
639,2012-04-16,72.621,,,,,,,,
640,2012-04-17,93.482,,,,,,,,
641,2012-04-18,72.693,,,,,,,,
642,2012-04-19,78.466,,,,,,,,
643,2012-04-20,107.066,,,,,,,,
644,2012-04-21,74.924,,,,,,,,
645,2012-04-22,58.483,,,,,,,,
646,2012-04-23,59.866,,,,,,,,
647,2012-04-24,76.205,,,,,,,,
648,2012-04-25,47.441,,,,,,,,
