,Time,BTC_Average_Block_Time_Minutes,ETH_Average_Block_Time_Minutes,XRP_Average_Block_Time_Minutes,DOGE_Average_Block_Time_Minutes,LTC_Average_Block_Time_Minutes,BCH_Average_Block_Time_Minutes,XMR_Average_Block_Time_Minutes,DASH_Average_Block_Time_Minutes,ZEC_Average_Block_Time_Minutes
74,2009-03-24,13.714,,,,,,,,
75,2009-03-25,12.308,,,,,,,,
76,2009-03-26,12.308,,,,,,,,
77,2009-03-27,13.585,,,,,,,,
78,2009-03-28,12.101,,,,,,,,
79,2009-03-29,12.414,,,,,,,,
80,2009-03-30,12.0,,,,,,,,
81,2009-03-31,13.091,,,,,,,,
82,2009-04-01,12.632,,,,,,,,
83,2009-04-02,12.522,,,,,,,,
84,2009-04-03,12.414,,,,,,,,
85,2009-04-04,12.743,,,,,,,,
86,2009-04-05,11.077,,,,,,,,
87,2009-04-06,13.211,,,,,,,,
88,2009-04-07,14.4,,,,,,,,
89,2009-04-08,13.714,,,,,,,,
90,2009-04-09,14.545,,,,,,,,
91,2009-04-10,13.333,,,,,,,,
92,2009-04-11,12.0,,,,,,,,
93,2009-04-12,12.203,,,,,,,,
94,2009-04-13,12.522,,,,,,,,
95,2009-04-14,11.613,,,,,,,,
96,2009-04-15,12.743,,,,,,,,
97,2009-04-16,11.707,,,,,,,,
98,2009-04-17,12.857,,,,,,,,
99,2009-04-18,11.429,,,,,,,,
100,2009-04-19,12.101,,,,,,,,
101,2009-04-20,12.101,,,,,,,,
102,2009-04-21,11.707,,,,,,,,
103,2009-04-22,11.901,,,,,,,,
104,2009-04-23,19.2,,,,,,,,
105,2009-04-24,12.522,,,,,,,,
106,2009-04-25,12.203,,,,,,,,
107,2009-04-26,12.857,,,,,,,,
108,2009-04-27,13.846,,,,,,,,
109,2009-04-28,12.308,,,,,,,,
110,2009-04-29,11.25,,,,,,,,
111,2009-04-30,10.992,,,,,,,,
112,2009-05-01,11.901,,,,,,,,
113,2009-05-02,11.429,,,,,,,,
114,2009-05-03,13.585,,,,,,,,
115,2009-05-04,11.25,,,,,,,,
116,2009-05-05,10.667,,,,,,,,
117,2009-05-06,10.667,,,,,,,,
118,2009-05-07,11.803,,,,,,,,
119,2009-05-08,13.458,,,,,,,,
120,2009-05-09,18.462,,,,,,,,
121,2009-05-10,16.941,,,,,,,,
122,2009-05-11,12.0,,,,,,,,
123,2009-05-12,11.077,,,,,,,,
124,2009-05-13,12.973,,,,,,,,
125,2009-05-14,10.36,,,,,,,,
126,2009-05-15,10.588,,,,,,,,
127,2009-05-16,12.101,,,,,,,,
128,2009-05-17,11.339,,,,,,,,
129,2009-05-18,12.203,,,,,,,,
130,2009-05-19,16.744,,,,,,,,
131,2009-05-20,12.0,,,,,,,,
132,2009-05-21,17.561,,,,,,,,
133,2009-05-22,23.607,,,,,,,,
134,2009-05-23,45.0,,,,,,,,
135,2009-05-24,14.4,,,,,,,,
136,2009-05-25,13.211,,,,,,,,
137,2009-05-26,11.52,,,,,,,,
138,2009-05-27,12.101,,,,,,,,
139,2009-05-28,15.158,,,,,,,,
140,2009-05-29,13.585,,,,,,,,
141,2009-05-30,13.211,,,,,,,,
142,2009-05-31,15.0,,,,,,,,
143,2009-06-01,20.282,,,,,,,,
144,2009-06-02,12.973,,,,,,,,
145,2009-06-03,20.282,,,,,,,,
146,2009-06-04,21.818,,,,,,,,
147,2009-06-05,48.0,,,,,,,,
148,2009-06-06,51.429,,,,,,,,
149,2009-06-07,90.0,,,,,,,,
150,2009-06-08,17.561,,,,,,,,
151,2009-06-09,15.824,,,,,,,,
152,2009-06-10,17.561,,,,,,,,
153,2009-06-11,16.18,,,,,,,,
154,2009-06-12,16.744,,,,,,,,
155,2009-06-13,18.462,,,,,,,,
156,2009-06-14,20.0,,,,,,,,
157,2009-06-15,17.143,,,,,,,,
158,2009-06-16,20.282,,,,,,,,
159,2009-06-17,18.228,,,,,,,,
160,2009-06-18,18.0,,,,,,,,
161,2009-06-19,16.552,,,,,,,,
162,2009-06-20,18.462,,,,,,,,
163,2009-06-21,17.778,,,,,,,,
164,2009-06-22,18.947,,,,,,,,
165,2009-06-23,18.947,,,,,,,,
166,2009-06-24,15.158,,,,,,,,
167,2009-06-25,21.176,,,,,,,,
168,2009-06-26,16.0,,,,,,,,
169,2009-06-27,17.143,,,,,,,,
170,2009-06-28,31.304,,,,,,,,
171,2009-06-29,17.349,,,,,,,,
172,2009-06-30,16.941,,,,,,,,
173,2009-07-01,19.459,,,,,,,,
174,2009-07-02,17.349,,,,,,,,
175,2009-07-03,17.561,,,,,,,,
176,2009-07-04,16.18,,,,,,,,
177,2009-07-05,18.228,,,,,,,,
178,2009-07-06,17.143,,,,,,,,
179,2009-07-07,20.87,,,,,,,,
180,2009-07-08,19.459,,,,,,,,
181,2009-07-09,16.744,,,,,,,,
182,2009-07-10,17.778,,,,,,,,
183,2009-07-11,17.349,,,,,,,,
184,2009-07-12,18.701,,,,,,,,
185,2009-07-13,18.462,,,,,,,,
186,2009-07-14,20.87,,,,,,,,
187,2009-07-15,32.0,,,,,,,,
188,2009-07-16,20.282,,,,,,,,
189,2009-07-17,30.638,,,,,,,,
190,2009-07-18,360.0,,,,,,,,
191,2009-07-19,20.571,,,,,,,,
192,2009-07-20,20.571,,,,,,,,
193,2009-07-21,17.561,,,,,,,,
194,2009-07-22,24.0,,,,,,,,
195,2009-07-23,18.947,,,,,,,,
196,2009-07-24,19.726,,,,,,,,
197,2009-07-25,45.0,,,,,,,,
198,2009-07-26,68.571,,,,,,,,
199,2009-07-27,19.459,,,,,,,,
200,2009-07-28,35.122,,,,,,,,
201,2009-07-29,75.789,,,,,,,,
202,2009-07-30,96.0,,,,,,,,
203,2009-07-31,84.706,,,,,,,,
204,2009-08-01,51.429,,,,,,,,
205,2009-08-02,62.609,,,,,,,,
206,2009-08-03,120.0,,,,,,,,
207,2009-08-04,17.778,,,,,,,,
208,2009-08-05,16.552,,,,,,,,
209,2009-08-06,16.0,,,,,,,,
210,2009-08-07,18.0,,,,,,,,
211,2009-08-08,18.0,,,,,,,,
212,2009-08-09,14.257,,,,,,,,
213,2009-08-10,19.2,,,,,,,,
214,2009-08-11,20.571,,,,,,,,
215,2009-08-12,22.857,,,,,,,,
216,2009-08-13,16.941,,,,,,,,
217,2009-08-14,22.857,,,,,,,,
218,2009-08-15,55.385,,,,,,,,
219,2009-08-16,75.789,,,,,,,,
220,2009-08-17,84.706,,,,,,,,
221,2009-08-18,144.0,,,,,,,,
222,2009-08-19,80.0,,,,,,,,
223,2009-08-20,65.455,,,,,,,,
224,2009-08-21,102.857,,,,,,,,
225,2009-08-22,205.714,,,,,,,,
226,2009-08-23,96.0,,,,,,,,
227,2009-08-24,96.0,,,,,,,,
228,2009-08-25,28.8,,,,,,,,
229,2009-08-26,30.0,,,,,,,,
230,2009-08-27,49.655,,,,,,,,
231,2009-08-28,19.2,,,,,,,,
232,2009-08-29,18.462,,,,,,,,
233,2009-08-30,14.845,,,,,,,,
234,2009-08-31,16.744,,,,,,,,
235,2009-09-01,18.462,,,,,,,,
236,2009-09-02,21.818,,,,,,,,
237,2009-09-03,23.607,,,,,,,,
238,2009-09-04,22.5,,,,,,,,
239,2009-09-05,18.947,,,,,,,,
240,2009-09-06,21.176,,,,,,,,
241,2009-09-07,18.462,,,,,,,,
242,2009-09-08,20.87,,,,,,,,
243,2009-09-09,26.667,,,,,,,,
244,2009-09-10,21.493,,,,,,,,
245,2009-09-11,21.493,,,,,,,,
246,2009-09-12,20.87,,,,,,,,
247,2009-09-13,19.2,,,,,,,,
248,2009-09-14,19.459,,,,,,,,
249,2009-09-15,32.727,,,,,,,,
250,2009-09-16,20.0,,,,,,,,
251,2009-09-17,17.143,,,,,,,,
252,2009-09-18,18.462,,,,,,,,
253,2009-09-19,19.459,,,,,,,,
254,2009-09-20,18.462,,,,,,,,
255,2009-09-21,20.87,,,,,,,,
256,2009-09-22,57.6,,,,,,,,
257,2009-09-23,40.0,,,,,,,,
258,2009-09-24,14.845,,,,,,,,
259,2009-09-25,15.824,,,,,,,,
260,2009-09-26,14.4,,,,,,,,
261,2009-09-27,16.552,,,,,,,,
262,2009-09-28,16.941,,,,,,,,
263,2009-09-29,16.364,,,,,,,,
264,2009-09-30,16.941,,,,,,,,
265,2009-10-01,17.561,,,,,,,,
266,2009-10-02,20.0,,,,,,,,
267,2009-10-03,24.828,,,,,,,,
268,2009-10-04,27.17,,,,,,,,
269,2009-10-05,26.182,,,,,,,,
270,2009-10-06,33.488,,,,,,,,
271,2009-10-07,24.0,,,,,,,,
272,2009-10-08,20.571,,,,,,,,
273,2009-10-09,18.228,,,,,,,,
274,2009-10-10,18.701,,,,,,,,
275,2009-10-11,19.459,,,,,,,,
276,2009-10-12,24.828,,,,,,,,
277,2009-10-13,25.263,,,,,,,,
278,2009-10-14,20.87,,,,,,,,
279,2009-10-15,20.282,,,,,,,,
280,2009-10-16,24.0,,,,,,,,
281,2009-10-17,25.263,,,,,,,,
282,2009-10-18,19.459,,,,,,,,
283,2009-10-19,12.857,,,,,,,,
284,2009-10-20,15.158,,,,,,,,
285,2009-10-21,18.0,,,,,,,,
286,2009-10-22,16.0,,,,,,,,
287,2009-10-23,16.18,,,,,,,,
288,2009-10-24,23.226,,,,,,,,
289,2009-10-25,18.947,,,,,,,,
290,2009-10-26,20.282,,,,,,,,
291,2009-10-27,22.5,,,,,,,,
292,2009-10-28,21.818,,,,,,,,
293,2009-10-29,31.304,,,,,,,,
294,2009-10-30,24.0,,,,,,,,
295,2009-10-31,31.304,,,,,,,,
296,2009-11-01,57.6,,,,,,,,
297,2009-11-02,43.636,,,,,,,,
298,2009-11-03,23.226,,,,,,,,
299,2009-11-04,22.857,,,,,,,,
300,2009-11-05,25.263,,,,,,,,
301,2009-11-06,23.226,,,,,,,,
302,2009-11-07,20.87,,,,,,,,
303,2009-11-08,19.726,,,,,,,,
304,2009-11-09,22.5,,,,,,,,
305,2009-11-10,18.462,,,,,,,,
306,2009-11-11,22.5,,,,,,,,
307,2009-11-12,21.818,,,,,,,,
308,2009-11-13,18.0,,,,,,,,
309,2009-11-14,18.228,,,,,,,,
310,2009-11-15,15.0,,,,,,,,
311,2009-11-16,14.845,,,,,,,,
312,2009-11-17,15.652,,,,,,,,
313,2009-11-18,18.228,,,,,,,,
314,2009-11-19,20.571,,,,,,,,
315,2009-11-20,16.744,,,,,,,,
316,2009-11-21,19.726,,,,,,,,
317,2009-11-22,13.585,,,,,,,,
318,2009-11-23,15.0,,,,,,,,
319,2009-11-24,15.484,,,,,,,,
320,2009-11-25,16.0,,,,,,,,
321,2009-11-26,17.143,,,,,,,,
322,2009-11-27,19.459,,,,,,,,
323,2009-11-28,20.282,,,,,,,,
324,2009-11-29,24.0,,,,,,,,
325,2009-11-30,19.2,,,,,,,,
326,2009-12-01,19.726,,,,,,,,
327,2009-12-02,15.319,,,,,,,,
328,2009-12-03,16.364,,,,,,,,
329,2009-12-04,40.0,,,,,,,,
330,2009-12-05,22.5,,,,,,,,
331,2009-12-06,13.981,,,,,,,,
332,2009-12-07,12.857,,,,,,,,
333,2009-12-08,13.714,,,,,,,,
334,2009-12-09,15.0,,,,,,,,
335,2009-12-10,13.846,,,,,,,,
336,2009-12-11,12.857,,,,,,,,
337,2009-12-12,13.091,,,,,,,,
338,2009-12-13,12.632,,,,,,,,
339,2009-12-14,14.118,,,,,,,,
340,2009-12-15,13.091,,,,,,,,
341,2009-12-16,10.588,,,,,,,,
342,2009-12-17,8.521,,,,,,,,
343,2009-12-18,6.4,,,,,,,,
344,2009-12-19,7.273,,,,,,,,
345,2009-12-20,8.229,,,,,,,,
346,2009-12-21,8.229,,,,,,,,
347,2009-12-22,8.889,,,,,,,,
348,2009-12-23,9.351,,,,,,,,
349,2009-12-24,9.351,,,,,,,,
350,2009-12-25,9.664,,,,,,,,
351,2009-12-26,8.276,,,,,,,,
352,2009-12-27,8.623,,,,,,,,
353,2009-12-28,10.511,,,,,,,,
354,2009-12-29,8.421,,,,,,,,
355,2009-12-30,10.213,,,,,,,,
356,2009-12-31,10.435,,,,,,,,
357,2010-01-01,10.909,,,,,,,,
358,2010-01-02,11.429,,,,,,,,
359,2010-01-03,7.742,,,,,,,,
360,2010-01-04,7.956,,,,,,,,
361,2010-01-05,7.273,,,,,,,,
362,2010-01-06,8.834,,,,,,,,
363,2010-01-07,9.351,,,,,,,,
364,2010-01-08,9.412,,,,,,,,
365,2010-01-09,9.536,,,,,,,,
366,2010-01-10,7.579,,,,,,,,
367,2010-01-11,9.057,,,,,,,,
368,2010-01-12,9.057,,,,,,,,
369,2010-01-13,8.78,,,,,,,,
370,2010-01-14,10.07,,,,,,,,
371,2010-01-15,10.213,,,,,,,,
372,2010-01-16,11.52,,,,,,,,
373,2010-01-17,10.992,,,,,,,,
374,2010-01-18,11.52,,,,,,,,
375,2010-01-19,11.613,,,,,,,,
376,2010-01-20,9.114,,,,,,,,
377,2010-01-21,8.229,,,,,,,,
378,2010-01-22,10.827,,,,,,,,
379,2010-01-23,9.0,,,,,,,,
380,2010-01-24,9.351,,,,,,,,
381,2010-01-25,6.825,,,,,,,,
382,2010-01-26,7.385,,,,,,,,
383,2010-01-27,8.78,,,,,,,,
384,2010-01-28,8.136,,,,,,,,
385,2010-01-29,7.31,,,,,,,,
386,2010-01-30,6.857,,,,,,,,
387,2010-01-31,8.727,,,,,,,,
388,2010-02-01,7.826,,,,,,,,
389,2010-02-02,9.931,,,,,,,,
390,2010-02-03,5.333,,,,,,,,
391,2010-02-04,6.288,,,,,,,,
392,2010-02-05,6.457,,,,,,,,
393,2010-02-06,7.5,,,,,,,,
394,2010-02-07,6.636,,,,,,,,
395,2010-02-08,7.2,,,,,,,,
396,2010-02-09,6.957,,,,,,,,
397,2010-02-10,8.571,,,,,,,,
398,2010-02-11,8.521,,,,,,,,
399,2010-02-12,7.869,,,,,,,,
400,2010-02-13,6.207,,,,,,,,
401,2010-02-14,6.923,,,,,,,,
402,2010-02-15,8.182,,,,,,,,
403,2010-02-16,7.385,,,,,,,,
404,2010-02-17,6.025,,,,,,,,
405,2010-02-18,6.923,,,,,,,,
406,2010-02-19,7.5,,,,,,,,
407,2010-02-20,6.923,,,,,,,,
408,2010-02-21,6.457,,,,,,,,
409,2010-02-22,5.538,,,,,,,,
410,2010-02-23,5.76,,,,,,,,
411,2010-02-24,8.421,,,,,,,,
412,2010-02-25,9.351,,,,,,,,
413,2010-02-26,8.372,,,,,,,,
414,2010-02-27,8.372,,,,,,,,
415,2010-02-28,9.231,,,,,,,,
416,2010-03-01,7.385,,,,,,,,
417,2010-03-02,7.66,,,,,,,,
418,2010-03-03,9.474,,,,,,,,
419,2010-03-04,7.784,,,,,,,,
420,2010-03-05,8.421,,,,,,,,
421,2010-03-06,8.136,,,,,,,,
422,2010-03-07,8.045,,,,,,,,
423,2010-03-08,11.52,,,,,,,,
424,2010-03-09,9.863,,,,,,,,
425,2010-03-10,8.889,,,,,,,,
426,2010-03-11,10.827,,,,,,,,
427,2010-03-12,11.901,,,,,,,,
428,2010-03-13,9.412,,,,,,,,
429,2010-03-14,11.52,,,,,,,,
430,2010-03-15,10.667,,,,,,,,
431,2010-03-16,11.429,,,,,,,,
432,2010-03-17,10.588,,,,,,,,
433,2010-03-18,10.286,,,,,,,,
434,2010-03-19,9.412,,,,,,,,
435,2010-03-20,7.5,,,,,,,,
436,2010-03-21,7.869,,,,,,,,
437,2010-03-22,8.045,,,,,,,,
438,2010-03-23,6.957,,,,,,,,
439,2010-03-24,8.421,,,,,,,,
440,2010-03-25,7.701,,,,,,,,
441,2010-03-26,7.31,,,,,,,,
442,2010-03-27,8.09,,,,,,,,
443,2010-03-28,7.742,,,,,,,,
444,2010-03-29,7.385,,,,,,,,
445,2010-03-30,6.698,,,,,,,,
446,2010-03-31,6.89,,,,,,,,
447,2010-04-01,8.571,,,,,,,,
448,2010-04-02,9.231,,,,,,,,
449,2010-04-03,8.944,,,,,,,,
450,2010-04-04,8.421,,,,,,,,
451,2010-04-05,9.412,,,,,,,,
452,2010-04-06,9.057,,,,,,,,
453,2010-04-07,7.461,,,,,,,,
454,2010-04-08,7.869,,,,,,,,
455,2010-04-09,7.619,,,,,,,,
456,2010-04-10,5.538,,,,,,,,
457,2010-04-11,6.457,,,,,,,,
458,2010-04-12,7.094,,,,,,,,
459,2010-04-13,7.619,,,,,,,,
460,2010-04-14,8.0,,,,,,,,
461,2010-04-15,6.667,,,,,,,,
462,2010-04-16,7.129,,,,,,,,
463,2010-04-17,6.516,,,,,,,,
464,2010-04-18,5.878,,,,,,,,
465,2010-04-19,6.207,,,,,,,,
466,2010-04-20,7.024,,,,,,,,
467,2010-04-21,6.575,,,,,,,,
468,2010-04-22,9.057,,,,,,,,
469,2010-04-23,9.6,,,,,,,,
470,2010-04-24,8.571,,,,,,,,
471,2010-04-25,9.114,,,,,,,,
472,2010-04-26,8.78,,,,,,,,
473,2010-04-27,8.0,,,,,,,,
474,2010-04-28,8.0,,,,,,,,
475,2010-04-29,9.796,,,,,,,,
476,2010-04-30,10.0,,,,,,,,
477,2010-05-01,7.869,,,,,,,,
478,2010-05-02,9.29,,,,,,,,
479,2010-05-03,9.057,,,,,,,,
480,2010-05-04,10.588,,,,,,,,
481,2010-05-05,10.511,,,,,,,,
482,2010-05-06,9.664,,,,,,,,
483,2010-05-07,10.909,,,,,,,,
484,2010-05-08,9.351,,,,,,,,
485,2010-05-09,10.07,,,,,,,,
486,2010-05-10,11.25,,,,,,,,
487,2010-05-11,12.973,,,,,,,,
488,2010-05-12,11.339,,,,,,,,
489,2010-05-13,11.25,,,,,,,,
490,2010-05-14,11.707,,,,,,,,
491,2010-05-15,15.824,,,,,,,,
492,2010-05-16,12.743,,,,,,,,
493,2010-05-17,10.07,,,,,,,,
494,2010-05-18,8.571,,,,,,,,
495,2010-05-19,8.78,,,,,,,,
496,2010-05-20,7.094,,,,,,,,
497,2010-05-21,8.182,,,,,,,,
498,2010-05-22,7.385,,,,,,,,
499,2010-05-23,6.825,,,,,,,,
500,2010-05-24,7.66,,,,,,,,
501,2010-05-25,6.857,,,,,,,,
502,2010-05-26,6.457,,,,,,,,
503,2010-05-27,7.5,,,,,,,,
504,2010-05-28,6.457,,,,,,,,
505,2010-05-29,7.826,,,,,,,,
506,2010-05-30,9.664,,,,,,,,
507,2010-05-31,10.141,,,,,,,,
508,2010-06-01,10.667,,,,,,,,
509,2010-06-02,9.796,,,,,,,,
510,2010-06-03,9.474,,,,,,,,
511,2010-06-04,11.52,,,,,,,,
512,2010-06-05,9.931,,,,,,,,
513,2010-06-06,9.73,,,,,,,,
514,2010-06-07,9.172,,,,,,,,
515,2010-06-08,9.0,,,,,,,,
516,2010-06-09,8.571,,,,,,,,
517,2010-06-10,9.0,,,,,,,,
518,2010-06-11,8.571,,,,,,,,
519,2010-06-12,10.667,,,,,,,,
520,2010-06-13,8.372,,,,,,,,
521,2010-06-14,8.944,,,,,,,,
522,2010-06-15,7.826,,,,,,,,
523,2010-06-16,10.141,,,,,,,,
524,2010-06-17,9.863,,,,,,,,
525,2010-06-18,9.6,,,,,,,,
526,2010-06-19,9.6,,,,,,,,
527,2010-06-20,7.784,,,,,,,,
528,2010-06-21,9.351,,,,,,,,
529,2010-06-22,9.231,,,,,,,,
530,2010-06-23,7.701,,,,,,,,
531,2010-06-24,8.521,,,,,,,,
532,2010-06-25,9.6,,,,,,,,
533,2010-06-26,9.057,,,,,,,,
534,2010-06-27,8.09,,,,,,,,
535,2010-06-28,9.474,,,,,,,,
536,2010-06-29,8.521,,,,,,,,
537,2010-06-30,7.912,,,,,,,,
538,2010-07-01,6.825,,,,,,,,
539,2010-07-02,8.623,,,,,,,,
540,2010-07-03,6.792,,,,,,,,
541,2010-07-04,8.675,,,,,,,,
542,2010-07-05,8.045,,,,,,,,
543,2010-07-06,8.521,,,,,,,,
544,2010-07-07,9.231,,,,,,,,
545,2010-07-08,9.536,,,,,,,,
546,2010-07-09,7.236,,,,,,,,
547,2010-07-10,7.273,,,,,,,,
548,2010-07-11,8.045,,,,,,,,
549,2010-07-12,2.185,,,,,,,,
550,2010-07-13,2.081,,,,,,,,
551,2010-07-14,2.491,,,,,,,,
552,2010-07-15,2.308,,,,,,,,
553,2010-07-16,2.851,,,,,,,,
554,2010-07-17,8.324,,,,,,,,
555,2010-07-18,8.372,,,,,,,,
556,2010-07-19,8.276,,,,,,,,
557,2010-07-20,7.956,,,,,,,,
558,2010-07-21,6.957,,,,,,,,
559,2010-07-22,8.182,,,,,,,,
560,2010-07-23,7.423,,,,,,,,
561,2010-07-24,7.619,,,,,,,,
562,2010-07-25,6.234,,,,,,,,
563,2010-07-26,5.926,,,,,,,,
564,2010-07-27,8.675,,,,,,,,
565,2010-07-28,9.057,,,,,,,,
566,2010-07-29,8.0,,,,,,,,
567,2010-07-30,7.912,,,,,,,,
568,2010-07-31,7.094,,,,,,,,
569,2010-08-01,6.025,,,,,,,,
570,2010-08-02,5.95,,,,,,,,
571,2010-08-03,6.344,,,,,,,,
572,2010-08-04,5.926,,,,,,,,
573,2010-08-05,6.606,,,,,,,,
574,2010-08-06,9.796,,,,,,,,
575,2010-08-07,9.29,,,,,,,,
576,2010-08-08,7.236,,,,,,,,
577,2010-08-09,7.579,,,,,,,,
578,2010-08-10,7.539,,,,,,,,
579,2010-08-11,6.18,,,,,,,,
580,2010-08-12,6.636,,,,,,,,
581,2010-08-13,6.698,,,,,,,,
582,2010-08-14,5.125,,,,,,,,
583,2010-08-15,6.957,,,,,,,,
584,2010-08-16,9.796,,,,,,,,
585,2010-08-17,11.163,,,,,,,,
586,2010-08-18,10.827,,,,,,,,
587,2010-08-19,10.667,,,,,,,,
588,2010-08-20,7.461,,,,,,,,
589,2010-08-21,8.324,,,,,,,,
590,2010-08-22,6.792,,,,,,,,
591,2010-08-23,6.761,,,,,,,,
592,2010-08-24,6.698,,,,,,,,
593,2010-08-25,6.667,,,,,,,,
594,2010-08-26,6.857,,,,,,,,
595,2010-08-27,8.421,,,,,,,,
596,2010-08-28,8.471,,,,,,,,
597,2010-08-29,8.889,,,,,,,,
598,2010-08-30,9.664,,,,,,,,
599,2010-08-31,7.826,,,,,,,,
600,2010-09-01,9.172,,,,,,,,
601,2010-09-02,9.231,,,,,,,,
602,2010-09-03,8.78,,,,,,,,
603,2010-09-04,7.956,,,,,,,,
604,2010-09-05,8.727,,,,,,,,
605,2010-09-06,9.114,,,,,,,,
606,2010-09-07,9.0,,,,,,,,
607,2010-09-08,8.727,,,,,,,,
608,2010-09-09,10.667,,,,,,,,
609,2010-09-10,8.136,,,,,,,,
610,2010-09-11,9.0,,,,,,,,
611,2010-09-12,8.136,,,,,,,,
612,2010-09-13,8.421,,,,,,,,
613,2010-09-14,7.094,,,,,,,,
614,2010-09-15,8.521,,,,,,,,
615,2010-09-16,6.575,,,,,,,,
616,2010-09-17,6.923,,,,,,,,
617,2010-09-18,6.076,,,,,,,,
618,2010-09-19,6.89,,,,,,,,
619,2010-09-20,7.094,,,,,,,,
620,2010-09-21,8.372,,,,,,,,
621,2010-09-22,8.276,,,,,,,,
622,2010-09-23,6.154,,,,,,,,
623,2010-09-24,6.316,,,,,,,,
624,2010-09-25,6.957,,,,,,,,
625,2010-09-26,7.024,,,,,,,,
626,2010-09-27,6.288,,,,,,,,
627,2010-09-28,6.792,,,,,,,,
628,2010-09-29,8.78,,,,,,,,
629,2010-09-30,9.863,,,,,,,,
630,2010-10-01,9.351,,,,,,,,
631,2010-10-02,14.4,,,,,,,,
632,2010-10-03,11.803,,,,,,,,
633,2010-10-04,9.412,,,,,,,,
634,2010-10-05,11.429,,,,,,,,
635,2010-10-06,8.421,,,,,,,,
636,2010-10-07,9.0,,,,,,,,
637,2010-10-08,9.351,,,,,,,,
638,2010-10-09,9.114,,,,,,,,
639,2010-10-10,8.09,,,,,,,,
640,2010-10-11,9.057,,,,,,,,
641,2010-10-12,9.29,,,,,,,,
642,2010-10-13,8.182,,,,,,,,
643,2010-10-14,7.024,,,,,,,,
644,2010-10-15,8.136,,,,,,,,
645,2010-10-16,5.581,,,,,,,,
646,2010-10-17,5.333,,,,,,,,
647,2010-10-18,5.783,,,,,,,,
648,2010-10-19,5.625,,,,,,,,
649,2010-10-20,5.455,,,,,,,,
