,Time,BTC_Top_100_Richest_Percentage_of_Total_Coins,ETH_Top_100_Richest_Percentage_of_Total_Coins,XRP_Top_100_Richest_Percentage_of_Total_Coins,DOGE_Top_100_Richest_Percentage_of_Total_Coins,LTC_Top_100_Richest_Percentage_of_Total_Coins,BCH_Top_100_Richest_Percentage_of_Total_Coins,XMR_Top_100_Richest_Percentage_of_Total_Coins,DASH_Top_100_Richest_Percentage_of_Total_Coins,ZEC_Top_100_Richest_Percentage_of_Total_Coins
175,2009-06-27,5.644,,,,,,,,
176,2009-06-28,5.63,,,,,,,,
177,2009-06-29,5.604,,,,,,,,
178,2009-06-30,5.587,,,,,,,,
179,2009-07-01,5.575,,,,,,,,
180,2009-07-02,5.55,,,,,,,,
181,2009-07-03,5.526,,,,,,,,
182,2009-07-04,5.5,,,,,,,,
183,2009-07-05,5.477,,,,,,,,
184,2009-07-06,5.452,,,,,,,,
185,2009-07-07,5.433,,,,,,,,
186,2009-07-08,5.412,,,,,,,,
187,2009-07-09,5.387,,,,,,,,
188,2009-07-10,5.365,,,,,,,,
189,2009-07-11,5.342,,,,,,,,
190,2009-07-12,5.32,,,,,,,,
191,2009-07-13,5.299,,,,,,,,
192,2009-07-14,5.28,,,,,,,,
193,2009-07-15,5.268,,,,,,,,
194,2009-07-16,5.249,,,,,,,,
195,2009-07-17,5.237,,,,,,,,
196,2009-07-18,5.236,,,,,,,,
197,2009-07-19,5.217,,,,,,,,
198,2009-07-20,5.803,,,,,,,,
199,2009-07-21,5.779,,,,,,,,
200,2009-07-22,5.762,,,,,,,,
201,2009-07-23,5.74,,,,,,,,
202,2009-07-24,5.719,,,,,,,,
203,2009-07-25,5.71,,,,,,,,
204,2009-07-26,5.704,,,,,,,,
205,2009-07-27,5.683,,,,,,,,
206,2009-07-28,5.672,,,,,,,,
207,2009-07-29,5.671,,,,,,,,
208,2009-07-30,5.667,,,,,,,,
209,2009-07-31,5.663,,,,,,,,
210,2009-08-01,5.655,,,,,,,,
211,2009-08-02,5.648,,,,,,,,
212,2009-08-03,5.645,,,,,,,,
213,2009-08-04,5.623,,,,,,,,
214,2009-08-05,5.599,,,,,,,,
215,2009-08-06,5.575,,,,,,,,
216,2009-08-07,6.083,,,,,,,,
217,2009-08-08,6.059,,,,,,,,
218,2009-08-09,6.03,,,,,,,,
219,2009-08-10,6.009,,,,,,,,
220,2009-08-11,5.989,,,,,,,,
221,2009-08-12,5.971,,,,,,,,
222,2009-08-13,5.947,,,,,,,,
223,2009-08-14,5.93,,,,,,,,
224,2009-08-15,5.922,,,,,,,,
225,2009-08-16,5.917,,,,,,,,
226,2009-08-17,5.912,,,,,,,,
227,2009-08-18,5.91,,,,,,,,
228,2009-08-19,5.905,,,,,,,,
229,2009-08-20,5.899,,,,,,,,
230,2009-08-21,5.895,,,,,,,,
231,2009-08-22,5.893,,,,,,,,
232,2009-08-23,5.889,,,,,,,,
233,2009-08-24,5.885,,,,,,,,
234,2009-08-25,5.871,,,,,,,,
235,2009-08-26,6.071,,,,,,,,
236,2009-08-27,6.063,,,,,,,,
237,2009-08-28,6.042,,,,,,,,
238,2009-08-29,6.02,,,,,,,,
239,2009-08-30,5.993,,,,,,,,
240,2009-08-31,5.997,,,,,,,,
241,2009-09-01,5.976,,,,,,,,
242,2009-09-02,5.958,,,,,,,,
243,2009-09-03,6.005,,,,,,,,
244,2009-09-04,5.988,,,,,,,,
245,2009-09-05,5.967,,,,,,,,
246,2009-09-06,5.949,,,,,,,,
247,2009-09-07,5.986,,,,,,,,
248,2009-09-08,5.968,,,,,,,,
249,2009-09-09,5.954,,,,,,,,
250,2009-09-10,5.936,,,,,,,,
251,2009-09-11,5.918,,,,,,,,
252,2009-09-12,5.901,,,,,,,,
253,2009-09-13,5.881,,,,,,,,
254,2009-09-14,5.862,,,,,,,,
255,2009-09-15,5.851,,,,,,,,
256,2009-09-16,5.833,,,,,,,,
257,2009-09-17,6.244,,,,,,,,
258,2009-09-18,6.223,,,,,,,,
259,2009-09-19,6.203,,,,,,,,
260,2009-09-20,6.183,,,,,,,,
261,2009-09-21,6.199,,,,,,,,
262,2009-09-22,6.363,,,,,,,,
263,2009-09-23,6.353,,,,,,,,
264,2009-09-24,6.327,,,,,,,,
265,2009-09-25,6.412,,,,,,,,
266,2009-09-26,6.385,,,,,,,,
267,2009-09-27,6.429,,,,,,,,
268,2009-09-28,6.406,,,,,,,,
269,2009-09-29,6.562,,,,,,,,
270,2009-09-30,6.539,,,,,,,,
271,2009-10-01,6.517,,,,,,,,
272,2009-10-02,6.539,,,,,,,,
273,2009-10-03,6.523,,,,,,,,
274,2009-10-04,6.509,,,,,,,,
275,2009-10-05,6.494,,,,,,,,
276,2009-10-06,6.536,,,,,,,,
277,2009-10-07,6.52,,,,,,,,
278,2009-10-08,6.501,,,,,,,,
279,2009-10-09,6.48,,,,,,,,
280,2009-10-10,6.46,,,,,,,,
281,2009-10-11,6.441,,,,,,,,
282,2009-10-12,6.715,,,,,,,,
283,2009-10-13,6.7,,,,,,,,
284,2009-10-14,6.682,,,,,,,,
285,2009-10-15,6.663,,,,,,,,
286,2009-10-16,6.961,,,,,,,,
287,2009-10-17,6.945,,,,,,,,
288,2009-10-18,6.953,,,,,,,,
289,2009-10-19,6.922,,,,,,,,
290,2009-10-20,7.289,,,,,,,,
291,2009-10-21,7.336,,,,,,,,
292,2009-10-22,7.459,,,,,,,,
293,2009-10-23,7.433,,,,,,,,
294,2009-10-24,7.438,,,,,,,,
295,2009-10-25,7.417,,,,,,,,
296,2009-10-26,7.396,,,,,,,,
297,2009-10-27,7.436,,,,,,,,
298,2009-10-28,7.417,,,,,,,,
299,2009-10-29,7.561,,,,,,,,
300,2009-10-30,7.544,,,,,,,,
301,2009-10-31,7.53,,,,,,,,
302,2009-11-01,7.523,,,,,,,,
303,2009-11-02,7.514,,,,,,,,
304,2009-11-03,7.496,,,,,,,,
305,2009-11-04,7.63,,,,,,,,
306,2009-11-05,7.613,,,,,,,,
307,2009-11-06,7.595,,,,,,,,
308,2009-11-07,7.576,,,,,,,,
309,2009-11-08,7.555,,,,,,,,
310,2009-11-09,7.537,,,,,,,,
311,2009-11-10,7.515,,,,,,,,
312,2009-11-11,7.683,,,,,,,,
313,2009-11-12,7.664,,,,,,,,
314,2009-11-13,7.679,,,,,,,,
315,2009-11-14,7.656,,,,,,,,
316,2009-11-15,7.629,,,,,,,,
317,2009-11-16,7.602,,,,,,,,
318,2009-11-17,7.576,,,,,,,,
319,2009-11-18,7.555,,,,,,,,
320,2009-11-19,7.826,,,,,,,,
321,2009-11-20,7.802,,,,,,,,
322,2009-11-21,7.781,,,,,,,,
323,2009-11-22,7.751,,,,,,,,
324,2009-11-23,7.725,,,,,,,,
325,2009-11-24,7.699,,,,,,,,
326,2009-11-25,7.674,,,,,,,,
327,2009-11-26,7.652,,,,,,,,
328,2009-11-27,7.631,,,,,,,,
329,2009-11-28,7.612,,,,,,,,
330,2009-11-29,7.596,,,,,,,,
331,2009-11-30,7.576,,,,,,,,
332,2009-12-01,8.125,,,,,,,,
333,2009-12-02,8.098,,,,,,,,
334,2009-12-03,8.073,,,,,,,,
335,2009-12-04,8.063,,,,,,,,
336,2009-12-05,8.104,,,,,,,,
337,2009-12-06,8.079,,,,,,,,
338,2009-12-07,8.048,,,,,,,,
339,2009-12-08,8.122,,,,,,,,
340,2009-12-09,8.125,,,,,,,,
341,2009-12-10,8.096,,,,,,,,
342,2009-12-11,8.065,,,,,,,,
343,2009-12-12,8.259,,,,,,,,
344,2009-12-13,8.227,,,,,,,,
345,2009-12-14,9.291,,,,,,,,
346,2009-12-15,9.274,,,,,,,,
347,2009-12-16,9.285,,,,,,,,
348,2009-12-17,9.241,,,,,,,,
349,2009-12-18,9.173,,,,,,,,
350,2009-12-19,9.117,,,,,,,,
351,2009-12-20,9.065,,,,,,,,
352,2009-12-21,9.014,,,,,,,,
353,2009-12-22,8.967,,,,,,,,
354,2009-12-23,8.922,,,,,,,,
355,2009-12-24,8.879,,,,,,,,
356,2009-12-25,8.837,,,,,,,,
357,2009-12-26,8.788,,,,,,,,
358,2009-12-27,8.755,,,,,,,,
359,2009-12-28,8.717,,,,,,,,
360,2009-12-29,8.671,,,,,,,,
361,2009-12-30,8.633,,,,,,,,
362,2009-12-31,8.597,,,,,,,,
363,2010-01-01,8.562,,,,,,,,
364,2010-01-02,8.529,,,,,,,,
365,2010-01-03,8.481,,,,,,,,
366,2010-01-04,8.677,,,,,,,,
367,2010-01-05,8.626,,,,,,,,
368,2010-01-06,8.584,,,,,,,,
369,2010-01-07,8.545,,,,,,,,
370,2010-01-08,8.506,,,,,,,,
371,2010-01-09,8.468,,,,,,,,
372,2010-01-10,8.421,,,,,,,,
373,2010-01-11,8.382,,,,,,,,
374,2010-01-12,8.967,,,,,,,,
375,2010-01-13,8.925,,,,,,,,
376,2010-01-14,8.911,,,,,,,,
377,2010-01-15,8.887,,,,,,,,
378,2010-01-16,8.866,,,,,,,,
379,2010-01-17,8.833,,,,,,,,
380,2010-01-18,8.802,,,,,,,,
381,2010-01-19,8.771,,,,,,,,
382,2010-01-20,8.732,,,,,,,,
383,2010-01-21,8.698,,,,,,,,
384,2010-01-22,8.677,,,,,,,,
385,2010-01-23,8.638,,,,,,,,
386,2010-01-24,8.604,,,,,,,,
387,2010-01-25,8.705,,,,,,,,
388,2010-01-26,8.695,,,,,,,,
389,2010-01-27,8.71,,,,,,,,
390,2010-01-28,8.725,,,,,,,,
391,2010-01-29,8.727,,,,,,,,
392,2010-01-30,8.761,,,,,,,,
393,2010-01-31,8.768,,,,,,,,
394,2010-02-01,8.749,,,,,,,,
395,2010-02-02,8.771,,,,,,,,
396,2010-02-03,8.725,,,,,,,,
397,2010-02-04,8.772,,,,,,,,
398,2010-02-05,9.345,,,,,,,,
399,2010-02-06,9.371,,,,,,,,
400,2010-02-07,9.336,,,,,,,,
401,2010-02-08,9.588,,,,,,,,
402,2010-02-09,10.589,,,,,,,,
403,2010-02-10,12.075,,,,,,,,
404,2010-02-11,12.21,,,,,,,,
405,2010-02-12,12.244,,,,,,,,
406,2010-02-13,12.382,,,,,,,,
407,2010-02-14,12.439,,,,,,,,
408,2010-02-15,12.6,,,,,,,,
409,2010-02-16,12.57,,,,,,,,
410,2010-02-17,12.545,,,,,,,,
411,2010-02-18,12.615,,,,,,,,
412,2010-02-19,12.557,,,,,,,,
413,2010-02-20,12.523,,,,,,,,
414,2010-02-21,12.753,,,,,,,,
415,2010-02-22,13.305,,,,,,,,
416,2010-02-23,13.226,,,,,,,,
417,2010-02-24,13.415,,,,,,,,
418,2010-02-25,13.698,,,,,,,,
419,2010-02-26,13.685,,,,,,,,
420,2010-02-27,13.651,,,,,,,,
421,2010-02-28,13.845,,,,,,,,
422,2010-03-01,13.855,,,,,,,,
423,2010-03-02,13.884,,,,,,,,
424,2010-03-03,14.074,,,,,,,,
425,2010-03-04,14.896,,,,,,,,
426,2010-03-05,14.838,,,,,,,,
427,2010-03-06,14.982,,,,,,,,
428,2010-03-07,15.177,,,,,,,,
429,2010-03-08,15.536,,,,,,,,
430,2010-03-09,15.664,,,,,,,,
431,2010-03-10,15.686,,,,,,,,
432,2010-03-11,15.78,,,,,,,,
433,2010-03-12,15.753,,,,,,,,
434,2010-03-13,15.777,,,,,,,,
435,2010-03-14,15.751,,,,,,,,
436,2010-03-15,15.704,,,,,,,,
437,2010-03-16,15.707,,,,,,,,
438,2010-03-17,15.711,,,,,,,,
439,2010-03-18,15.824,,,,,,,,
440,2010-03-19,16.034,,,,,,,,
441,2010-03-20,16.096,,,,,,,,
442,2010-03-21,16.047,,,,,,,,
443,2010-03-22,16.067,,,,,,,,
444,2010-03-23,16.147,,,,,,,,
445,2010-03-24,16.142,,,,,,,,
446,2010-03-25,16.789,,,,,,,,
447,2010-03-26,16.875,,,,,,,,
448,2010-03-27,16.857,,,,,,,,
449,2010-03-28,16.825,,,,,,,,
450,2010-03-29,16.896,,,,,,,,
451,2010-03-30,16.842,,,,,,,,
452,2010-03-31,16.811,,,,,,,,
453,2010-04-01,16.806,,,,,,,,
454,2010-04-02,16.794,,,,,,,,
455,2010-04-03,16.783,,,,,,,,
456,2010-04-04,16.862,,,,,,,,
457,2010-04-05,17.051,,,,,,,,
458,2010-04-06,17.185,,,,,,,,
459,2010-04-07,17.311,,,,,,,,
460,2010-04-08,17.277,,,,,,,,
461,2010-04-09,17.344,,,,,,,,
462,2010-04-10,17.746,,,,,,,,
463,2010-04-11,17.952,,,,,,,,
464,2010-04-12,18.107,,,,,,,,
465,2010-04-13,18.095,,,,,,,,
466,2010-04-14,18.139,,,,,,,,
467,2010-04-15,19.263,,,,,,,,
468,2010-04-16,19.531,,,,,,,,
469,2010-04-17,19.536,,,,,,,,
470,2010-04-18,19.569,,,,,,,,
471,2010-04-19,19.957,,,,,,,,
472,2010-04-20,20.188,,,,,,,,
473,2010-04-21,20.327,,,,,,,,
474,2010-04-22,20.301,,,,,,,,
475,2010-04-23,20.283,,,,,,,,
476,2010-04-24,20.345,,,,,,,,
477,2010-04-25,20.456,,,,,,,,
478,2010-04-26,20.481,,,,,,,,
479,2010-04-27,20.439,,,,,,,,
480,2010-04-28,20.533,,,,,,,,
481,2010-04-29,20.538,,,,,,,,
482,2010-04-30,20.589,,,,,,,,
483,2010-05-01,20.582,,,,,,,,
484,2010-05-02,20.569,,,,,,,,
485,2010-05-03,20.676,,,,,,,,
486,2010-05-04,20.847,,,,,,,,
487,2010-05-05,21.062,,,,,,,,
488,2010-05-06,21.426,,,,,,,,
489,2010-05-07,21.508,,,,,,,,
490,2010-05-08,21.905,,,,,,,,
491,2010-05-09,21.935,,,,,,,,
492,2010-05-10,22.092,,,,,,,,
493,2010-05-11,22.078,,,,,,,,
494,2010-05-12,22.282,,,,,,,,
495,2010-05-13,22.375,,,,,,,,
496,2010-05-14,22.484,,,,,,,,
497,2010-05-15,22.54,,,,,,,,
498,2010-05-16,22.536,,,,,,,,
499,2010-05-17,22.745,,,,,,,,
500,2010-05-18,22.814,,,,,,,,
501,2010-05-19,22.899,,,,,,,,
502,2010-05-20,22.89,,,,,,,,
503,2010-05-21,23.041,,,,,,,,
504,2010-05-22,23.106,,,,,,,,
505,2010-05-23,23.197,,,,,,,,
506,2010-05-24,23.242,,,,,,,,
507,2010-05-25,23.285,,,,,,,,
508,2010-05-26,23.312,,,,,,,,
509,2010-05-27,23.407,,,,,,,,
510,2010-05-28,23.403,,,,,,,,
511,2010-05-29,23.479,,,,,,,,
512,2010-05-30,23.467,,,,,,,,
513,2010-05-31,23.498,,,,,,,,
514,2010-06-01,23.541,,,,,,,,
515,2010-06-02,23.521,,,,,,,,
516,2010-06-03,23.659,,,,,,,,
517,2010-06-04,23.68,,,,,,,,
518,2010-06-05,23.689,,,,,,,,
519,2010-06-06,23.728,,,,,,,,
520,2010-06-07,24.096,,,,,,,,
521,2010-06-08,24.122,,,,,,,,
522,2010-06-09,24.543,,,,,,,,
523,2010-06-10,24.58,,,,,,,,
524,2010-06-11,24.574,,,,,,,,
525,2010-06-12,24.59,,,,,,,,
526,2010-06-13,24.638,,,,,,,,
527,2010-06-14,24.756,,,,,,,,
528,2010-06-15,24.817,,,,,,,,
529,2010-06-16,24.857,,,,,,,,
530,2010-06-17,24.802,,,,,,,,
531,2010-06-18,24.909,,,,,,,,
532,2010-06-19,25.388,,,,,,,,
533,2010-06-20,25.395,,,,,,,,
534,2010-06-21,25.394,,,,,,,,
535,2010-06-22,25.45,,,,,,,,
536,2010-06-23,25.435,,,,,,,,
537,2010-06-24,25.497,,,,,,,,
538,2010-06-25,25.452,,,,,,,,
539,2010-06-26,25.388,,,,,,,,
540,2010-06-27,25.359,,,,,,,,
541,2010-06-28,25.343,,,,,,,,
542,2010-06-29,25.503,,,,,,,,
543,2010-06-30,25.655,,,,,,,,
544,2010-07-01,25.688,,,,,,,,
545,2010-07-02,25.768,,,,,,,,
546,2010-07-03,25.837,,,,,,,,
547,2010-07-04,26.108,,,,,,,,
548,2010-07-05,26.175,,,,,,,,
549,2010-07-06,26.134,,,,,,,,
550,2010-07-07,26.236,,,,,,,,
551,2010-07-08,26.196,,,,,,,,
552,2010-07-09,26.18,,,,,,,,
553,2010-07-10,26.257,,,,,,,,
554,2010-07-11,26.259,,,,,,,,
555,2010-07-12,25.868,,,,,,,,
556,2010-07-13,25.597,,,,,,,,
557,2010-07-14,25.475,,,,,,,,
558,2010-07-15,25.613,,,,,,,,
559,2010-07-16,25.65,,,,,,,,
560,2010-07-17,25.749,,,,,,,,
561,2010-07-18,25.782,,,,,,,,
562,2010-07-19,25.685,,,,,,,,
563,2010-07-20,25.602,,,,,,,,
564,2010-07-21,25.638,,,,,,,,
565,2010-07-22,25.604,,,,,,,,
566,2010-07-23,25.509,,,,,,,,
567,2010-07-24,25.527,,,,,,,,
568,2010-07-25,25.505,,,,,,,,
569,2010-07-26,26.309,,,,,,,,
570,2010-07-27,26.363,,,,,,,,
571,2010-07-28,26.354,,,,,,,,
572,2010-07-29,26.369,,,,,,,,
573,2010-07-30,26.363,,,,,,,,
574,2010-07-31,26.3,,,,,,,,
575,2010-08-01,26.301,,,,,,,,
576,2010-08-02,26.233,,,,,,,,
577,2010-08-03,26.279,,,,,,,,
578,2010-08-04,26.179,,,,,,,,
579,2010-08-05,26.228,,,,,,,,
580,2010-08-06,26.194,,,,,,,,
581,2010-08-07,26.171,,,,,,,,
582,2010-08-08,26.149,,,,,,,,
583,2010-08-09,26.326,,,,,,,,
584,2010-08-10,26.26,,,,,,,,
585,2010-08-11,26.444,,,,,,,,
586,2010-08-12,26.314,,,,,,,,
587,2010-08-13,26.404,,,,,,,,
588,2010-08-14,26.337,,,,,,,,
589,2010-08-15,26.3,,,,,,,,
590,2010-08-16,26.438,,,,,,,,
591,2010-08-17,26.571,,,,,,,,
592,2010-08-18,26.535,,,,,,,,
593,2010-08-19,26.516,,,,,,,,
594,2010-08-20,26.561,,,,,,,,
595,2010-08-21,26.525,,,,,,,,
596,2010-08-22,26.541,,,,,,,,
597,2010-08-23,26.523,,,,,,,,
598,2010-08-24,26.564,,,,,,,,
599,2010-08-25,26.484,,,,,,,,
600,2010-08-26,26.483,,,,,,,,
601,2010-08-27,26.54,,,,,,,,
602,2010-08-28,26.457,,,,,,,,
603,2010-08-29,26.369,,,,,,,,
604,2010-08-30,26.312,,,,,,,,
605,2010-08-31,26.4,,,,,,,,
606,2010-09-01,26.366,,,,,,,,
607,2010-09-02,26.355,,,,,,,,
608,2010-09-03,26.344,,,,,,,,
609,2010-09-04,26.361,,,,,,,,
610,2010-09-05,26.434,,,,,,,,
611,2010-09-06,26.402,,,,,,,,
612,2010-09-07,26.365,,,,,,,,
613,2010-09-08,26.296,,,,,,,,
614,2010-09-09,26.265,,,,,,,,
615,2010-09-10,26.25,,,,,,,,
616,2010-09-11,26.207,,,,,,,,
617,2010-09-12,26.27,,,,,,,,
618,2010-09-13,26.115,,,,,,,,
619,2010-09-14,26.035,,,,,,,,
620,2010-09-15,25.982,,,,,,,,
621,2010-09-16,26.084,,,,,,,,
622,2010-09-17,26.667,,,,,,,,
623,2010-09-18,26.714,,,,,,,,
624,2010-09-19,26.852,,,,,,,,
625,2010-09-20,26.904,,,,,,,,
626,2010-09-21,26.87,,,,,,,,
627,2010-09-22,26.8,,,,,,,,
628,2010-09-23,27.009,,,,,,,,
629,2010-09-24,27.064,,,,,,,,
630,2010-09-25,27.186,,,,,,,,
631,2010-09-26,27.264,,,,,,,,
632,2010-09-27,27.629,,,,,,,,
633,2010-09-28,28.762,,,,,,,,
634,2010-09-29,28.753,,,,,,,,
635,2010-09-30,28.677,,,,,,,,
636,2010-10-01,28.642,,,,,,,,
637,2010-10-02,29.188,,,,,,,,
638,2010-10-03,29.187,,,,,,,,
639,2010-10-04,28.906,,,,,,,,
640,2010-10-05,28.974,,,,,,,,
641,2010-10-06,28.912,,,,,,,,
642,2010-10-07,29.44,,,,,,,,
