,Time,BTC_Average_Block_Size_Bytes,ETH_Average_Block_Size_Bytes,XRP_Average_Block_Size_Bytes,DOGE_Average_Block_Size_Bytes,LTC_Average_Block_Size_Bytes,BCH_Average_Block_Size_Bytes,XMR_Average_Block_Size_Bytes,DASH_Average_Block_Size_Bytes,ZEC_Average_Block_Size_Bytes
147,2009-05-30,134.716,,,,,,,,
148,2009-05-31,135.0,,,,,,,,
149,2009-06-01,138.831,,,,,,,,
150,2009-06-02,134.91,,,,,,,,
151,2009-06-03,135.0,,,,,,,,
152,2009-06-04,134.939,,,,,,,,
153,2009-06-05,134.9,,,,,,,,
154,2009-06-06,134.286,,,,,,,,
155,2009-06-07,134.938,,,,,,,,
156,2009-06-08,134.768,,,,,,,,
157,2009-06-09,134.802,,,,,,,,
158,2009-06-10,134.927,,,,,,,,
159,2009-06-11,134.966,,,,,,,,
160,2009-06-12,134.86,,,,,,,,
161,2009-06-13,134.449,,,,,,,,
162,2009-06-14,134.694,,,,,,,,
163,2009-06-15,134.952,,,,,,,,
164,2009-06-16,134.732,,,,,,,,
165,2009-06-17,134.646,,,,,,,,
166,2009-06-18,134.813,,,,,,,,
167,2009-06-19,134.678,,,,,,,,
168,2009-06-20,134.769,,,,,,,,
169,2009-06-21,134.765,,,,,,,,
170,2009-06-22,225.382,,,,,,,,
171,2009-06-23,134.566,,,,,,,,
172,2009-06-24,140.579,,,,,,,,
173,2009-06-25,168.75,,,,,,,,
174,2009-06-26,134.6,,,,,,,,
175,2009-06-27,134.833,,,,,,,,
176,2009-06-28,139.739,,,,,,,,
177,2009-06-29,137.723,,,,,,,,
178,2009-06-30,140.047,,,,,,,,
179,2009-07-01,138.432,,,,,,,,
180,2009-07-02,137.614,,,,,,,,
181,2009-07-03,134.976,,,,,,,,
182,2009-07-04,134.876,,,,,,,,
183,2009-07-05,134.987,,,,,,,,
184,2009-07-06,134.976,,,,,,,,
185,2009-07-07,134.942,,,,,,,,
186,2009-07-08,134.986,,,,,,,,
187,2009-07-09,134.721,,,,,,,,
188,2009-07-10,134.864,,,,,,,,
189,2009-07-11,134.988,,,,,,,,
190,2009-07-12,134.792,,,,,,,,
191,2009-07-13,134.91,,,,,,,,
192,2009-07-14,134.957,,,,,,,,
193,2009-07-15,134.978,,,,,,,,
194,2009-07-16,134.859,,,,,,,,
195,2009-07-17,134.809,,,,,,,,
196,2009-07-18,134.0,,,,,,,,
197,2009-07-19,134.8,,,,,,,,
198,2009-07-20,333.7,,,,,,,,
199,2009-07-21,134.854,,,,,,,,
200,2009-07-22,134.4,,,,,,,,
201,2009-07-23,134.684,,,,,,,,
202,2009-07-24,134.932,,,,,,,,
203,2009-07-25,134.844,,,,,,,,
204,2009-07-26,134.524,,,,,,,,
205,2009-07-27,134.905,,,,,,,,
206,2009-07-28,134.707,,,,,,,,
207,2009-07-29,148.947,,,,,,,,
208,2009-07-30,150.2,,,,,,,,
209,2009-07-31,134.706,,,,,,,,
210,2009-08-01,134.821,,,,,,,,
211,2009-08-02,134.609,,,,,,,,
212,2009-08-03,134.833,,,,,,,,
213,2009-08-04,134.63,,,,,,,,
214,2009-08-05,134.724,,,,,,,,
215,2009-08-06,134.922,,,,,,,,
216,2009-08-07,294.525,,,,,,,,
217,2009-08-08,134.875,,,,,,,,
218,2009-08-09,135.0,,,,,,,,
219,2009-08-10,134.987,,,,,,,,
220,2009-08-11,134.914,,,,,,,,
221,2009-08-12,134.524,,,,,,,,
222,2009-08-13,134.765,,,,,,,,
223,2009-08-14,134.825,,,,,,,,
224,2009-08-15,134.385,,,,,,,,
225,2009-08-16,134.526,,,,,,,,
226,2009-08-17,134.824,,,,,,,,
227,2009-08-18,135.0,,,,,,,,
228,2009-08-19,134.389,,,,,,,,
229,2009-08-20,134.182,,,,,,,,
230,2009-08-21,134.0,,,,,,,,
231,2009-08-22,134.0,,,,,,,,
232,2009-08-23,134.533,,,,,,,,
233,2009-08-24,134.0,,,,,,,,
234,2009-08-25,134.66,,,,,,,,
235,2009-08-26,254.833,,,,,,,,
236,2009-08-27,134.345,,,,,,,,
237,2009-08-28,134.733,,,,,,,,
238,2009-08-29,134.808,,,,,,,,
239,2009-08-30,136.381,,,,,,,,
240,2009-08-31,143.349,,,,,,,,
241,2009-09-01,134.795,,,,,,,,
242,2009-09-02,134.848,,,,,,,,
243,2009-09-03,161.902,,,,,,,,
244,2009-09-04,134.672,,,,,,,,
245,2009-09-05,134.842,,,,,,,,
246,2009-09-06,134.853,,,,,,,,
247,2009-09-07,154.436,,,,,,,,
248,2009-09-08,134.768,,,,,,,,
249,2009-09-09,134.796,,,,,,,,
250,2009-09-10,134.806,,,,,,,,
251,2009-09-11,134.821,,,,,,,,
252,2009-09-12,134.884,,,,,,,,
253,2009-09-13,134.84,,,,,,,,
254,2009-09-14,134.851,,,,,,,,
255,2009-09-15,134.864,,,,,,,,
256,2009-09-16,137.875,,,,,,,,
257,2009-09-17,273.226,,,,,,,,
258,2009-09-18,134.808,,,,,,,,
259,2009-09-19,134.959,,,,,,,,
260,2009-09-20,134.987,,,,,,,,
261,2009-09-21,148.754,,,,,,,,
262,2009-09-22,318.84,,,,,,,,
263,2009-09-23,134.722,,,,,,,,
264,2009-09-24,134.505,,,,,,,,
265,2009-09-25,168.319,,,,,,,,
266,2009-09-26,134.46,,,,,,,,
267,2009-09-27,156.379,,,,,,,,
268,2009-09-28,134.929,,,,,,,,
269,2009-09-29,191.614,,,,,,,,
270,2009-09-30,134.765,,,,,,,,
271,2009-10-01,134.89,,,,,,,,
272,2009-10-02,151.222,,,,,,,,
273,2009-10-03,134.414,,,,,,,,
274,2009-10-04,134.679,,,,,,,,
275,2009-10-05,134.764,,,,,,,,
276,2009-10-06,178.116,,,,,,,,
277,2009-10-07,134.717,,,,,,,,
278,2009-10-08,134.471,,,,,,,,
279,2009-10-09,134.658,,,,,,,,
280,2009-10-10,134.818,,,,,,,,
281,2009-10-11,134.757,,,,,,,,
282,2009-10-12,283.379,,,,,,,,
283,2009-10-13,134.807,,,,,,,,
284,2009-10-14,134.623,,,,,,,,
285,2009-10-15,134.366,,,,,,,,
286,2009-10-16,291.517,,,,,,,,
287,2009-10-17,134.842,,,,,,,,
288,2009-10-18,146.0,,,,,,,,
289,2009-10-19,134.446,,,,,,,,
290,2009-10-20,257.0,,,,,,,,
291,2009-10-21,160.663,,,,,,,,
292,2009-10-22,187.122,,,,,,,,
293,2009-10-23,134.427,,,,,,,,
294,2009-10-24,149.194,,,,,,,,
295,2009-10-25,134.579,,,,,,,,
296,2009-10-26,134.803,,,,,,,,
297,2009-10-27,164.781,,,,,,,,
298,2009-10-28,134.682,,,,,,,,
299,2009-10-29,238.391,,,,,,,,
300,2009-10-30,134.467,,,,,,,,
301,2009-10-31,134.304,,,,,,,,
302,2009-11-01,134.28,,,,,,,,
303,2009-11-02,134.394,,,,,,,,
304,2009-11-03,134.532,,,,,,,,
305,2009-11-04,213.111,,,,,,,,
306,2009-11-05,134.474,,,,,,,,
307,2009-11-06,134.548,,,,,,,,
308,2009-11-07,134.667,,,,,,,,
309,2009-11-08,134.548,,,,,,,,
310,2009-11-09,134.688,,,,,,,,
311,2009-11-10,134.385,,,,,,,,
312,2009-11-11,250.453,,,,,,,,
313,2009-11-12,134.424,,,,,,,,
314,2009-11-13,157.45,,,,,,,,
315,2009-11-14,134.633,,,,,,,,
316,2009-11-15,134.625,,,,,,,,
317,2009-11-16,134.68,,,,,,,,
318,2009-11-17,134.663,,,,,,,,
319,2009-11-18,134.43,,,,,,,,
320,2009-11-19,294.2,,,,,,,,
321,2009-11-20,134.616,,,,,,,,
322,2009-11-21,134.712,,,,,,,,
323,2009-11-22,134.708,,,,,,,,
324,2009-11-23,134.854,,,,,,,,
325,2009-11-24,134.57,,,,,,,,
326,2009-11-25,134.644,,,,,,,,
327,2009-11-26,134.512,,,,,,,,
328,2009-11-27,134.473,,,,,,,,
329,2009-11-28,134.563,,,,,,,,
330,2009-11-29,134.683,,,,,,,,
331,2009-11-30,134.76,,,,,,,,
332,2009-12-01,402.781,,,,,,,,
333,2009-12-02,134.649,,,,,,,,
334,2009-12-03,134.784,,,,,,,,
335,2009-12-04,134.444,,,,,,,,
336,2009-12-05,168.016,,,,,,,,
337,2009-12-06,139.359,,,,,,,,
338,2009-12-07,134.643,,,,,,,,
339,2009-12-08,168.21,,,,,,,,
340,2009-12-09,182.208,,,,,,,,
341,2009-12-10,134.644,,,,,,,,
342,2009-12-11,134.348,,,,,,,,
343,2009-12-12,205.445,,,,,,,,
344,2009-12-13,134.754,,,,,,,,
345,2009-12-14,510.471,,,,,,,,
346,2009-12-15,145.945,,,,,,,,
347,2009-12-16,149.213,,,,,,,,
348,2009-12-17,143.964,,,,,,,,
349,2009-12-18,134.542,,,,,,,,
350,2009-12-19,135.717,,,,,,,,
351,2009-12-20,134.914,,,,,,,,
352,2009-12-21,135.577,,,,,,,,
353,2009-12-22,134.722,,,,,,,,
354,2009-12-23,134.675,,,,,,,,
355,2009-12-24,134.688,,,,,,,,
356,2009-12-25,136.302,,,,,,,,
357,2009-12-26,134.718,,,,,,,,
358,2009-12-27,138.796,,,,,,,,
359,2009-12-28,134.752,,,,,,,,
360,2009-12-29,134.649,,,,,,,,
361,2009-12-30,134.688,,,,,,,,
362,2009-12-31,134.696,,,,,,,,
363,2010-01-01,136.955,,,,,,,,
364,2010-01-02,134.627,,,,,,,,
365,2010-01-03,134.763,,,,,,,,
366,2010-01-04,188.044,,,,,,,,
367,2010-01-05,134.631,,,,,,,,
368,2010-01-06,134.742,,,,,,,,
369,2010-01-07,134.636,,,,,,,,
370,2010-01-08,134.758,,,,,,,,
371,2010-01-09,134.828,,,,,,,,
372,2010-01-10,134.8,,,,,,,,
373,2010-01-11,134.698,,,,,,,,
374,2010-01-12,291.013,,,,,,,,
375,2010-01-13,137.506,,,,,,,,
376,2010-01-14,143.573,,,,,,,,
377,2010-01-15,138.901,,,,,,,,
378,2010-01-16,141.28,,,,,,,,
379,2010-01-17,134.565,,,,,,,,
380,2010-01-18,136.328,,,,,,,,
381,2010-01-19,134.387,,,,,,,,
382,2010-01-20,134.449,,,,,,,,
383,2010-01-21,154.234,,,,,,,,
384,2010-01-22,140.406,,,,,,,,
385,2010-01-23,137.463,,,,,,,,
386,2010-01-24,135.701,,,,,,,,
387,2010-01-25,170.256,,,,,,,,
388,2010-01-26,149.128,,,,,,,,
389,2010-01-27,149.055,,,,,,,,
390,2010-01-28,148.565,,,,,,,,
391,2010-01-29,146.756,,,,,,,,
392,2010-01-30,154.41,,,,,,,,
393,2010-01-31,148.042,,,,,,,,
394,2010-02-01,152.918,,,,,,,,
395,2010-02-02,151.172,,,,,,,,
396,2010-02-03,137.437,,,,,,,,
397,2010-02-04,156.9,,,,,,,,
398,2010-02-05,261.731,,,,,,,,
399,2010-02-06,156.182,,,,,,,,
400,2010-02-07,141.908,,,,,,,,
401,2010-02-08,209.79,,,,,,,,
402,2010-02-09,365.836,,,,,,,,
403,2010-02-10,547.601,,,,,,,,
404,2010-02-11,185.769,,,,,,,,
405,2010-02-12,174.973,,,,,,,,
406,2010-02-13,177.733,,,,,,,,
407,2010-02-14,171.813,,,,,,,,
408,2010-02-15,197.801,,,,,,,,
409,2010-02-16,146.528,,,,,,,,
410,2010-02-17,153.021,,,,,,,,
411,2010-02-18,168.399,,,,,,,,
412,2010-02-19,139.229,,,,,,,,
413,2010-02-20,142.385,,,,,,,,
414,2010-02-21,200.229,,,,,,,,
415,2010-02-22,253.077,,,,,,,,
416,2010-02-23,135.336,,,,,,,,
417,2010-02-24,208.035,,,,,,,,
418,2010-02-25,241.883,,,,,,,,
419,2010-02-26,150.169,,,,,,,,
420,2010-02-27,142.453,,,,,,,,
421,2010-02-28,213.404,,,,,,,,
422,2010-03-01,154.359,,,,,,,,
423,2010-03-02,160.388,,,,,,,,
424,2010-03-03,229.02,,,,,,,,
425,2010-03-04,374.076,,,,,,,,
426,2010-03-05,136.988,,,,,,,,
427,2010-03-06,197.627,,,,,,,,
428,2010-03-07,209.698,,,,,,,,
429,2010-03-08,302.696,,,,,,,,
430,2010-03-09,198.438,,,,,,,,
431,2010-03-10,168.58,,,,,,,,
432,2010-03-11,190.459,,,,,,,,
433,2010-03-12,141.868,,,,,,,,
434,2010-03-13,161.719,,,,,,,,
435,2010-03-14,146.032,,,,,,,,
436,2010-03-15,143.563,,,,,,,,
437,2010-03-16,158.992,,,,,,,,
438,2010-03-17,157.169,,,,,,,,
439,2010-03-18,205.393,,,,,,,,
440,2010-03-19,232.275,,,,,,,,
441,2010-03-20,184.813,,,,,,,,
442,2010-03-21,142.372,,,,,,,,
443,2010-03-22,162.391,,,,,,,,
444,2010-03-23,181.242,,,,,,,,
445,2010-03-24,162.327,,,,,,,,
446,2010-03-25,349.717,,,,,,,,
447,2010-03-26,183.305,,,,,,,,
448,2010-03-27,153.202,,,,,,,,
449,2010-03-28,148.898,,,,,,,,
450,2010-03-29,177.549,,,,,,,,
451,2010-03-30,142.0,,,,,,,,
452,2010-03-31,150.163,,,,,,,,
453,2010-04-01,156.5,,,,,,,,
454,2010-04-02,150.731,,,,,,,,
455,2010-04-03,155.373,,,,,,,,
456,2010-04-04,184.743,,,,,,,,
457,2010-04-05,261.458,,,,,,,,
458,2010-04-06,215.277,,,,,,,,
459,2010-04-07,201.798,,,,,,,,
460,2010-04-08,180.661,,,,,,,,
461,2010-04-09,269.619,,,,,,,,
462,2010-04-10,269.9,,,,,,,,
463,2010-04-11,242.269,,,,,,,,
464,2010-04-12,250.36,,,,,,,,
465,2010-04-13,164.286,,,,,,,,
466,2010-04-14,230.872,,,,,,,,
467,2010-04-15,543.356,,,,,,,,
468,2010-04-16,274.302,,,,,,,,
469,2010-04-17,193.294,,,,,,,,
470,2010-04-18,3539.0,,,,,,,,
471,2010-04-19,303.879,,,,,,,,
472,2010-04-20,275.244,,,,,,,,
473,2010-04-21,226.174,,,,,,,,
474,2010-04-22,199.226,,,,,,,,
475,2010-04-23,226.733,,,,,,,,
476,2010-04-24,275.512,,,,,,,,
477,2010-04-25,290.791,,,,,,,,
478,2010-04-26,239.732,,,,,,,,
479,2010-04-27,221.633,,,,,,,,
480,2010-04-28,247.106,,,,,,,,
481,2010-04-29,199.367,,,,,,,,
482,2010-04-30,193.271,,,,,,,,
483,2010-05-01,189.617,,,,,,,,
484,2010-05-02,177.239,,,,,,,,
485,2010-05-03,234.314,,,,,,,,
486,2010-05-04,345.368,,,,,,,,
487,2010-05-05,314.241,,,,,,,,
488,2010-05-06,365.899,,,,,,,,
489,2010-05-07,233.303,,,,,,,,
490,2010-05-08,353.968,,,,,,,,
491,2010-05-09,263.462,,,,,,,,
492,2010-05-10,290.68,,,,,,,,
493,2010-05-11,189.649,,,,,,,,
494,2010-05-12,285.378,,,,,,,,
495,2010-05-13,263.047,,,,,,,,
496,2010-05-14,1473.0,,,,,,,,
497,2010-05-15,2135.0,,,,,,,,
498,2010-05-16,192.903,,,,,,,,
499,2010-05-17,266.65,,,,,,,,
500,2010-05-18,257.089,,,,,,,,
501,2010-05-19,259.177,,,,,,,,
502,2010-05-20,193.517,,,,,,,,
503,2010-05-21,292.909,,,,,,,,
504,2010-05-22,348.359,,,,,,,,
505,2010-05-23,291.308,,,,,,,,
506,2010-05-24,230.516,,,,,,,,
507,2010-05-25,216.552,,,,,,,,
508,2010-05-26,256.135,,,,,,,,
509,2010-05-27,281.417,,,,,,,,
510,2010-05-28,215.274,,,,,,,,
511,2010-05-29,267.755,,,,,,,,
512,2010-05-30,229.651,,,,,,,,
513,2010-05-31,240.796,,,,,,,,
514,2010-06-01,260.674,,,,,,,,
515,2010-06-02,219.299,,,,,,,,
516,2010-06-03,369.822,,,,,,,,
517,2010-06-04,225.208,,,,,,,,
518,2010-06-05,232.89,,,,,,,,
519,2010-06-06,256.601,,,,,,,,
520,2010-06-07,382.013,,,,,,,,
521,2010-06-08,260.163,,,,,,,,
522,2010-06-09,286.119,,,,,,,,
523,2010-06-10,229.581,,,,,,,,
524,2010-06-11,287.988,,,,,,,,
525,2010-06-12,289.526,,,,,,,,
526,2010-06-13,271.198,,,,,,,,
527,2010-06-14,372.441,,,,,,,,
528,2010-06-15,277.598,,,,,,,,
529,2010-06-16,327.697,,,,,,,,
530,2010-06-17,240.582,,,,,,,,
531,2010-06-18,252.56,,,,,,,,
532,2010-06-19,399.933,,,,,,,,
533,2010-06-20,216.303,,,,,,,,
534,2010-06-21,313.279,,,,,,,,
535,2010-06-22,307.513,,,,,,,,
536,2010-06-23,270.973,,,,,,,,
537,2010-06-24,281.515,,,,,,,,
538,2010-06-25,234.287,,,,,,,,
539,2010-06-26,205.277,,,,,,,,
540,2010-06-27,231.5,,,,,,,,
541,2010-06-28,268.638,,,,,,,,
542,2010-06-29,359.657,,,,,,,,
543,2010-06-30,1126.0,,,,,,,,
544,2010-07-01,275.91,,,,,,,,
545,2010-07-02,598.605,,,,,,,,
546,2010-07-03,260.783,,,,,,,,
547,2010-07-04,392.898,,,,,,,,
548,2010-07-05,281.983,,,,,,,,
549,2010-07-06,215.793,,,,,,,,
550,2010-07-07,340.756,,,,,,,,
551,2010-07-08,264.53,,,,,,,,
552,2010-07-09,229.382,,,,,,,,
553,2010-07-10,260.136,,,,,,,,
554,2010-07-11,422.732,,,,,,,,
555,2010-07-12,831.445,,,,,,,,
556,2010-07-13,439.374,,,,,,,,
557,2010-07-14,2766.0,,,,,,,,
558,2010-07-15,791.296,,,,,,,,
559,2010-07-16,530.818,,,,,,,,
560,2010-07-17,649.653,,,,,,,,
561,2010-07-18,765.285,,,,,,,,
562,2010-07-19,756.04,,,,,,,,
563,2010-07-20,984.707,,,,,,,,
564,2010-07-21,542.483,,,,,,,,
565,2010-07-22,491.903,,,,,,,,
566,2010-07-23,447.16,,,,,,,,
567,2010-07-24,1446.0,,,,,,,,
568,2010-07-25,3145.0,,,,,,,,
569,2010-07-26,918.379,,,,,,,,
570,2010-07-27,679.271,,,,,,,,
571,2010-07-28,3344.0,,,,,,,,
572,2010-07-29,2370.0,,,,,,,,
573,2010-07-30,538.269,,,,,,,,
574,2010-07-31,389.704,,,,,,,,
575,2010-08-01,351.033,,,,,,,,
576,2010-08-02,356.388,,,,,,,,
577,2010-08-03,743.899,,,,,,,,
578,2010-08-04,408.045,,,,,,,,
579,2010-08-05,846.908,,,,,,,,
580,2010-08-06,676.122,,,,,,,,
581,2010-08-07,559.974,,,,,,,,
582,2010-08-08,448.196,,,,,,,,
583,2010-08-09,1483.0,,,,,,,,
584,2010-08-10,394.817,,,,,,,,
585,2010-08-11,415.854,,,,,,,,
586,2010-08-12,378.806,,,,,,,,
587,2010-08-13,756.344,,,,,,,,
588,2010-08-14,411.21,,,,,,,,
589,2010-08-15,322.952,,,,,,,,
590,2010-08-16,968.878,,,,,,,,
591,2010-08-17,594.527,,,,,,,,
592,2010-08-18,1925.0,,,,,,,,
593,2010-08-19,542.652,,,,,,,,
594,2010-08-20,514.834,,,,,,,,
595,2010-08-21,458.422,,,,,,,,
596,2010-08-22,391.557,,,,,,,,
597,2010-08-23,407.108,,,,,,,,
598,2010-08-24,755.126,,,,,,,,
599,2010-08-25,334.458,,,,,,,,
600,2010-08-26,481.548,,,,,,,,
601,2010-08-27,393.994,,,,,,,,
602,2010-08-28,526.465,,,,,,,,
603,2010-08-29,332.691,,,,,,,,
604,2010-08-30,590.483,,,,,,,,
605,2010-08-31,895.864,,,,,,,,
606,2010-09-01,813.592,,,,,,,,
607,2010-09-02,526.974,,,,,,,,
608,2010-09-03,426.171,,,,,,,,
609,2010-09-04,328.414,,,,,,,,
610,2010-09-05,465.139,,,,,,,,
611,2010-09-06,424.88,,,,,,,,
612,2010-09-07,386.781,,,,,,,,
613,2010-09-08,479.806,,,,,,,,
614,2010-09-09,633.726,,,,,,,,
615,2010-09-10,480.203,,,,,,,,
616,2010-09-11,424.7,,,,,,,,
617,2010-09-12,619.424,,,,,,,,
618,2010-09-13,695.836,,,,,,,,
619,2010-09-14,517.32,,,,,,,,
620,2010-09-15,686.669,,,,,,,,
621,2010-09-16,470.575,,,,,,,,
622,2010-09-17,645.538,,,,,,,,
623,2010-09-18,371.608,,,,,,,,
624,2010-09-19,428.684,,,,,,,,
625,2010-09-20,611.389,,,,,,,,
626,2010-09-21,1474.0,,,,,,,,
627,2010-09-22,1163.0,,,,,,,,
628,2010-09-23,752.632,,,,,,,,
629,2010-09-24,532.197,,,,,,,,
630,2010-09-25,696.256,,,,,,,,
631,2010-09-26,504.649,,,,,,,,
632,2010-09-27,876.672,,,,,,,,
633,2010-09-28,1141.0,,,,,,,,
634,2010-09-29,2119.0,,,,,,,,
635,2010-09-30,671.959,,,,,,,,
636,2010-10-01,1024.0,,,,,,,,
637,2010-10-02,1736.0,,,,,,,,
638,2010-10-03,857.459,,,,,,,,
639,2010-10-04,831.601,,,,,,,,
640,2010-10-05,920.071,,,,,,,,
641,2010-10-06,629.673,,,,,,,,
642,2010-10-07,587.513,,,,,,,,
643,2010-10-08,783.409,,,,,,,,
644,2010-10-09,823.924,,,,,,,,
645,2010-10-10,549.596,,,,,,,,
646,2010-10-11,575.585,,,,,,,,
647,2010-10-12,617.742,,,,,,,,
648,2010-10-13,788.705,,,,,,,,
649,2010-10-14,487.815,,,,,,,,
