,BTC,Lag
EFL,0.2729892343359225,5
HMQ,0.2739159979935436,1
CANN,0.2856192450345344,11
DCY,0.2897393417781043,1
BLU,0.3067098366089617,1
BRIT,0.3107835805639414,3
AXIOM,0.3142599045078482,3
CNT,0.3214533711971326,1
ILC,0.3270478707141712,1
START,0.3355538199498379,12
BERN,0.3377887352881871,10
ZENI,0.3385620122936921,5
XBY,0.3608412540295398,16
XPTX,0.3614816390619819,1
BSTY,0.3621386733862985,12
HVCO,0.3701714139792745,2
TES,0.3850820559352002,5
AMBER,0.3871075707824515,2
IXC,0.3897261451770503,15
OK,0.4154487525289328,8
XBC,0.429925435563262,11
BOLI,0.4331951388248217,20
SIGNA,0.4444003570691768,15
POT,0.4461770787006626,1
AGRS,0.4521910390945492,30
SWIFT,0.4610890760556663,5
MAY,0.4613701994489356,2
LANA,0.4867392311385199,1
PAK,0.4957002444675847,28
HBN,0.4967247452398172,29
MOTO,0.4981148239125664,3
INF,0.5166133437070877,1
SANDG,0.5465554983664059,10
ALIAS,0.5485388246935523,5
XPM,0.5570757644478942,28
PTOY,0.5572277413145905,1
SLS,0.5638973275174064,30
RDD,0.5815820233034901,15
BTA,0.5947914185694841,2
FTC,0.5999164499129824,5
GCC,0.6155157949136265,2
HNC,0.6481209714433325,1
BIS,0.6680311394161195,2
ICOB,0.7078046937372462,6
CRW,0.7199801205845635,1
SONG,0.7576076880997452,1
BITS,0.7770625068029567,1
PHR,0.7794561035687692,4
CLOAK,0.8521238372146583,2
DGC,0.853327585718246,1
