,XMR,Lag
ANT,0.1901862733119678,22
MAID,0.1911779955007653,3
LUN,0.1969825090071011,22
WGR,0.2057848432287375,12
PIVX,0.2135066911168226,21
MST,0.2158217599613,1
FTC,0.2243941130886394,3
PPC,0.2280654739066739,16
QTZ,0.2339536677274733,1
BCDN,0.2349113248741162,4
NXS,0.235716633291335,2
AGRS,0.2362295043034781,1
BLAZR,0.2444221144004957,3
POST,0.2460868384713212,15
MCN,0.2461140742775235,1
DCT,0.250280800545405,13
TECH,0.2510599794619464,30
PLU,0.256822801296446,28
HUSH,0.2578082202595193,1
SLS,0.2625238268997119,18
SIB,0.2630498775346395,3
LDOGE,0.2717650695518381,1
2GIVE,0.2722817015874059,30
BTB,0.2735513742683058,5
LANA,0.2766848617796417,1
DGC,0.2805800956773561,1
FRC,0.2824086390542683,11
PKB,0.2843156000182721,1
HBN,0.2897563233606879,1
RBY,0.2959448528694035,26
CETI,0.3017946882942721,26
CF,0.3078811384382058,1
EDRC,0.3103688021329487,21
ALIAS,0.3109561229303632,2
XCP,0.3125608728922302,4
BTCS,0.3126373300914486,28
EQB,0.3142330897220157,1
BSTY,0.3162770077310263,1
DEM,0.3179722301579096,24
LAMB,0.3231910186692545,1
SHND,0.3239454215688077,5
IXC,0.3314503897558298,15
HMQ,0.3342423363660654,5
EFL,0.3505114520394919,28
ZER,0.3608002204115139,5
ZENI,0.3646839309264758,5
AMS,0.3695797164870578,30
CANN,0.3711514516174147,4
PIE,0.3788251393661701,1
XPTX,0.3829647052597318,11
CRW,0.3866619887698888,1
VERI,0.3933432179050358,1
RBIES,0.39594685083965,28
GLC,0.3971620666217104,15
LBC,0.3990737844712484,1
OZO,0.4043063647646602,1
POT,0.4107650667944634,1
SNRG,0.4428909428810301,2
42,0.4511583526399406,24
BS,0.453357047189683,1
INF,0.4543491267224127,21
XBY,0.4552518803151651,1
CLOAK,0.4639419163150349,1
MNTC,0.4644977963639117,1
BLK,0.4659582399225966,20
RDD,0.467921553545261,1
NVC,0.4732291888604006,2
XST,0.4950862764422624,30
FOREX,0.5088576482446318,1
ZYD,0.5088598991249833,12
GCC,0.5089955503635242,3
TES,0.513686677848119,2
AMBER,0.5270826780527424,6
CLUB,0.5310420668564126,25
PTOY,0.5393778105890376,8
ILC,0.5425838382706933,1
CLAM,0.5487045601676643,2
NYC,0.558861613840697,1
WC,0.5728805611039746,13
WINGS,0.5782334213168392,12
HNC,0.5962231998721041,1
BIS,0.6043037117832819,1
SWIFT,0.6061727331823299,1
IRL,0.6221271890492729,5
BOLI,0.6435450253331954,8
LMC,0.6759698574259805,1
SONG,0.695922336456513,2
PASC,0.7321629592594808,1
OK,0.7545630989195774,1
CNT,0.7654877641686639,1
XBC,0.7758771842745955,25
NEVA,0.8107691415855162,1
