TIMESTAMP,BTC_MARKET_CAP_USD,BTC_TOTAL_CIRCULATING_COINS
2009-03-28 16:00:00,0.0,452200.0
2009-03-29 00:00:00,0.0,453700.0
2009-03-29 08:00:00,0.0,455900.0
2009-03-29 16:00:00,0.0,458000.0
2009-03-30 00:00:00,0.0,460100.0
2009-03-30 08:00:00,0.0,462150.0
2009-03-30 16:00:00,0.0,464000.0
2009-03-31 00:00:00,0.0,465850.0
2009-03-31 08:00:00,0.0,467750.0
2009-03-31 16:00:00,0.0,469500.0
2009-04-01 00:00:00,0.0,471350.0
2009-04-01 08:00:00,0.0,473200.0
2009-04-01 16:00:00,0.0,475200.0
2009-04-02 00:00:00,0.0,477300.0
2009-04-02 08:00:00,0.0,479250.0
2009-04-02 16:00:00,0.0,480950.0
2009-04-03 00:00:00,0.0,482850.0
2009-04-03 08:00:00,0.0,484850.0
2009-04-03 16:00:00,0.0,486750.0
2009-04-04 00:00:00,0.0,488450.0
2009-04-04 08:00:00,0.0,490400.0
2009-04-04 16:00:00,0.0,492400.0
2009-04-05 00:00:00,0.0,494600.0
2009-04-05 08:00:00,0.0,497000.0
2009-04-05 16:00:00,0.0,498900.0
2009-04-06 00:00:00,0.0,501000.0
2009-04-06 08:00:00,0.0,502500.0
2009-04-06 16:00:00,0.0,504350.0
2009-04-07 00:00:00,0.0,506200.0
2009-04-07 08:00:00,0.0,507600.0
2009-04-07 16:00:00,0.0,509350.0
2009-04-08 00:00:00,0.0,511200.0
2009-04-08 08:00:00,0.0,512950.0
2009-04-08 16:00:00,0.0,514600.0
2009-04-09 00:00:00,0.0,516200.0
2009-04-09 08:00:00,0.0,517800.0
2009-04-09 16:00:00,0.0,519550.0
2009-04-10 00:00:00,0.0,521200.0
2009-04-10 08:00:00,0.0,522750.0
2009-04-10 16:00:00,0.0,524950.0
2009-04-11 00:00:00,0.0,526950.0
2009-04-11 08:00:00,0.0,529100.0
2009-04-11 16:00:00,0.0,530950.0
2009-04-12 00:00:00,0.0,533050.0
2009-04-12 08:00:00,0.0,534750.0
2009-04-12 16:00:00,0.0,536850.0
2009-04-13 00:00:00,0.0,538850.0
2009-04-13 08:00:00,0.0,540600.0
2009-04-13 16:00:00,0.0,542600.0
2009-04-14 00:00:00,0.0,544800.0
2009-04-14 08:00:00,0.0,546850.0
2009-04-14 16:00:00,0.0,548800.0
2009-04-15 00:00:00,0.0,550500.0
2009-04-15 08:00:00,0.0,552400.0
2009-04-15 16:00:00,0.0,554450.0
2009-04-16 00:00:00,0.0,556550.0
2009-04-16 08:00:00,0.0,558600.0
2009-04-16 16:00:00,0.0,560600.0
