,ETH,Lag
EQB,0.0072963331378627,2
QTUM,0.0082809137198875,30
KURT,0.008813273259188,9
BAT,0.0088320108057104,2
ENT,0.0091651877294567,20
BLAZR,0.0094206189114042,9
MONA,0.0106915876189624,30
PIVX,0.0114237443894391,18
DASH,0.0115038919430942,26
IBANK,0.0126336996029201,22
LTC,0.0129685459960032,27
RBT,0.01592916120432,30
XMR,0.0177845558055917,14
ICON,0.018965011259408,19
JLP,0.0196515466936197,1
XPTX,0.0196624253381384,30
XPM,0.0215462038569144,15
2GIVE,0.0223955064863245,3
AV,0.0238724574197683,20
ZEN,0.0238746591319956,9
FIRO,0.0250783846330554,13
LTCR,0.0277548114725263,14
ZCL,0.0278780816929692,9
ETC,0.027879194845328,29
WBB,0.0311987112907274,29
BTB,0.0316072948085537,11
ICOB,0.031937004028365,4
LMC,0.033508447580477,22
KMD,0.034258520996417,25
LDOGE,0.0346683289466615,11
CETI,0.0363240910926023,30
KIN,0.039220351308212,22
PTOY,0.0432445601666736,15
START,0.0439452576485748,1
BTCS,0.0450665294674197,5
PIE,0.0451983758631268,12
OPAL,0.0480399344011005,2
LANA,0.0488107331722436,1
DCR,0.0506818121830229,3
XBC,0.0515800840514405,3
HMQ,0.0516797615586388,21
WDC,0.0530635683316737,28
STEEM,0.0539333957378583,30
ARGUS,0.0545789868288589,24
LUNC,0.0562976639168865,30
SWT,0.0580852090079179,16
SYS,0.0582811753799915,7
BCDN,0.0614643525249274,16
NYC,0.0637986312280215,2
GAS,0.0642031467239113,2
BERN,0.0652355134491793,17
CLAM,0.0655211984008225,22
MAY,0.0685887718249553,21
RRT,0.0705283427244616,7
NXS,0.0713892292380956,1
BTS,0.0728802310774169,7
XMS,0.0747417014265862,11
DCY,0.0750817265601229,2
CLUB,0.0752734945089809,4
ZENI,0.075708575294665,29
MST,0.0779152990403587,2
PLU,0.0824089962997327,11
OK,0.0836767590986321,22
ZYD,0.0851910111578974,23
LUN,0.0857724778592725,21
PZM,0.085805994128867,2
XHI,0.086282071906639,12
BS,0.0890450613904998,15
WC,0.0908703103729671,2
PHR,0.0917843368503396,1
PAK,0.0984470337696143,4
ZOOM,0.1012053815096367,2
XTO,0.1014075659278107,30
ADC,0.1048821555867603,27
VIDZ,0.1102914395218467,27
XLM,0.118407591399505,9
QTZ,0.1188616814776841,16
XRP,0.1212800572135811,9
NAV,0.1231155710351267,15
BTC,0.1264750143629318,28
BTA,0.1284589945662847,1
NMC,0.1380237113749535,3
CRW,0.1407662270860259,18
CAB,0.1442137576462439,10
LAMB,0.1464092015090752,6
LSK,0.1612219989310643,9
HVCO,0.1636661040775517,30
VERI,0.1658381021695003,7
HBN,0.1676114471990516,2
RBIES,0.1725625386232366,5
SILK,0.1757940238453807,3
ILC,0.1825136344940835,17
SANDG,0.1848594023625057,26
SNRG,0.1880131726828199,6
XPX,0.1885817560479909,20
AMS,0.1918262061160231,1
AXIOM,0.197858425222773,1
ZER,0.1982665743456925,5
EFL,0.1982723610260375,17
BLK,0.2110624251274641,23
MCN,0.238185309314278,27
BOLI,0.2499592859523597,1
NXT,0.2509366203675569,2
HUSH,0.2707183294546407,1
TECH,0.2811191235294057,12
AGRS,0.2838766164531465,17
CLOAK,0.2842808181747654,1
DGC,0.2879913678255745,4
MNTC,0.290278016490854,1
FTC,0.3003816610418029,8
BCN,0.3049906771964255,5
ZEC,0.3107582798020468,12
CYT,0.3528687367001983,1
SLS,0.354580514889015,13
GLC,0.3726759221638005,1
SIB,0.3752666077083495,1
AE,0.3864208784696912,5
XQN,0.3872916431322363,1
RBY,0.3919922161119119,30
DEM,0.3970064498420594,28
SHND,0.4030629922098865,6
SWIFT,0.4031274358265839,11
PPC,0.410576189170647,1
PASC,0.4136420754865518,1
WINGS,0.4209586025402763,3
CF,0.422998746168565,15
NVC,0.426647046242409,1
XBY,0.4289142361618612,1
RDD,0.432306888334354,1
XST,0.4409943845462656,1
BRIT,0.477783263611568,5
MAID,0.5183458040497899,1
BITS,0.5308380294223994,5
FOREX,0.5669669623224906,21
CANN,0.5770481342097884,9
HNC,0.5920031810991631,1
INF,0.6071231443117759,3
IXC,0.6192930936210566,2
BSTY,0.6207849073269882,5
POT,0.6310523554271692,1
NEVA,0.6540712431919604,2
DCT,0.6553919314479,1
CKC,0.6638930645501704,7
XCP,0.6642642168784609,1
TES,0.6782791003998447,6
SIGNA,0.7114200177419612,2
ARK,0.7486307672558914,9
SONG,0.7801471857938665,1
LOG,0.7813084814259049,1
CNT,0.7935197023659222,3
BIS,0.7995955549843073,1
42,0.8347884997796761,1
GCC,0.8761400586581558,1
