,Time,TRX_Average_Price_USD_2,BNB_Average_Price_USD_2,LINK_Average_Price_USD_2,DOT_Average_Price_USD_2,AVAX_Average_Price_USD_2,EOS_Average_Price_USD_2,ATOM_Average_Price_USD_2,XLM_Average_Price_USD_2,DASH_Average_Price_USD_2,AMP_Average_Price_USD_2
300,2014-12-17,,,,,,,,,1.912,
301,2014-12-18,,,,,,,,,1.828,
302,2014-12-19,,,,,,,,,1.824,
303,2014-12-20,,,,,,,,,1.968,
304,2014-12-21,,,,,,,,,1.94,
305,2014-12-22,,,,,,,,,1.933,
306,2014-12-23,,,,,,,,,1.908,
307,2014-12-24,,,,,,,,,1.867,
308,2014-12-25,,,,,,,,,1.869,
309,2014-12-26,,,,,,,,,1.847,
310,2014-12-27,,,,,,,,,1.941,
311,2014-12-28,,,,,,,,,1.945,
312,2014-12-29,,,,,,,,,1.926,
313,2014-12-30,,,,,,,,,1.904,
314,2014-12-31,,,,,,,,,1.907,
315,2015-01-01,,,,,,,,,1.945,
316,2015-01-02,,,,,,,,,1.924,
317,2015-01-03,,,,,,,,,1.844,
318,2015-01-04,,,,,,,,,1.668,
319,2015-01-05,,,,,,,,,1.648,
320,2015-01-06,,,,,,,,,1.664,
321,2015-01-07,,,,,,,,,1.717,
322,2015-01-08,,,,,,,,,1.708,
323,2015-01-09,,,,,,,,,1.704,
324,2015-01-10,,,,,,,,,1.683,
325,2015-01-11,,,,,,,,,1.654,
326,2015-01-12,,,,,,,,,1.637,
327,2015-01-13,,,,,,,,,1.452,
328,2015-01-14,,,,,,,,,1.183,
329,2015-01-15,,,,,,,,,1.248,
330,2015-01-16,,,,,,,,,1.315,
331,2015-01-17,,,,,,,,,1.214,
332,2015-01-18,,,,,,,,,1.268,
333,2015-01-19,,,,,,,,,1.328,
334,2015-01-20,,,,,,,,,1.355,
335,2015-01-21,,,,,,,,,1.496,
336,2015-01-22,,,,,,,,,1.63,
337,2015-01-23,,,,,,,,,1.59,
338,2015-01-24,,,,,,,,,1.631,
339,2015-01-25,,,,,,,,,1.758,
340,2015-01-26,,,,,,,,,1.929,
341,2015-01-27,,,,,,,,,1.765,
342,2015-01-28,,,,,,,,,1.75,
343,2015-01-29,,,,,,,,,1.638,
344,2015-01-30,,,,,,,,,1.642,
345,2015-01-31,,,,,,,,,1.647,
346,2015-02-01,,,,,,,,,1.653,
347,2015-02-02,,,,,,,,,1.85,
348,2015-02-03,,,,,,,,,1.882,
349,2015-02-04,,,,,,,,,1.8,
350,2015-02-05,,,,,,,,,1.779,
351,2015-02-06,,,,,,,,,1.773,
352,2015-02-07,,,,,,,,,1.829,
353,2015-02-08,,,,,,,,,1.822,
354,2015-02-09,,,,,,,,,2.125,
355,2015-02-10,,,,,,,,,2.225,
356,2015-02-11,,,,,,,,,2.884,
357,2015-02-12,,,,,,,,,3.088,
358,2015-02-13,,,,,,,,,3.05,
359,2015-02-14,,,,,,,,,3.005,
360,2015-02-15,,,,,,,,,2.719,
361,2015-02-16,,,,,,,,,2.782,
362,2015-02-17,,,,,,,,,2.715,
363,2015-02-18,,,,,,,,,2.616,
364,2015-02-19,,,,,,,,,2.742,
365,2015-02-20,,,,,,,,,2.733,
366,2015-02-21,,,,,,,,,2.724,
367,2015-02-22,,,,,,,,,2.629,
368,2015-02-23,,,,,,,,,2.492,
369,2015-02-24,,,,,,,,,2.593,
370,2015-02-25,,,,,,,,,2.752,
371,2015-02-26,,,,,,,,,2.704,
372,2015-02-27,,,,,,,,,2.955,
373,2015-02-28,,,,,,,,,3.101,
374,2015-03-01,,,,,,,,,3.239,
375,2015-03-02,,,,,,,,,3.387,
376,2015-03-03,,,,,,,,,3.522,
377,2015-03-04,,,,,,,,,3.582,
378,2015-03-05,,,,,,,,,3.414,
379,2015-03-06,,,,,,,,,3.384,
380,2015-03-07,,,,,,,,,3.373,
381,2015-03-08,,,,,,,,,3.392,
382,2015-03-09,,,,,,,,,3.476,
383,2015-03-10,,,,,,,,,3.137,
384,2015-03-11,,,,,,,,,3.228,
385,2015-03-12,,,,,,,,,3.117,
386,2015-03-13,,,,,,,,,2.993,
387,2015-03-14,,,,,,,,,2.949,
388,2015-03-15,,,,,,,,,3.022,
389,2015-03-16,,,,,,,,,3.173,
390,2015-03-17,,,,,,,,,3.269,
391,2015-03-18,,,,,,,,,3.274,
392,2015-03-19,,,,,,,,,3.258,
393,2015-03-20,,,,,,,,,3.478,
394,2015-03-21,,,,,,,,,4.271,
395,2015-03-22,,,,,,,,,4.607,
396,2015-03-23,,,,,,,,,4.622,
397,2015-03-24,,,,,,,,,4.904,
398,2015-03-25,,,,,,,,,5.27,
399,2015-03-26,,,,,,,,,5.184,
400,2015-03-27,,,,,,,,,4.875,
401,2015-03-28,,,,,,,,,4.841,
402,2015-03-29,,,,,,,,,4.717,
403,2015-03-30,,,,,,,,,4.375,
404,2015-03-31,,,,,,,,,4.136,
405,2015-04-01,,,,,,,,,3.815,
406,2015-04-02,,,,,,,,,4.116,
407,2015-04-03,,,,,,,,,4.429,
408,2015-04-04,,,,,,,,,4.174,
409,2015-04-05,,,,,,,,,4.056,
410,2015-04-06,,,,,,,,,4.141,
411,2015-04-07,,,,,,,,,3.991,
412,2015-04-08,,,,,,,,,3.711,
413,2015-04-09,,,,,,,,,3.538,
414,2015-04-10,,,,,,,,,3.278,
415,2015-04-11,,,,,,,,,3.347,
416,2015-04-12,,,,,,,,,3.351,
417,2015-04-13,,,,,,,,,3.223,
418,2015-04-14,,,,,,,,,3.099,
419,2015-04-15,,,,,,,,,3.066,
420,2015-04-16,,,,,,,,,3.035,
421,2015-04-17,,,,,,,,,2.891,
422,2015-04-18,,,,,,,,,2.879,
423,2015-04-19,,,,,,,,,2.848,
424,2015-04-20,,,,,,,,,2.738,
425,2015-04-21,,,,,,,,,2.759,
426,2015-04-22,,,,,,,,,3.13,
427,2015-04-23,,,,,,,,,3.507,
428,2015-04-24,,,,,,,,,3.336,
429,2015-04-25,,,,,,,,,3.184,
430,2015-04-26,,,,,,,,,2.997,
431,2015-04-27,,,,,,,,,3.01,
432,2015-04-28,,,,,,,,,2.946,
433,2015-04-29,,,,,,,,,2.912,
434,2015-04-30,,,,,,,,,2.954,
435,2015-05-01,,,,,,,,,2.807,
436,2015-05-02,,,,,,,,,2.781,
437,2015-05-03,,,,,,,,,2.761,
438,2015-05-04,,,,,,,,,2.872,
439,2015-05-05,,,,,,,,,2.839,
440,2015-05-06,,,,,,,,,2.915,
441,2015-05-07,,,,,,,,,2.79,
442,2015-05-08,,,,,,,,,2.774,
443,2015-05-09,,,,,,,,,2.748,
444,2015-05-10,,,,,,,,,2.713,
445,2015-05-11,,,,,,,,,2.718,
446,2015-05-12,,,,,,,,,2.734,
447,2015-05-13,,,,,,,,,2.741,
448,2015-05-14,,,,,,,,,2.712,
449,2015-05-15,,,,,,,,,2.871,
450,2015-05-16,,,,,,,,,2.951,
451,2015-05-17,,,,,,,,,2.96,
452,2015-05-18,,,,,,,,,2.882,
453,2015-05-19,,,,,,,,,2.851,
454,2015-05-20,,,,,,,,,2.88,
455,2015-05-21,,,,,,,,,2.876,
456,2015-05-22,,,,,,,,,2.871,
457,2015-05-23,,,,,,,,,2.898,
458,2015-05-24,,,,,,,,,2.895,
459,2015-05-25,,,,,,,,,2.857,
460,2015-05-26,,,,,,,,,2.777,
461,2015-05-27,,,,,,,,,2.652,
462,2015-05-28,,,,,,,,,2.685,
463,2015-05-29,,,,,,,,,2.779,
464,2015-05-30,,,,,,,,,2.756,
465,2015-05-31,,,,,,,,,2.76,
466,2015-06-01,,,,,,,,,2.73,
467,2015-06-02,,,,,,,,,2.725,
468,2015-06-03,,,,,,,,,2.804,
469,2015-06-04,,,,,,,,,2.766,
470,2015-06-05,,,,,,,,,2.776,
471,2015-06-06,,,,,,,,,2.823,
472,2015-06-07,,,,,,,,,2.82,
473,2015-06-08,,,,,,,,,2.839,
474,2015-06-09,,,,,,,,,2.808,
475,2015-06-10,,,,,,,,,2.707,
476,2015-06-11,,,,,,,,,2.732,
477,2015-06-12,,,,,,,,,2.812,
478,2015-06-13,,,,,,,,,2.795,
479,2015-06-14,,,,,,,,,2.791,
480,2015-06-15,,,,,,,,,2.777,
481,2015-06-16,,,,,,,,,2.819,
482,2015-06-17,,,,,,,,,2.994,
483,2015-06-18,,,,,,,,,2.957,
484,2015-06-19,,,,,,,,,2.926,
485,2015-06-20,,,,,,,,,2.864,
486,2015-06-21,,,,,,,,,2.862,
487,2015-06-22,,,,,,,,,2.878,
488,2015-06-23,,,,,,,,,2.862,
489,2015-06-24,,,,,,,,,2.854,
490,2015-06-25,,,,,,,,,2.827,
491,2015-06-26,,,,,,,,,2.847,
492,2015-06-27,,,,,,,,,2.841,
493,2015-06-28,,,,,,,,,2.766,
494,2015-06-29,,,,,,,,,2.757,
495,2015-06-30,,,,,,,,,2.814,
496,2015-07-01,,,,,,,,,2.85,
497,2015-07-02,,,,,,,,,2.857,
498,2015-07-03,,,,,,,,,2.939,
499,2015-07-04,,,,,,,,,3.039,
500,2015-07-05,,,,,,,,,3.104,
501,2015-07-06,,,,,,,,,3.091,
502,2015-07-07,,,,,,,,,3.009,
503,2015-07-08,,,,,,,,,2.98,
504,2015-07-09,,,,,,,,,3.008,
505,2015-07-10,,,,,,,,,3.351,
506,2015-07-11,,,,,,,,,4.004,
507,2015-07-12,,,,,,,,,4.085,
508,2015-07-13,,,,,,,,,3.72,
509,2015-07-14,,,,,,,,,3.747,
510,2015-07-15,,,,,,,,,3.687,
511,2015-07-16,,,,,,,,,3.61,
512,2015-07-17,,,,,,,,,3.622,
513,2015-07-18,,,,,,,,,3.799,
514,2015-07-19,,,,,,,,,3.651,
515,2015-07-20,,,,,,,,,3.62,
516,2015-07-21,,,,,,,,,3.665,
517,2015-07-22,,,,,,,,,3.588,
518,2015-07-23,,,,,,,,,3.587,
519,2015-07-24,,,,,,,,,3.615,
520,2015-07-25,,,,,,,,,3.705,
521,2015-07-26,,,,,,,,,3.755,
522,2015-07-27,,,,,,,,,3.734,
523,2015-07-28,,,,,,,,,3.734,
524,2015-07-29,,,,,,,,,3.659,
525,2015-07-30,,,,,,,,,3.616,
526,2015-07-31,,,,,,,,,3.66,
527,2015-08-01,,,,,,,,,3.58,
528,2015-08-02,,,,,,,,,3.6,
529,2015-08-03,,,,,,,,,3.601,
530,2015-08-04,,,,,,,,,3.654,
531,2015-08-05,,,,,,,,,3.598,
532,2015-08-06,,,,,,,,,3.531,
533,2015-08-07,,,,,,,,,3.334,
534,2015-08-08,,,,,,,,,3.19,
535,2015-08-09,,,,,,,,,3.119,
536,2015-08-10,,,,,,,,,3.092,
537,2015-08-11,,,,,,,,,3.103,
538,2015-08-12,,,,,,,,,3.103,
539,2015-08-13,,,,,,,,,3.031,
540,2015-08-14,,,,,,,,,3.043,
541,2015-08-15,,,,,,,,,3.008,
542,2015-08-16,,,,,,,,,2.91,
543,2015-08-17,,,,,,,,,2.977,
544,2015-08-18,,,,,,,,,2.843,
545,2015-08-19,,,,,,,,,2.668,
546,2015-08-20,,,,,,,,,2.723,
547,2015-08-21,,,,,,,,,2.757,
548,2015-08-22,,,,,,,,,2.706,
549,2015-08-23,,,,,,,,,2.649,
550,2015-08-24,,,,,,,,,2.508,
551,2015-08-25,,,,,,,,,2.38,
552,2015-08-26,,,,,,,,,2.574,
553,2015-08-27,,,,,,,,,2.581,
554,2015-08-28,,,,,,,,,2.566,
555,2015-08-29,,,,,,,,,2.586,
556,2015-08-30,,,,,,,,,2.585,
557,2015-08-31,,,,,,,,,2.553,
558,2015-09-01,,,,,,,,,2.545,
559,2015-09-02,,,,,,,,,2.523,
560,2015-09-03,,,,,,,,,2.48,
561,2015-09-04,,,,,,,,,2.459,
562,2015-09-05,,,,,,,,,2.455,
563,2015-09-06,,,,,,,,,2.508,
564,2015-09-07,,,,,,,,,2.435,
565,2015-09-08,,,,,,,,,2.272,
566,2015-09-09,,,,,,,,,2.449,
567,2015-09-10,,,,,,,,,2.383,
568,2015-09-11,,,,,,,,,2.381,
569,2015-09-12,,,,,,,,,2.381,
570,2015-09-13,,,,,,,,,2.37,
571,2015-09-14,,,,,,,,,2.299,
572,2015-09-15,,,,,,,,,2.33,
573,2015-09-16,,,,,,,,,2.348,
574,2015-09-17,,,,,,,,,2.406,
575,2015-09-18,,,,,,,,,2.395,
576,2015-09-19,,,,,,,,,2.419,
577,2015-09-20,,,,,,,,,2.374,
578,2015-09-21,,,,,,,,,2.377,
579,2015-09-22,,,,,,,,,2.434,
580,2015-09-23,,,,,,,,,2.444,
581,2015-09-24,,,,,,,,,2.416,
582,2015-09-25,,,,,,,,,2.443,
583,2015-09-26,,,,,,,,,2.385,
584,2015-09-27,,,,,,,,,2.352,
585,2015-09-28,,,,,,,,,2.38,
586,2015-09-29,,,,,,,,,2.371,
587,2015-09-30,,,,,,,,,2.353,
588,2015-10-01,,,,,,,,,2.317,
589,2015-10-02,,,,,,,,,2.257,
590,2015-10-03,,,,,,,,,2.179,
591,2015-10-04,,,,,,,,,2.162,
592,2015-10-05,,,,,,,,,2.26,
593,2015-10-06,,,,,,,,,2.344,
594,2015-10-07,,,,,,,,,2.412,
595,2015-10-08,,,,,,,,,2.377,
596,2015-10-09,,,,,,,,,2.355,
597,2015-10-10,,,,,,,,,2.351,
598,2015-10-11,,,,,,,,,2.364,
599,2015-10-12,,,,,,,,,2.337,
600,2015-10-13,,,,,,,,,2.33,
601,2015-10-14,,,,,,,,,2.355,
602,2015-10-15,,,,,,,,,2.283,
603,2015-10-16,,,,,,,,,2.323,
604,2015-10-17,,,,,,,,,2.405,
605,2015-10-18,,,,,,,,,2.397,
606,2015-10-19,,,,,,,,,2.353,
607,2015-10-20,,,,,,,,,2.383,
608,2015-10-21,,,,,,,,,2.36,
609,2015-10-22,,,,,,,,,2.349,
610,2015-10-23,,,,,,,,,2.374,
611,2015-10-24,,,,,,,,,2.25,
612,2015-10-25,,,,,,,,,2.303,
613,2015-10-26,,,,,,,,,2.161,
614,2015-10-27,,,,,,,,,2.137,
615,2015-10-28,,,,,,,,,2.146,
616,2015-10-29,,,,,,,,,2.188,
617,2015-10-30,,,,,,,,,2.521,
618,2015-10-31,,,,,,,,,2.442,
619,2015-11-01,,,,,,,,,2.348,
620,2015-11-02,,,,,,,,,2.52,
621,2015-11-03,,,,,,,,,2.682,
