,ETH
ACOIN,0.5154446840545308
TAJ,0.513430719045107
ADZ,0.5123977625294225
CANN,0.5114617314347217
NXS,0.5105639770871792
BTCS,0.5104817139208915
UNIT,0.5099190674819865
AMBER,0.5079687461508866
MAY,0.507708516751947
BERN,0.5075030002721751
MST,0.506209734771707
BITS,0.503804850973125
LUNC,0.5024623986830254
KURT,0.5020839031481383
SIB,0.501142557732772
XHI,0.4987823951504344
SANDG,0.498612061161224
TRST,0.4955117771979824
NETKO,0.492137806156919
MOTO,0.4902128527163731
ICON,0.4887280759265369
NAV,0.4875636540603065
BLU,0.487401002131596
WINGS,0.487338682763098
VAL,0.4848021401240583
KOBO,0.4839615101637115
RBT,0.4823680339128625
EQB,0.476981572723871
LAMB,0.4747476568260592
CYT,0.4716124932264683
EDRC,0.4693449187875534
ARGUS,0.464262839484678
PXC,0.4602210363782772
START,0.458004675809903
PPC,0.4555372109838014
HVCO,0.4545607893366933
ENT,0.4539897197298878
VTC,0.4534355083590622
WGR,0.4493386400072857
AMS,0.4467652295914495
FRC,0.444692473250409
LDOGE,0.4404617802054222
XMS,0.4396050695353548
NMC,0.4392514936323033
LBC,0.4361179475090949
42,0.4338001570852426
MAID,0.4308265457787182
GBYTE,0.4294717647160895
COOL,0.4275670133307787
CNT,0.4253106289951275
ZCL,0.4246558098767376
JKC,0.4204481792717087
SLS,0.4195901586924274
NXT,0.4187881702074304
ZET,0.4120372431657886
LANA,0.4109882976051383
SXC,0.4060425144084204
EFL,0.4055742993828466
NEVA,0.4053274905322799
RBY,0.4027939608801291
SKR,0.4015962713419788
CLUB,0.3938603558643076
PTOY,0.3910838990431408
CRW,0.3904114702809692
PASC,0.3899471496138063
XPM,0.3892290844515828
CKC,0.3874000610724576
HMQ,0.3846539179566723
OK,0.3831657465039493
SKULL,0.3814713404571428
CARBON,0.3779728927025931
SWIFT,0.3775314502785815
FTC,0.376626330801284
VERI,0.3621133315533348
PLU,0.361624720578333
CETI,0.3606152512442628
XST,0.3588458410151723
XPTX,0.3573800982618472
NVC,0.3536043868758322
CLAM,0.3494138520247359
BLK,0.3474942474931565
KIN,0.3428268961332849
BCN,0.3385465059416361
SWT,0.3379973666830627
POT,0.3371409637138043
AGRS,0.3308966517508815
XPX,0.3268765494929134
XDN,0.3156521692868933
DCY,0.3086435460046914
XBY,0.3076097612053637
XCP,0.3019207876169468
CSC,0.3017006451600428
ALIAS,0.2934328168005728
HUSH,0.2910836522464689
PHR,0.290874014997905
WYZ,0.2887999866923947
DEM,0.2817179750587538
RDD,0.2813316615997838
CLOAK,0.2792744399193232
ZER,0.2792431645467258
BOLI,0.2782103597001498
GLC,0.2774062057132518
IXC,0.2745129438118532
XBC,0.2728194662832408
LOG,0.2726859957359557
XWC,0.2680041304609834
DIME,0.2672077578099552
BCDN,0.2637339745857894
INF,0.2633994040954216
HBD,0.262986995223454
PAK,0.2525273325352742
BIS,0.2524989422916726
FOREX,0.2512835839066669
XTO,0.2338501127197924
ZUR,0.2256329635940216
HNC,0.225246244899322
ILC,0.2222454608210498
BTA,0.2140825790759318
IFC,0.2109711429435982
BSTY,0.2089216429053202
LMC,0.1984911479991377
SHND,0.1979173861133092
SIGNA,0.1971653514744967
PUT,0.1939113008596019
BRIT,0.1911071585179928
DGC,0.1871162938999973
LOOK,0.1862433418730636
IRL,0.1800533370599401
SILK,0.1783723375998215
BS,0.1703639453194349
PIE,0.1683386927339119
WDC,0.1674655049551616
TAB,0.1545781054476541
NYC,0.1528546857465585
OZO,0.1374546772837621
QTZ,0.1323262998708109
MNTC,0.1320117218172293
LKY,0.1264011379800853
ZOOM,0.1108400157095375
PZM,0.1107588827768325
BTB,0.0886429614897763
DCT,0.085159484988627
USDT,0.0540179921744325
RRT,0.0500246658102184
WC,0.0011447345213641
MCN,-0.0482120595679144
NEOS,-0.5
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARV,
NKT,
PX,
RCX,
SLING,
UR,
USC,
VDO,
VMC,
