TIMESTAMP,TOSHI27750_OPEN_PRICE_USD,TOSHI27750_HIGH_PRICE_USD,TOSHI27750_LOW_PRICE_USD,TOSHI27750_CLOSE_PRICE_USD,TOSHI27750_VOLUME_USD,TOSHI27750_DIVIDENDS_USD,TOSHI27750_STOCK_SPLITS_USD
2023-12-08 00:00:00+00:00,5.6000000768108293e-05,7.599999662488699e-05,5.500000042957254e-05,7.599999662488699e-05,1056532,0.0,0.0
2023-12-09 00:00:00+00:00,7.599999662488699e-05,9.899999713525176e-05,6.900000153109431e-05,9.300000237999484e-05,1852702,0.0,0.0
2023-12-10 00:00:00+00:00,9.300000237999484e-05,0.00011000000085914508,6.500000017695129e-05,7.999999797903001e-05,2057319,0.0,0.0
2023-12-11 00:00:00+00:00,7.999999797903001e-05,7.999999797903001e-05,6.0999998822808266e-05,7.400000322377309e-05,992374,0.0,0.0
2023-12-12 00:00:00+00:00,7.400000322377309e-05,8.199999865610152e-05,6.299999949987978e-05,6.800000119255856e-05,651824,0.0,0.0
2023-12-13 00:00:00+00:00,6.800000119255856e-05,0.00013499999477062374,4.600000102072954e-05,0.00010399999882793054,2199161,0.0,0.0
2023-12-14 00:00:00+00:00,0.00010399999882793054,0.00019200000679120421,0.00010299999848939478,0.00017800000205170363,6312768,0.0,0.0
2023-12-15 00:00:00+00:00,0.00017800000205170363,0.00023999999393709004,0.00014200000441633165,0.00014699999883305281,8614810,0.0,0.0
2023-12-16 00:00:00+00:00,0.00014699999883305281,0.00018600000475998968,0.00012199999764561653,0.000155999994603917,4344007,0.0,0.0
2023-12-17 00:00:00+00:00,0.000155999994603917,0.0001740000006975606,0.00012700000661425292,0.00014099999680183828,2166599,0.0,0.0
2023-12-18 00:00:00+00:00,0.00014099999680183828,0.0001539999939268455,0.00011000000085914508,0.00014400000509340316,2017559,0.0,0.0
2023-12-19 00:00:00+00:00,0.00014400000509340316,0.0001849999971454963,0.00013499999477062374,0.00014000000373926014,2469768,0.0,0.0
2023-12-20 00:00:00+00:00,0.00014000000373926014,0.00015799999528098851,0.00012399999832268804,0.0001429999974789098,1319753,0.0,0.0
2023-12-21 00:00:00+00:00,0.0001429999974789098,0.00016799999866634607,0.00014200000441633165,0.00015999999595806003,1496119,0.0,0.0
2023-12-22 00:00:00+00:00,0.00015999999595806003,0.00020300000323913991,0.00015199999324977398,0.0001740000006975606,2033126,0.0,0.0
2023-12-23 00:00:00+00:00,0.0001740000006975606,0.00017499999376013875,0.00013000000035390258,0.00015999999595806003,1749687,0.0,0.0
2023-12-24 00:00:00+00:00,0.00015999999595806003,0.0001610000035725534,0.00014600000577047467,0.0001500000071246177,753968,0.0,0.0
2023-12-25 00:00:00+00:00,0.0001500000071246177,0.00015100000018719584,0.00012399999832268804,0.00012700000661425292,1007792,0.0,0.0
2023-12-26 00:00:00+00:00,0.00012799999967683107,0.00015199999324977398,0.0001250000059371814,0.0001289999927394092,1269941,0.0,0.0
2023-12-27 00:00:00+00:00,0.0001289999927394092,0.0001539999939268455,0.00010599999950500205,0.0001539999939268455,1065001,0.0,0.0
2023-12-28 00:00:00+00:00,0.0001539999939268455,0.0001630000042496249,0.00012700000661425292,0.00013000000035390258,996404,0.0,0.0
2023-12-29 00:00:00+00:00,0.00013000000035390258,0.00013699999544769526,0.00011600000289035961,0.00012399999832268804,876713,0.0,0.0
2023-12-30 00:00:00+00:00,0.00012399999832268804,0.0001289999927394092,0.00011700000322889537,0.00011899999663000926,531163,0.0,0.0
2023-12-31 00:00:00+00:00,0.00011899999663000926,0.00012599999899975955,0.00011500000255182385,0.00011800000356743112,651709,0.0,0.0
2024-01-01 00:00:00+00:00,0.00011800000356743112,0.0001250000059371814,0.00011700000322889537,0.0001250000059371814,486262,0.0,0.0
2024-01-02 00:00:00+00:00,0.0001250000059371814,0.00014699999883305281,0.00010399999882793054,0.00011300000187475234,1285417,0.0,0.0
2024-01-03 00:00:00+00:00,0.00011300000187475234,0.00011800000356743112,8.70000003487803e-05,9.600000339560211e-05,1091057,0.0,0.0
2024-01-04 00:00:00+00:00,9.600000339560211e-05,0.00011999999696854502,8.900000102585182e-05,0.00011500000255182385,684864,0.0,0.0
2024-01-05 00:00:00+00:00,0.00011500000255182385,0.00011500000255182385,9.300000237999484e-05,9.600000339560211e-05,559473,0.0,0.0
2024-01-06 00:00:00+00:00,9.600000339560211e-05,0.00010299999848939478,9.300000237999484e-05,9.500000305706635e-05,511631,0.0,0.0
2024-01-07 00:00:00+00:00,9.500000305706635e-05,9.699999645818025e-05,8.099999831756577e-05,9.300000237999484e-05,600919,0.0,0.0
2024-01-08 00:00:00+00:00,9.300000237999484e-05,0.00010399999882793054,7.699999696342275e-05,0.00010299999848939478,681585,0.0,0.0
2024-01-09 00:00:00+00:00,0.00010299999848939478,0.0001049999991664663,8.399999933317304e-05,8.900000102585182e-05,550009,0.0,0.0
2024-01-10 00:00:00+00:00,8.900000102585182e-05,0.00018099999579135329,8.900000102585182e-05,0.000155999994603917,2642945,0.0,0.0
2024-01-11 00:00:00+00:00,0.000155999994603917,0.00016900000628083944,0.00012199999764561653,0.00015199999324977398,1249384,0.0,0.0
2024-01-12 00:00:00+00:00,0.00015199999324977398,0.00016599999798927456,0.00013000000035390258,0.00013299999409355223,1022062,0.0,0.0
