,LTC,Lag
XCP,0.1414743308633985,3
PUT,0.1444805652584637,2
LBC,0.1495797791848291,6
NVC,0.1561633450998372,2
VERI,0.1691482695650906,4
ZER,0.1782939208151878,1
HVCO,0.1831055792024455,2
DGB,0.2071557792317443,28
CKC,0.2084118087623671,4
RBIES,0.2192896540228762,4
TES,0.2215491848836666,1
SXC,0.2236932897137207,20
SIGNA,0.2679858213551861,13
LDOGE,0.2737166363946349,5
XST,0.2789852118853592,30
SWT,0.3064349115668297,4
WINGS,0.3072036867633034,1
EDRC,0.3139692930818878,18
PIE,0.3157267274201907,1
XPM,0.3161049624864224,25
HMQ,0.323037679141836,1
XQN,0.3236142120960381,5
SANDG,0.3377101705718601,2
SLS,0.3522271927140879,30
SIB,0.3714480132365484,6
CRW,0.3770670997290718,16
RBY,0.378763232083169,1
RDD,0.382790198949593,1
NEVA,0.390377890240469,2
CLOAK,0.4205844018554683,1
OK,0.4326561852376668,2
XPTX,0.4527318830408261,1
LANA,0.4790215490311139,3
CANN,0.4797325118027618,8
XBY,0.4817036414633511,21
BRIT,0.4904517770394182,3
ICOB,0.5095585914318845,6
PTOY,0.5214487847927669,5
LOOK,0.5312414994557229,30
SONG,0.5546209656335317,1
BTA,0.5661422992145471,2
BOLI,0.5995288178663946,1
DGC,0.5997107595892719,1
HUSH,0.6199384242643017,19
LUN,0.6345900621868241,1
PASC,0.6599900407001117,20
XBC,0.6984238667339993,1
HBN,0.7173836773176978,1
BIS,0.7309714323061923,1
HNC,0.7572172260001702,1
AMS,0.7661356260772969,14
INF,0.7803247476548465,1
GCC,0.879477046116403,3
IXC,0.8889921653256742,1
