TIMESTAMP,GAS_OPEN_PRICE_USDT,GAS_HIGH_PRICE_USDT,GAS_LOW_PRICE_USDT,GAS_CLOSE_PRICE_USDT,GAS_FIRST_TRADE_PRICE_USDT,GAS_HIGH_TRADE_PRICE_USDT,GAS_LOW_TRADE_PRICE_USDT,GAS_LAST_TRADE_PRICE_USDT,GAS_TOTAL_TRADE_COUNT,GAS_TOTAL_TRADES_BUY,GAS_TOTAL_TRADES_SELL,GAS_VOLUME_USDT,GAS_QUOTE_VOLUME,GAS_VOLUME_BUY,GAS_QUOTE_VOLUME_BUY,GAS_VOLUME_SELL,GAS_QUOTE_VOLUME_SELL
2023-04-30,3.225,3.225,3.097,3.146,3.222,3.222,3.097,3.146,1141,610,531,39725.2,125554.8332,14522.0,45953.1915,25203.2,79601.6417
2023-05-01,3.146,3.154,2.974,3.01,3.149,3.154,2.974,3.01,2508,1471,1037,220980.6,665335.9219,172308.8,518003.5688,48671.8,147332.3531
2023-05-02,3.01,3.027,2.97,3.02,3.006,3.027,2.97,3.02,1791,1015,776,96653.4,289468.1799,58891.6,176507.8579,37761.8,112960.322
2023-05-03,3.02,3.096,2.881,3.004,3.021,3.096,2.881,3.004,2711,1477,1234,183764.0,541133.9433,139994.9,411138.7823,43769.1,129995.161
2023-05-04,3.004,3.016,2.964,3.005,3.003,3.016,2.964,3.005,999,495,504,28424.1,84817.7384,12342.1,36865.8912,16082.0,47951.8472
2023-05-05,3.005,3.092,2.994,3.06,3.022,3.092,2.994,3.06,2024,945,1079,75425.2,228860.3775,37893.0,115016.8773,37532.2,113843.5002
2023-05-06,3.06,3.22,2.925,2.975,3.07,3.22,2.925,2.975,4128,1877,2251,186761.7,570908.124,87685.2,269380.4032,99076.5,301527.7208
2023-05-07,2.975,3.0,2.94,2.94,2.968,3.0,2.94,2.94,1241,644,597,88943.0,263699.8371,62420.4,184936.7995,26522.6,78763.0376
2023-05-08,2.94,2.946,2.675,2.736,2.932,2.946,2.675,2.736,4223,2145,2078,89616.2,250282.8653,34328.1,96119.2886,55288.1,154163.5767
2023-05-09,2.736,2.969,2.71,2.825,2.737,2.969,2.71,2.825,6428,3134,3294,255433.6,725966.4259,120047.6,341846.2215,135386.0,384120.2044
2023-05-10,2.825,3.176,2.724,2.845,2.828,3.176,2.724,2.845,18504,9094,9410,902220.6,2672883.4447,371988.8,1101889.8501,530231.8,1570993.5946
2023-05-11,2.845,2.845,2.671,2.708,2.844,2.844,2.671,2.708,1643,741,902,48008.6,131642.0491,18814.1,51554.4523,29194.5,80087.5968
2023-05-12,2.708,2.766,2.56,2.716,2.708,2.766,2.56,2.716,2452,1395,1057,114126.0,300516.8135,73436.1,193524.9064,40689.9,106991.9071
2023-05-13,2.716,2.727,2.677,2.702,2.716,2.727,2.677,2.702,2153,1145,1008,32873.7,88768.1788,14248.2,38449.1356,18625.5,50319.0432
2023-05-14,2.702,2.723,2.674,2.706,2.7,2.723,2.674,2.706,879,471,408,22963.8,61934.4836,12293.7,33181.6347,10670.1,28752.8489
2023-05-15,2.706,2.82,2.66,2.803,2.706,2.82,2.66,2.803,1742,922,820,66105.2,180522.8336,33250.5,90744.2291,32854.7,89778.6045
2023-05-16,2.803,2.851,2.718,2.75,2.809,2.851,2.718,2.75,1173,574,599,34868.8,96686.0993,18412.9,51180.2067,16455.9,45505.8926
2023-05-17,2.75,2.792,2.71,2.778,2.75,2.792,2.71,2.778,991,471,520,28573.5,78607.4788,14991.3,41258.3814,13582.2,37349.0974
2023-05-18,2.778,2.778,2.712,2.746,2.777,2.778,2.712,2.746,1306,813,493,78805.0,216683.631,59475.1,163587.3495,19329.9,53096.2815
2023-05-19,2.746,2.763,2.724,2.759,2.746,2.763,2.724,2.759,737,397,340,35113.2,96414.1739,23061.5,63354.749,12051.7,33059.4249
2023-05-20,2.759,2.759,2.733,2.756,2.756,2.756,2.733,2.756,471,255,216,25818.5,70836.3222,16198.0,44443.6348,9620.5,26392.6874
2023-05-21,2.756,2.865,2.699,2.716,2.753,2.865,2.699,2.716,2961,1434,1527,133023.6,371137.8589,67459.9,188089.7035,65563.7,183048.1554
2023-05-22,2.716,2.922,2.689,2.818,2.718,2.922,2.689,2.818,10070,5093,4977,570525.9,1601432.0523,275062.1,771139.7062,295463.8,830292.3461
2023-05-23,2.818,2.946,2.792,2.872,2.81,2.946,2.792,2.872,11479,5780,5699,546181.2,1573760.7295,284069.7,819525.7052,262111.5,754235.0243
2023-05-24,2.872,2.894,2.718,2.818,2.882,2.894,2.718,2.818,7662,4017,3645,398282.4,1122937.3193,205042.6,577803.5541,193239.8,545133.7652
2023-05-25,2.818,2.865,2.697,2.725,2.811,2.865,2.697,2.725,4288,2190,2098,205494.2,566625.5049,89760.9,248847.779,115733.3,317777.7259
2023-05-26,2.725,2.725,2.641,2.689,2.725,2.725,2.641,2.689,3032,1621,1411,209157.5,560365.1075,117877.2,315983.5334,91280.3,244381.5741
2023-05-27,2.689,2.825,2.682,2.785,2.687,2.825,2.682,2.785,2776,1528,1248,213916.8,593471.1464,94703.5,262054.6149,119213.3,331416.5315
2023-05-28,2.785,2.909,2.769,2.884,2.79,2.909,2.769,2.884,6474,3358,3116,576534.5,1638741.0433,315961.0,896889.5192,260573.5,741851.5241
2023-05-29,2.884,2.979,2.873,2.895,2.882,2.979,2.873,2.895,3418,1598,1820,185105.6,539811.0215,93436.7,272916.7369,91668.9,266894.2846
2023-05-30,2.895,2.919,2.833,2.846,2.895,2.919,2.833,2.846,2885,1366,1519,71156.4,203236.5491,30503.2,87132.0827,40653.2,116104.4664
2023-05-31,2.846,2.85,2.74,2.778,2.842,2.85,2.74,2.778,1492,664,828,39210.4,108760.1237,16622.5,46135.2532,22587.9,62624.8705
2023-06-01,2.778,2.804,2.703,2.745,2.778,2.804,2.703,2.745,1393,728,665,54639.8,150203.5046,25115.5,69248.6528,29524.3,80954.8518
2023-06-02,2.745,2.8,2.708,2.794,2.737,2.8,2.708,2.794,1379,682,697,42450.6,117229.8308,19433.4,53702.1213,23017.2,63527.7095
2023-06-03,2.794,2.829,2.771,2.809,2.79,2.829,2.771,2.809,967,438,529,35506.0,99524.4407,16290.7,45658.9444,19215.3,53865.4963
2023-06-04,2.809,2.848,2.785,2.819,2.802,2.848,2.785,2.819,827,316,511,27699.1,78146.6056,13196.1,37265.8791,14503.0,40880.7265
2023-06-05,2.819,2.834,2.489,2.563,2.821,2.834,2.489,2.563,5449,2409,3040,178271.2,469465.2698,77379.1,203551.4034,100892.1,265913.8664
2023-06-06,2.563,2.713,2.539,2.683,2.561,2.713,2.539,2.683,6295,3029,3266,283320.2,749500.9187,145166.8,383917.2956,138153.4,365583.6231
2023-06-07,2.683,2.694,2.52,2.543,2.681,2.694,2.52,2.543,2660,1178,1482,97253.7,252979.9193,40061.3,104122.7563,57192.4,148857.163
2023-06-08,2.543,2.617,2.509,2.55,2.539,2.617,2.509,2.55,4043,2279,1764,223464.3,570198.5131,142675.4,364087.1407,80788.9,206111.3724
2023-06-09,2.55,2.619,2.541,2.574,2.545,2.619,2.541,2.574,2093,1116,977,69812.5,180410.4685,38789.0,100354.2675,31023.5,80056.201
2023-06-10,2.574,2.58,2.101,2.212,2.574,2.58,2.101,2.212,5049,2390,2659,264353.8,599099.6189,107346.1,240397.4207,157007.7,358702.1982
2023-06-11,2.212,2.384,2.208,2.288,2.212,2.384,2.208,2.288,3916,1798,2118,172749.9,395094.0229,87557.4,199964.8837,85192.5,195129.1392
2023-06-12,2.288,2.289,2.175,2.27,2.285,2.289,2.175,2.27,1910,1055,855,71512.6,159488.4678,34991.9,78129.6225,36520.7,81358.8453
2023-06-13,2.27,2.316,2.242,2.277,2.262,2.316,2.242,2.277,1495,733,762,57695.3,131482.8542,29940.0,68264.6561,27755.3,63218.1981
2023-06-14,2.277,2.295,2.16,2.192,2.276,2.295,2.16,2.192,1325,597,728,50015.3,112011.1513,21259.1,47506.2919,28756.2,64504.8594
2023-06-15,2.192,2.432,2.173,2.26,2.188,2.432,2.173,2.26,6492,3044,3448,352058.2,807887.0099,160117.7,366691.4998,191940.5,441195.5101
2023-06-16,2.26,2.279,2.195,2.279,2.258,2.279,2.195,2.279,1393,765,628,59212.2,132475.191,28976.4,64948.4387,30235.8,67526.7523
2023-06-17,2.279,2.302,2.246,2.286,2.271,2.302,2.246,2.286,1461,774,687,61420.5,140085.0168,28903.5,65923.2102,32517.0,74161.8066
2023-06-18,2.286,2.34,2.271,2.273,2.29,2.34,2.271,2.273,1542,915,627,57531.3,132657.9311,34349.1,79250.4038,23182.2,53407.5273
2023-06-19,2.273,2.309,2.266,2.3,2.269,2.309,2.266,2.3,1139,524,615,51465.8,117580.6547,23808.0,54409.5017,27657.8,63171.153
2023-06-20,2.3,2.346,2.244,2.346,2.307,2.346,2.244,2.346,2449,1430,1019,144914.3,331991.8374,64647.5,148673.3724,80266.8,183318.465
2023-06-21,2.346,2.581,2.336,2.457,2.34,2.581,2.336,2.457,6295,3248,3047,458999.3,1121157.6965,225641.7,550180.6855,233357.6,570977.011
2023-06-22,2.457,2.6,2.4,2.444,2.459,2.6,2.4,2.444,3680,1657,2023,194523.3,480558.2011,82655.3,205065.0804,111868.0,275493.1207
2023-06-23,2.444,2.598,2.428,2.574,2.442,2.598,2.428,2.574,4540,1967,2573,173344.9,433606.0863,78447.1,196319.3667,94897.8,237286.7196
2023-06-24,2.574,2.665,2.545,2.656,2.575,2.665,2.545,2.656,4511,2257,2254,182463.4,475098.8545,93016.2,242188.6262,89447.2,232910.2283
2023-06-25,2.656,2.746,2.572,2.608,2.666,2.746,2.572,2.608,3551,1879,1672,158607.4,418902.78,76973.4,203480.4179,81634.0,215422.3621
2023-06-26,2.608,2.621,2.493,2.546,2.601,2.621,2.493,2.546,3189,1585,1604,157504.4,401735.6922,73566.9,187762.9852,83937.5,213972.707
2023-06-27,2.546,2.637,2.497,2.618,2.547,2.637,2.497,2.618,2468,1349,1119,101606.5,260778.3955,54871.5,140833.6223,46735.0,119944.7732
2023-06-28,2.618,2.618,2.451,2.47,2.607,2.608,2.451,2.47,3063,1449,1614,140412.7,351952.3663,59464.1,148837.2255,80948.6,203115.1408
2023-06-29,2.47,2.536,2.442,2.506,2.465,2.536,2.442,2.506,2046,1142,904,100580.5,250934.775,50592.1,126252.8704,49988.4,124681.9046
2023-06-30,2.506,2.731,2.449,2.648,2.512,2.731,2.449,2.648,6597,3110,3487,318617.0,822079.9363,161576.3,417990.194,157040.7,404089.7423
2023-07-01,2.648,3.164,2.616,2.821,2.642,3.164,2.616,2.821,54599,26477,28122,3586693.9,10506775.757,1786244.5,5235531.5763,1800449.4,5271244.1807
2023-07-02,2.821,2.821,2.642,2.694,2.814,2.818,2.642,2.694,4796,2299,2497,240966.6,650771.2347,120404.7,325433.6192,120561.9,325337.6155
2023-07-03,2.694,2.694,2.615,2.651,2.69,2.69,2.615,2.651,6633,4546,2087,178263.2,471896.7892,78354.1,207573.1266,99909.1,264323.6626
2023-07-04,2.651,2.747,2.618,2.651,2.652,2.747,2.618,2.651,4434,1943,2491,142238.0,382038.5645,65116.3,175125.1185,77121.7,206913.446
2023-07-05,2.651,2.654,2.55,2.587,2.645,2.654,2.55,2.587,1960,1027,933,72040.9,186581.9297,31629.0,81808.0135,40411.9,104773.9162
2023-07-06,2.587,2.671,2.532,2.554,2.587,2.671,2.532,2.554,3926,1867,2059,135460.7,352450.6513,62793.7,163618.9914,72667.0,188831.6599
2023-07-07,2.554,2.602,2.527,2.586,2.55,2.602,2.527,2.586,1539,703,836,62474.2,160530.1275,29907.1,76882.7216,32567.1,83647.4059
2023-07-08,2.586,2.588,2.535,2.563,2.58,2.588,2.535,2.563,1127,619,508,44857.9,114739.5037,22395.2,57312.0323,22462.7,57427.4714
2023-07-09,2.563,2.592,2.554,2.575,2.563,2.592,2.554,2.575,1026,472,554,40225.7,103571.4951,15293.3,39393.4638,24932.4,64178.0313
2023-07-10,2.575,2.601,2.523,2.579,2.586,2.601,2.523,2.579,1440,702,738,73172.8,186648.9197,43584.3,111017.9588,29588.5,75630.9609
2023-07-11,2.579,3.121,2.553,2.734,2.58,3.121,2.553,2.734,39544,19572,19972,2027527.7,5764074.2181,1009814.1,2872881.1199,1017713.6,2891193.0982
2023-07-12,2.734,2.82,2.637,2.703,2.741,2.82,2.637,2.703,7516,3506,4010,397692.3,1072990.2258,182883.2,494597.1791,214809.1,578393.0467
2023-07-13,2.703,2.898,2.653,2.7,2.694,2.898,2.653,2.7,10873,5526,5347,484704.0,1320702.2527,221832.1,606321.9362,262871.9,714380.3165
2023-07-14,2.7,2.8,2.639,2.697,2.699,2.8,2.639,2.697,6755,3055,3700,390300.2,1063235.4518,199460.3,544435.5767,190839.9,518799.8751
2023-07-15,2.697,2.785,2.664,2.748,2.699,2.785,2.664,2.748,4471,2317,2154,210864.4,578452.5679,114597.4,314539.0701,96267.0,263913.4978
2023-07-16,2.748,2.76,2.68,2.695,2.749,2.76,2.68,2.695,1238,452,786,49495.0,134306.7891,17351.7,47200.7931,32143.3,87105.996
2023-07-17,2.695,2.725,2.644,2.7,2.692,2.725,2.644,2.7,1307,642,665,98290.0,264536.0395,59915.4,161364.6654,38374.6,103171.3741
2023-07-18,2.7,2.706,2.618,2.659,2.701,2.706,2.618,2.659,1180,530,650,46554.7,123598.3571,18600.3,49426.7349,27954.4,74171.6222
2023-07-19,2.659,2.678,2.621,2.668,2.658,2.678,2.621,2.668,2067,1004,1063,142078.7,376338.8236,65017.9,172274.5898,77060.8,204064.2338
2023-07-20,2.668,2.771,2.65,2.68,2.668,2.771,2.65,2.68,2748,1343,1405,112528.3,303833.208,57006.2,154196.2157,55522.1,149636.9923
2023-07-21,2.68,2.686,2.646,2.68,2.678,2.686,2.646,2.68,1047,518,529,46758.8,124547.5334,19871.7,52937.3421,26887.1,71610.1913
2023-07-22,2.68,2.859,2.68,2.776,2.681,2.859,2.681,2.776,10216,4387,5829,686502.4,1911363.2292,248924.1,691133.8577,437578.3,1220229.3715
2023-07-23,2.776,2.861,2.716,2.747,2.767,2.861,2.716,2.747,4382,2418,1964,280020.1,775067.3046,138444.0,383739.6616,141576.1,391327.643
2023-07-24,2.747,2.747,2.589,2.628,2.743,2.744,2.589,2.628,2152,993,1159,143507.6,379674.6515,53275.2,140753.424,90232.4,238921.2275
2023-07-25,2.628,2.699,2.6,2.68,2.628,2.699,2.6,2.68,2488,1312,1176,143216.0,380494.8138,64360.4,171224.0536,78855.6,209270.7602
2023-07-26,2.68,2.745,2.612,2.672,2.678,2.745,2.612,2.672,4908,2556,2352,253777.6,676884.5723,125962.1,337368.0925,127815.5,339516.4798
2023-07-27,2.672,2.705,2.638,2.659,2.678,2.705,2.638,2.659,1768,860,908,73258.0,195779.7588,37250.1,99676.314,36007.9,96103.4448
2023-07-28,2.659,2.712,2.647,2.708,2.657,2.712,2.647,2.708,1137,620,517,42642.6,114280.2194,19727.6,52890.8383,22915.0,61389.3811
2023-07-29,2.708,4.23,2.699,2.8,2.709,4.23,2.699,2.8,47377,24557,22820,3368705.8,10194358.4449,2025205.7,6161977.2382,1343500.1,4032381.2067
2023-07-30,2.8,2.891,2.681,2.744,2.801,2.891,2.681,2.744,10554,5283,5271,829052.6,2323251.526,439461.6,1234796.834,389591.0,1088454.692
2023-07-31,2.744,2.808,2.709,2.759,2.747,2.808,2.709,2.759,2976,1395,1581,192268.4,529221.9724,93920.5,258730.4988,98347.9,270491.4736
2023-08-01,2.759,2.759,2.659,2.743,2.755,2.755,2.659,2.743,2456,1248,1208,148499.9,401183.9548,65546.7,177229.6357,82953.2,223954.3191
2023-08-02,2.743,2.754,2.663,2.686,2.744,2.754,2.663,2.686,1793,870,923,100293.5,271272.2409,40027.3,108163.7438,60266.2,163108.4971
2023-08-03,2.686,2.694,2.628,2.665,2.687,2.694,2.628,2.665,1230,572,658,67961.5,180730.5788,35278.4,93909.6274,32683.1,86820.9514
2023-08-04,2.665,2.676,2.622,2.669,2.668,2.676,2.622,2.669,1272,527,745,81055.3,214443.541,32418.7,85846.056,48636.6,128597.485
2023-08-05,2.669,2.669,2.619,2.653,2.658,2.668,2.619,2.653,1264,577,687,68158.1,180015.2037,34196.7,90367.9262,33961.4,89647.2775
2023-08-06,2.653,2.664,2.623,2.641,2.657,2.664,2.623,2.641,874,525,349,41892.0,110869.1991,21061.8,55757.878,20830.2,55111.3211
2023-08-07,2.641,2.684,2.593,2.642,2.642,2.684,2.593,2.642,2156,1056,1100,131531.9,347622.5644,61077.6,161595.3938,70454.3,186027.1706
2023-08-08,2.642,2.684,2.606,2.676,2.644,2.684,2.606,2.676,1576,807,769,83697.7,221238.863,39166.3,103614.408,44531.4,117624.455
2023-08-09,2.676,2.676,2.625,2.64,2.669,2.673,2.625,2.64,756,341,415,43700.3,115758.347,21420.9,56774.8897,22279.4,58983.4573
2023-08-10,2.64,2.66,2.617,2.65,2.646,2.66,2.617,2.65,913,420,493,43310.6,114207.6513,21064.5,55539.6875,22246.1,58667.9638
2023-08-11,2.65,2.65,2.616,2.646,2.646,2.649,2.616,2.646,742,389,353,44760.6,117960.0863,23696.1,62470.0544,21064.5,55490.0319
2023-08-12,2.646,2.662,2.631,2.653,2.644,2.662,2.631,2.653,510,236,274,25839.2,68371.7328,10512.8,27805.9546,15326.4,40565.7782
2023-08-13,2.653,2.656,2.57,2.636,2.653,2.656,2.57,2.636,1447,774,673,131225.4,345087.2647,54490.2,143157.316,76735.2,201929.9487
2023-08-14,2.636,2.648,2.601,2.639,2.636,2.648,2.601,2.639,1387,668,719,81994.0,215660.3013,31579.9,83136.7268,50414.1,132523.5745
2023-08-15,2.639,2.672,2.52,2.541,2.642,2.672,2.52,2.541,1842,805,1037,110382.0,287230.9777,55379.0,144211.0192,55003.0,143019.9585
2023-08-16,2.541,2.543,2.32,2.36,2.543,2.543,2.32,2.36,3582,1673,1909,247230.5,599973.7944,120955.8,293480.2526,126274.7,306493.5418
2023-08-17,2.36,2.385,2.024,2.189,2.355,2.385,2.024,2.189,4699,2263,2436,276223.2,618584.2747,112678.4,251024.1883,163544.8,367560.0864
2023-08-18,2.189,2.255,2.16,2.23,2.187,2.255,2.16,2.23,2340,1016,1324,148584.8,327521.6809,63567.8,140122.8969,85017.0,187398.784
2023-08-19,2.23,2.267,2.22,2.264,2.233,2.267,2.22,2.264,1117,574,543,96849.8,217585.9975,48543.8,109288.7172,48306.0,108297.2803
2023-08-20,2.264,2.285,2.251,2.284,2.265,2.285,2.251,2.284,538,232,306,37396.2,84924.1167,16832.9,38253.2963,20563.3,46670.8204
2023-08-21,2.284,2.284,2.212,2.237,2.284,2.284,2.212,2.237,627,255,372,37735.9,84565.0579,15622.2,34981.0519,22113.7,49584.006
2023-08-22,2.237,2.248,2.165,2.214,2.238,2.248,2.165,2.214,1165,517,648,67310.0,148600.0342,27059.9,59810.551,40250.1,88789.4832
2023-08-23,2.214,2.272,2.195,2.246,2.214,2.272,2.195,2.246,938,444,494,47300.1,105594.4993,22642.1,50517.429,24658.0,55077.0703
2023-08-24,2.246,2.517,2.246,2.328,2.246,2.517,2.246,2.328,13561,6522,7039,931391.1,2209587.3263,481360.0,1145057.0466,450031.1,1064530.2797
2023-08-25,2.328,2.384,2.25,2.286,2.318,2.384,2.25,2.286,2870,1388,1482,196543.0,451734.2123,93178.0,214197.0294,103365.0,237537.1829
2023-08-26,2.286,2.286,2.255,2.264,2.279,2.282,2.255,2.264,819,285,534,55714.1,126119.068,17091.6,38703.6629,38622.5,87415.4051
2023-08-27,2.264,2.268,2.246,2.26,2.264,2.268,2.246,2.26,546,246,300,29089.7,65694.3715,11641.4,26299.2904,17448.3,39395.0811
2023-08-28,2.26,2.268,2.211,2.247,2.256,2.268,2.211,2.247,752,326,426,43545.9,97545.3196,18107.9,40581.4349,25438.0,56963.8847
2023-08-29,2.247,2.312,2.199,2.311,2.245,2.312,2.199,2.311,1720,849,871,134311.2,302412.295,51331.2,115781.4338,82980.0,186630.8612
