,XMR,Lag
ZEC,0.004356056128265,1
XRP,0.0065544061620704,30
XHI,0.0081856789642994,5
CKC,0.0082256292938802,15
BERN,0.0092220918868058,20
BLU,0.0098371979272263,22
NXT,0.0100681671769632,3
CAB,0.0115401410849542,29
FRC,0.0119072648740526,13
SWT,0.0121705519579889,5
WAVES,0.0129158746405072,4
XTO,0.013069585476102,30
CJ,0.0141535628734251,4
FIRO,0.0141563233790936,1
LUNC,0.0153761611425353,30
ACOIN,0.0174724242684788,5
PZM,0.0188106118936476,8
VTC,0.022627832540823,11
START,0.0228183228869484,11
FTC,0.0233571077591569,3
AE,0.0233697751111297,3
SKR,0.0239178420135058,7
HVCO,0.0265109580148554,1
XPTX,0.0266268234717941,10
DEM,0.0273073628397038,30
IFC,0.0284602705301667,29
KMD,0.0285205347695616,27
DGC,0.0288826759312215,1
ADC,0.0297605005160965,3
HBN,0.0309946377938571,6
MAY,0.0320814287244194,22
STEEM,0.0326251674408289,27
AXIOM,0.033904761594374,27
VAL,0.0381364148695112,5
ADZ,0.038664711585726,1
BTB,0.0388331142568327,6
POST,0.0392406701498474,30
FRN,0.0398483801986734,4
SLS,0.0416528418338045,16
MST,0.042636837729741,1
EFL,0.0437024001889741,6
DCT,0.0440619336813794,4
KIN,0.0450035466436448,21
OPAL,0.0481442839543891,1
PIVX,0.0503801127358165,29
RBY,0.0524312877620961,2
LDOGE,0.0553131646088383,1
PKB,0.0559460388802321,16
MAID,0.0569690613847943,3
AV,0.0572829917027218,6
XWC,0.0614714489268763,3
SANDG,0.0629573683421692,29
HMQ,0.0638811960352101,20
TES,0.0653384939636073,7
BTCS,0.0708464012669511,2
ZENI,0.0820503340929565,1
XQN,0.0846922435070228,22
JLP,0.0848942397122528,1
CLOAK,0.0902874382305964,1
HUSH,0.0947173656080376,1
GLC,0.0973857816124339,22
SPR,0.0986889811152486,2
LUN,0.105302375408769,19
LANA,0.1114796948837213,1
NVC,0.1149609956982331,1
SILK,0.1165222862944644,18
TAB,0.1215238395253139,20
KURT,0.1366120690238312,6
ICOB,0.1540077075812033,2
ZOOM,0.1599610489886289,27
2GIVE,0.1628784964271504,30
ILC,0.1632612074740136,30
LOOK,0.1632769957372388,21
ZEN,0.1649309008038958,27
SKULL,0.1667598747146251,1
LAMB,0.1755640557289013,13
QTZ,0.175984889885483,2
COOL,0.1856133489461323,30
OZO,0.1861831820012861,30
AMS,0.1921821294195726,1
POT,0.193924700239742,1
BTA,0.1990377459032292,26
INF,0.2008620785594009,5
XBC,0.2143854489028077,14
HNC,0.2175565580709775,1
ZYD,0.2234564504151976,17
PTOY,0.2245047960569399,2
IRL,0.2288293649600089,2
CRW,0.2308112613300269,1
ZCL,0.232133793815559,30
CF,0.235548170045926,9
LSK,0.2409116299910232,2
VERI,0.2539779132583848,12
WC,0.2595694928848384,13
LBC,0.2629496032984314,1
SNRG,0.2630883298074631,2
LOG,0.2659604803865623,1
GCC,0.2848408496974065,3
SIB,0.2855967476285924,3
ZER,0.3046012146768996,5
ARK,0.3048689500644503,14
LMC,0.3140859542966819,1
SHND,0.3239454215688077,5
XPX,0.3248414621623542,15
BCDN,0.3293245573937904,4
CANN,0.3548099813631635,3
PIE,0.3648129152599839,1
NXS,0.3717507910200111,20
AGRS,0.3807463289015417,1
PLU,0.3959017348069416,1
GAS,0.4004204300098046,24
XCP,0.401209683330783,1
EQB,0.408868081126341,1
BIS,0.4209157284561423,1
XST,0.4254250855165045,30
42,0.4905628018067962,1
RDD,0.4940086633076029,2
BSTY,0.5149021448604078,1
CETI,0.5244239126876834,1
MCN,0.5283354923804444,20
CLUB,0.530045231518703,3
BOLI,0.5497430373543535,1
NYC,0.558861613840697,1
WINGS,0.5752628349817401,1
XBY,0.5998490090247204,1
RBIES,0.600815755026785,28
NEVA,0.653800130040165,1
CNT,0.7120778644307599,1
BS,0.7348504762150625,1
MNTC,0.7788007445660472,1
PPC,0.8268780128131958,16
CLAM,0.829320837529427,21
SWIFT,0.8411707614374901,1
OK,0.847408140962252,1
BLK,0.8846621365011001,2
PASC,0.9342513728821232,1
SONG,0.987134668683619,2
