TIMESTAMP,SHIN31666_OPEN_PRICE_USD,SHIN31666_HIGH_PRICE_USD,SHIN31666_LOW_PRICE_USD,SHIN31666_CLOSE_PRICE_USD,SHIN31666_VOLUME_USD,SHIN31666_DIVIDENDS_USD,SHIN31666_STOCK_SPLITS_USD
2024-09-13 00:00:00+00:00,,,,0.0,536,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,511,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,268,0.0,0.0
2024-09-16 00:00:00+00:00,,,,0.0,291,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,271,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,4150,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,10640,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,2692,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,1346,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,699,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,436,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,1342,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,3146,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,1372,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,11633,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,36338,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,5476,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,3912,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,1947,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1925,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,546,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,2452,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,2273,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,838,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,6930,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,1185,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,927,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,2393,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,737,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,412,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,402,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,5814,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,7359,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,363,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,101,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,1465,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,377,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,974,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,309,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,182,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,1030,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,433,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,53,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,39,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,111,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,523,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,668,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,1406,0.0,0.0
