,BTC,Lag
CANN,0.1414611675149253,10
DCR,0.1443885025852612,11
PXC,0.150132617990741,26
NXS,0.151433179262987,6
BLAZR,0.1517683689310406,7
LOG,0.1563529398437203,3
ACOIN,0.1638772903222275,4
ANT,0.1646460890552548,10
JLP,0.1653742985567041,29
CKC,0.1654405004211932,30
QTZ,0.1693526495432652,21
AE,0.1701600384127802,23
EQB,0.1787466959829024,2
LSK,0.1813999732213498,1
LBC,0.1814995021697156,6
VTC,0.1828373608169717,1
FOREX,0.183951181746632,16
ARGUS,0.1852369215487267,6
PPC,0.1903849655307299,8
BCDN,0.1917410836533098,6
RBY,0.192460089630405,20
CSC,0.1936712165250124,1
LAMB,0.1937681776763776,7
CYT,0.1938974179479044,1
XQN,0.1949174215481649,26
NETKO,0.1966680519589549,29
BCN,0.2023549483692219,7
XST,0.2050939278460845,30
NXT,0.2120261559877102,1
NVC,0.2177958110287097,2
SHND,0.2206079831586999,24
START,0.2272993171268306,12
RBIES,0.2331031087833784,5
HMQ,0.2341347340699346,1
MAID,0.2502656321454856,29
HUSH,0.2597087728881648,3
BTS,0.2603673260600788,30
WDC,0.2607416414834604,1
OZO,0.2641801334550307,4
MCN,0.2670131493139304,23
ZER,0.2708904993656046,30
SILK,0.277346560800209,3
MAY,0.290787855693762,2
BERN,0.2907918584984607,9
AMS,0.2988785450803902,30
XPM,0.300231667899295,28
OPAL,0.305750385924588,22
42,0.3156243454833922,21
BTCS,0.323364088225972,12
GLC,0.3285508943843327,22
KIN,0.3353192261911198,1
BOLI,0.3354893026855787,20
PIE,0.3372892190622195,1
SWT,0.3377328599729258,29
BLU,0.3380751057816021,8
EFL,0.3389957330037998,27
PUT,0.3394468941705639,2
NAV,0.342366968192602,2
DCY,0.3431961312818445,4
XBY,0.3440103594950066,17
SNRG,0.3475791861947641,1
INF,0.3529437798446981,1
WINGS,0.3593499109125533,1
FIRO,0.3657128897792973,1
XBC,0.3693001337325174,3
AMBER,0.3794280920031334,1
CLAM,0.3815296852793869,2
SANDG,0.3826171946368242,22
TECH,0.3877183303110899,3
DCT,0.3932048320656965,16
HVCO,0.3976775862707595,30
VERI,0.399749386583787,4
NEVA,0.4002886339263924,2
CRW,0.4066451512503254,1
MNTC,0.4106431243272437,1
CLUB,0.4171656026623971,7
XCP,0.4177822466895335,1
SIGNA,0.4193830580633856,19
PLU,0.4232717305125851,19
IXC,0.4261154572192135,15
LANA,0.4312837073024129,1
BRIT,0.4445277478123913,4
MOTO,0.4505140474187265,20
AXIOM,0.4511764341268274,3
PAK,0.4515071599471423,1
SIB,0.4572070772606091,5
POT,0.4690693292909076,1
RRT,0.4715297852662085,3
ALIAS,0.4753451553401232,5
HNC,0.4929366512884567,25
BTA,0.4982480437566172,2
PASC,0.5011604150062601,20
HBN,0.5041345409063525,2
ILC,0.5178032248697181,1
RDD,0.5261928217507118,16
GCC,0.527266965391274,1
ZENI,0.5318212752855059,4
TES,0.5349656782862007,5
SLS,0.55429941231049,30
ICOB,0.5585755652552327,6
OK,0.5616941087681542,8
XPTX,0.5660672818344904,1
DGC,0.6040856883091041,1
PTOY,0.6109783832384619,1
PHR,0.6505248497604733,1
CNT,0.6536795193147564,1
SWIFT,0.6548487666121783,1
BSTY,0.656729183834639,7
CLOAK,0.6573518163905364,2
FTC,0.6611679369377677,26
AGRS,0.6638238070344591,5
SONG,0.7088348178683382,1
BITS,0.7411617967752351,1
BIS,0.7773548103594347,2
