TIMESTAMP,LSK_OPEN_PRICE_USDT,LSK_HIGH_PRICE_USDT,LSK_LOW_PRICE_USDT,LSK_CLOSE_PRICE_USDT,LSK_FIRST_TRADE_PRICE_USDT,LSK_HIGH_TRADE_PRICE_USDT,LSK_LOW_TRADE_PRICE_USDT,LSK_LAST_TRADE_PRICE_USDT,LSK_TOTAL_TRADE_COUNT,LSK_TOTAL_TRADES_BUY,LSK_TOTAL_TRADES_SELL,LSK_VOLUME_USDT,LSK_QUOTE_VOLUME,LSK_VOLUME_BUY,LSK_QUOTE_VOLUME_BUY,LSK_VOLUME_SELL,LSK_QUOTE_VOLUME_SELL
2020-02-16,1.8189,2.0,1.7202,1.8751,1.8082,2.0,1.7202,1.8751,3893,2010,1883,389257.88,720719.736814,181931.24,339371.102457,207326.64,381348.634357
2020-02-17,1.8751,1.888,1.6021,1.7797,1.8728,1.888,1.6021,1.7797,2310,1253,1057,289262.38,497308.198709,127461.72,220028.566907,161800.66,277279.631802
2020-02-18,1.7797,1.8379,1.7,1.8354,1.7794,1.8379,1.7,1.8354,1737,994,743,186771.77,331120.144354,101574.96,180448.103214,85196.81,150672.04114
2020-02-19,1.8354,1.8818,1.6026,1.6439,1.8354,1.8818,1.6026,1.6439,1697,762,935,195511.12,340788.750184,70247.98,123186.592116,125263.14,217602.158068
2020-02-20,1.6439,1.6643,1.5301,1.5792,1.6439,1.6643,1.5301,1.5792,1312,749,563,135419.96,215772.012188,64717.98,103322.156107,70701.98,112449.856081
2020-02-21,1.5792,1.6234,1.473,1.512,1.5636,1.6234,1.473,1.512,2277,1217,1060,231246.65,355061.157937,84905.2,130858.023708,146341.45,224203.134229
2020-02-22,1.512,1.5212,1.3821,1.4184,1.509,1.5212,1.3821,1.4184,2736,1320,1416,219859.6,316222.994278,83492.11,120370.193943,136367.49,195852.800335
2020-02-23,1.4184,1.65,1.4111,1.6197,1.4235,1.65,1.4111,1.6197,6340,3825,2515,467493.56,728566.317232,246047.92,381944.736602,221445.64,346621.58063
2020-02-24,1.6197,1.6443,1.4126,1.536,1.6157,1.6443,1.4126,1.536,3673,1864,1809,303944.1,462588.269108,121492.73,184897.304038,182451.37,277690.96507
2020-02-25,1.536,1.5395,1.3061,1.3253,1.5296,1.5395,1.3061,1.3253,2227,881,1346,149743.84,209372.095446,45967.09,64446.49061,103776.75,144925.604836
2020-02-26,1.3253,1.6,1.1465,1.3283,1.3243,1.6,1.1465,1.3283,12719,6625,6094,1361094.76,1819611.899034,630055.8,836392.131345,731038.96,983219.767689
2020-02-27,1.3283,1.51,1.2256,1.2792,1.3279,1.51,1.2256,1.2792,8752,4726,4026,743496.07,1021316.465979,337524.95,459613.329581,405971.12,561703.136398
2020-02-28,1.2792,1.3758,1.2364,1.3082,1.2709,1.3758,1.2364,1.3082,3967,2184,1783,279081.28,363098.755164,142111.72,185026.414542,136969.56,178072.340622
2020-02-29,1.3082,1.4045,1.2633,1.276,1.307,1.4045,1.2633,1.276,2688,1345,1343,183072.29,244160.792996,82413.58,110200.171747,100658.71,133960.621249
2020-03-01,1.276,1.4098,1.276,1.3578,1.276,1.4098,1.276,1.3578,3936,2365,1571,303689.76,410085.572592,159578.12,215876.237945,144111.64,194209.334647
2020-03-02,1.3578,1.525,1.3145,1.3994,1.3575,1.525,1.3145,1.3994,5560,3023,2537,401389.84,560002.645118,224261.59,314169.902761,177128.25,245832.742357
2020-03-03,1.3994,1.404,1.3353,1.358,1.4011,1.404,1.3353,1.358,3093,1628,1465,254224.11,348113.114732,113244.82,155448.754966,140979.29,192664.359766
2020-03-04,1.358,1.3758,1.3131,1.3449,1.3581,1.3758,1.3131,1.3449,1588,729,859,120578.3,161281.67242,48183.39,64363.605857,72394.91,96918.066563
2020-03-05,1.3449,1.4225,1.34,1.39,1.3421,1.4225,1.34,1.39,2276,1220,1056,203419.42,280884.350282,96285.4,132969.963991,107134.02,147914.386291
2020-03-06,1.39,1.4875,1.3821,1.4711,1.39,1.4875,1.3821,1.4711,2965,1371,1594,323133.33,467141.521855,131479.12,191012.179595,191654.21,276129.34226
2020-03-07,1.4711,1.4711,1.3392,1.3766,1.4708,1.4708,1.3392,1.3766,2412,1265,1147,291125.18,407146.616218,116915.29,164207.599554,174209.89,242939.016664
2020-03-08,1.3766,1.3766,1.1371,1.1407,1.3762,1.3763,1.1371,1.1407,2685,703,1982,304332.51,397444.71596,55768.1,72256.260118,248564.41,325188.455842
2020-03-09,1.1407,1.1895,1.0394,1.1207,1.152,1.1895,1.0394,1.1207,2251,1291,960,233437.57,260741.529287,129938.84,145048.41362,103498.73,115693.115667
2020-03-10,1.1207,1.293,1.1207,1.2306,1.1224,1.293,1.1224,1.2306,3303,1904,1399,322987.23,391405.557164,175280.91,212718.951715,147706.32,178686.605449
2020-03-11,1.2306,1.2692,1.1415,1.2012,1.2306,1.2692,1.1415,1.2012,2645,1275,1370,291796.2,352462.670255,131316.12,158336.971384,160480.08,194125.698871
2020-03-12,1.2012,1.2052,0.61,0.6654,1.196,1.2052,0.61,0.6654,5044,2298,2746,661700.16,574388.801618,285490.42,248489.795596,376209.74,325899.006022
2020-03-13,0.6654,0.8829,0.5104,0.8255,0.6656,0.8829,0.5104,0.8255,4272,2197,2075,497902.62,377834.580479,232929.75,178583.058695,264972.87,199251.521784
2020-03-14,0.8255,0.8635,0.7334,0.762,0.8172,0.8635,0.7334,0.762,1858,961,897,193971.53,157803.151468,80658.33,65621.763717,113313.2,92181.387751
2020-03-15,0.762,0.9242,0.7535,0.8522,0.7535,0.9242,0.7535,0.8522,3486,2026,1460,336129.53,291092.477182,164927.83,142537.768491,171201.7,148554.708691
2020-03-16,0.8522,0.8952,0.7,0.8017,0.8522,0.8952,0.7,0.8017,2962,1564,1398,316605.2,245810.020227,159056.67,123354.82991,157548.53,122455.190317
2020-03-17,0.8017,0.9802,0.7968,0.9584,0.8017,0.9802,0.7968,0.9584,4140,2561,1579,418835.42,376564.888641,238126.44,213926.412772,180708.98,162638.475869
2020-03-18,0.9584,1.0699,0.9232,1.0633,0.9584,1.0699,0.9232,1.0633,7395,3982,3413,743114.08,732105.178301,350152.14,346662.049507,392961.94,385443.128794
2020-03-19,1.0633,1.2248,1.0013,1.1415,1.0655,1.2248,1.0013,1.1415,5397,2740,2657,514586.51,580999.468594,223425.36,253528.732235,291161.15,327470.736359
2020-03-20,1.1415,1.2302,0.9504,1.07,1.1472,1.2302,0.9504,1.07,4717,2487,2230,439267.39,489575.614004,188446.89,209852.847359,250820.5,279722.766645
2020-03-21,1.07,1.1253,1.002,1.0344,1.0584,1.1253,1.002,1.0344,2793,1628,1165,377071.75,393482.549727,225308.27,234998.424642,151763.48,158484.125085
2020-03-22,1.0344,1.0954,0.938,0.9545,1.0265,1.0954,0.938,0.9545,1678,920,758,216057.92,215535.531661,108922.35,108511.173682,107135.57,107024.357979
2020-03-23,0.9545,1.07,0.9333,1.0411,0.9499,1.07,0.9333,1.0411,1785,1124,661,177114.61,178015.121396,89751.83,90285.203221,87362.78,87729.918175
2020-03-24,1.0411,1.0736,0.9917,1.0535,1.0413,1.0736,0.9917,1.0535,1606,987,619,140985.58,146772.646723,77468.01,80843.265951,63517.57,65929.380772
2020-03-25,1.0535,1.0751,0.9913,1.0206,1.0516,1.0751,0.9913,1.0206,1366,814,552,122868.01,128525.222403,50695.69,52938.789161,72172.32,75586.433242
2020-03-26,1.0206,1.0294,0.9851,1.0181,1.0206,1.0294,0.9851,1.0181,875,522,353,93466.4,93914.912383,36943.79,37215.662312,56522.61,56699.250071
2020-03-27,1.0181,1.048,0.9851,0.9982,1.0245,1.048,0.9851,0.9982,579,320,259,54103.56,55277.503195,32072.4,32881.88161,22031.16,22395.621585
2020-03-28,0.9982,0.9982,0.9527,0.9814,0.9935,0.9935,0.9527,0.9814,1033,499,534,117901.07,114179.779779,46598.17,45266.609772,71302.9,68913.170007
2020-03-29,0.9814,0.9814,0.8939,0.9016,0.9812,0.9812,0.8939,0.9016,830,346,484,93399.83,86568.817102,34814.22,32424.493409,58585.61,54144.323693
2020-03-30,0.9016,0.9834,0.9001,0.9543,0.9028,0.9834,0.9001,0.9543,958,591,367,117856.17,112890.07508,69590.84,66575.469814,48265.33,46314.605266
2020-03-31,0.9543,0.9903,0.9473,0.9631,0.9531,0.9903,0.9473,0.9631,760,406,354,71666.81,69076.026449,31003.84,29952.448851,40662.97,39123.577598
2020-04-01,0.9631,0.9777,0.9253,0.9772,0.9631,0.9777,0.9253,0.9772,901,544,357,80414.03,76174.551887,38760.94,36829.429773,41653.09,39345.122114
2020-04-02,0.9772,1.0395,0.9541,0.9861,0.9786,1.0395,0.9541,0.9861,1652,1063,589,154156.8,151764.807508,84821.51,83374.834889,69335.29,68389.972619
2020-04-03,0.9861,1.0267,0.97,0.9769,0.9893,1.0267,0.97,0.9769,1029,544,485,78521.45,78104.292288,36783.9,36749.168327,41737.55,41355.123961
2020-04-04,0.9769,0.9973,0.9619,0.9845,0.9787,0.9973,0.9619,0.9845,724,438,286,60036.51,58594.037648,29228.66,28582.278997,30807.85,30011.758651
2020-04-05,0.9845,0.9867,0.965,0.9787,0.9845,0.9867,0.965,0.9787,590,371,219,48317.47,47164.802749,19765.8,19318.547182,28551.67,27846.255567
2020-04-06,0.9787,1.0463,0.9787,1.0408,0.9787,1.0463,0.9787,1.0408,1252,756,496,109429.84,111559.963684,66693.4,68036.04475,42736.44,43523.918934
2020-04-07,1.0408,1.1128,1.0135,1.0337,1.0408,1.1128,1.0135,1.0337,2169,1091,1078,219863.57,233305.350259,111071.61,117718.766489,108791.96,115586.58377
2020-04-08,1.0337,1.0737,1.0333,1.05,1.037,1.0737,1.0333,1.05,789,392,397,50207.49,52760.122232,16451.26,17283.286117,33756.23,35476.836115
2020-04-09,1.05,1.06,1.019,1.0432,1.0481,1.06,1.019,1.0432,792,360,432,83513.65,87208.271906,37916.51,39562.126795,45597.14,47646.145111
2020-04-10,1.0432,1.0472,0.9439,0.9742,1.045,1.0472,0.9439,0.9742,1317,599,718,136840.0,134190.077557,55822.87,54809.378383,81017.13,79380.699174
2020-04-11,0.9742,0.9899,0.9596,0.971,0.9732,0.9899,0.9596,0.971,661,402,259,56348.92,54633.97152,36975.59,35870.937218,19373.33,18763.034302
2020-04-12,0.971,1.0119,0.9555,0.9811,0.971,1.0119,0.9555,0.9811,860,444,416,80389.52,79947.158817,37006.21,36874.888557,43383.31,43072.27026
2020-04-13,0.9811,0.9823,0.9368,0.9686,0.9811,0.9823,0.9368,0.9686,1090,460,630,104240.23,99533.35261,40036.9,38305.982753,64203.33,61227.369857
2020-04-14,0.9686,1.0313,0.9596,1.0071,0.9692,1.0313,0.9596,1.0071,987,537,450,101628.07,101908.806179,45028.38,45161.152585,56599.69,56747.653594
2020-04-15,1.0071,1.22,0.9992,1.0191,1.0004,1.22,0.9992,1.0191,4721,2402,2319,469173.15,495565.406243,228433.08,243210.427837,240740.07,252354.978406
2020-04-16,1.0191,1.0747,0.9788,1.0497,1.0189,1.0747,0.9788,1.0497,2107,1125,982,257173.61,265131.614698,129129.79,133830.916465,128043.82,131300.698233
2020-04-17,1.0497,1.059,1.0214,1.0461,1.0452,1.059,1.0214,1.0461,1262,707,555,90179.67,93543.956743,44667.38,46415.298459,45512.29,47128.658284
2020-04-18,1.0461,1.0785,1.0451,1.0635,1.0451,1.0785,1.0451,1.0635,982,508,474,97877.11,104213.509548,44198.24,47185.636314,53678.87,57027.873234
2020-04-19,1.0635,1.0702,1.0189,1.0389,1.0677,1.0702,1.0189,1.0389,944,544,400,80114.53,83728.231732,36964.56,38840.791506,43149.97,44887.440226
2020-04-20,1.0389,1.0614,0.9781,0.9982,1.0389,1.0614,0.9781,0.9982,1648,782,866,186353.28,187954.884499,82252.3,82887.936525,104100.98,105066.947974
2020-04-21,0.9982,1.06,0.9345,0.9789,1.0012,1.06,0.9345,0.9789,1871,1003,868,223450.41,216636.986469,78414.36,77089.331961,145036.05,139547.654508
2020-04-22,0.9789,1.0264,0.9742,1.0243,0.9789,1.0264,0.9742,1.0243,856,585,271,77687.11,78255.684687,45260.93,45579.603492,32426.18,32676.081195
2020-04-23,1.0243,1.0583,0.9277,1.0313,1.0243,1.0583,0.9277,1.0313,1627,965,662,183678.05,186118.056877,105863.16,108021.388078,77814.89,78096.668799
2020-04-24,1.0313,1.0519,1.0203,1.0477,1.0313,1.0519,1.0203,1.0477,4767,930,3837,133711.4,138947.354079,43152.52,44867.838364,90558.88,94079.515715
2020-04-25,1.0477,1.0725,1.0441,1.0537,1.0471,1.0725,1.0441,1.0537,2212,468,1744,85840.42,90488.449415,38937.29,41157.903086,46903.13,49330.546329
2020-04-26,1.0537,1.0688,0.9299,1.0688,1.0469,1.0688,0.9299,1.0688,986,488,498,97670.31,101567.993147,35214.28,37048.929459,62456.03,64519.063688
2020-04-27,1.0688,1.1762,1.047,1.1709,1.0688,1.1762,1.047,1.1709,3724,1741,1983,432985.71,485240.430017,206735.27,231537.267099,226250.44,253703.162918
2020-04-28,1.1709,1.3345,1.118,1.2759,1.1709,1.3345,1.118,1.2759,5532,2759,2773,630764.29,779490.335864,276798.98,343291.998925,353965.31,436198.336939
2020-04-29,1.2759,1.3137,1.237,1.2925,1.2685,1.3137,1.237,1.2925,5566,2951,2615,563457.61,718095.993775,292649.39,373771.531155,270808.22,344324.46262
2020-04-30,1.2925,1.381,1.2,1.2095,1.2861,1.381,1.2,1.2095,4525,1953,2572,401545.27,508271.796342,167489.29,212370.810014,234055.98,295900.986328
2020-05-01,1.2095,1.2876,1.2057,1.2292,1.2093,1.2876,1.2057,1.2292,1503,814,689,138866.65,172390.046116,73227.41,90573.121735,65639.24,81816.924381
2020-05-02,1.2292,1.2944,1.2231,1.2817,1.2292,1.2944,1.2231,1.2817,1978,1091,887,197518.81,249781.044994,103519.11,131093.891914,93999.7,118687.15308
2020-05-03,1.2817,1.2997,1.2139,1.2345,1.2815,1.2997,1.2139,1.2345,1690,855,835,144323.56,180170.516195,78295.72,97847.544005,66027.84,82322.97219
2020-05-04,1.2345,1.2345,1.1731,1.2246,1.2258,1.2323,1.1731,1.2246,1067,577,490,71069.16,85747.457092,34752.08,41907.859326,36317.08,43839.597766
2020-05-05,1.2246,1.235,1.19,1.2182,1.2248,1.235,1.19,1.2182,1004,523,481,65560.91,79998.610228,29317.45,35969.384237,36243.46,44029.225991
2020-05-06,1.2182,1.235,1.2,1.2001,1.2182,1.235,1.2,1.2001,969,585,384,62083.02,75598.059555,35690.7,43595.852792,26392.32,32002.206763
2020-05-07,1.2001,1.2276,1.1801,1.2078,1.2001,1.2276,1.1801,1.2078,1228,600,628,68514.39,82535.996571,30145.28,36417.799189,38369.11,46118.197382
2020-05-08,1.2078,1.2435,1.1915,1.2402,1.2143,1.2435,1.1915,1.2402,1418,831,587,120572.98,147401.400492,78145.23,95816.729391,42427.75,51584.671101
2020-05-09,1.2402,1.26,1.1934,1.1999,1.2403,1.26,1.1934,1.1999,1173,512,661,86578.91,106426.261894,42110.6,52122.378717,44468.31,54303.883177
2020-05-10,1.1999,1.229,1.03,1.0821,1.1934,1.229,1.03,1.0821,2509,1399,1110,235880.18,256403.492183,117823.31,127211.795654,118056.87,129191.696529
2020-05-11,1.0821,1.11,1.0,1.0451,1.0756,1.11,1.0,1.0451,787,398,389,75514.81,79358.088584,29464.12,31210.734646,46050.69,48147.353938
2020-05-12,1.0451,1.094,1.0415,1.0858,1.0453,1.094,1.0415,1.0858,911,521,390,99039.28,106291.31023,54240.43,58239.175935,44798.85,48052.134295
2020-05-13,1.0858,1.1793,1.0809,1.1551,1.0846,1.1793,1.0809,1.1551,1437,883,554,176417.57,201933.321903,106106.41,121613.040518,70311.16,80320.281385
2020-05-14,1.1551,1.1789,1.1257,1.1424,1.1551,1.1789,1.1257,1.1424,776,379,397,59451.97,67988.878165,27880.21,31892.910437,31571.76,36095.967728
2020-05-15,1.1424,1.153,1.0968,1.0996,1.142,1.153,1.0968,1.0996,728,375,353,60100.27,67729.201928,23850.43,26936.661419,36249.84,40792.540509
2020-05-16,1.0996,1.1339,1.0949,1.1162,1.1011,1.1339,1.0949,1.1162,383,206,177,37496.68,41917.11687,16214.69,18159.83831,21281.99,23757.27856
2020-05-17,1.1162,1.143,1.104,1.1319,1.1062,1.143,1.104,1.1319,638,354,284,77137.36,86812.373171,35746.63,40351.278141,41390.73,46461.09503
2020-05-18,1.1319,1.1597,1.1287,1.1514,1.1334,1.1597,1.1287,1.1514,644,350,294,80088.72,91605.129728,42173.28,48239.71799,37915.44,43365.411738
2020-05-19,1.1514,1.153,1.1234,1.1529,1.1449,1.153,1.1234,1.1529,417,254,163,51830.6,59264.367967,33857.82,38768.681031,17972.78,20495.686936
2020-05-20,1.1529,1.1738,1.1287,1.1377,1.1529,1.1738,1.1287,1.1377,940,436,504,149396.84,171502.649559,56725.12,65498.725526,92671.72,106003.924033
2020-05-21,1.1377,1.1698,1.0673,1.1126,1.1412,1.1698,1.0673,1.1126,1071,565,506,143754.44,162341.157257,71649.56,81032.756344,72104.88,81308.400913
2020-05-22,1.1126,1.2037,1.0901,1.1862,1.1091,1.2037,1.0901,1.1862,1504,802,702,194271.34,226116.846718,98548.49,114952.211574,95722.85,111164.635144
2020-05-23,1.1862,1.3218,1.1862,1.2361,1.1908,1.3218,1.1864,1.2361,2002,1062,940,239273.95,294094.930459,128246.85,157726.952586,111027.1,136367.977873
2020-05-24,1.2361,1.2554,1.1566,1.1585,1.2361,1.2554,1.1566,1.1585,1365,610,755,226674.72,270435.560578,94442.56,113043.705822,132232.16,157391.854756
2020-05-25,1.1585,1.21,1.1467,1.2055,1.1558,1.21,1.1467,1.2055,817,420,397,101214.65,119745.425626,51846.0,61517.228544,49368.65,58228.197082
2020-05-26,1.2055,1.2538,1.1632,1.2461,1.2055,1.2538,1.1632,1.2461,1347,684,663,189789.92,230778.389164,87430.08,106596.642329,102359.84,124181.746835
2020-05-27,1.2461,1.255,1.1802,1.2158,1.2548,1.255,1.1802,1.2158,951,435,516,148167.21,179721.949484,61320.21,74402.299935,86847.0,105319.649549
2020-05-28,1.2158,1.2351,1.1807,1.2274,1.2191,1.2351,1.1807,1.2274,732,373,359,96090.24,115598.583485,39091.65,47108.978867,56998.59,68489.604618
2020-05-29,1.2274,1.2356,1.1851,1.2144,1.2337,1.2356,1.1851,1.2144,765,351,414,112650.56,136340.89728,44324.42,53713.106312,68326.14,82627.790968
2020-05-30,1.2144,1.2299,1.1883,1.2252,1.206,1.2299,1.1883,1.2252,797,381,416,119008.01,144387.126977,55120.03,66985.808653,63887.98,77401.318324
2020-05-31,1.2252,1.2508,1.1896,1.2,1.2292,1.2508,1.1896,1.2,1521,651,870,225690.01,277229.617459,112863.72,138624.498243,112826.29,138605.119216
2020-06-01,1.2,1.2563,1.1995,1.2385,1.1996,1.2563,1.1995,1.2385,1394,723,671,164414.46,202717.66092,74350.99,91760.177206,90063.47,110957.483714
2020-06-02,1.2385,1.2697,1.1716,1.2052,1.2451,1.2697,1.1716,1.2052,1645,789,856,249032.26,305522.436876,108789.54,134121.629236,140242.72,171400.80764
2020-06-03,1.2052,1.2487,1.1896,1.2435,1.1976,1.2487,1.1896,1.2435,1224,706,518,155370.25,190153.669744,91025.77,111682.9049,64344.48,78470.764844
2020-06-04,1.2435,1.2795,1.2328,1.2534,1.2463,1.2795,1.2328,1.2534,1542,910,632,226840.25,284890.968897,126424.07,158877.709715,100416.18,126013.259182
2020-06-05,1.2534,1.4388,1.2534,1.3568,1.2614,1.4388,1.2538,1.3568,4860,2634,2226,759494.13,1032505.266783,345503.41,471197.806856,413990.72,561307.459927
2020-06-06,1.3568,1.4033,1.3108,1.332,1.3567,1.4033,1.3108,1.332,2232,1048,1184,378573.15,514072.95927,168694.33,229264.971882,209878.82,284807.987388
2020-06-07,1.332,1.3484,1.2612,1.3105,1.3293,1.3484,1.2612,1.3105,1534,718,816,255787.65,331901.876561,103606.33,134947.080358,152181.32,196954.796203
2020-06-08,1.3105,1.3443,1.2784,1.3338,1.3109,1.3443,1.2784,1.3338,1280,635,645,217533.24,284316.239657,106736.54,139370.594514,110796.7,144945.645143
2020-06-09,1.3338,1.3484,1.2868,1.3045,1.3362,1.3484,1.2868,1.3045,743,408,335,104433.34,136103.017467,51522.03,67063.715166,52911.31,69039.302301
2020-06-10,1.3045,1.3248,1.252,1.3021,1.2973,1.3248,1.252,1.3021,1543,850,693,237029.56,306386.322847,118237.66,152896.275486,118791.9,153490.047361
2020-06-11,1.3021,1.3471,1.1797,1.1846,1.305,1.3471,1.1797,1.1846,2159,932,1227,438416.47,561399.360297,168606.4,217531.646604,269810.07,343867.713693
2020-06-12,1.1846,1.3,1.1459,1.2312,1.1763,1.3,1.1459,1.2312,1838,1075,763,251905.01,306652.214744,127361.48,156091.405175,124543.53,150560.809569
2020-06-13,1.2312,1.2413,1.2103,1.2351,1.2263,1.2413,1.2103,1.2351,658,338,320,96917.59,118803.962449,45134.91,55370.072698,51782.68,63433.889751
2020-06-14,1.2351,1.247,1.1921,1.2005,1.2341,1.247,1.1921,1.2005,681,332,349,74227.15,90707.556734,35280.91,43193.125828,38946.24,47514.430906
2020-06-15,1.2005,1.2088,1.1,1.1942,1.1992,1.2088,1.1,1.1942,1139,536,603,140751.63,161762.512799,59430.65,68411.864663,81320.98,93350.648136
2020-06-16,1.1942,1.2228,1.1833,1.2206,1.1996,1.2228,1.1833,1.2206,441,236,205,54475.52,65709.791306,24084.04,29122.431584,30391.48,36587.359722
2020-06-17,1.2206,1.2762,1.2,1.2304,1.2128,1.2762,1.2,1.2304,1359,716,643,149772.0,185899.133034,64910.58,80617.567474,84861.42,105281.56556
2020-06-18,1.2304,1.2675,1.2234,1.2605,1.231,1.2675,1.2234,1.2605,984,604,380,106028.28,132563.875709,57315.7,71735.724351,48712.58,60828.151358
2020-06-19,1.2605,1.2605,1.2058,1.2196,1.2557,1.2604,1.2058,1.2196,921,492,429,125527.78,154318.745755,64474.35,79412.906701,61053.43,74905.839054
2020-06-20,1.2196,1.2434,1.2119,1.2258,1.2182,1.2434,1.2119,1.2258,564,338,226,43117.8,52833.725958,18587.05,22820.178392,24530.75,30013.547566
2020-06-21,1.2258,1.2352,1.2171,1.2188,1.2265,1.2352,1.2171,1.2188,430,209,221,52760.81,64741.437574,21622.24,26554.207844,31138.57,38187.22973
2020-06-22,1.2188,1.2755,1.2166,1.2572,1.2209,1.2755,1.2166,1.2572,1046,601,445,118451.14,148426.088453,54203.56,67901.11885,64247.58,80524.969603
2020-06-23,1.2572,1.2801,1.2433,1.2474,1.2572,1.2801,1.2433,1.2474,981,586,395,104366.28,131381.934851,55141.95,69469.728991,49224.33,61912.20586
2020-06-24,1.2474,1.2729,1.1751,1.1941,1.244,1.2729,1.1751,1.1941,1130,513,617,133408.49,162334.4396,62926.73,76842.696243,70481.76,85491.743357
2020-06-25,1.1941,1.1958,1.1563,1.178,1.194,1.1958,1.1563,1.178,575,302,273,58533.66,68746.661202,27124.38,31959.261916,31409.28,36787.399286
2020-06-26,1.178,1.1799,1.1338,1.142,1.178,1.1799,1.1338,1.142,702,320,382,95617.47,110655.574589,38139.46,44172.105525,57478.01,66483.469064
2020-06-27,1.142,1.1599,1.0807,1.0891,1.1425,1.1599,1.0807,1.0891,769,278,491,64814.25,72558.547954,19337.72,21616.620516,45476.53,50941.927438
2020-06-28,1.0891,1.1413,1.0881,1.1251,1.0908,1.1413,1.0881,1.1251,460,219,241,48230.03,53774.010801,16382.87,18346.099667,31847.16,35427.911134
2020-06-29,1.1251,1.1472,1.1212,1.1307,1.1256,1.1472,1.1212,1.1307,369,182,187,28534.19,32253.46345,9884.03,11194.35921,18650.16,21059.10424
2020-06-30,1.1307,1.15,1.1198,1.1414,1.1385,1.15,1.1198,1.1414,398,225,173,32207.27,36499.241332,13701.04,15575.046105,18506.23,20924.195227
2020-07-01,1.1414,1.1646,1.1356,1.155,1.1411,1.1646,1.1356,1.155,496,337,159,54118.4,61965.343672,25874.93,29714.46908,28243.47,32250.874592
2020-07-02,1.155,1.1644,1.1042,1.142,1.1634,1.1644,1.1042,1.142,529,265,264,56764.31,64904.637274,22532.05,25847.479313,34232.26,39057.157961
2020-07-03,1.142,1.1472,1.1165,1.1189,1.1359,1.1472,1.1165,1.1189,365,224,141,32190.3,36311.996222,17152.82,19361.866092,15037.48,16950.13013
2020-07-04,1.1189,1.148,1.1151,1.1385,1.1175,1.148,1.1151,1.1385,552,292,260,83383.82,94503.355752,42005.97,47598.215903,41377.85,46905.139849
2020-07-05,1.1385,1.1389,1.0767,1.1071,1.1389,1.1389,1.0767,1.1071,793,413,380,88966.49,97787.145655,36630.2,40329.231785,52336.29,57457.91387
2020-07-06,1.1071,1.1505,1.0945,1.1505,1.1062,1.1505,1.0945,1.1505,939,605,334,92266.33,104194.056655,46464.84,52701.712275,45801.49,51492.34438
2020-07-07,1.1505,1.16,1.1242,1.1538,1.1507,1.16,1.1242,1.1538,725,345,380,101093.48,115343.596067,42258.73,48293.25985,58834.75,67050.336217
2020-07-08,1.1538,1.275,1.1464,1.2378,1.1549,1.275,1.1464,1.2378,2804,1485,1319,393762.75,478424.973406,188946.1,229160.381131,204816.65,249264.592275
