TIMESTAMP,ETC_OPEN_PRICE_USDT,ETC_HIGH_PRICE_USDT,ETC_LOW_PRICE_USDT,ETC_CLOSE_PRICE_USDT,ETC_FIRST_TRADE_PRICE_USDT,ETC_HIGH_TRADE_PRICE_USDT,ETC_LOW_TRADE_PRICE_USDT,ETC_LAST_TRADE_PRICE_USDT,ETC_TOTAL_TRADE_COUNT,ETC_TOTAL_TRADES_BUY,ETC_TOTAL_TRADES_SELL,ETC_VOLUME_USDT,ETC_QUOTE_VOLUME,ETC_VOLUME_BUY,ETC_QUOTE_VOLUME_BUY,ETC_VOLUME_SELL,ETC_QUOTE_VOLUME_SELL
2018-07-11,16.05,16.7214,15.6504,16.44,16.0791,16.7214,15.6504,16.44,16606,8694,7912,902667.55,14633392.708532,459998.04,7462168.315612,442669.51,7171224.39292
2018-07-12,16.44,16.4512,15.67,16.3326,16.4511,16.4512,15.67,16.3326,12913,6581,6332,770853.48,12335320.813046,405706.0,6498801.157015,365147.48,5836519.656031
2018-07-13,16.3326,16.85,16.056,16.27,16.3651,16.85,16.056,16.27,16447,8380,8067,909976.41,15038885.264738,469061.95,7756660.185828,440914.46,7282225.07891
2018-07-14,16.27,16.7434,16.0622,16.3634,16.243,16.7434,16.0622,16.3634,9928,5229,4699,595782.12,9711934.249616,305862.04,4991130.047594,289920.08,4720804.202022
2018-07-15,16.3634,16.92,16.2507,16.6365,16.3665,16.92,16.2507,16.6365,10659,5688,4971,674323.49,11183199.249339,382618.47,6340274.777298,291705.02,4842924.472041
2018-07-16,16.6365,17.5396,16.5247,17.384,16.6366,17.5396,16.5247,17.384,14231,7498,6733,844366.14,14428299.072726,454908.07,7769541.281681,389458.07,6658757.791045
2018-07-17,17.384,18.3,16.8803,17.92,17.3301,18.3,16.8803,17.92,20474,10847,9627,1063152.13,18619871.634194,568999.53,9968474.852652,494152.6,8651396.781542
2018-07-18,17.92,18.4396,17.04,17.3411,17.9032,18.4396,17.04,17.3411,25079,12384,12695,1226583.46,21873186.186607,631493.55,11274271.031675,595089.91,10598915.154932
2018-07-19,17.3411,17.9556,17.0364,17.3844,17.3288,17.9556,17.0364,17.3844,13952,7276,6676,809263.5,14097541.652778,447905.48,7801336.103753,361358.02,6296205.549025
2018-07-20,17.3844,17.65,15.73,16.1008,17.3935,17.65,15.73,16.1008,16770,7835,8935,847104.73,14145517.081265,415046.86,6938508.835305,432057.87,7207008.24596
2018-07-21,16.1008,16.7019,15.7701,16.3356,16.1009,16.7019,15.7701,16.3356,10385,5392,4993,723326.2,11775655.434371,357472.88,5821420.126662,365853.32,5954235.307709
2018-07-22,16.3356,16.5658,16.0,16.1449,16.3106,16.5658,16.0,16.1449,9335,4605,4730,798029.77,13017323.42957,436302.05,7117298.839327,361727.72,5900024.590243
2018-07-23,16.1449,16.76,15.85,16.0477,16.15,16.76,15.85,16.0477,10029,4866,5163,671705.72,10915424.750457,364236.09,5922556.173682,307469.63,4992868.576775
2018-07-24,16.0477,16.8299,15.72,16.5948,16.0476,16.8299,15.72,16.5948,15246,7793,7453,760401.03,12476713.084793,386985.09,6363945.910633,373415.94,6112767.17416
2018-07-25,16.5948,16.9085,16.12,16.5352,16.5752,16.9085,16.12,16.5352,12083,5847,6236,519882.57,8647552.850179,252787.98,4207402.859113,267094.59,4440149.991066
2018-07-26,16.5352,17.4679,16.294,16.66,16.5405,17.4679,16.294,16.66,16066,8354,7712,751866.16,12749591.222901,432355.26,7343621.548067,319510.9,5405969.674834
2018-07-27,16.66,17.23,16.31,17.0736,16.6599,17.23,16.31,17.0736,14631,7546,7085,902071.25,15112739.865777,473811.7,7950379.546127,428259.55,7162360.31965
2018-07-28,17.0736,17.4,16.6028,17.0143,17.0844,17.4,16.6028,17.0143,12215,5821,6394,881786.95,14906377.591032,405910.46,6868379.578189,475876.49,8037998.012843
2018-07-29,17.0143,17.15,16.683,16.8879,17.0143,17.15,16.683,16.8879,10348,5565,4783,825160.08,13909417.428968,490016.03,8266470.208689,335144.05,5642947.220279
2018-07-30,16.8879,17.4,16.6001,17.118,16.8955,17.4,16.6001,17.118,18103,9134,8969,1067099.79,18121464.337161,603393.84,10253755.199544,463705.95,7867709.137617
2018-07-31,17.118,17.1625,15.8135,16.185,17.1354,17.1625,15.8135,16.185,15230,6662,8568,926336.02,15486103.243777,423870.45,7094123.983417,502465.57,8391979.26036
2018-08-01,16.185,16.32,14.9442,15.4773,16.18,16.32,14.9442,15.4773,15388,7359,8029,978358.27,15504489.155657,515952.39,8181873.686338,462405.88,7322615.469319
2018-08-02,15.4773,15.6,14.5313,14.9281,15.4731,15.6,14.5313,14.9281,14725,7136,7589,1109087.46,16778027.895252,576254.78,8726074.994418,532832.68,8051952.900834
2018-08-03,14.9281,17.65,14.1206,16.5698,14.914,17.65,14.1206,16.5698,29415,14734,14681,1849257.81,28645914.35582,1048867.59,16136352.61128,800390.22,12509561.74454
2018-08-04,16.5698,16.9553,15.83,16.4573,16.5698,16.9553,15.83,16.4573,26500,12833,13667,1562769.54,25706658.183916,847089.78,13947935.066164,715679.76,11758723.117752
2018-08-05,16.4573,17.85,16.21,17.687,16.4572,17.85,16.21,17.687,23509,11765,11744,1485329.11,25016898.958615,822447.64,13851022.49485,662881.47,11165876.463765
2018-08-06,17.687,18.7899,17.1273,18.7005,17.6869,18.7899,17.1273,18.7005,40436,19383,21053,2117990.67,37947408.964403,1041064.71,18650870.742014,1076925.96,19296538.222389
2018-08-07,18.7005,20.8016,16.66,17.3,18.7005,20.8016,16.66,17.3,92723,46239,46484,4712762.71,88878239.206978,2283513.99,43091627.129435,2429248.72,45786612.077543
2018-08-08,17.3,17.3001,14.51,15.1413,17.3001,17.3001,14.51,15.1413,59152,30776,28376,2983380.94,47521699.930359,1520218.51,24193792.177437,1463162.43,23327907.752922
2018-08-09,15.1413,15.4707,14.2981,15.0176,15.1499,15.4707,14.2981,15.0176,30634,15503,15131,1630680.22,24499425.222307,861492.26,12953712.568016,769187.96,11545712.654291
2018-08-10,15.0176,15.33,14.03,14.2569,15.0176,15.33,14.03,14.2569,25011,12601,12410,839857.7,12370711.631001,411226.04,6064629.518442,428631.66,6306082.112559
2018-08-11,14.2569,14.2871,12.4003,13.1436,14.2567,14.2871,12.4003,13.1436,25482,12585,12897,952822.39,12728473.915967,461627.11,6160290.803584,491195.28,6568183.112383
2018-08-12,13.1436,13.6342,12.8,13.1844,13.1985,13.6342,12.8,13.1844,19324,9466,9858,628718.55,8329038.710457,311332.21,4124785.059123,317386.34,4204253.651334
2018-08-13,13.1844,13.45,11.8508,11.9,13.1891,13.45,11.8508,11.9,27988,15065,12923,2306175.13,29745150.255342,1369135.88,17672179.66589,937039.25,12072970.589452
2018-08-14,11.9,11.9687,10.0881,11.77,11.9,11.9687,10.0881,11.77,36504,19029,17475,2621615.0,28490898.674336,1458895.6,15852982.19791,1162719.4,12637916.476426
2018-08-15,11.77,13.75,11.5842,13.2459,11.77,13.75,11.5842,13.2459,46902,23119,23783,2886277.83,35250371.43565,1457744.64,17785593.853887,1428533.19,17464777.581763
2018-08-16,13.2459,14.95,12.8287,13.8966,13.2001,14.95,12.8287,13.8966,69743,33363,36380,4114710.24,57233726.704819,1990802.81,27685136.296448,2123907.43,29548590.408371
2018-08-17,13.8966,14.587,12.81,14.4524,13.8966,14.587,12.81,14.4524,57684,30580,27104,4232142.04,58294221.455792,2516576.73,34685912.370478,1715565.31,23608309.085314
2018-08-18,14.4524,14.5772,12.5158,13.1793,14.4653,14.5772,12.5158,13.1793,36844,18701,18143,3060704.47,41760530.738625,1848952.52,25233193.771114,1211751.95,16527336.967511
2018-08-19,13.1793,13.7826,12.817,13.3035,13.1566,13.7826,12.817,13.3035,26245,15388,10857,2466991.27,32653820.413148,1707846.95,22581108.313028,759144.32,10072712.10012
2018-08-20,13.3035,13.5427,12.1785,12.3703,13.3036,13.5427,12.1785,12.3703,27133,14631,12502,2496132.99,32631747.709675,1670326.57,21876537.396635,825806.42,10755210.31304
2018-08-21,12.3703,12.87,12.2026,12.732,12.3931,12.87,12.2026,12.732,23538,13150,10388,2552094.99,31930012.09701,1642627.13,20524566.675089,909467.86,11405445.421921
2018-08-22,12.732,13.47,11.8379,12.1713,12.7472,13.47,11.8379,12.1713,31960,16599,15361,2966351.0,37872377.550134,1776533.41,22687472.188477,1189817.59,15184905.361657
2018-08-23,12.1713,12.6373,12.099,12.4789,12.1884,12.6373,12.099,12.4789,22130,12184,9946,2473580.96,30423522.541963,1605256.44,19733084.028015,868324.52,10690438.513948
2018-08-24,12.4789,12.6,12.25,12.5709,12.4824,12.6,12.25,12.5709,13221,7080,6141,1254787.95,15595430.515277,745284.84,9264617.151488,509503.11,6330813.363789
2018-08-25,12.5709,12.8,12.3499,12.505,12.5447,12.8,12.3499,12.505,12447,6642,5805,1247493.31,15648557.327379,781826.92,9804918.029593,465666.39,5843639.297786
2018-08-26,12.505,12.671,12.03,12.4457,12.5125,12.671,12.03,12.4457,14956,7746,7210,1255325.35,15500489.969725,783510.29,9679323.609463,471815.06,5821166.360262
2018-08-27,12.4457,12.7401,12.267,12.7227,12.4404,12.7401,12.267,12.7227,18762,10055,8707,1611242.3,20094829.671292,967454.08,12073434.731176,643788.22,8021394.940116
2018-08-28,12.7227,13.3997,12.6049,13.1837,12.7002,13.3997,12.6049,13.1837,22961,12412,10549,1784436.68,23015659.04854,1056330.31,13625737.864977,728106.37,9389921.183563
2018-08-29,13.1837,13.2952,12.7609,12.996,13.1803,13.2952,12.7609,12.996,18688,10251,8437,1608205.41,21019291.660215,963415.92,12594874.667338,644789.49,8424416.992877
2018-08-30,12.996,13.0768,12.4268,12.848,12.996,13.0768,12.4268,12.848,15709,7880,7829,1415488.69,18017633.120256,816583.11,10394138.413077,598905.58,7623494.707179
2018-08-31,12.848,14.2,12.3184,12.7411,12.844,14.2,12.3184,12.7411,18360,9937,8423,1501368.3,19089575.785367,950128.12,12095211.669377,551240.18,6994364.11599
2018-09-01,12.7411,13.4059,12.7259,13.1736,12.7398,13.4059,12.7259,13.1736,19692,10677,9015,1529867.66,20019279.197944,842663.73,11028550.042451,687203.93,8990729.155493
2018-09-02,13.1736,13.4566,12.9722,13.4031,13.1793,13.4566,12.9722,13.4031,16617,8660,7957,1291883.92,17070273.922714,721740.14,9539455.156068,570143.78,7530818.766646
2018-09-03,13.4031,14.5652,13.4031,14.0611,13.4032,14.5652,13.4031,14.0611,36747,19495,17252,2169868.14,30544021.45175,1224322.1,17235795.408821,945546.04,13308226.042929
2018-09-04,14.0611,14.28,13.6973,13.9819,14.0611,14.28,13.6973,13.9819,17317,9142,8175,1252213.82,17529122.244614,712412.43,9980813.458474,539801.39,7548308.78614
2018-09-05,13.9819,14.0812,11.7069,11.7599,13.9895,14.0812,11.7069,11.7599,24834,11627,13207,1567556.31,20300101.242065,799065.72,10382547.367433,768490.59,9917553.874632
2018-09-06,11.7599,12.0758,11.1133,11.9851,11.7761,12.0758,11.1133,11.9851,21867,11347,10520,1385549.46,15945710.957299,798510.8,9194183.115369,587038.66,6751527.84193
2018-09-07,11.9851,12.2512,11.4,11.5867,11.986,12.2512,11.4,11.5867,16497,8799,7698,1222935.57,14416783.670444,719187.56,8488660.917841,503748.01,5928122.752603
2018-09-08,11.5867,11.8513,10.6667,10.9721,11.5642,11.8513,10.6667,10.9721,14653,8287,6366,1234279.35,14071939.17059,830828.38,9477060.522575,403450.97,4594878.648015
2018-09-09,10.9721,11.6474,10.8409,11.21,10.9591,11.6474,10.8409,11.21,15608,8128,7480,1185524.75,13379336.693871,667019.57,7537156.28276,518505.18,5842180.411111
2018-09-10,11.21,11.4999,10.9223,11.3064,11.2134,11.4999,10.9223,11.3064,15143,7861,7282,1281613.77,14373345.613827,774705.33,8688899.422629,506908.44,5684446.191198
2018-09-11,11.3064,11.51,10.8412,11.2605,11.3065,11.51,10.8412,11.2605,19029,9988,9041,1499231.77,16870186.140252,905470.52,10204134.284772,593761.25,6666051.85548
2018-09-12,11.2605,11.3149,10.14,10.7222,11.2675,11.3149,10.14,10.7222,19752,10368,9384,1379943.42,14546813.307478,818689.94,8617796.507929,561253.48,5929016.799549
2018-09-13,10.7222,11.3223,10.685,11.1085,10.7223,11.3223,10.685,11.1085,19482,10833,8649,1535626.82,16887753.108208,974949.86,10717624.57769,560676.96,6170128.530518
2018-09-14,11.1085,11.3875,10.8548,10.9416,11.0791,11.3875,10.8548,10.9416,18365,9481,8884,1435254.55,15920370.799942,864162.97,9590894.981463,571091.58,6329475.818479
2018-09-15,10.9416,11.5799,10.91,11.28,10.9517,11.5799,10.91,11.28,13326,7530,5796,1139800.2,12807207.735686,701263.32,7884935.272907,438536.88,4922272.462779
2018-09-16,11.28,11.3094,10.9201,11.2048,11.2713,11.3094,10.9201,11.2048,11436,6177,5259,1178924.23,13143673.915926,746861.39,8331093.094687,432062.84,4812580.821239
2018-09-17,11.2048,11.3175,10.0328,10.28,11.2048,11.3175,10.0328,10.28,18431,8973,9458,1392414.46,15070524.18767,797207.56,8644074.384476,595206.9,6426449.803194
2018-09-18,10.28,10.8176,10.2191,10.5548,10.2847,10.8176,10.2191,10.5548,13450,7618,5832,1214597.87,12773391.83266,787248.72,8270930.86864,427349.15,4502460.96402
2018-09-19,10.5548,11.2379,10.2349,10.7821,10.5605,11.2379,10.2349,10.7821,18347,9783,8564,1332153.15,14116653.846326,803307.63,8516216.559271,528845.52,5600437.287055
2018-09-20,10.7821,11.29,10.57,11.14,10.792,11.29,10.57,11.14,14751,7273,7478,1363010.07,14697221.880985,698282.3,7537065.804598,664727.77,7160156.076387
2018-09-21,11.14,11.8007,11.01,11.7085,11.1505,11.8007,11.01,11.7085,24351,12937,11414,1824616.39,20726251.165634,958533.44,10873859.543995,866082.95,9852391.621639
2018-09-22,11.7085,11.9,11.1751,11.4491,11.6988,11.9,11.1751,11.4491,12803,6767,6036,942330.23,10833526.288414,536939.73,6179261.903499,405390.5,4654264.384915
2018-09-23,11.4491,11.7914,11.3718,11.6,11.4479,11.7914,11.3718,11.6,16233,8377,7856,1297327.21,15009783.621827,684936.2,7929003.704012,612391.01,7080779.917815
2018-09-24,11.6,11.6236,10.9601,11.0405,11.6102,11.6236,10.9601,11.0405,14579,7425,7154,1317244.13,14833903.994455,729326.81,8198915.145533,587917.32,6634988.848922
2018-09-25,11.0405,11.35,10.3842,11.11,11.0449,11.35,10.3842,11.11,18726,9660,9066,1305713.35,14064419.859223,779535.86,8394428.612115,526177.49,5669991.247108
2018-09-26,11.11,11.3387,10.8172,10.9619,11.11,11.3387,10.8172,10.9619,15082,7507,7575,1185836.9,13078610.647183,629700.45,6942939.485809,556136.45,6135671.161374
2018-09-27,10.9619,11.5892,10.75,11.4479,10.974,11.5892,10.75,11.4479,17154,9126,8028,1169995.22,13088303.230062,655231.33,7341831.989439,514763.89,5746471.240623
2018-09-28,11.4479,11.6223,11.088,11.2481,11.4498,11.6223,11.088,11.2481,15610,7493,8117,1286847.69,14625831.46267,633028.87,7193256.141979,653818.82,7432575.320691
2018-09-29,11.2481,11.4781,10.9821,11.3992,11.254,11.4781,10.9821,11.3992,12264,6822,5442,961707.54,10860051.184351,563215.58,6366834.158497,398491.96,4493217.025854
2018-09-30,11.3992,11.4531,11.1351,11.3203,11.4101,11.4531,11.1351,11.3203,12959,6390,6569,1137539.88,12888618.414037,576963.28,6535469.995738,560576.6,6353148.418299
2018-10-01,11.3203,11.42,11.0502,11.2504,11.3301,11.42,11.0502,11.2504,10312,5194,5118,814989.53,9190973.93367,449338.61,5071765.157858,365650.92,4119208.775812
2018-10-02,11.2504,11.388,11.125,11.163,11.2381,11.388,11.125,11.163,10964,4807,6157,1096915.05,12327756.397104,492779.27,5537274.735254,604135.78,6790481.66185
2018-10-03,11.163,11.2249,10.848,11.141,11.1568,11.2249,10.848,11.141,12242,5437,6805,1207844.1,13302037.426779,562918.51,6200645.689742,644925.59,7101391.737037
2018-10-04,11.141,11.2465,11.0055,11.0936,11.141,11.2465,11.0055,11.0936,8050,3772,4278,655528.42,7302993.949478,290055.95,3232944.5223,365472.47,4070049.427178
2018-10-05,11.0936,11.22,10.9799,11.0963,11.0961,11.22,10.9799,11.0963,9315,4249,5066,758350.42,8391942.271723,310783.05,3439285.665698,447567.37,4952656.606025
2018-10-06,11.0963,11.1296,10.8516,10.9652,11.0901,11.1296,10.8516,10.9652,5168,2108,3060,159131.07,1745519.015378,60483.3,663425.739401,98647.77,1082093.275977
2018-10-07,10.9652,11.0502,10.6666,10.95,10.9652,11.0502,10.6666,10.95,4085,1910,2175,110952.91,1204442.276709,56395.54,612637.516929,54557.37,591804.75978
2018-10-08,10.95,11.0916,10.8587,11.0077,10.9558,11.0916,10.8587,11.0077,5576,2666,2910,198996.67,2185786.704136,98115.11,1078368.579945,100881.56,1107418.124191
2018-10-09,11.0077,11.0207,10.85,10.9509,11.0094,11.0207,10.85,10.9509,3371,1816,1555,111108.81,1216549.970768,58125.51,636571.98096,52983.3,579977.989808
2018-10-10,10.9509,10.9553,10.72,10.9023,10.9508,10.9553,10.72,10.9023,4995,2286,2709,187868.81,2039187.192801,83272.8,904372.724948,104596.01,1134814.467853
2018-10-11,10.9023,10.9099,9.05,9.2017,10.9023,10.9099,9.05,9.2017,20085,9276,10809,717170.0,7124759.197338,346074.86,3432456.060682,371095.14,3692303.136656
2018-10-12,9.2017,9.7805,9.14,9.5181,9.2151,9.7805,9.14,9.5181,14603,8278,6325,1110329.2,10554819.41098,698207.81,6643876.210385,412121.39,3910943.200595
2018-10-13,9.5181,9.6567,9.4689,9.5974,9.5205,9.6567,9.4689,9.5974,9945,4053,5892,1085820.9,10403645.049756,412536.91,3954294.84797,673283.99,6449350.201786
2018-10-14,9.5974,9.79,9.473,9.5081,9.6004,9.79,9.473,9.5081,10734,4720,6014,1189360.92,11494599.391766,506896.33,4891931.708771,682464.59,6602667.682995
2018-10-15,9.5081,11.08,9.3612,10.0182,9.5149,11.08,9.3612,10.0182,23931,12576,11355,1191068.85,12023839.832537,593676.74,6002929.53109,597392.11,6020910.301447
2018-10-16,10.0182,10.1855,9.8975,9.989,10.0362,10.1855,9.8975,9.989,4335,2209,2126,123875.09,1239729.734667,66733.97,668222.75889,57141.12,571506.975777
2018-10-17,9.989,10.338,9.86,10.1051,9.9818,10.338,9.86,10.1051,13134,6372,6762,1189228.13,11939816.232224,521559.91,5235497.793193,667668.22,6704318.439031
2018-10-18,10.1051,10.1502,9.7364,9.7965,10.1133,10.1502,9.7364,9.7965,11338,5504,5834,1161135.8,11579931.091002,564267.24,5622332.680829,596868.56,5957598.410173
2018-10-19,9.7965,9.8482,9.6732,9.75,9.7965,9.8482,9.6732,9.75,7236,3686,3550,706511.44,6900369.52886,370823.64,3621306.679198,335687.8,3279062.849662
2018-10-20,9.75,9.9,9.7,9.82,9.7507,9.9,9.7,9.82,2034,1043,991,42531.99,416881.223973,20394.1,199840.37938,22137.89,217040.844593
2018-10-21,9.82,9.9763,9.763,9.7639,9.8219,9.9763,9.763,9.7639,6361,3749,2612,469187.27,4623347.220523,305559.76,3009635.235155,163627.51,1613711.985368
2018-10-22,9.7639,10.448,9.7191,10.2037,9.7638,10.448,9.7191,10.2037,15819,8159,7660,971149.97,9756536.9382,485830.31,4888871.093305,485319.66,4867665.844895
2018-10-23,10.2037,10.3625,9.8233,9.9226,10.2037,10.3625,9.8233,9.9226,11412,5669,5743,717309.47,7204521.41177,393891.74,3956056.111231,323417.73,3248465.300539
2018-10-24,9.9226,10.0527,9.8262,9.8365,9.9226,10.0527,9.8262,9.8365,8910,5301,3609,493252.16,4901568.434495,308812.24,3067857.84297,184439.92,1833710.591525
2018-10-25,9.8365,9.8728,9.6301,9.776,9.8366,9.8728,9.6301,9.776,6523,3768,2755,299481.14,2927839.427963,192794.95,1885523.483089,106686.19,1042315.944874
2018-10-26,9.776,9.8732,9.65,9.754,9.7708,9.8732,9.65,9.754,5616,3200,2416,258805.37,2522050.038028,164496.04,1603056.842395,94309.33,918993.195633
2018-10-27,9.754,9.7817,9.6438,9.6867,9.754,9.7817,9.6438,9.6867,4731,2732,1999,234776.13,2279679.466528,154349.55,1499303.793095,80426.58,780375.673433
2018-10-28,9.6867,9.7322,9.578,9.6286,9.6865,9.7322,9.578,9.6286,4913,2314,2599,249984.45,2413564.869701,121584.69,1173856.972973,128399.76,1239707.896728
2018-10-29,9.6286,9.7364,8.9596,9.1034,9.6357,9.7364,8.9596,9.1034,12516,5860,6656,466158.11,4355075.923276,233994.02,2189242.340882,232164.09,2165833.582394
2018-10-30,9.1034,9.2325,8.9396,9.0239,9.1083,9.2325,8.9396,9.0239,7858,3871,3987,322783.22,2925870.642716,176370.13,1598254.808142,146413.09,1327615.834574
2018-10-31,9.0239,9.1535,8.7787,9.0855,9.0184,9.1535,8.7787,9.0855,8299,4529,3770,353935.47,3192832.258109,215514.97,1944665.060935,138420.5,1248167.197174
2018-11-01,9.0855,9.1199,9.0015,9.107,9.0859,9.1199,9.0015,9.107,4685,2422,2263,252847.94,2289061.16079,142899.08,1293367.466303,109948.86,995693.694487
2018-11-02,9.107,9.2542,9.053,9.209,9.1107,9.2542,9.053,9.209,6533,2860,3673,309483.03,2833560.995336,138843.48,1272348.273924,170639.55,1561212.721412
2018-11-03,9.209,9.2164,9.0317,9.154,9.201,9.2164,9.0317,9.154,5328,2525,2803,232063.75,2123078.189154,110272.01,1008904.863537,121791.74,1114173.325617
2018-11-04,9.154,9.6695,9.1236,9.5696,9.1542,9.6695,9.1236,9.5696,9145,4668,4477,370265.84,3480363.29165,191656.69,1805306.527316,178609.15,1675056.764334
2018-11-05,9.5696,9.5696,9.3401,9.4899,9.5614,9.5664,9.3401,9.4899,7783,3773,4010,337559.97,3183481.841502,177595.05,1675140.988108,159964.92,1508340.853394
2018-11-06,9.4899,10.0564,9.4282,10.0255,9.4854,10.0564,9.4282,10.0255,11773,6308,5465,430862.86,4173464.591015,240281.65,2329346.939541,190581.21,1844117.651474
